	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	asvabs	asvabs	asvabs	asvabs	asvabs	asvabs	asvabs	asvabs	asvabs	asvabs	asvabs	asvabs
												
black	-0.9929***		-0.7508***		-0.7899***		-0.7717***		-0.8480***		-1.0550***	
	(0.0325)		(0.0321)		(0.0341)		(0.0348)		(0.0332)		(0.0341)	
hispanic	-0.6916***		-0.3576***		-0.6003***		-0.5311***		-0.5858***		-0.6570***	
	(0.0402)		(0.0398)		(0.0423)		(0.0431)		(0.0411)		(0.0422)	
born1959	0.1076**		0.0248		0.1891***		0.1212**		0.0721		0.0480	
	(0.0528)		(0.0522)		(0.0555)		(0.0565)		(0.0539)		(0.0554)	
born1960	0.1148**		0.0483		0.1563***		0.1361**		0.0921*		0.0576	
	(0.0500)		(0.0495)		(0.0526)		(0.0536)		(0.0511)		(0.0525)	
born1961	0.1049**		0.0279		0.1575***		0.0828		0.0434		0.0311	
	(0.0496)		(0.0490)		(0.0521)		(0.0531)		(0.0507)		(0.0521)	
born1962	0.1032**		0.0325		0.1468***		0.1141**		0.0836*		0.0511	
	(0.0485)		(0.0480)		(0.0510)		(0.0520)		(0.0496)		(0.0510)	
born1963	0.1610***		0.1374***		0.1605***		0.1531***		0.1204**		0.1451***	
	(0.0489)		(0.0484)		(0.0514)		(0.0524)		(0.0500)		(0.0514)	
foreignBorn	-0.1024*		-0.2838***		-0.0696		-0.0315		-0.2067***		-0.2391***	
	(0.0604)		(0.0597)		(0.0635)		(0.0647)		(0.0618)		(0.0634)	
Constant	0.3071***	0.8534***	0.1059***	0.8437***	0.0930**	0.8970***	0.0490	0.9138***	0.3197***	0.8724***	0.2950***	0.8960***
	(0.0385)	(0.0100)	(0.0381)	(0.0099)	(0.0405)	(0.0105)	(0.0413)	(0.0107)	(0.0394)	(0.0102)	(0.0405)	(0.0105)
												
Observations	3,641	3,641	3,641	3,641	3,641	3,641	3,641	3,641	3,641	3,641	3,641	3,641
Standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
