"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"10180"," ","CA04","10","1969","Personal income (thousands of dollars)","Abilene, TX (Metropolitan Statistical Area)",371903,412584,442397,501947,546796,618174,724637,806092,880132,1014111,1163604,1353327,1636171,1745700,1814217,1957200,2066913,2057596,2035016,2125430,2211407,2272793,2337254,2485946,2597808,2649047,2834604,3048903,3282041,3408170,3571034,3760973,3720045,3851816,4041810,4260431,4470367,4731850,5140817,5712110,5367346,5624880,5919633
"10180"," ","CA04","11","1969","    Nonfarm personal income 1/","Abilene, TX (Metropolitan Statistical Area)",355667,389649,421731,473131,519230,609540,703472,788725,867487,1004416,1143331,1342850,1590161,1722717,1805975,1947103,2066863,2046863,2006921,2110409,2193131,2234683,2323253,2449510,2567253,2629638,2817407,3042862,3259207,3399833,3540764,3752638,3682210,3835624,4010302,4223375,4437705,4721269,5109356,5696258,5372788,5608630,5909631
"10180"," ","CA04","12","1969","    Farm income 2/","Abilene, TX (Metropolitan Statistical Area)",16236,22935,20666,28816,27566,8634,21165,17367,12645,9695,20273,10477,46010,22983,8242,10097,50,10733,28095,15021,18276,38110,14001,36436,30555,19409,17197,6041,22834,8337,30270,8335,37835,16192,31508,37056,32662,10581,31461,15852,-5442,16250,10002
"10180"," ","CA04","20","1969","Population (persons) 3/","Abilene, TX (Metropolitan Statistical Area)",125138,122505,124841,128517,127533,128625,131031,133379,133052,134462,136601,140098,143310,148899,152939,153587,153470,155031,153655,150042,149324,147834,147400,149917,152909,153779,156097,156351,157405,158264,159755,160288,158917,159012,158810,160156,160761,161389,162023,162508,163888,165669,166416
"10180"," ","CA04","30","1969","Per capita personal income (dollars) 4/","Abilene, TX (Metropolitan Statistical Area)",2972,3368,3544,3906,4287,4806,5530,6044,6615,7542,8518,9660,11417,11724,11862,12743,13468,13272,13244,14166,14809,15374,15857,16582,16989,17226,18159,19500,20851,21535,22353,23464,23409,24223,25451,26602,27808,29320,31729,35150,32750,33953,35571
"10180"," ","CA04","35","1969","    Earnings by place of work","Abilene, TX (Metropolitan Statistical Area)",305329,336725,359488,412772,441520,494005,581258,652979,713443,823935,946894,1082520,1312206,1357804,1394546,1496474,1560688,1538556,1493910,1569900,1571600,1628441,1668834,1779159,1855789,1902718,2013514,2167815,2375582,2436704,2603969,2712801,2614765,2739599,2888051,3100484,3201798,3409595,3618559,3923773,3661211,3791025,3940694
"10180"," ","CA04","36","1969","    Less: Contributions for government social insurance 5/","Abilene, TX (Metropolitan Statistical Area)",18272,19918,22297,26150,31870,38321,44314,50644,55853,65518,78625,91721,116877,125547,129981,140701,150185,144960,138858,151756,153633,155180,166265,174376,181682,189685,200479,210843,223982,228397,236538,242675,245849,261484,277383,291756,302875,320942,341839,364108,363321,371447,347621
"10180"," ","CA04","37","1969","        Employee and self-employed contributions for government social insurance","Abilene, TX (Metropolitan Statistical Area)",9526,10224,11239,12843,16192,19472,21856,24348,27186,31932,38477,45393,57982,62496,64153,68241,75201,73071,69766,77785,80603,80758,86686,90370,94547,99319,106265,111642,119185,121574,126700,129027,127853,135857,141017,148801,156171,166955,179162,193435,191524,192735,159598
"10180"," ","CA04","38","1969","        Employer contributions for government social insurance","Abilene, TX (Metropolitan Statistical Area)",8746,9694,11058,13307,15678,18849,22458,26296,28667,33586,40148,46328,58895,63051,65828,72460,74984,71889,69092,73971,73030,74422,79579,84006,87135,90366,94214,99201,104797,106823,109838,113648,117996,125627,136366,142955,146704,153987,162677,170673,171797,178712,188023
"10180"," ","CA04","42","1969","    Plus: Adjustment for residence 6/","Abilene, TX (Metropolitan Statistical Area)",1513,1892,2042,2432,2538,1695,1717,2125,2166,1475,996,230,-3389,-1823,-2324,-2918,-2699,-657,1197,2979,6921,9960,4893,5949,6054,4436,3349,2598,3805,5503,6546,8900,13045,7935,10835,11363,15250,15689,16264,20817,17557,22047,30376
