"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"09000","1","CA05N","10","2001","Personal income","Connecticut state total",150081313,149692998,152691417,163234550,171490280,184956227,196404584,198981824,191312735,197839341,207161731,214297085
"09000","1","CA05N","20","2001","Population (persons) 2/","Connecticut state total",3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3576616,3586717,3590347
"09000","1","CA05N","30","2001","Per capita personal income (dollars)","Connecticut state total",43719,43280,43822,46691,48900,52582,55682,56121,53712,55315,57758,59687
"09000","1","CA05N","35","2001","Earnings by place of work","Connecticut state total",112206534,112999482,115400446,122385788,127271878,133485284,139384222,140429282,136531964,139525323,144498882,148571568
"09000","1","CA05N","36","2001","  less: Contributions for government social insurance 3/","Connecticut state total",11047525,11521922,11765522,12359987,12784159,13238741,13843226,14291378,13937470,14050365,12987367,13367736
"09000","1","CA05N","37","2001","    Employee and self-employed contributions for government social insurance","Connecticut state total",5741774,5874181,5996815,6308870,6601625,6963472,7296353,7535063,7310383,7372453,5990838,6125415
"09000","1","CA05N","38","2001","    Employer contributions for government social insurance","Connecticut state total",5305751,5647741,5768707,6051117,6182534,6275269,6546873,6756315,6627087,6677912,6996529,7242321
"09000","1","CA05N","42","2001","  plus: Adjustment for residence 4/","Connecticut state total",4863243,4254475,3959618,4372842,4346045,4672025,4932201,4523226,2739716,4103631,3710192,3972848
"09000","1","CA05N","45","2001","  equals: Net earnings by place of residence","Connecticut state total",106022252,105732035,107594542,114398643,118833764,124918568,130473197,130661130,125334210,129578589,135221707,139176680
"09000","1","CA05N","46","2001","  plus: Dividends, interest, and rent 5/","Connecticut state total",28249953,26988690,27804438,30495513,33741074,39837484,44510511,44717936,38829181,39857241,43189458,45331891
"09000","1","CA05N","47","2001","  plus: Personal current transfer receipts","Connecticut state total",15809108,16972273,17292437,18340394,18915442,20200175,21420876,23602758,27149344,28403511,28750566,29788514
"09000","1","CA05N","50","2001","  Wages and salaries","Connecticut state total",80744831,79838274,81444632,85985178,89734594,94444899,100670529,101512265,96220551,97850541,101642907,104421995
"09000","1","CA05N","60","2001","  Supplements to wages and salaries","Connecticut state total",16750261,17432674,18610527,20412889,21274155,21228663,22271568,22994584,22674027,23315593,23729101,24026712
"09000","1","CA05N","61","2001","    Employer contributions for employee pension and insurance funds 6/","Connecticut state total",11444510,11784933,12841820,14361772,15091621,14953394,15724695,16238269,16046940,16637681,16732572,16784391
"09000","1","CA05N","62","2001","    Employer contributions for government social insurance","Connecticut state total",5305751,5647741,5768707,6051117,6182534,6275269,6546873,6756315,6627087,6677912,6996529,7242321
"09000","1","CA05N","70","2001","  Proprietors' income 7/","Connecticut state total",14711442,15728534,15345287,15987721,16263129,17811722,16442125,15922433,17637386,18359189,19126874,20122861
"09000","1","CA05N","71","2001","    Farm proprietors' income","Connecticut state total",59405,13243,31872,46409,68052,37418,54573,41091,25574,27611,47205,11379
"09000","1","CA05N","72","2001","    Nonfarm proprietors' income","Connecticut state total",14652037,15715291,15313415,15941312,16195077,17774304,16387552,15881342,17611812,18331578,19079669,20111482
"09000","1","CA05N","81","2001","  Farm earnings","Connecticut state total",199998,189070,189324,199066,190432,173426,214432,194176,171634,165012,166545,152380
"09000","1","CA05N","82","2001","  Nonfarm earnings","Connecticut state total",112006536,112810412,115211122,122186722,127081446,133311858,139169790,140235106,136360330,139360311,144332337,148419188
"09000","1","CA05N","90","2001","    Private nonfarm earnings","Connecticut state total",97483108,97544468,99345820,105442063,109582621,115528960,120459113,120604118,116569180,119286290,123982098,128095477
"09000","1","CA05N","100","2001","      Forestry, fishing, and related activities","Connecticut state total",70188,64746,57600,54064,49976,53691,49490,46912,45293,56533,51266,55916
"09000","1","CA05N","200","2001","      Mining","Connecticut state total",83623,88638,100802,120532,155470,183356,139005,251939,122406,151302,175056,189109
"09000","1","CA05N","300","2001","      Utilities","Connecticut state total",1004885,928947,979353,1187783,1067746,1000294,1042581,1187947,1107668,1074812,1220516,1165459
