"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"11000","2","CA05N","10","2001","Personal income","District of Columbia state total",26010340,26451529,27537982,29528424,31816268,34628273,37094227,40699818,40276273,42209338,46104487,47280666
"11000","2","CA05N","20","2001","Population (persons) 2/","District of Columbia state total",574504,573158,568502,567754,567136,570681,574404,580236,592228,604989,619020,632323
"11000","2","CA05N","30","2001","Per capita personal income (dollars)","District of Columbia state total",45274,46151,48440,52009,56100,60679,64579,70144,68008,69769,74480,74773
"11000","2","CA05N","35","2001","Earnings by place of work","District of Columbia state total",50021658,52897679,55605388,59531861,62720613,66386156,69785095,74406315,74970002,78432103,81952147,83061027
"11000","2","CA05N","36","2001","  less: Contributions for government social insurance 3/","District of Columbia state total",4923286,5227555,5437358,5814545,6149414,6513987,6872114,7401837,7627139,7781424,7179695,7383661
"11000","2","CA05N","37","2001","    Employee and self-employed contributions for government social insurance","District of Columbia state total",2344799,2490356,2600256,2784713,2955483,3153344,3344052,3598185,3685355,3752877,2960706,3062930
"11000","2","CA05N","38","2001","    Employer contributions for government social insurance","District of Columbia state total",2578487,2737199,2837102,3029832,3193931,3360643,3528062,3803652,3941784,4028547,4218989,4320731
"11000","2","CA05N","42","2001","  plus: Adjustment for residence 4/","District of Columbia state total",-26833507,-29068266,-30671078,-32629628,-34033854,-35508245,-36855294,-38136496,-38231314,-40100702,-41672820,-41681724
"11000","2","CA05N","45","2001","  equals: Net earnings by place of residence","District of Columbia state total",18264865,18601858,19496952,21087688,22537345,24363924,26057687,28867982,29111549,30549977,33099632,33995642
"11000","2","CA05N","46","2001","  plus: Dividends, interest, and rent 5/","District of Columbia state total",4841258,4651767,4787784,5153717,5702328,6622286,7143435,7623609,6405843,6292655,7302081,7629970
"11000","2","CA05N","47","2001","  plus: Personal current transfer receipts","District of Columbia state total",2904217,3197904,3253246,3287019,3576595,3642063,3893105,4208227,4758881,5366706,5702774,5655054
"11000","2","CA05N","50","2001","  Wages and salaries","District of Columbia state total",37606349,39584910,41334431,44187244,46629946,49266309,51989615,54331114,55122459,57921789,59938092,61084749
"11000","2","CA05N","60","2001","  Supplements to wages and salaries","District of Columbia state total",8838219,9497506,10253366,10965782,11677068,12411284,12893299,13679859,14204423,15251032,16329223,16111424
