"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"45000","5","CA05N","10","2001","Personal income","South Carolina state total",105018027,107795878,111544456,118146606,125347404,135575067,143767529,150165760,148602980,151536772,159747330,165595079
"45000","5","CA05N","20","2001","Population (persons) 2/","South Carolina state total",4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4635835,4673348,4723723
"45000","5","CA05N","30","2001","Per capita personal income (dollars)","South Carolina state total",25835,26242,26876,28057,29354,31111,32350,33157,32376,32688,34183,35056
"45000","5","CA05N","35","2001","Earnings by place of work","South Carolina state total",76685503,78420393,81874313,86153116,90594463,96484191,100659700,103696696,100682670,101983347,106357777,110083987
"45000","5","CA05N","36","2001","  less: Contributions for government social insurance 3/","South Carolina state total",8877372,9135508,9530136,10015682,10499793,11437455,11947327,12271859,11909185,12130563,11389195,11676596
"45000","5","CA05N","37","2001","    Employee and self-employed contributions for government social insurance","South Carolina state total",4563869,4701244,4879309,5169523,5472412,5955881,6294646,6460630,6297882,6432380,5238398,5383092
"45000","5","CA05N","38","2001","    Employer contributions for government social insurance","South Carolina state total",4313503,4434264,4650827,4846159,5027381,5481574,5652681,5811229,5611303,5698183,6150797,6293504
"45000","5","CA05N","42","2001","  plus: Adjustment for residence 4/","South Carolina state total",1429871,1436400,1455430,1571813,1737216,1940753,2210712,2284733,2228183,2287860,2331347,2463976
"45000","5","CA05N","45","2001","  equals: Net earnings by place of residence","South Carolina state total",69238002,70721285,73799607,77709247,81831886,86987489,90923085,93709570,91001668,92140644,97299929,100871367
"45000","5","CA05N","46","2001","  plus: Dividends, interest, and rent 5/","South Carolina state total",18616182,18421471,18139785,19231104,20701500,23911248,26565181,26940423,24116384,23633521,26243302,27806065
"45000","5","CA05N","47","2001","  plus: Personal current transfer receipts","South Carolina state total",17163843,18653122,19605064,21206255,22814018,24676330,26279263,29515767,33484928,35762607,36204099,36917647
"45000","5","CA05N","50","2001","  Wages and salaries","South Carolina state total",56519421,57706904,59711626,62846914,65948793,70169601,73789857,75199134,72129034,73360341,76061551,79115265
"45000","5","CA05N","60","2001","  Supplements to wages and salaries","South Carolina state total",12761902,13287100,14476827,15151918,16177626,17220793,18396489,19448239,18539095,18605054,20591746,20455068
"45000","5","CA05N","61","2001","    Employer contributions for employee pension and insurance funds 6/","South Carolina state total",8448399,8852836,9826000,10305759,11150245,11739219,12743808,13637010,12927792,12906871,14440949,14161564
"45000","5","CA05N","62","2001","    Employer contributions for government social insurance","South Carolina state total",4313503,4434264,4650827,4846159,5027381,5481574,5652681,5811229,5611303,5698183,6150797,6293504
"45000","5","CA05N","70","2001","  Proprietors' income 7/","South Carolina state total",7404180,7426389,7685860,8154284,8468044,9093797,8473354,9049323,10014541,10017952,9704480,10513654
"45000","5","CA05N","71","2001","    Farm proprietors' income","South Carolina state total",479834,67987,391506,466248,491096,297442,114417,328590,326768,256936,177733,397475
"45000","5","CA05N","72","2001","    Nonfarm proprietors' income","South Carolina state total",6924346,7358402,7294354,7688036,7976948,8796355,8358937,8720733,9687773,9761016,9526747,10116179
"45000","5","CA05N","81","2001","  Farm earnings","South Carolina state total",650270,230199,526969,643181,645650,457730,291724,493788,492678,421031,322626,569464
"45000","5","CA05N","82","2001","  Nonfarm earnings","South Carolina state total",76035233,78190194,81347344,85509935,89948813,96026461,100367976,103202908,100189992,101562316,106035151,109514523
"45000","5","CA05N","90","2001","    Private nonfarm earnings","South Carolina state total",61000799,62443628,64716673,67967496,71313944,76208983,79342675,80839610,77311464,78563968,82145394,85018440
"45000","5","CA05N","100","2001","      Forestry, fishing, and related activities","South Carolina state total",305583,297370,305539,330749,318977,347648,339794,321242,313462,347331,351396,360750
"45000","5","CA05N","200","2001","      Mining","South Carolina state total",86784,83843,87080,92034,95084,100141,95133,110139,80289,87454,99249,103342
"45000","5","CA05N","300","2001","      Utilities","South Carolina state total",971033,969500,1003911,1068486,1055055,1224769,1183774,1318168,1308363,1373051,1415684,1374631
"45000","5","CA05N","400","2001","      Construction","South Carolina state total",5797897,5857452,6177275,6486256,6867563,7684316,7753932,7064313,6054058,5605671,5539238,5828820
"45000","5","CA05N","500","2001","      Manufacturing","South Carolina state total",14402004,14155645,14333141,14273120,14432753,14666403,14979664,15060781,13461174,13692338,14912465,15486297
"45000","5","CA05N","510","2001","        Durable goods manufacturing","South Carolina state total",6966446,6905666,7142751,7441398,7783450,8114542,8492690,8614144,7675432,7777743,8677304,9116572
"45000","5","CA05N","530","2001","        Nondurable goods manufacturing","South Carolina state total",7435558,7249979,7190390,6831722,6649303,6551861,6486974,6446637,5785742,5914595,6235161,6369725
"45000","5","CA05N","600","2001","      Wholesale trade","South Carolina state total",3272999,3375472,3344280,3684631,4072183,4428548,4804255,4953641,4456006,4452186,4734356,4958343
"45000","5","CA05N","700","2001","      Retail trade","South Carolina state total",6441209,6580139,6888803,7150075,7436527,7821783,8054152,7864265,7492814,7591980,7873417,7969514
"45000","5","CA05N","800","2001","      Transportation and warehousing","South Carolina state total",2268562,2297912,2408857,2517549,2689671,2830354,2961122,2832709,2628927,2666724,2863232,3045736
