"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"49000","7","CA05N","10","2001","Personal income","Utah state total",58680501,60288646,62084072,66154060,72344208,80276973,87387489,91248703,88270188,90112698,96175091,101162690
"49000","7","CA05N","20","2001","Population (persons) 2/","Utah state total",2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2775093,2814347,2855287
"49000","7","CA05N","30","2001","Per capita personal income (dollars)","Utah state total",25695,25933,26305,27546,29436,31786,33640,34265,32412,32472,34173,35430
"49000","7","CA05N","35","2001","Earnings by place of work","Utah state total",47803418,48816468,50027805,53828607,57995665,64651821,69453143,71158746,68505217,69742137,73450605,77445765
"49000","7","CA05N","36","2001","  less: Contributions for government social insurance 3/","Utah state total",5291783,5419075,5647774,6123921,6633744,7284271,7824779,8005693,7754476,7865302,7459423,7848012
"49000","7","CA05N","37","2001","    Employee and self-employed contributions for government social insurance","Utah state total",2637020,2694455,2769242,2976046,3218292,3573906,3914532,4013491,3926265,4006837,3251709,3412510
"49000","7","CA05N","38","2001","    Employer contributions for government social insurance","Utah state total",2654763,2724620,2878532,3147875,3415452,3710365,3910247,3992202,3828211,3858465,4207714,4435502
"49000","7","CA05N","42","2001","  plus: Adjustment for residence 4/","Utah state total",10064,3740,10014,15776,25427,32344,24803,26400,3030,-14179,-21157,-22782
"49000","7","CA05N","45","2001","  equals: Net earnings by place of residence","Utah state total",42521699,43401133,44390045,47720462,51387348,57399894,61653167,63179453,60753771,61862656,65970025,69574971
"49000","7","CA05N","46","2001","  plus: Dividends, interest, and rent 5/","Utah state total",10156752,10319263,10691960,11024855,12891138,14088265,16169564,17560133,15151951,14934195,16509181,17624358
"49000","7","CA05N","47","2001","  plus: Personal current transfer receipts","Utah state total",6002050,6568250,7002067,7408743,8065722,8788814,9564758,10509117,12364466,13315847,13695885,13963361
"49000","7","CA05N","50","2001","  Wages and salaries","Utah state total",34266548,34856623,35698739,38118685,40878627,45077325,49191716,50578083,48891547,49654889,52098883,55125563
"49000","7","CA05N","60","2001","  Supplements to wages and salaries","Utah state total",7832101,8190539,8719149,9630747,10480640,11647445,12383389,12844745,12500370,12684752,13692577,14081983
"49000","7","CA05N","61","2001","    Employer contributions for employee pension and insurance funds 6/","Utah state total",5177338,5465919,5840617,6482872,7065188,7937080,8473142,8852543,8672159,8826287,9484863,9646481
