"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"02000","8","CA05","10","1969","Personal income","Alaska state total",1411723,1597095,1766966,1939318,2267501,2802354,3956808,4760348,4922359,5025363,5326531,6069690,6916730,8461199,9203177,9963035,10705043,10707465,10378670,10757254,11777741,12501188,13167022,13956729,14672991,15194722,15580461,15931486,16671078,17322802,17829752,19157931
"02000","8","CA05","20","1969","Population (persons)","Alaska state total",296000,304328,316494,326494,333232,344696,370973,393115,397363,402191,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627499
"02000","8","CA05","30","1969","Per capita personal income (dollars)","Alaska state total",4769,5248,5583,5940,6805,8130,10666,12109,12388,12495,13199,14975,16528,18819,18843,19395,20104,19673,19244,19848,21525,22594,23092,23706,24478,25186,25778,26179,27197,27943,28538,30531
"02000","8","CA05","35","1969"," Earnings by place of work","Alaska state total",1377687,1566067,1729866,1905423,2114965,2841528,4481987,5633895,5218006,5087645,5319333,6015940,6972246,8071084,8986033,9625194,10024997,9763806,9242119,9564038,10400378,10985787,11598293,12237045,12694725,12997387,13179160,13276019,13672758,14120280,14440916,15318907
"02000","8","CA05","36","1969"," less: Contributions for government social insurance","Alaska state total",93599,105402,118254,134063,165356,240539,406996,525572,462767,434149,467264,526560,685722,797947,852254,948033,969955,916093,857576,928769,1026161,1144584,1213592,1282845,1363982,1417512,1427657,1429899,1470704,1521984,1543037,1616248
"02000","8","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Alaska state total",36780,40559,44166,49160,61603,90397,149901,188036,167189,159140,173917,197398,270082,311703,329859,354430,385452,383325,362195,401660,456603,515889,552087,571211,604655,634769,650749,659417,688398,719491,732722,769678
"02000","8","CA05","38","1969","  Employer contributions for government social insurance","Alaska state total",56819,64843,74088,84903,103753,150142,257095,337536,295578,275009,293347,329162,415640,486244,522395,593603,584503,532768,495381,527109,569558,628695,661505,711634,759327,782743,776908,770482,782306,802493,810315,846570
"02000","8","CA05","42","1969"," plus: Adjustment for residence","Alaska state total",-26265,-46813,-61038,-76217,-94001,-210104,-613503,-884590,-453623,-325831,-289204,-328634,-470273,-561626,-621705,-637008,-628841,-569170,-531719,-555803,-617718,-652370,-698793,-734564,-752953,-772301,-777607,-791032,-781055,-831969,-833809,-887321
"02000","8","CA05","45","1969"," equals: Net earnings by place of residence","Alaska state total",1257823,1413852,1550574,1695143,1855608,2390885,3461488,4223733,4301616,4327665,4562865,5160746,5816251,6711511,7512074,8040153,8426201,8278543,7852824,8079466,8756499,9188833,9685908,10219636,10577790,10807574,10973896,11055088,11420999,11766327,12064070,12815338
"02000","8","CA05","46","1969"," plus: Dividends, interest, and rent","Alaska state total",99906,111370,125484,141125,165470,203117,258453,303261,342813,398957,470870,565759,694123,886053,1058373,1240794,1392541,1432202,1487304,1560467,1783594,1943107,2011753,2106005,2278258,2526452,2658672,2780525,2987423,3096179,3058882,3273323
"02000","8","CA05","47","1969"," plus: Personal current transfer receipts","Alaska state total",53994,71873,90908,103050,246423,208352,236867,233354,277930,298741,292796,343185,406356,863635,632730,682088,886301,996720,1038542,1117321,1237648,1369248,1469361,1631088,1816943,1860696,1947893,2095873,2262656,2460296,2706800,3069270
"02000","8","CA05","50","1969"," Wage and salary disbursements","Alaska state total",1127186,1265955,1379548,1508013,1664334,2229107,3560833,4402691,3942688,3741461,3884061,4393972,5238618,6061636,6633966,6955179,7089992,6780362,6421672,6601349,7376284,7807328,8217993,8647296,8956773,9189343,9290692,9389199,9630619,10039483,10186448,10763759
"02000","8","CA05","60","1969"," Supplements to wages and salaries","Alaska state total",139670,171640,211257,242259,279339,380541,641339,866277,883226,870309,908671,1034972,1246324,1437183,1597186,1796258,1851501,1778455,1719057,1744321,1895180,2045747,2238870,2408753,2521122,2542625,2498140,2497912,2457829,2483394,2535368,2654003
"02000","8","CA05","61","1969","  Employer contributions for employee pension and insurance funds","Alaska state total",82851,106797,137169,157356,175586,230399,384244,528741,587648,595300,615324,705810,830684,950939,1074791,1202655,1266998,1245687,1223676,1217212,1325622,1417052,1577365,1697119,1761795,1759882,1721232,1727430,1675523,1680901,1725053,1807433
