"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"06000","8","CA05","10","1969","Personal income","California state total",89336977,96132714,102281899,112207429,124033383,138832055,153687070,171862261,191579630,218612703,249279568,283903674,319204003,341069347,368162581,411268182,443595939,474994757,512410843,555466500,597463622,640548123,662251924,695027722,711327055,738250330,776490488,825688919,879160124,963067314,1027714604,1135342267
"06000","8","CA05","20","1969","Population (persons)","California state total",19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33994571
"06000","8","CA05","30","1969","Per capita personal income (dollars)","California state total",4532,4801,5027,5451,5944,6557,7136,7835,8572,9572,10719,11928,13144,13742,14517,15913,16777,17526,18447,19515,20448,21380,21734,22439,22744,23448,24498,25788,27063,29195,30679,33398
"06000","8","CA05","35","1969"," Earnings by place of work","California state total",73513158,77657138,81711320,90550434,100729671,111503793,120939147,136441876,153488413,176296211,201010776,223868155,245240302,259761369,280531182,315164232,341243201,368253092,403518917,440438990,465440186,496933256,511992668,535646274,545689201,563289455,589652432,623796537,670273846,736919795,800271309,895920043
"06000","8","CA05","36","1969"," less: Contributions for government social insurance","California state total",4829776,5019846,5452187,6337121,7979052,9019903,9606248,10984169,12566225,14799877,17657707,19244502,23003263,24900954,27639157,32060644,35322485,38688573,42356018,47655277,50960327,54184586,56328653,58338703,59105286,61142114,62900960,64880376,69058682,74351912,80469549,89265616
"06000","8","CA05","37","1969","  Employee and self-employed contributions for government social insurance","California state total",2448533,2544060,2735281,3126687,3920687,4450078,4747354,5274372,5999059,6953674,8365129,9028531,10981318,12026549,13268242,15150929,17068955,19009489,21222350,24073964,25863116,27442738,28853125,29904862,30498661,31717912,32945000,34039449,35919993,38736020,42029528,46755127
"06000","8","CA05","38","1969","  Employer contributions for government social insurance","California state total",2381243,2475786,2716906,3210434,4058365,4569825,4858894,5709797,6567166,7846203,9292578,10215971,12021945,12874405,14370915,16909715,18253530,19679084,21133668,23581313,25097211,26741848,27475528,28433841,28606625,29424202,29955960,30840927,33138689,35615892,38440021,42510489
"06000","8","CA05","42","1969"," plus: Adjustment for residence","California state total",-130246,-114273,-123852,-126744,-113012,-127309,-17239,85877,-65062,-75525,-52170,-85050,247336,252870,266040,240006,187414,142958,63285,23392,7776,-50144,-36711,-37224,30832,47110,36670,25343,-70012,-76375,-127624,-296285
"06000","8","CA05","45","1969"," equals: Net earnings by place of residence","California state total",68553136,72523019,76135281,84086569,92637607,102356581,111315660,125543584,140857126,161420809,183300899,204538603,222484375,235113285,253158065,283343594,306108130,329707477,361226184,392807105,414487635,442698526,455627304,477270347,486614747,502194451,526788142,558941504,601145152,662491508,719674136,806358142
"06000","8","CA05","46","1969"," plus: Dividends, interest, and rent","California state total",13167873,14309152,15451234,16599311,18637522,21358028,23377374,25332198,28442323,33102511,39509787,48634366,60557513,66322245,72675826,83750622,89727799,93988533,97660222,105399435,120359370,128969176,130151356,129349039,131356374,140544397,149931490,161859990,172946747,189612151,191286838,207463048
"06000","8","CA05","47","1969"," plus: Personal current transfer receipts","California state total",7615968,9300543,10695384,11521549,12758254,15117446,18994036,20986479,22280181,24089383,26468882,30730705,36162115,39633817,42328690,44173966,47760010,51298747,53524437,57259960,62616617,68880421,76473264,88408336,93355934,95511482,99770856,104887425,105068225,110963655,116753630,121521077
"06000","8","CA05","50","1969"," Wage and salary disbursements","California state total",57931868,61258951,63950048,69885474,76912354,84431311,90876556,100688025,112630668,129075230,147014762,164085795,182098187,192877921,206529893,229137147,249849498,269320782,294010511,319101991,341961955,366824532,371871842,382811777,383780762,394681276,415033441,440424657,475281712,517628946,565670457,638492048
"06000","8","CA05","60","1969"," Supplements to wages and salaries","California state total",6606291,7229002,7991685,9322053,11012398,12757175,14841644,17799303,21263461,24914671,28849534,32911549,37229313,40350036,44312251,50494224,54950008,58686100,62754568,67583416,72737032,77828985,81067555,85704905,89406771,91212693,90992108,90440152,94194537,100555316,107692361,120802928
"06000","8","CA05","61","1969","  Employer contributions for employee pension and insurance funds","California state total",4225048,4753216,5274779,6111619,6954033,8187350,9982750,12089506,14696295,17068468,19556956,22695578,25207368,27475631,29941336,33584509,36696478,39007016,41620900,44002103,47639821,51087137,53592027,57271064,60800146,61788491,61036148,59599225,61055848,64939424,69252340,78292439
"06000","8","CA05","62","1969","  Employer contributions for government social insurance","California state total",2381243,2475786,2716906,3210434,4058365,4569825,4858894,5709797,6567166,7846203,9292578,10215971,12021945,12874405,14370915,16909715,18253530,19679084,21133668,23581313,25097211,26741848,27475528,28433841,28606625,29424202,29955960,30840927,33138689,35615892,38440021,42510489
"06000","8","CA05","70","1969"," Proprietors' income","California state total",8974999,9169185,9769587,11342907,12804919,14315307,15220947,17954548,19594284,22306310,25146480,26870811,25912802,26533412,29689038,35532861,36443695,40246210,46753838,53753583,50741199,52279739,59053271,67129592,72501668,77395486,83626883,92931728,100797597,118735533,126908491,136625067
"06000","8","CA05","71","1969","  Farm proprietors' income","California state total",946345,911097,889777,1305963,1947411,2413023,1861430,1893964,1924858,1953788,2870824,3796563,2610171,2568069,2260059,2872824,2854012,3403902,4559288,4623523,4306206,4195405,3283368,3917847,4607938,4326657,3545976,4071384,4489874,3718763,3766630,3592577
"06000","8","CA05","72","1969","  Nonfarm proprietors' income","California state total",8028654,8258088,8879810,10036944,10857508,11902284,13359517,16060584,17669426,20352522,22275656,23074248,23302631,23965343,27428979,32660037,33589683,36842308,42194550,49130060,46434993,48084334,55769903,63211745,67893730,73068829,80080907,88860344,96307723,115016770,123141861,133032490
"06000","8","CA05","81","1969"," Farm earnings","California state total",1704063,1708065,1706740,2171752,2930341,3643906,3273231,3478122,3544039,3491431,4571999,5582525,4361655,4599596,4232867,4904220,4939387,5376485,6607987,6967554,6829057,7206422,6308684,6814832,7760075,7541338,7225579,8123810,8685104,8205469,8966173,8872332
"06000","8","CA05","82","1969"," Nonfarm earnings","California state total",71809095,75949073,80004580,88378682,97799330,107859887,117665916,132963754,149944374,172804780,196438777,218285630,240878647,255161773,276298315,310260012,336303814,362876607,396910930,433471436,458611129,489726834,505683984,528831442,537929126,555748117,582426853,615672727,661588742,728714326,791305136,887047711
"06000","8","CA05","90","1969","  Private earnings","California state total",56853622,59262991,62005982,68754631,76695568,84484278,91226599,104052544,118556281,138952636,159750471,177590000,195804401,207025815,225312274,254227302,274690410,297159719,326848606,359116130,378802598,403218309,414006927,432844287,441111636,456017292,480514321,513299224,555807009,618392851,675683799,762227623
"06000","8","CA05","100","1969","   Agricultural services, forestry, and fishing","California state total",487299,526897,593934,693797,819362,954828,1003637,1154046,1138078,1400015,1663759,1967090,2013374,2105901,2261433,2561867,2709655,2900767,3601208,3838410,4138665,4657161,4643255,4862090,5018379,5194177,5373659,5666324,6151523,6478545,7124340,7366526
"06000","8","CA05","110","1969","    Agricultural services","California state total",447395,472924,538123,629813,749698,865665,909019,1023475,1032912,1263047,1510838,1776179,1840969,1998536,2123590,2404087,2561818,2669694,3349867,3614870,3919928,4434169,4453850,4687583,4845257,4981946,5181818,5495355,5976002,6285669,6900610,7144661
"06000","8","CA05","120","1969","    Forestry and fishing","California state total",39904,53973,55811,63984,69664,89163,94618,130571,105166,136968,152921,190911,172405,107365,137843,157780,147837,231073,251341,223540,218737,222992,189405,174507,173122,212231,191841,170969,175521,192876,223730,221865
"06000","8","CA05","121","1969","     Forestry","California state total",8673,10580,9998,11481,12915,16261,16956,23071,12054,14187,15575,19640,21730,6289,40710,49675,41325,35673,17606,34178,36596,52320,49965,45685,54550,80130,63041,45566,54252,76684,100236,106839
"06000","8","CA05","122","1969","     Fishing","California state total",31231,43393,45813,52503,56749,72902,77662,107500,93112,122781,137346,171271,150675,101076,97133,108105,106512,195400,233735,189362,182141,170672,139440,128822,118572,132101,128800,125403,121269,116192,123494,115026
"06000","8","CA05","200","1969","   Mining","California state total",405740,417562,403328,474071,536317,726356,872405,1000406,1194988,1214072,1455103,2005372,2405933,2452166,2208110,2496032,2667940,1885497,2272412,2398266,2387862,2451454,2508832,2644558,2726232,2592066,2536306,2662014,2894902,2889575,2655261,3094130
"06000","8","CA05","210","1969","    Metal mining","California state total","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",21179,"(D)","(D)","(D)",169360,"(D)","(D)",130702,144607,150053,"(D)",164116,166900,161842,139469,128084,"(D)"
"06000","8","CA05","220","1969","    Coal mining","California state total","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",14812,"(D)","(D)","(D)",78825,"(D)","(D)",138971,122869,92361,"(D)",47228,35467,32981,42241,52367,"(D)"
"06000","8","CA05","230","1969","    Oil and gas extraction","California state total",292088,290302,271402,333964,373997,529213,689889,808011,917049,904208,1119682,1680036,2060088,2164189,1897078,2175671,2308944,1583247,1997078,1843137,1879770,1932258,1881631,1994313,2142836,2005676,1949485,2046370,2251091,2209517,1997004,2520249
"06000","8","CA05","240","1969","    Nonmetallic minerals, except fuels","California state total",86768,97482,101320,115066,131232,139435,142273,165650,177322,195861,214472,236226,229538,197564,239340,284370,292966,204955,197683,306944,331098,361512,357528,382769,340982,359095,375477,413277,448988,498348,477806,442267
"06000","8","CA05","300","1969","   Construction","California state total",4313718,4527688,4752039,5281713,5911023,6319585,6698921,7965995,9184239,11072068,13026611,14134743,14873503,14353153,15299616,18653531,20744993,23466381,26001943,28881535,31245810,31845757,28648356,26772262,25761246,28257405,30056473,31694270,35257583,41367396,48156713,55167882
"06000","8","CA05","310","1969","    General building contractors","California state total",1063868,1085984,1140721,1246165,1453906,1577818,1661327,2077263,2496675,3101770,3639529,3795469,3687431,3421832,4076557,5165292,5545518,6603564,7449829,8522198,8530057,8578759,7358520,6941858,6465858,7176581,7546178,7856038,8704245,10072970,11943432,14448015
"06000","8","CA05","320","1969","    Heavy construction contractors","California state total",969821,1030085,989668,1059670,1126599,1267972,1483949,1641943,1817140,2172862,2530274,2827939,3185470,3098068,2529565,2681766,2805377,3029985,3211686,3173866,3453191,3515279,3193301,3088483,2994056,3087278,3396263,3238904,3503531,3893418,4277129,4632476
"06000","8","CA05","330","1969","    Special trade contractors","California state total",2280029,2411619,2621650,2975878,3330518,3473795,3553645,4246789,4870424,5797436,6856808,7511335,8000602,7833253,8693494,10806473,12394098,13832832,15340428,17185471,19262562,19751719,18096535,16741921,16301332,17993546,19114032,20599328,23049807,27401008,31936152,36087391
"06000","8","CA05","400","1969","   Manufacturing","California state total",17261751,16976511,16786567,18532152,20819536,23096229,24012462,26890068,30923480,35797635,41724170,46027918,50971323,53840796,57287064,63023856,67168760,69884671,74504019,79520734,83359160,85399167,86103532,86107015,85359216,86110351,88798252,93060840,101612272,109307153,119960948,139466490
"06000","8","CA05","410","1969","    Durable goods","California state total",12480045,12024539,11639135,12954338,14661771,16213159,16682459,18701175,21322739,24781272,29037346,32721513,36443701,38527644,41119075,45686598,49185267,50923332,54055701,57453315,59965659,60593619,60311364,59590691,58252107,58423503,60886479,64519371,71396657,77321049,85715460,102535823
"06000","8","CA05","413","1969","     Lumber and wood products","California state total",498383,495907,562894,622556,700392,709361,750834,927707,1148657,1312416,1386772,1337095,1290254,1085581,1294043,1495937,1561650,1706163,1890674,2059436,2169322,2107565,1884500,1792639,1794436,1903934,1820276,1959300,2136435,2121585,2336101,2363399
"06000","8","CA05","417","1969","     Furniture and fixtures","California state total",318956,321278,334640,403582,459645,474340,453243,537072,629033,738128,703625,876911,996486,937950,1077048,1253353,1341357,1318701,1494852,1552379,1608737,1498733,1407696,1447718,1465690,1464336,1517777,1650625,1829398,2087630,2179503,2292090
"06000","8","CA05","420","1969","     Stone, clay, and glass products","California state total",499665,543116,585002,653222,703793,744985,755887,831120,952065,1097007,1248114,1335231,1415989,1338921,1390291,1565543,1595999,1708381,1824026,2000026,2142191,2197232,2018593,1979383,1960686,2017242,2014760,2100186,2275395,2426252,2529669,2653764
"06000","8","CA05","423","1969","     Primary metal industries","California state total",677237,670135,644685,696877,817621,966087,958207,1004447,1178569,1328935,1512929,1604144,1713117,1678100,1473615,1483281,1365201,1352711,1455656,1604833,1617139,1532282,1494649,1401879,1423510,1477324,1473098,1609069,1688673,1654599,1676923,1841745
"06000","8","CA05","426","1969","     Fabricated metal products","California state total",1189352,1187536,1169234,1300333,1492701,1704244,1783156,1998762,2188932,2516535,3125925,3431192,3712332,3642536,3814464,4224421,4357378,4451205,4478073,4713787,4897979,4918083,4597416,4579925,4608891,4832010,4974378,5238411,5583616,5766975,5941128,6273063
"06000","8","CA05","429","1969","     Industrial machinery and equipment","California state total",1565688,1633823,1563737,1739827,2088610,2473622,2667220,2974482,3367998,3978719,4920604,5487620,6187935,6707986,6946429,7682234,8097782,8012053,8649431,9355294,10031487,10589868,11013284,11163018,10969278,11338062,12408854,13387297,15763032,17190519,21417643,28323442
"06000","8","CA05","432","1969","     Electronic and other electric equipment","California state total",2861437,2764597,2623995,2890266,3376348,3780839,3710839,4195555,4728661,5658010,6604146,7912902,8959313,10098318,11369234,13197475,14661047,14880991,15612473,10376680,10800698,11133369,11335738,11317181,11755783,11904740,13245894,14526259,16647359,18059109,20974320,27515009
"06000","8","CA05","435","1969","     Motor vehicles and equipment","California state total",429635,393612,435178,518838,610282,588378,494624,710706,926144,1068714,1125296,869771,981947,902738,861399,969462,1054481,1057083,1030386,1169181,1130772,1056397,1325093,1439699,1421876,1573689,1489116,1483105,1477846,1710876,1585025,1696027
"06000","8","CA05","438","1969","     Other transportation equipment","California state total",2687625,2410619,2243891,2546635,2672677,2894696,3848706,4040633,4457882,5016512,5992082,7008335,7746688,8353036,8720626,9344998,10483915,11534917,12370982,12435574,13245005,13573987,12791157,12039038,10641688,9628620,9181951,9054592,9501962,10398240,10162685,9876541
"06000","8","CA05","441","1969","     Instruments and related products","California state total",353772,354754,357126,411446,485821,560518,881724,1034775,1205023,1410383,1716766,2107898,2489512,2724637,3004442,3297424,3584298,3860279,4136345,10966055,11027457,10731679,11189531,11140543,10809059,10676587,11019303,11566503,12410151,13640494,14485763,16961179
"06000","8","CA05","444","1969","     Miscellaneous manufacturing industries","California state total",278569,293448,298405,316658,340556,363867,378019,445916,539775,655913,701087,750414,950128,1057841,1167484,1172470,1082159,1040848,1112803,1220070,1294872,1254424,1253707,1289668,1401210,1606959,1741072,1944024,2082790,2264770,2426700,2739564
"06000","8","CA05","447","1969","     Ordnance","California state total",1119726,955714,820348,854098,913325,952222,"(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)"
"06000","8","CA05","450","1969","    Nondurable goods","California state total",4781706,4951972,5147432,5577814,6157765,6883070,7330003,8188893,9600741,11016363,12686824,13306405,14527622,15313152,16167989,17337258,17983493,18961339,20448318,22067419,23393501,24805548,25792168,26516324,27107109,27686848,27911773,28541469,30215615,31986104,34245488,36930667
"06000","8","CA05","453","1969","     Food and kindred products","California state total",1580363,1638426,1708225,1811866,1988456,2234959,2425009,2621689,2976470,3249002,3622707,3961499,4309141,4545059,4599400,4802251,4854482,5013419,5269407,5401515,5711703,6177380,6525208,6728704,6803249,6843800,6716056,6933460,7184358,7590601,8237319,8697510
