"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"08000","7","CA05","10","1969","Personal income","Colorado state total",7985060,8984921,10132732,11480537,13186463,14834807,16349773,18110885,20314187,23475731,27072627,31164964,35967673,39505006,42423236,46499273,48987511,50869215,52836176,55694570,60268751,64092852,68159791,73772066,80051130,86537055,94038952,101777271,110109636,120099565,130662556,147055760
"08000","7","CA05","20","1969","Population (persons)","Colorado state total",2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4328070
"08000","7","CA05","30","1969","Per capita personal income (dollars)","Colorado state total",3687,4040,4399,4774,5283,5837,6322,6880,7535,8485,9502,10714,12078,12904,13538,14669,15267,15713,16205,17072,18398,19377,20123,21102,22152,23237,24575,25964,27402,29174,30919,33977
"08000","7","CA05","35","1969"," Earnings by place of work","Colorado state total",6589803,7360690,8328459,9558239,11051633,12329759,13368257,14910560,16829308,19585427,22636182,25616885,29174939,31740637,33847603,37171267,39110601,40514504,41994771,44410561,46959134,50129018,53610383,58464665,63780566,68284797,73584586,79664470,86896881,94788365,105161666,119400802
"08000","7","CA05","36","1969"," less: Contributions for government social insurance","Colorado state total",387601,427062,498579,605583,796984,904725,966299,1103778,1259640,1504745,1837213,2100619,2586179,2894671,3130083,3539070,3834902,4021180,4121720,4501258,4829056,5244913,5747923,6233194,6840746,7392135,7896709,8436721,9117689,9529011,10383808,11535948
"08000","7","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Colorado state total",195419,213491,246349,293662,387846,442677,470671,520731,594346,704257,869592,1007787,1249800,1402340,1494268,1660152,1854850,1955872,2012616,2207430,2392394,2586030,2841273,3070060,3349996,3641351,3930966,4215534,4565323,4998708,5458448,6050481
"08000","7","CA05","38","1969","  Employer contributions for government social insurance","Colorado state total",192182,213571,252230,311921,409138,462048,495628,583047,665294,800488,967621,1092832,1336379,1492331,1635815,1878918,1980052,2065308,2109104,2293828,2436662,2658883,2906650,3163134,3490750,3750784,3965743,4221187,4552366,4530303,4925360,5485467
"08000","7","CA05","42","1969"," plus: Adjustment for residence","Colorado state total",1969,1607,2709,3987,2684,4252,8489,8984,11716,20330,20462,27583,4941,1691,-415,7621,16789,22337,34355,49390,65655,90691,102070,116977,128742,146415,167472,185395,205907,231925,261657,289263
"08000","7","CA05","45","1969"," equals: Net earnings by place of residence","Colorado state total",6204171,6935235,7832589,8956643,10257333,11429286,12410447,13815766,15581384,18101012,20819431,23543849,26593701,28847657,30717105,33639818,35292488,36515661,37907406,39958693,42195733,44974796,47964530,52348448,57068562,61039077,65855349,71413144,77985099,85491279,95039515,108154117
"08000","7","CA05","46","1969"," plus: Dividends, interest, and rent","Colorado state total",1175611,1319420,1450414,1581212,1821427,2122172,2328984,2536729,2867937,3343949,3971477,4974763,6265933,7134932,7808309,8750982,9394235,9738583,9954044,10504834,12243591,12871513,13260020,13633842,14631005,16639797,18268636,20101662,21703993,23969512,24283444,26913658
"08000","7","CA05","47","1969"," plus: Personal current transfer receipts","Colorado state total",605278,730266,849729,942682,1107703,1283349,1610342,1758390,1864866,2030770,2281719,2646352,3108039,3522417,3897822,4108473,4300788,4614971,4974726,5231043,5829427,6246543,6935241,7789776,8351563,8858181,9914967,10262465,10420544,10638774,11339597,11987985
"08000","7","CA05","50","1969"," Wage and salary disbursements","Colorado state total",5140971,5730841,6437107,7338850,8430653,9284377,10048331,11217545,12574074,14632011,17005580,19407676,22304620,24423731,25559709,27844809,29410176,30315999,31234872,32821302,34644446,37120686,39639736,42836112,45941737,49272392,53161778,57442452,62753633,69862281,76642610,86416495
"08000","7","CA05","60","1969"," Supplements to wages and salaries","Colorado state total",513250,608804,741713,910132,1111263,1293284,1522841,1794299,2161748,2549974,2993703,3480977,4099705,4642410,5070558,5629906,5989469,6224186,6393738,6651721,7250547,7836692,8705122,9511913,10491052,11072709,11495798,11965240,13206623,13556513,14744688,16543497
