"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"09000","1","CA05","10","1969","Personal income","Connecticut state total",14464046,15410445,16210644,17473694,19108547,20896045,22370641,24310636,26823855,29883705,33649884,38357333,43116544,46612283,49765245,55638866,59651811,64135066,70053417,77079003,83387387,86243953,87296443,93367478,96133666,99121255,104266464,109560314,116816566,125278231,131113413,143020887
"09000","1","CA05","20","1969","Population (persons)","Connecticut state total",3000000,3038782,3061448,3069617,3069140,3075784,3084726,3085984,3088729,3094839,3099907,3113174,3128837,3139014,3162355,3180014,3201131,3223741,3247290,3271954,3283404,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3386401,3411726
"09000","1","CA05","30","1969","Per capita personal income (dollars)","Connecticut state total",4821,5071,5295,5692,6226,6794,7252,7878,8684,9656,10855,12321,13780,14849,15737,17496,18635,19895,21573,23557,25397,26198,26430,28287,29051,29891,31366,32835,34877,37226,38718,41920
"09000","1","CA05","35","1969"," Earnings by place of work","Connecticut state total",11192015,11795070,12208896,13298801,14801547,16070707,16702541,18287127,20340482,22917016,25821016,28758735,31505973,33662279,36275154,40731988,44369860,48026752,53326987,58940583,61982184,63653393,64480362,67639734,70301610,72828834,76356981,79780456,86286504,91915079,97859192,107062877
"09000","1","CA05","36","1969"," less: Contributions for government social insurance","Connecticut state total",751907,783447,839781,968458,1234183,1395191,1422502,1577133,1777715,2062130,2421266,2681741,3139874,3412627,3736884,4306125,4742477,5165645,5653729,6346870,6655081,6747959,6939543,7155271,7414905,7766239,8130670,8471753,8990864,9435395,9885416,10515385
"09000","1","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Connecticut state total",361194,379340,407553,460234,585846,667207,686602,738159,816508,933428,1110059,1259026,1483813,1626491,1773840,1995811,2273186,2494972,2771009,3124389,3332175,3389740,3518210,3616872,3735630,3925323,4138817,4305533,4597837,4840934,5123222,5436160
"09000","1","CA05","38","1969","  Employer contributions for government social insurance","Connecticut state total",390713,404107,432228,508224,648337,727984,735900,838974,961207,1128702,1311207,1422715,1656061,1786136,1963044,2310314,2469291,2670673,2882720,3222481,3322906,3358219,3421333,3538399,3679275,3840916,3991853,4166220,4393027,4594461,4762194,5079225
"09000","1","CA05","42","1969"," plus: Adjustment for residence","Connecticut state total",728032,721719,745539,784530,808137,841026,916031,1011121,1120793,1274729,1448075,1691003,1865083,2019829,2140238,2287867,2424211,2575945,2695697,2883556,2776582,2756943,2723947,3923617,3342313,3115802,3868553,4647816,4191846,5577994,5403014,5630732
"09000","1","CA05","45","1969"," equals: Net earnings by place of residence","Connecticut state total",11168140,11733342,12114654,13114873,14375501,15516542,16196070,17721115,19683560,22129615,24847825,27767997,30231182,32269481,34678508,38713730,42051594,45437052,50368955,55477269,58103685,59662377,60264766,64408080,66229018,68178397,72094864,75956519,81487486,88057678,93376790,102178224
"09000","1","CA05","46","1969"," plus: Dividends, interest, and rent","Connecticut state total",2348464,2530998,2672425,2853562,3103462,3461246,3628586,3880807,4308418,4833721,5551420,6851774,8571817,9546352,9905786,11508652,11855682,12622018,13403763,14827117,17693557,18094265,17527534,17777226,18238353,18862871,19249088,20344745,21703422,23422272,23596703,25952535
"09000","1","CA05","47","1969"," plus: Personal current transfer receipts","Connecticut state total",947442,1146105,1423565,1505259,1629584,1918257,2545985,2708714,2831877,2920369,3250639,3737562,4313545,4796450,5180951,5416484,5744535,6075996,6280699,6774617,7590145,8487311,9504143,11182172,11666295,12079987,12922512,13259050,13625658,13798281,14139920,14890128
"09000","1","CA05","50","1969"," Wage and salary disbursements","Connecticut state total",9056945,9580507,9827808,10656014,11803729,12822869,13184182,14168301,15579827,17494044,19764026,22147635,24267093,26032858,27952472,31252028,34058144,37073870,41055156,45115724,47170097,48670749,48935449,50715533,51841664,53322759,56049223,59094922,64087294,68515506,72503118,78200652
