"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"11000","2","CA05","10","1969","Personal income","District of Columbia state total",3416263,3752872,4126348,4481767,4747210,5227198,5706689,6077190,6571511,6946323,7358495,7798689,8522002,9240082,9726165,10758638,11454333,12084010,12767620,13968637,14882265,15747515,16423293,17146543,17789490,18151181,18164920,18877580,19761214,20632733,21150854,23146204
"11000","2","CA05","20","1969","Population (persons)","District of Columbia state total",762000,755087,750641,743775,733674,720755,710308,696305,681768,670046,655616,638284,636893,634174,632433,633382,634549,638269,636930,630432,624168,605321,600870,597565,595301,589239,580517,572377,567736,565230,570213,571744
"11000","2","CA05","30","1969","Per capita personal income (dollars)","District of Columbia state total",4483,4970,5497,6026,6470,7252,8034,8728,9639,10367,11224,12218,13381,14570,15379,16986,18051,18932,20046,22157,23843,26015,27333,28694,29883,30804,31291,32981,34807,36503,37093,40484
"11000","2","CA05","35","1969"," Earnings by place of work","District of Columbia state total",6140297,6688324,7270370,7877032,8396223,9236433,10212998,11123327,12200118,13295707,14532290,15961829,17307628,18365789,19307691,21016923,22476203,23736287,25496653,28128632,29738561,31849537,33665676,35604070,37044693,37939806,38367013,38816830,40092715,41681591,44918253,47410676
"11000","2","CA05","36","1969"," less: Contributions for government social insurance","District of Columbia state total",251874,273784,299069,342918,413776,471562,521161,573221,608904,668126,769755,859322,1039604,1114660,1294145,1465498,1681266,1859155,2023206,2318358,2556471,2758293,2937908,3123903,3272725,3418695,3475175,3508904,3626096,3759277,4103707,4335944
"11000","2","CA05","37","1969","  Employee and self-employed contributions for government social insurance","District of Columbia state total",113040,120028,126433,142383,173182,195729,209899,222642,237915,263049,307329,345931,451789,495761,562531,628475,747901,835688,917869,1064323,1187926,1284338,1365123,1433678,1514696,1600708,1644265,1670370,1729787,1793759,1966102,2079425
"11000","2","CA05","38","1969","  Employer contributions for government social insurance","District of Columbia state total",138834,153756,172636,200535,240594,275833,311262,350579,370989,405077,462426,513391,587815,618899,731614,837023,933365,1023467,1105337,1254035,1368545,1473955,1572785,1690225,1758029,1817987,1830910,1838534,1896309,1965518,2137605,2256519
"11000","2","CA05","42","1969"," plus: Adjustment for residence","District of Columbia state total",-3180772,-3481120,-3790812,-4120267,-4404191,-4860528,-5467517,-6032522,-6671856,-7450502,-8391218,-9605220,-10485413,-11110665,-11492193,-12387794,-13157149,-13759552,-14750197,-16248043,-17320295,-18456974,-19610764,-20914241,-21773343,-22284024,-22512478,-22411292,-23091388,-24088953,-26343941,-26939320
"11000","2","CA05","45","1969"," equals: Net earnings by place of residence","District of Columbia state total",2707651,2933420,3180489,3413847,3578256,3904343,4224320,4517584,4919358,5177079,5371317,5497287,5782611,6140464,6521353,7163631,7637788,8117580,8723250,9562231,9861795,10634270,11117004,11565926,11998625,12237087,12379360,12896634,13375231,13833361,14470605,16135412
"11000","2","CA05","46","1969"," plus: Dividends, interest, and rent","District of Columbia state total",474120,517629,570972,621158,656869,727734,741479,791549,865053,959323,1083296,1275795,1605978,1832301,1879071,2180994,2400742,2496885,2529613,2779863,3395250,3378815,3368673,3403738,3399572,3482725,3428775,3420442,3830343,4075171,3953804,4204265
