"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"12000","5","CA05","10","1969","Personal income","Florida state total",24289851,27368496,30669024,35315120,41352845,46502062,50408368,55303284,61969794,71600125,82685939,97623679,113148478,122327994,135878549,151445655,166213719,179572097,194276778,212795490,236759435,253324396,264396460,279478775,295218152,312116052,334574345,357218780,378428642,409670494,430693545,466644105
"12000","5","CA05","20","1969","Population (persons)","Florida state total",6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047118
"12000","5","CA05","30","1969","Per capita personal income (dollars)","Florida state total",3658,3998,4282,4696,5217,5591,5901,6360,6972,7841,8731,9921,11101,11682,12640,13718,14643,15391,16193,17291,18734,19437,19776,20474,21197,21919,23014,24050,24919,26453,27329,29080
"12000","5","CA05","35","1969"," Earnings by place of work","Florida state total",18220819,20190556,22434591,26065547,30696287,33899649,35387521,38770869,43354568,50287932,57506877,66144065,74165530,79394052,88257670,98650747,108275590,117645519,129419510,142336421,151440586,161178093,168116153,179905738,191920933,202631530,216656231,230854926,244500396,265759877,286766870,312145185
"12000","5","CA05","36","1969"," less: Contributions for government social insurance","Florida state total",1132151,1271946,1472192,1796350,2419838,2779856,2858953,3168271,3570467,4244751,5105188,5914647,7230426,7941669,8777067,10140838,11347963,12681327,13789637,15641517,16953751,17989485,18865615,20059023,21342217,22866818,24230653,25534671,27120380,29065433,30987571,33237304
"12000","5","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Florida state total",578512,650862,751738,904911,1216930,1408506,1442792,1559547,1757614,2079798,2512569,2937818,3637933,4032931,4399503,4992130,5763910,6487871,7086814,8103720,8941385,9420737,9937585,10565335,11294555,12162896,12987581,13629404,14468320,15504892,16578791,17696928
"12000","5","CA05","38","1969","  Employer contributions for government social insurance","Florida state total",553639,621084,720454,891439,1202908,1371350,1416161,1608724,1812853,2164953,2592619,2976829,3592493,3908738,4377564,5148708,5584053,6193456,6702823,7537797,8012366,8568748,8928030,9493688,10047662,10703922,11243072,11905267,12652060,13560541,14408780,15540376
"12000","5","CA05","42","1969"," plus: Adjustment for residence","Florida state total",-21564,-19448,-13311,-10604,-9277,-321,-8710,10760,22570,26038,22283,16370,114091,136607,159957,210348,254763,314961,375553,451823,531227,638100,684212,749771,803088,863994,931738,1002733,1097702,1220666,1343534,1505180
"12000","5","CA05","45","1969"," equals: Net earnings by place of residence","Florida state total",17067104,18899162,20949088,24258593,28267172,31119472,32519858,35613358,39806671,46069219,52423972,60245788,67049195,71588990,79640560,88720257,97182390,105279153,116005426,127146727,135018062,143826708,149934750,160596486,171381804,180628706,193357316,206322988,218477718,237915110,257122833,280413061
"12000","5","CA05","46","1969"," plus: Dividends, interest, and rent","Florida state total",5028134,5823823,6532340,7301890,8524969,9885145,10705608,11727696,13450366,15844663,19037149,24032116,30500317,33082366,36925101,42154318,46832831,50380669,52916323,57894122,70481726,75257273,75967269,74678933,76493462,81032267,86835922,93434125,100350732,110700818,110085139,118514158
"12000","5","CA05","47","1969"," plus: Personal current transfer receipts","Florida state total",2194613,2645511,3187596,3754637,4560704,5497445,7182902,7962230,8712757,9686243,11224818,13345775,15598966,17656638,19312888,20571080,22198498,23912275,25355029,27754641,31259647,34240415,38494441,44203356,47342886,50455079,54381107,57461667,59600192,61054566,63485573,67716886
"12000","5","CA05","50","1969"," Wage and salary disbursements","Florida state total",14379741,16109154,17643577,20255023,23863910,26402879,27111666,29110151,32243492,37246897,42749098,49442211,56170565,60702593,66460401,74609311,81963602,89090579,98507597,107521907,114922202,123098308,126850218,135029715,142450482,150694870,160458372,170805003,183014815,199113847,212093667,231193309
"12000","5","CA05","60","1969"," Supplements to wages and salaries","Florida state total",1448148,1703521,2015907,2481411,3108434,3695070,4220394,4917190,5731269,6756285,7879478,9072069,10512431,11655935,13087951,15115545,16689531,18396064,19877323,21782842,23816322,26007279,27437344,29438318,31852399,33972684,35291835,37220359,38343618,40704540,43422601,46424242
"12000","5","CA05","61","1969","  Employer contributions for employee pension and insurance funds","Florida state total",894509,1082437,1295453,1589972,1905526,2323720,2804233,3308466,3918416,4591332,5286859,6095240,6919938,7747197,8710387,9966837,11105478,12202608,13174500,14245045,15803956,17438531,18509314,19944630,21804737,23268762,24048763,25315092,25691558,27143999,29013821,30883866
"12000","5","CA05","62","1969","  Employer contributions for government social insurance","Florida state total",553639,621084,720454,891439,1202908,1371350,1416161,1608724,1812853,2164953,2592619,2976829,3592493,3908738,4377564,5148708,5584053,6193456,6702823,7537797,8012366,8568748,8928030,9493688,10047662,10703922,11243072,11905267,12652060,13560541,14408780,15540376
"12000","5","CA05","70","1969"," Proprietors' income","Florida state total",2392930,2377881,2775107,3329113,3723943,3801700,4055461,4743528,5379807,6284750,6878301,7629785,7482534,7035524,8709318,8925891,9622457,10158876,11034590,13031672,12702062,12072506,13828591,15437705,17618052,17963976,20906024,22829564,23141963,25941490,31250602,34527634
"12000","5","CA05","71","1969","  Farm proprietors' income","Florida state total",394527,336623,442654,526645,582346,632147,720195,710594,679956,770294,806980,1146888,897272,1203010,1894603,1234503,1210619,1364337,1500279,1987193,1743769,1232323,1641755,1682734,1650397,1298915,1311323,1088809,1258259,1694022,1812358,1615190
"12000","5","CA05","72","1969","  Nonfarm proprietors' income","Florida state total",1998403,2041258,2332453,2802468,3141597,3169553,3335266,4032934,4699851,5514456,6071321,6482897,6585262,5832514,6814715,7691388,8411838,8794539,9534311,11044479,10958293,10840183,12186836,13754971,15967655,16665061,19594701,21740755,21883704,24247468,29438244,32912444
"12000","5","CA05","81","1969"," Farm earnings","Florida state total",636046,546054,638645,738107,836472,907728,997884,1034888,1032720,1233509,1310864,1667000,1403462,1776093,2464532,1825703,1831440,1966564,2139607,2698629,2481572,2082271,2456849,2458221,2533670,2163869,2208649,1951071,2163069,2647762,2710076,2589368
"12000","5","CA05","82","1969"," Nonfarm earnings","Florida state total",17584773,19644502,21795946,25327440,29859815,32991921,34389637,37735981,42321848,49054423,56196013,64477065,72762068,77617959,85793138,96825044,106444150,115678955,127279903,139637792,148959014,159095822,165659304,177447517,189387263,200467661,214447582,228903855,242337327,263112115,284056794,309555817
"12000","5","CA05","90","1969","  Private earnings","Florida state total",14115363,15664828,17279636,20226177,24221009,26467019,26797800,29437131,33255866,39136920,45472642,52472395,59059349,62440497,69365176,78728907,86493894,93996694,103551539,113692483,120609238,127609743,131937928,142248219,152699740,162450203,175108888,187753047,199337788,218286086,237301427,260275605
"12000","5","CA05","100","1969","   Agricultural services, forestry, and fishing","Florida state total",171780,189940,214899,243175,272945,302317,364827,433499,452887,537661,611403,689626,686383,702364,769161,857041,975917,1099912,1255284,1356644,1422704,1543664,1657532,1703428,1821435,1923076,1937296,2058527,2177645,2184310,2374268,2509002
"12000","5","CA05","110","1969","    Agricultural services","Florida state total",149797,165408,190616,218006,245650,267264,323623,377616,403036,475751,534306,604088,617997,649059,696112,785436,865190,929309,1097939,1207499,1283844,1405600,1535160,1605033,1724594,1787206,1825242,1946448,2042990,2046468,2220576,2342577
"12000","5","CA05","120","1969","    Forestry and fishing","Florida state total",21983,24532,24283,25169,27295,35053,41204,55883,49851,61910,77097,85538,68386,53305,73049,71605,110727,170603,157345,149145,138860,138064,122372,98395,96841,135870,112054,112079,134655,137842,153692,166425
"12000","5","CA05","121","1969","     Forestry","Florida state total",2512,3275,3814,4644,4428,4902,6332,9092,10138,9197,11540,14960,16535,12403,21878,26638,23141,21326,16720,22137,25119,29032,30339,31690,32278,37698,32286,35129,43433,47995,62208,69425
"12000","5","CA05","122","1969","     Fishing","Florida state total",19471,21257,20469,20525,22867,30151,34872,46791,39713,52713,65557,70578,51851,40902,51171,44967,87586,149277,140625,127008,113741,109032,92033,66705,64563,98172,79768,76950,91222,89847,91484,97000
