"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"16000","7","CA05","10","1969","Personal income","Idaho state total",2307355,2538039,2762492,3154062,3664449,4325382,4636445,5227777,5724036,6606755,7271073,8187363,9023368,9368776,10143957,10887485,11428474,11658791,12241056,13244729,14550077,15796473,16676277,18285881,20079820,21603035,23152337,24693099,25750545,27843927,29684117,32076354
"16000","7","CA05","20","1969","Population (persons)","Idaho state total",707000,717255,738749,763229,782061,807973,831981,856979,883446,910962,932636,947983,962204,973719,981866,990841,994052,990222,984997,985661,994422,1012384,1041316,1071685,1108768,1145140,1177322,1203083,1228520,1252330,1275674,1299551
"16000","7","CA05","30","1969","Per capita personal income (dollars)","Idaho state total",3264,3539,3739,4133,4686,5353,5573,6100,6479,7253,7796,8637,9378,9622,10331,10988,11497,11774,12428,13437,14632,15603,16015,17063,18110,18865,19665,20525,20961,22234,23269,24683
"16000","7","CA05","35","1969"," Earnings by place of work","Idaho state total",1927455,2094454,2248570,2598794,3040917,3592111,3753677,4259018,4657692,5431272,5891095,6429508,6907669,6864939,7575986,8114534,8469597,8600532,9159505,10049048,10971249,12029414,12648311,13968811,15435221,16560305,17517851,18461996,19096944,20612774,22270790,24178608
"16000","7","CA05","36","1969"," less: Contributions for government social insurance","Idaho state total",127194,137135,154409,183371,240226,282461,315594,369936,417963,487472,566998,604802,700043,716651,778645,870167,929616,954669,988272,1120964,1229140,1416658,1547764,1686123,1843753,2031951,2162577,2227815,2324151,2464133,2593668,2819234
"16000","7","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Idaho state total",59841,64291,71564,83631,110012,129504,145200,164186,182169,208522,247328,267926,311620,324701,343568,375327,415013,431433,451966,523546,585682,672964,739559,798135,862085,949965,1002983,1043918,1106161,1172851,1249707,1358320
"16000","7","CA05","38","1969","  Employer contributions for government social insurance","Idaho state total",67353,72844,82845,99740,130214,152957,170394,205750,235794,278950,319670,336876,388423,391950,435077,494840,514603,523236,536306,597418,643458,743694,808205,887988,981668,1081986,1159594,1183897,1217990,1291282,1343961,1460914
"16000","7","CA05","42","1969"," plus: Adjustment for residence","Idaho state total",11958,13564,14723,16157,18423,22141,27512,35291,35464,42452,47727,60869,52258,62169,63338,76583,83426,98864,107558,122781,138139,150757,172821,189661,207640,235294,279044,323993,367895,436092,502548,525133
"16000","7","CA05","45","1969"," equals: Net earnings by place of residence","Idaho state total",1812219,1970883,2108884,2431580,2819114,3331791,3465595,3924373,4275193,4986252,5371824,5885575,6259884,6210457,6860679,7320950,7623407,7744727,8278791,9050865,9880248,10763513,11273368,12472349,13799108,14763648,15634318,16558174,17140688,18584733,20179670,21884507
"16000","7","CA05","46","1969"," plus: Dividends, interest, and rent","Idaho state total",301484,338461,384403,416138,494599,572115,647173,712439,821916,951211,1117699,1367214,1692187,1928700,1982693,2220064,2362019,2392052,2395195,2511704,2845423,3064802,3198662,3346395,3625036,4022705,4425291,4828587,5183454,5689315,5704465,6069715
"16000","7","CA05","47","1969"," plus: Personal current transfer receipts","Idaho state total",193652,228695,269205,306344,350736,421476,523677,590965,626927,669292,781550,934574,1071297,1229619,1300585,1346471,1443048,1522012,1567070,1682160,1824406,1968158,2204247,2467137,2655676,2816682,3092728,3306338,3426403,3569879,3799982,4122132
"16000","7","CA05","50","1969"," Wage and salary disbursements","Idaho state total",1320708,1440640,1555076,1749180,1980271,2262729,2564098,2949688,3325206,3766281,4185717,4474123,4857200,4892549,5184072,5561045,5848701,5908273,6151573,6685165,7231104,7958844,8540901,9330169,10025063,10974632,11777423,12353382,13152525,14011137,15091517,16651412
"16000","7","CA05","60","1969"," Supplements to wages and salaries","Idaho state total",149542,169695,196906,240722,294706,352728,423690,517712,614640,722076,815382,897498,1008143,1031145,1132021,1254258,1327401,1355984,1410168,1529740,1660863,1867044,2055403,2287730,2570601,2788381,2911046,2956594,3011205,3176526,3378171,3667391
"16000","7","CA05","61","1969","  Employer contributions for employee pension and insurance funds","Idaho state total",82189,96851,114061,140982,164492,199771,253296,311962,378846,443126,495712,560622,619720,639195,696944,759418,812798,832748,873862,932322,1017405,1123350,1247198,1399742,1588933,1706395,1751452,1772697,1793215,1885244,2034210,2206477
"16000","7","CA05","62","1969","  Employer contributions for government social insurance","Idaho state total",67353,72844,82845,99740,130214,152957,170394,205750,235794,278950,319670,336876,388423,391950,435077,494840,514603,523236,536306,597418,643458,743694,808205,887988,981668,1081986,1159594,1183897,1217990,1291282,1343961,1460914
"16000","7","CA05","70","1969"," Proprietors' income","Idaho state total",457205,484119,496588,608892,765940,976654,765889,791618,717846,942915,889996,1057887,1042326,941245,1259893,1299231,1293495,1336275,1597764,1834143,2079282,2203526,2052007,2350912,2839557,2797292,2829382,3152020,2933214,3425111,3801102,3859805
