"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"22000","5","CA05","10","1969","Personal income","Louisiana state total",10446182,11275927,12283891,13453033,15066841,17165988,19270639,21925943,24524843,28154663,32055218,37022488,42794155,45969740,47781026,51025432,53003773,52874001,53079580,55879595,59384624,64046113,67759418,72365694,75792010,81042157,84804279,88661548,93229398,98217379,100180472,105331887
"22000","5","CA05","20","1969","Population (persons)","Louisiana state total",3619000,3650209,3710666,3761967,3788840,3820720,3886963,3951636,4015582,4073288,4139316,4223101,4283297,4352609,4395311,4400474,4408113,4406922,4344151,4288859,4252896,4221532,4253279,4293003,4316428,4347481,4378779,4398877,4421071,4440344,4460811,4468979
"22000","5","CA05","30","1969","Per capita personal income (dollars)","Louisiana state total",2886,3089,3310,3576,3977,4493,4958,5549,6107,6912,7744,8767,9991,10561,10871,11595,12024,11998,12219,13029,13963,15171,15931,16857,17559,18641,19367,20155,21088,22119,22458,23570
"22000","5","CA05","35","1969"," Earnings by place of work","Louisiana state total",8895146,9441358,10246175,11281397,12701782,14336399,15920921,18371377,20676060,23942015,27239590,30863258,35351079,36933504,37290172,39555924,40297919,39393591,39653766,42045232,43955365,47545245,50105552,53208897,55280834,58654150,61581303,64500607,68192690,72047439,74016318,77540350
"22000","5","CA05","36","1969"," less: Contributions for government social insurance","Louisiana state total",568452,591363,657198,756304,959593,1117096,1241932,1452698,1625400,1929082,2273381,2595431,3172976,3374285,3378347,3663564,3775299,3646543,3608782,3982556,4213515,4673773,5028261,5256410,5493183,5924507,6213226,6506961,6906088,7336145,7437399,7682821
"22000","5","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Louisiana state total",284925,297664,328709,371726,471648,552729,612963,700141,772327,906294,1077204,1245431,1532928,1630609,1627903,1727626,1844543,1809067,1810200,2011428,2174669,2404005,2601539,2715188,2862165,3101001,3264339,3389568,3606701,3825405,3895013,4017770
"22000","5","CA05","38","1969","  Employer contributions for government social insurance","Louisiana state total",283527,293699,328489,384578,487945,564367,628969,752557,853073,1022788,1196177,1350000,1640048,1743676,1750444,1935938,1930756,1837476,1798582,1971128,2038846,2269768,2426722,2541222,2631018,2823506,2948887,3117393,3299387,3510740,3542386,3665051
"22000","5","CA05","42","1969"," plus: Adjustment for residence","Louisiana state total",3621,3639,-8523,-21026,-37196,-54245,-82826,-112904,-139407,-187313,-232624,-336987,-363096,-341769,-320762,-313471,-282073,-223586,-188350,-169151,-135624,-111104,-128587,-128036,-131547,-156844,-182865,-205834,-220611,-240914,-233477,-244722
"22000","5","CA05","45","1969"," equals: Net earnings by place of residence","Louisiana state total",8330315,8853634,9580454,10504067,11704993,13165058,14596163,16805775,18911253,21825620,24733585,27930840,31815007,33217450,33591063,35578889,36240547,35523462,35856634,37893525,39606226,42760368,44948704,47824451,49656104,52572799,55185212,57787812,61065991,64470380,66345442,69612807
"22000","5","CA05","46","1969"," plus: Dividends, interest, and rent","Louisiana state total",1154451,1268287,1385061,1498604,1675939,2025839,2234239,2429699,2718780,3177463,3734632,4814495,6202408,7241308,7917221,8914569,9727701,9629120,9402911,9792036,10816551,11415004,11537179,11593061,11872310,12696195,13711617,14713784,15712442,17064316,16666590,18101680
"22000","5","CA05","47","1969"," plus: Personal current transfer receipts","Louisiana state total",961416,1154006,1318376,1450362,1685909,1975091,2440237,2690469,2894810,3151580,3587001,4277153,4776740,5510982,6272742,6531974,7035525,7721419,7820035,8194034,8961847,9870741,11273535,12948182,14263596,15773163,15907450,16159952,16450965,16682683,17168440,17617400
"22000","5","CA05","50","1969"," Wage and salary disbursements","Louisiana state total",7041650,7431175,7947602,8703610,9605139,10800550,12116881,13849676,15508033,18015265,20424280,23629209,27184888,28478850,28221388,29628146,30088220,28987136,29018737,30711296,31992853,34606825,36637844,38477782,39713287,42127183,44567590,46537338,49692000,53108794,54060029,56104129
"22000","5","CA05","60","1969"," Supplements to wages and salaries","Louisiana state total",778017,864371,976913,1125008,1323886,1578983,1895721,2333596,2743722,3283580,3791197,4441377,5207346,5555617,5740601,6157809,6307669,6163426,6160524,6419577,6785398,7501222,8207706,8896245,9292338,9876465,10099878,10225588,10375697,10873946,11299984,11785235
"22000","5","CA05","61","1969","  Employer contributions for employee pension and insurance funds","Louisiana state total",494490,570672,648424,740430,835941,1014616,1266752,1581039,1890649,2260792,2595020,3091377,3567298,3811941,3990157,4221871,4376913,4325950,4361942,4448449,4746552,5231454,5780984,6355023,6661320,7052959,7150991,7108195,7076310,7363206,7757598,8120184
"22000","5","CA05","62","1969","  Employer contributions for government social insurance","Louisiana state total",283527,293699,328489,384578,487945,564367,628969,752557,853073,1022788,1196177,1350000,1640048,1743676,1750444,1935938,1930756,1837476,1798582,1971128,2038846,2269768,2426722,2541222,2631018,2823506,2948887,3117393,3299387,3510740,3542386,3665051
