"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"25000","1","CA05","10","1969","Personal income","Massachusetts state total",23646292,25505040,27218159,29396613,32046588,34725117,37185863,40200845,43720391,48369057,53849285,60735840,67749408,74405385,80857889,91342302,98785505,106265227,115125421,126338668,132913486,137299943,140312546,147234686,152619274,160869441,169885790,180937922,192454583,207008190,219030501,243131953
"25000","1","CA05","20","1969","Population (persons)","Massachusetts state total",5650000,5703706,5738589,5762122,5783809,5776992,5762138,5748868,5744097,5742923,5746188,5746075,5768685,5771222,5799405,5840774,5880734,5902677,5935205,5979983,6015478,6022639,6018470,6028709,6060569,6095241,6141445,6179756,6226058,6271838,6317345,6363015
"25000","1","CA05","30","1969","Per capita personal income (dollars)","Massachusetts state total",4185,4472,4743,5102,5541,6011,6453,6993,7611,8422,9371,10570,11744,12892,13942,15639,16798,18003,19397,21127,22095,22797,23314,24422,25182,26393,27662,29279,30911,33006,34671,38210
"25000","1","CA05","35","1969"," Earnings by place of work","Massachusetts state total",19326574,20656412,21838954,23728064,26086906,27772336,28734083,31513095,34638065,38837290,43414409,48155291,52699644,56749434,62552168,71263888,78020195,84652535,92966482,102344633,106012374,107329535,107599495,114069742,118866690,125378291,132411610,141237575,150794678,163010493,176017654,197027052
"25000","1","CA05","36","1969"," less: Contributions for government social insurance","Massachusetts state total",1258931,1322955,1443421,1646741,2068743,2269079,2289795,2549859,2811252,3241865,3788402,4217395,4993399,5497218,6141123,7225076,8002241,8882970,9650809,10771468,11133172,11134968,11309850,11893355,12487282,13273069,14054184,14817755,15891893,16936970,18169539,20076443
"25000","1","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Massachusetts state total",587060,621085,676482,750507,941926,1044405,1058894,1143074,1249034,1418237,1677060,1897604,2283154,2536506,2799738,3201594,3686971,4156177,4578254,5153211,5458212,5493139,5645124,5912373,6202813,6609840,7064435,7459174,8036841,8592050,9265814,10208986
"25000","1","CA05","38","1969","  Employer contributions for government social insurance","Massachusetts state total",671871,701870,766939,896234,1126817,1224674,1230901,1406785,1562218,1823628,2111342,2319791,2710245,2960712,3341385,4023482,4315270,4726793,5072555,5618257,5674960,5641829,5664726,5980982,6284469,6663229,6989749,7358581,7855052,8344920,8903725,9867457
"25000","1","CA05","42","1969"," plus: Adjustment for residence","Massachusetts state total",-125974,-108141,-111232,-110109,-134339,-150472,-155278,-182485,-224471,-287268,-359976,-481831,-595771,-725413,-902480,-1175350,-1359880,-1488783,-1665091,-1897722,-2019252,-2075610,-2279974,-2383255,-2591658,-2799016,-2864683,-3125870,-3405560,-3635864,-4209017,-5081553
"25000","1","CA05","45","1969"," equals: Net earnings by place of residence","Massachusetts state total",17941669,19225316,20284301,21971214,23883824,25352785,26289010,28780751,31602342,35308157,39266031,43456065,47110474,50526803,55508565,62863462,68658074,74280782,81650582,89675443,92859950,94118957,94009671,99793132,103787750,109306206,115492743,123293950,131497225,142437659,153639098,171869056
"25000","1","CA05","46","1969"," plus: Dividends, interest, and rent","Massachusetts state total",3547919,3729225,3913817,4111395,4446506,4967448,5165294,5483062,6019113,6591460,7420746,9106290,11348403,13835456,14705371,17284128,18413390,19661354,20803310,23020591,24674966,25949552,26542037,26821973,27610467,29117188,30635225,33159397,35616614,39106062,39000194,43439571
"25000","1","CA05","47","1969"," plus: Personal current transfer receipts","Massachusetts state total",2156704,2550499,3020041,3314004,3716258,4404884,5731559,5937032,6098936,6469440,7162508,8173485,9290531,10043126,10643953,11194712,11714041,12323091,12671529,13642634,15378570,17231434,19760838,20619581,21221057,22446047,23757822,24484575,25340744,25464469,26391209,27823326
"25000","1","CA05","50","1969"," Wage and salary disbursements","Massachusetts state total",15923932,17027257,17881874,19342281,21147423,22490672,23099040,24912797,27188154,30232908,33772723,37468321,41064731,44170952,48270784,54637487,59852810,64978184,71270600,78169983,81046897,82353141,81605336,85257040,88235667,92297421,98273882,104565183,112600678,121970562,132682980,149378828
"25000","1","CA05","60","1969"," Supplements to wages and salaries","Massachusetts state total",1733231,1924462,2153191,2477733,2899185,3209864,3472072,4061724,4613195,5315080,6024629,6868193,7740394,8624012,9658675,11112483,11950018,12946410,13950706,15190109,15877771,16271307,16912439,18036405,19134138,20011828,20454840,21030607,21737498,23197850,24998032,28029894
"25000","1","CA05","61","1969","  Employer contributions for employee pension and insurance funds","Massachusetts state total",1061360,1222592,1386252,1581499,1772368,1985190,2241171,2654939,3050977,3491452,3913287,4548402,5030149,5663300,6317290,7089001,7634748,8219617,8878151,9571852,10202811,10629478,11247713,12055423,12849669,13348599,13465091,13672026,13882446,14852930,16094307,18162437
"25000","1","CA05","62","1969","  Employer contributions for government social insurance","Massachusetts state total",671871,701870,766939,896234,1126817,1224674,1230901,1406785,1562218,1823628,2111342,2319791,2710245,2960712,3341385,4023482,4315270,4726793,5072555,5618257,5674960,5641829,5664726,5980982,6284469,6663229,6989749,7358581,7855052,8344920,8903725,9867457
"25000","1","CA05","70","1969"," Proprietors' income","Massachusetts state total",1669411,1704693,1803889,1908050,2040298,2071800,2162971,2538574,2836716,3289302,3617057,3818777,3894519,3954470,4622709,5513918,6217367,6727941,7745176,8984541,9087706,8705087,9081720,10776297,11496885,13069042,13682888,15641785,16456502,17842081,18336642,19618330
"25000","1","CA05","71","1969","  Farm proprietors' income","Massachusetts state total",32722,33817,27082,26935,27477,26498,22787,28105,23052,49133,32959,47939,61810,77594,110192,125979,100725,117317,92795,104860,80489,68235,89178,91048,75893,63126,49497,67232,65114,4727,15093,23337
"25000","1","CA05","72","1969","  Nonfarm proprietors' income","Massachusetts state total",1636689,1670876,1776807,1881115,2012821,2045302,2140184,2510469,2813664,3240169,3584098,3770838,3832709,3876876,4512517,5387939,6116642,6610624,7652381,8879681,9007217,8636852,8992542,10685249,11420992,13005916,13633391,15574553,16391388,17837354,18321549,19594993
"25000","1","CA05","81","1969"," Farm earnings","Massachusetts state total",66308,68954,63479,62663,70691,69693,69023,76482,79495,103523,90475,105796,116491,131452,164132,182376,159799,174610,153992,173707,152901,153065,172456,171306,164502,150158,145978,166085,168048,107966,109188,131173
"25000","1","CA05","82","1969"," Nonfarm earnings","Massachusetts state total",19260266,20587458,21775475,23665401,26016215,27702643,28665060,31436613,34558570,38733767,43323934,48049495,52583153,56617982,62388036,71081512,77860396,84477925,92812490,102170926,105859473,107176470,107427039,113898436,118702188,125228133,132265632,141071490,150626630,162902527,175908466,196895879
"25000","1","CA05","90","1969","  Private earnings","Massachusetts state total",16488448,17476416,18316130,19843408,21773815,23211767,23826408,26182407,28775582,32467167,36573154,40687970,44816023,48456289,53612232,61533301,67495078,73304129,80767748,88956292,91904035,92461565,92455161,98600725,102552864,108372736,114907453,122988884,131950221,143617540,155335034,175464338
"25000","1","CA05","100","1969","   Agricultural services, forestry, and fishing","Massachusetts state total",72488,77983,86766,92430,103604,108805,120237,135388,137045,183902,215497,238388,204773,229864,287671,288555,424001,507847,548329,630043,588854,566470,542363,513824,526335,527683,540380,585945,639722,662832,755859,806404
"25000","1","CA05","110","1969","    Agricultural services","Massachusetts state total",50494,53306,61264,62594,71701,71553,73902,77783,78334,95851,109945,123817,126281,154540,173265,210800,240065,279791,388161,411061,408722,379707,372548,383609,414509,425883,435122,478504,527417,551419,628605,681500
