"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"24000","2","CA05","10","1969","Personal income","Maryland state total",16242905,17950763,19633227,21552042,23852683,26322040,28641254,31430775,34286501,38032962,42112435,47196763,52570855,57107415,61599523,68536873,74735643,80459786,87051640,95336714,102738055,108864934,113328579,118712960,123327643,129493261,134951675,141547604,149562835,159994034,169278462,184173788
"24000","2","CA05","20","1969","Population (persons)","Maryland state total",3868000,3938051,4022507,4081121,4109038,4133341,4157208,4172132,4194639,4211641,4223398,4227643,4261905,4282923,4313329,4365246,4413072,4486956,4565558,4657903,4727303,4799770,4867641,4923368,4971889,5023060,5070033,5111986,5157328,5204464,5254509,5310579
"24000","2","CA05","30","1969","Per capita personal income (dollars)","Maryland state total",4199,4558,4881,5281,5805,6368,6890,7534,8174,9030,9971,11164,12335,13334,14281,15701,16935,17932,19067,20468,21733,22681,23282,24112,24805,25780,26618,27689,29000,30742,32216,34681
"24000","2","CA05","35","1969"," Earnings by place of work","Maryland state total",11997277,13063736,14167825,15608262,17468334,19115858,20310825,22453131,24468443,27278977,30089426,32832769,36105450,38000861,41414463,46279994,50695267,55038637,60347136,66446298,70810468,75065801,76981604,80333635,83537536,87742717,91646932,95538917,101857503,108785285,116222688,125949356
"24000","2","CA05","36","1969"," less: Contributions for government social insurance","Maryland state total",750414,814501,916305,1059121,1352592,1531073,1622113,1806095,1971933,2257523,2607351,2861069,3380602,3617203,4071508,4673098,5285383,5838269,6332181,7259182,7846967,8522211,8827717,9135906,9478940,10046028,10443495,10804973,11464433,12141873,12883558,13767536
"24000","2","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Maryland state total",365201,394815,441453,501988,645496,732004,773730,839693,911832,1037773,1212743,1347958,1614620,1741818,1941478,2187604,2553549,2836974,3080283,3570227,3907484,4240971,4415924,4552221,4738707,5045075,5287450,5497916,5836778,6202582,6624204,7062216
"24000","2","CA05","38","1969","  Employer contributions for government social insurance","Maryland state total",385213,419686,474852,557133,707096,799069,848383,966402,1060101,1219750,1394608,1513111,1765982,1875385,2130030,2485494,2731834,3001295,3251898,3688955,3939483,4281240,4411793,4583685,4740233,5000953,5156045,5307057,5627655,5939291,6259354,6705320
"24000","2","CA05","42","1969"," plus: Adjustment for residence","Maryland state total",2154380,2511736,2764053,3000359,3202891,3477771,3863797,4179147,4586034,4951688,5380554,5947404,6395277,6963621,7347408,8032725,8674103,9290524,10048941,11131893,11963907,12449768,13121966,13956962,14351043,14822395,14863094,15224940,15201304,16522343,17414424,19706119
"24000","2","CA05","45","1969"," equals: Net earnings by place of residence","Maryland state total",13401243,14760971,16015573,17549500,19318633,21062556,22552509,24826183,27082544,29973142,32862629,35919104,39120125,41347279,44690363,49639621,54083987,58490892,64063896,70319009,74927408,78993358,81275853,85154691,88409639,92519084,96066531,99958884,105594374,113165755,120753554,131887939
"24000","2","CA05","46","1969"," plus: Dividends, interest, and rent","Maryland state total",1897244,2063482,2244543,2428738,2717707,3154544,3441680,3753836,4166538,4709011,5447826,6751019,8263690,9986527,10613810,12261205,13636235,14483816,15215923,16732191,18788912,19988230,20930572,21086302,21902341,23377658,24658975,26403995,28467279,30645738,31339184,34110825
"24000","2","CA05","47","1969"," plus: Personal current transfer receipts","Maryland state total",944418,1126310,1373111,1573804,1816343,2104940,2647065,2850756,3037419,3350809,3801980,4526640,5187040,5773609,6295350,6636047,7015421,7485078,7771821,8285514,9021735,9883346,11122154,12471967,13015663,13596519,14226169,15184725,15501182,16182541,17185724,18175024
"24000","2","CA05","50","1969"," Wage and salary disbursements","Maryland state total",9784500,10671181,11479844,12584928,13988425,15305002,16039669,17493286,18910772,21067375,23222289,25405200,27898838,29283192,31707898,35076210,38372686,41700836,45872847,50342087,53867319,57162072,58024756,60083736,61978364,65018639,68006196,71333678,76414142,81902739,87502392,94531440
"24000","2","CA05","60","1969"," Supplements to wages and salaries","Maryland state total",1037526,1187599,1401470,1609943,1890252,2235822,2585385,3051739,3549138,3990108,4512336,5115130,5798010,6265545,7042073,7959447,8637807,9371723,10032194,10752110,11549288,12433790,13037303,13864884,14571457,15388251,15668303,15896055,16728571,17715855,18590093,20256860
"24000","2","CA05","61","1969","  Employer contributions for employee pension and insurance funds","Maryland state total",652313,767913,926618,1052810,1183156,1436753,1737002,2085337,2489037,2770358,3117728,3602019,4032028,4390160,4912043,5473953,5905973,6370428,6780296,7063155,7609805,8152550,8625510,9281199,9831224,10387298,10512258,10588998,11100916,11776564,12330739,13551540
"24000","2","CA05","62","1969","  Employer contributions for government social insurance","Maryland state total",385213,419686,474852,557133,707096,799069,848383,966402,1060101,1219750,1394608,1513111,1765982,1875385,2130030,2485494,2731834,3001295,3251898,3688955,3939483,4281240,4411793,4583685,4740233,5000953,5156045,5307057,5627655,5939291,6259354,6705320
