"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"27000","4","CA05","10","1969","Personal income","Minnesota state total",14186418,15450998,16446618,17887464,21061035,22705175,24462478,26609194,29999716,33720021,37603005,41786053,46288009,49638606,52384987,59248577,62859072,66482823,70884726,74544174,81312831,86524470,89388833,95783944,98413593,106052192,112514884,121927452,129062064,140903603,148941855,160833329
"27000","4","CA05","20","1969","Population (persons)","Minnesota state total",3758000,3815249,3851901,3866878,3885164,3898450,3925793,3956602,3979844,4004676,4038150,4085017,4111733,4131450,4141458,4157704,4184301,4205213,4235136,4296163,4338056,4389857,4440859,4495572,4555954,4610355,4660180,4712827,4763390,4813412,4873481,4933958
"27000","4","CA05","30","1969","Per capita personal income (dollars)","Minnesota state total",3775,4050,4270,4626,5421,5824,6231,6725,7538,8420,9312,10229,11258,12015,12649,14250,15023,15810,16737,17351,18744,19710,20129,21306,21601,23003,24144,25871,27095,29273,30562,32597
"27000","4","CA05","35","1969"," Earnings by place of work","Minnesota state total",11896579,12821853,13526968,14779441,17640360,18691469,19675700,21477494,24417876,27777113,30982632,33313383,35999694,37328593,39143499,45177574,48150430,51227381,55504327,58925718,63522882,67406381,69598922,75619622,77685248,83502990,87586329,94881757,100199534,109894351,117753281,127520465
"27000","4","CA05","36","1969"," less: Contributions for government social insurance","Minnesota state total",782145,826312,911197,1038061,1336100,1527652,1615411,1847247,2045012,2411517,2857675,3111156,3619506,3852642,4161054,4796483,5234354,5701605,6107063,6854351,7339074,7901098,8381122,9018984,9497185,10217803,10799190,11454677,12128111,13052015,13933079,14914142
"27000","4","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Minnesota state total",393050,417410,458641,514236,658170,756606,801466,891538,971363,1134564,1350621,1488767,1753093,1877087,1996990,2250485,2536569,2779034,3008535,3405474,3708704,3983871,4242097,4554401,4798529,5180089,5495633,5837404,6192186,6657035,7145058,7622404
"27000","4","CA05","38","1969","  Employer contributions for government social insurance","Minnesota state total",389095,408902,452556,523825,677930,771046,813945,955709,1073649,1276953,1507054,1622389,1866413,1975555,2164064,2545998,2697785,2922571,3098528,3448877,3630370,3917227,4139025,4464583,4698656,5037714,5303557,5617273,5935925,6394980,6788021,7291738
"27000","4","CA05","42","1969"," plus: Adjustment for residence","Minnesota state total",-32885,-28550,-28146,-30387,-37612,-33774,-33603,-42738,-55004,-70156,-87913,-91893,-130448,-152892,-182284,-237528,-285697,-324762,-375255,-454640,-438205,-466658,-473911,-509347,-514273,-559397,-604419,-672174,-764261,-821750,-930463,-1023020
"27000","4","CA05","45","1969"," equals: Net earnings by place of residence","Minnesota state total",11081549,11966991,12587625,13710993,16266648,17130043,18026686,19587509,22317860,25295440,28037044,30110334,32249740,33323059,34800161,40143563,42630379,45201014,49022009,51616727,55745603,59038625,60743889,66091291,67673790,72725790,76182720,82754906,87307162,96020586,102889739,111583303
"27000","4","CA05","46","1969"," plus: Dividends, interest, and rent","Minnesota state total",1943363,2110803,2265475,2414114,2728680,3151697,3512112,3812777,4307023,4801104,5514009,6818476,8463643,10047279,10826639,12015321,12694928,13410917,13742007,14355963,16251116,17472001,17869406,17978256,18376708,20325721,22574771,24775538,27137828,29750441,30122534,32175382
"27000","4","CA05","47","1969"," plus: Personal current transfer receipts","Minnesota state total",1161506,1373204,1593518,1762357,2065707,2423435,2923680,3208908,3374833,3623477,4051952,4857243,5574626,6268268,6758187,7089693,7533765,7870892,8120710,8571484,9316112,10013844,10775538,11714397,12363095,13000681,13757393,14397008,14617074,15132576,15929582,17074644
"27000","4","CA05","50","1969"," Wage and salary disbursements","Minnesota state total",9067461,9729445,10338849,11110799,12353979,13609597,14610377,16152221,17814648,20259941,23095989,25242728,27374628,28642823,30384325,33942874,36349705,38431976,41379013,44787873,47507337,50605455,52655077,56702473,58884335,62267373,66386876,71264795,76379989,83039314,88602481,95709872
"27000","4","CA05","60","1969"," Supplements to wages and salaries","Minnesota state total",986675,1094845,1221345,1414752,1697841,1960210,2242702,2687406,3124426,3709432,4287589,4701522,5195343,5513090,5964123,6663737,7188873,7754433,8252443,8801355,9504270,10243696,11014982,12021517,12877801,13593289,14068489,14380188,14744764,15828252,16984101,18458172
"27000","4","CA05","61","1969","  Employer contributions for employee pension and insurance funds","Minnesota state total",597580,685943,768789,890927,1019911,1189164,1428757,1731697,2050777,2432479,2780535,3079133,3328930,3537535,3800059,4117739,4491088,4831862,5153915,5352478,5873900,6326469,6875957,7556934,8179145,8555575,8764932,8762915,8808839,9433272,10196080,11166434
"27000","4","CA05","62","1969","  Employer contributions for government social insurance","Minnesota state total",389095,408902,452556,523825,677930,771046,813945,955709,1073649,1276953,1507054,1622389,1866413,1975555,2164064,2545998,2697785,2922571,3098528,3448877,3630370,3917227,4139025,4464583,4698656,5037714,5303557,5617273,5935925,6394980,6788021,7291738
"27000","4","CA05","70","1969"," Proprietors' income","Minnesota state total",1842443,1997563,1966774,2253890,3588540,3121662,2822621,2637867,3478802,3807740,3599054,3369133,3429723,3172680,2795051,4570963,4611852,5040972,5872871,5336490,6511275,6557230,5928863,6895632,5923112,7642328,7130964,9236774,9074781,11026785,12166699,13352421
"27000","4","CA05","71","1969","  Farm proprietors' income","Minnesota state total",647812,797753,707578,870369,2058163,1497257,1081797,575229,1301847,1424852,1024580,728055,815068,569964,-118283,1210479,1106603,1426438,1925106,1002670,1769164,1611951,857377,1034133,-192695,953275,130303,1504822,448817,887300,768442,861465
"27000","4","CA05","72","1969","  Nonfarm proprietors' income","Minnesota state total",1194631,1199810,1259196,1383521,1530377,1624405,1740824,2062638,2176955,2382888,2574474,2641078,2614655,2602716,2913334,3360484,3505249,3614534,3947765,4333820,4742111,4945279,5071486,5861499,6115807,6689053,7000661,7731952,8625964,10139485,11398257,12490956
"27000","4","CA05","81","1969"," Farm earnings","Minnesota state total",720656,876002,796163,959514,2178925,1644008,1265566,783585,1502782,1627031,1246561,960378,1043635,820741,118649,1443622,1340246,1641186,2141973,1259200,2050616,1956322,1207849,1404298,189581,1342156,523882,1921568,906828,1399486,1256566,1437439
"27000","4","CA05","82","1969"," Nonfarm earnings","Minnesota state total",11175923,11945851,12730805,13819927,15461435,17047461,18410134,20693909,22915094,26150082,29736071,32353005,34956059,36507852,39024850,43733952,46810184,49586195,53362354,57666518,61472266,65450059,68391073,74215324,77495667,82160834,87062447,92960189,99292706,108494865,116496715,126083026
"27000","4","CA05","90","1969","  Private earnings","Minnesota state total",9495551,10040273,10582428,11435758,12858859,14197673,15196370,17210358,19136417,22035586,25259751,27398724,29513847,30650253,32818418,36951017,39465407,41764736,45017985,48685715,51966691,55045318,57362065,62467691,65247412,69295708,73724311,79034291,85029892,93642167,100873866,109400484
"27000","4","CA05","100","1969","   Agricultural services, forestry, and fishing","Minnesota state total",52529,55528,58306,60877,70224,81129,83155,94784,91570,117745,135812,157022,159706,172152,182580,206245,201635,202803,267850,268129,272537,297813,308607,325098,336604,356087,363912,384503,404255,"(D)",559975,554746
"27000","4","CA05","110","1969","    Agricultural services","Minnesota state total",50679,52660,55738,57187,65245,75373,77913,87151,85856,111444,128674,148028,152018,169616,168735,188888,186794,186159,257587,255310,259931,283754,295943,311941,323367,341898,353359,375284,394294,"(D)",541899,534459
"27000","4","CA05","120","1969","    Forestry and fishing","Minnesota state total",1850,2868,2568,3690,4979,5756,5242,7633,5714,6301,7138,8994,7688,2536,13845,17357,14841,16644,10263,12819,12606,14059,12664,13157,13237,14189,10553,9219,9961,"(D)",18076,20287
"27000","4","CA05","121","1969","     Forestry","Minnesota state total",1399,2090,1885,2724,3866,4252,4065,5105,2501,3018,3039,3972,4548,713,11335,15628,9830,8876,1948,5263,6159,8173,6706,6344,6494,8724,4814,3235,4132,"(D)",10101,10319
"27000","4","CA05","122","1969","     Fishing","Minnesota state total",451,778,683,966,1113,1504,1177,2528,3213,3283,4099,5022,3140,1823,2510,1729,5011,7768,8315,7556,6447,5886,5958,6813,6743,5465,5739,5984,5829,6210,7975,9968
"27000","4","CA05","200","1969","   Mining","Minnesota state total",151293,161397,162712,177588,205746,246987,303598,341163,323791,453786,542973,573788,639621,458852,343416,404903,400949,278882,329000,367123,400874,423419,406239,412554,400078,441826,461629,494841,512339,"(D)",489726,517166
"27000","4","CA05","210","1969","    Metal mining","Minnesota state total",130299,139611,142105,149365,171305,191163,232024,262149,231258,370793,441680,430314,493303,312065,235039,269155,242289,194465,189515,243007,278466,306347,318292,315922,301232,329266,352688,371303,378166,383843,363187,375947
"27000","4","CA05","220","1969","    Coal mining","Minnesota state total",141,142,217,794,1762,4455,2694,2088,8184,9001,9507,3877,3326,4357,4049,6973,5872,-8587,-7901,18639,8020,12720,17750,14639,11937,10678,9255,7254,6223,"(D)","(D)",7160
"27000","4","CA05","230","1969","    Oil and gas extraction","Minnesota state total",7022,6479,4097,8944,12142,27657,37962,44113,51701,38221,51089,99831,103313,101472,55773,71864,94878,41744,94442,43040,46122,33335,3994,9532,13970,11214,8561,16052,22364,"(D)","(D)","(D)"
"27000","4","CA05","240","1969","    Nonmetallic minerals, except fuels","Minnesota state total",13831,15165,16293,18485,20537,23712,30918,32813,32648,35771,40697,39766,39679,40958,48555,56911,57910,51260,52944,62437,68266,71017,66203,72461,72939,90668,91125,100232,105586,128255,103509,"(D)"
"27000","4","CA05","300","1969","   Construction","Minnesota state total",898347,923764,1010921,1027144,1123304,1206215,1275062,1517279,1610580,1960126,2219194,2292999,2135189,2063199,2197999,2628094,2813478,3144239,3493617,3520496,3714771,3865925,3793388,4181076,4324035,4684761,4907820,5433062,5901781,6692870,7742024,8572292
"27000","4","CA05","310","1969","    General building contractors","Minnesota state total",254449,250971,268067,266760,296828,338225,327637,402297,432010,566291,673282,640186,564784,526316,577955,682161,685278,815186,867821,862732,844354,917714,841259,862895,902417,970503,1024300,1131148,1226529,1433622,1622672,1738573
