"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"28000","5","CA05","10","1969","Personal income","Mississippi state total",5333721,5837672,6467328,7369908,8453057,9322939,10095563,11535384,12873218,14352154,16280309,17689763,19911137,21046079,22005776,24174231,25512186,26387838,27953468,29843534,32175507,33826265,35730635,38440846,40957404,44399454,46764005,49683331,52428584,55948668,58137043,61396499
"28000","5","CA05","20","1969","Population (persons)","Mississippi state total",2220000,2221128,2265529,2307291,2349802,2378603,2399924,2430324,2459810,2488033,2507967,2525342,2539032,2556776,2567719,2578053,2588103,2593596,2588545,2580349,2574272,2578897,2598733,2623734,2655100,2688992,2722659,2748085,2777004,2804834,2828408,2848310
"28000","5","CA05","30","1969","Per capita personal income (dollars)","Mississippi state total",2403,2628,2855,3194,3597,3920,4207,4746,5233,5768,6491,7005,7842,8231,8570,9377,9857,10174,10799,11566,12499,13117,13749,14651,15426,16512,17176,18079,18880,19947,20555,21555
"28000","5","CA05","35","1969"," Earnings by place of work","Mississippi state total",4508060,4825686,5293498,6087400,7012761,7528379,7885256,9161515,10288425,11444511,12894757,13338912,14721830,15199635,15627333,17338558,18239088,18886957,20225452,21709105,22853178,24184280,25382762,27384501,29438520,32194839,33593564,35396333,37247319,39978120,42010843,43644468
"28000","5","CA05","36","1969"," less: Contributions for government social insurance","Mississippi state total",291440,310643,351414,421677,538765,616043,653670,757207,851092,983554,1130783,1216474,1424942,1500370,1594013,1773519,1914032,2032376,2125394,2379252,2558248,2811549,2990098,3188514,3452335,3796613,3985182,4114520,4333366,4617224,4826625,4963314
"28000","5","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Mississippi state total",147094,157534,176355,208913,265937,305061,324298,365222,405051,463788,537764,587559,692363,739846,781747,855255,953063,1024345,1080593,1220359,1338598,1459908,1561379,1661050,1793445,1979012,2095573,2161126,2279707,2417958,2539270,2609939
"28000","5","CA05","38","1969","  Employer contributions for government social insurance","Mississippi state total",144346,153109,175059,212764,272828,310982,329372,391985,446041,519766,593019,628915,732579,760524,812266,918264,960969,1008031,1044801,1158893,1219650,1351641,1428719,1527464,1658890,1817601,1889609,1953394,2053659,2199266,2287355,2353375
"28000","5","CA05","42","1969"," plus: Adjustment for residence","Mississippi state total",34835,36164,57696,72754,93467,122754,149741,181859,222505,278818,336813,424846,453863,471917,528885,592265,621428,605887,643239,683335,725471,749175,809493,827227,845577,842784,930260,971830,1109988,1188336,1284671,1478657
"28000","5","CA05","45","1969"," equals: Net earnings by place of residence","Mississippi state total",4251455,4551207,4999780,5738477,6567463,7035090,7381327,8586167,9659838,10739775,12100787,12547284,13750751,14171182,14562205,16157304,16946484,17460468,18743297,20013188,21020401,22121906,23202157,25023214,26831762,29241010,30538642,32253643,34023941,36549232,38468889,40159811
"28000","5","CA05","46","1969"," plus: Dividends, interest, and rent","Mississippi state total",530602,597503,653542,713273,820615,975501,1083197,1170853,1311425,1518370,1788804,2278085,2910844,3301077,3505760,3943246,4297684,4406834,4499866,4811541,5659328,5745881,5859165,5937817,6146833,6698329,7009568,7571283,8174258,9081574,9001818,9764964
"28000","5","CA05","47","1969"," plus: Personal current transfer receipts","Mississippi state total",551664,688962,814006,918158,1064979,1312348,1631039,1778364,1901955,2094009,2390718,2864394,3249542,3573820,3937811,4073681,4268018,4520536,4710305,5018805,5495778,5958478,6669313,7479815,7978809,8460115,9215795,9858405,10230385,10317862,10666336,11471724
"28000","5","CA05","50","1969"," Wage and salary disbursements","Mississippi state total",3376698,3593032,3879757,4418658,4997296,5528594,5812994,6556073,7333220,8287540,9236622,9987206,10945729,11319680,11734106,12571011,13270213,13849190,14572831,15663050,16613989,17595789,18362381,19594924,21023527,22962426,24205827,25310026,26809886,28760489,30033595,31071689
"28000","5","CA05","60","1969"," Supplements to wages and salaries","Mississippi state total",365481,405571,470659,572374,698872,823278,941398,1132794,1343213,1546279,1744619,1942892,2203441,2355458,2504826,2800171,2972447,3149001,3282290,3486664,3724324,4016686,4329718,4761025,5196492,5567415,5695591,5781415,5941044,6300538,6752190,7013648
