"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"38000","4","CA05","10","1969","Personal income","North Dakota state total",1924428,2015766,2328225,2783910,3925472,3891483,4079631,4004663,4168489,5267104,5406630,5165679,6792662,7364938,7725936,8348599,8616447,8720477,8984264,8291960,9288744,10117323,10278297,11257754,11346754,12351559,12311150,13839765,13548931,15007578,15141166,16430346
"38000","4","CA05","20","1969","Population (persons)","North Dakota state total",621000,618851,626659,630937,632411,634212,638469,645293,649168,650648,652152,654380,659504,668972,676687,680499,676979,669513,661141,655330,646351,637685,635753,638223,641216,644804,647832,650382,649716,647532,644259,641200
"38000","4","CA05","30","1969","Per capita personal income (dollars)","North Dakota state total",3099,3257,3715,4412,6207,6136,6390,6206,6421,8095,8290,7894,10300,11009,11417,12268,12728,13025,13589,12653,14371,15866,16167,17639,17696,19156,19004,21279,20854,23177,23502,25624
"38000","4","CA05","35","1969"," Earnings by place of work","North Dakota state total",1611210,1672634,1933058,2348392,3429984,3318987,3388442,3274473,3313146,4336601,4387608,3832344,5078662,5292082,5598613,6088075,6275061,6305033,6633941,6019880,6749400,7443597,7644183,8568703,8620045,9559851,9376781,10766724,10237595,11547646,11732068,12708382
"38000","4","CA05","36","1969"," less: Contributions for government social insurance","North Dakota state total",102873,115417,129744,148243,190466,225331,256971,294635,303866,355059,413992,448192,531464,574901,613499,652386,678150,698064,727310,793908,841516,936236,1009376,1079075,1166062,1245638,1298372,1359975,1409123,1474819,1513175,1583841
"38000","4","CA05","37","1969","  Employee and self-employed contributions for government social insurance","North Dakota state total",55847,61437,67240,74335,98448,117069,132783,146776,142679,165839,193902,212429,251842,271916,281104,297502,322521,336917,352315,386312,416402,460064,495082,522919,555002,593072,608259,636119,667357,693487,721447,749662
"38000","4","CA05","38","1969","  Employer contributions for government social insurance","North Dakota state total",47026,53980,62504,73908,92018,108262,124188,147859,161187,189220,220090,235763,279622,302985,332395,354884,355629,361147,374995,407596,425114,476172,514294,556156,611060,652566,690113,723856,741766,781332,791728,834179
"38000","4","CA05","42","1969"," plus: Adjustment for residence","North Dakota state total",-52256,-54903,-57920,-61537,-65217,-77824,-83738,-98877,-105960,-117891,-135797,-152953,-174837,-178005,-181521,-187213,-186866,-183682,-184751,-191451,-197472,-191843,-201176,-219659,-239853,-255553,-280746,-316231,-341477,-368259,-398903,-424033
"38000","4","CA05","45","1969"," equals: Net earnings by place of residence","North Dakota state total",1456081,1502314,1745394,2138612,3174301,3015832,3047733,2880961,2903320,3863651,3837819,3231199,4372361,4539176,4803593,5248476,5410045,5423287,5721880,5034521,5710412,6315518,6433631,7269969,7214130,8058660,7797663,9090518,8486995,9704568,9819990,10700508
"38000","4","CA05","46","1969"," plus: Dividends, interest, and rent","North Dakota state total",285829,301783,334824,369482,440767,520071,611721,660051,759446,850703,956141,1211491,1590771,1895539,1887750,1990809,2027325,2012011,1918427,1909347,2110185,2229140,2245177,2222359,2271613,2398219,2514024,2668680,2893032,3106030,3026652,3266256
