"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"33000","1","CA05","10","1969","Personal income","New Hampshire state total",2711576,2880568,3118006,3448017,3899099,4299283,4649441,5293425,5985900,6910401,7920608,9072034,10288834,11352568,12469694,14120620,15612451,17240052,19069946,20959570,22350082,22510046,23370385,24435468,25199814,27012002,28760023,31305378,32763575,35773352,37926023,42282766
"33000","1","CA05","20","1969","Population (persons)","New Hampshire state total",724000,741932,762173,781699,801824,817073,830025,847025,871860,893974,911893,924250,936621,947720,958134,976863,996753,1025054,1054289,1082576,1104523,1112384,1109929,1117784,1129458,1142560,1157561,1174719,1189425,1205940,1222014,1240446
"33000","1","CA05","30","1969","Per capita personal income (dollars)","New Hampshire state total",3745,3883,4091,4411,4863,5262,5602,6249,6866,7730,8686,9816,10985,11979,13015,14455,15663,16819,18088,19361,20235,20236,21056,21861,22311,23642,24845,26649,27546,29664,31036,34087
"33000","1","CA05","35","1969"," Earnings by place of work","New Hampshire state total",2012442,2129694,2283269,2541422,2902518,3133036,3282534,3805227,4322479,5047794,5775249,6388347,7058519,7624321,8538194,9634596,10818354,12117278,13693287,15099083,15677759,15549139,15519119,16585647,17327627,18473641,19678871,21017268,22777124,25173520,27058763,30051645
"33000","1","CA05","36","1969"," less: Contributions for government social insurance","New Hampshire state total",128884,135107,150223,176086,229043,257132,266449,309589,353462,420469,502833,560382,664842,736780,840927,977345,1125733,1275699,1420461,1611159,1689233,1723317,1745699,1854047,1931234,2086940,2231680,2354915,2530965,2744953,2913658,3203234
"33000","1","CA05","37","1969","  Employee and self-employed contributions for government social insurance","New Hampshire state total",67701,71114,78661,90475,117370,133146,138499,156065,177831,207295,251095,282811,336572,376146,426738,487024,577554,655525,741693,843005,892401,909094,930691,991265,1034772,1119332,1200691,1262695,1352291,1467354,1563647,1714338
"33000","1","CA05","38","1969","  Employer contributions for government social insurance","New Hampshire state total",61183,63993,71562,85611,111673,123986,127950,153524,175631,213174,251738,277571,328270,360634,414189,490321,548179,620174,678768,768154,796832,814223,815008,862782,896462,967608,1030989,1092220,1178674,1277599,1350011,1488896
"33000","1","CA05","42","1969"," plus: Adjustment for residence","New Hampshire state total",232186,220209,229829,251904,283516,329072,359037,410533,480372,572405,679707,847098,956429,1046923,1171412,1385757,1508449,1589396,1712404,1864638,1955006,1994787,2181092,2237695,2357865,2456709,2445577,2613368,2821396,2941906,3399943,4037248
"33000","1","CA05","45","1969"," equals: Net earnings by place of residence","New Hampshire state total",2115744,2214796,2362875,2617240,2956991,3204976,3375122,3906171,4449389,5199730,5952123,6675063,7350106,7934464,8868679,10043008,11201070,12430975,13985230,15352562,15943532,15820609,15954512,16969295,17754258,18843410,19892768,21275721,23067555,25370473,27545048,30885659
"33000","1","CA05","46","1969"," plus: Dividends, interest, and rent","New Hampshire state total",392506,424443,462910,508455,561936,638809,688288,762820,876471,987183,1140796,1427559,1802978,2172176,2269878,2669248,2936900,3262675,3505245,3893442,4489453,4541973,4541821,4405393,4481240,4801838,5241531,6449537,5976269,6543176,6438806,7150640
"33000","1","CA05","47","1969"," plus: Personal current transfer receipts","New Hampshire state total",203326,241329,292221,322322,380172,455498,586031,624434,660040,723488,827689,969412,1135750,1245928,1331137,1408364,1474481,1546402,1579471,1713566,1917097,2147464,2874052,3060780,2964316,3366754,3625724,3580120,3719751,3859703,3942169,4246467
"33000","1","CA05","50","1969"," Wage and salary disbursements","New Hampshire state total",1618555,1719171,1821372,2013031,2288704,2476234,2567655,2918220,3301580,3840154,4380724,4871615,5396596,5864502,6480520,7243798,8115610,9099126,10152038,11198676,11627537,11681897,11539637,12250847,12620317,13442343,14490959,15465188,16828867,18350186,19561688,21674781
"33000","1","CA05","60","1969"," Supplements to wages and salaries","New Hampshire state total",159852,177801,201338,238929,290880,329942,366183,452276,539707,655174,769110,875338,995627,1100125,1241255,1400811,1563308,1749937,1933372,2127445,2242871,2273924,2302337,2488916,2667249,2827734,2949887,3005352,3131832,3398983,3642522,4055079
"33000","1","CA05","61","1969","  Employer contributions for employee pension and insurance funds","New Hampshire state total",98669,113808,129776,153318,179207,205956,238233,298752,364076,442000,517372,597767,667357,739491,827066,910490,1015129,1129763,1254604,1359291,1446039,1459701,1487329,1626134,1770787,1860126,1918898,1913132,1953158,2121384,2292511,2566183
"33000","1","CA05","62","1969","  Employer contributions for government social insurance","New Hampshire state total",61183,63993,71562,85611,111673,123986,127950,153524,175631,213174,251738,277571,328270,360634,414189,490321,548179,620174,678768,768154,796832,814223,815008,862782,896462,967608,1030989,1092220,1178674,1277599,1350011,1488896
"33000","1","CA05","70","1969"," Proprietors' income","New Hampshire state total",234035,232722,260559,289462,322934,326860,348696,434731,481192,552466,625415,641394,666296,659694,816419,989987,1139436,1268215,1607877,1772962,1807351,1593318,1677145,1845884,2040061,2203564,2238025,2546728,2816425,3424351,3854553,4321785
"33000","1","CA05","71","1969","  Farm proprietors' income","New Hampshire state total",13934,9232,8260,10267,13865,6644,9739,10967,8834,4687,6147,-1735,8225,2792,1500,5348,7548,8661,26278,26860,14908,20891,21637,28863,16153,13148,3997,7079,1556,4083,12097,7756
"33000","1","CA05","72","1969","  Nonfarm proprietors' income","New Hampshire state total",220101,223490,252299,279195,309069,320216,338957,423764,472358,547779,619268,643129,658071,656902,814919,984639,1131888,1259554,1581599,1746102,1792443,1572427,1655508,1817021,2023908,2190416,2234028,2539649,2814869,3420268,3842456,4314029
