"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"32000","8","CA05","10","1969","Personal income","Nevada state total",2174333,2432372,2713066,3035956,3466147,3866322,4357068,5000425,5777094,6990407,8140250,9462662,10774453,11551429,12266943,13412687,14560609,15682398,17103234,19406134,21798177,24464617,26929983,29864046,32221634,35821049,39403231,43722341,47838356,53046439,57363482,62535414
"32000","8","CA05","20","1969","Population (persons)","Nevada state total",480000,493223,519989,546736,568910,596713,619847,646823,678134,719345,765121,810215,847656,881538,901978,924921,951032,980614,1023374,1075023,1137382,1220695,1296171,1351367,1411215,1499298,1581578,1666320,1764104,1853191,1934718,2018211
"32000","8","CA05","30","1969","Per capita personal income (dollars)","Nevada state total",4530,4932,5218,5553,6093,6479,7029,7731,8519,9718,10639,11679,12711,13104,13600,14501,15310,15992,16713,18052,19165,20042,20777,22099,22833,23892,24914,26239,27118,28624,29650,30986
"32000","8","CA05","35","1969"," Earnings by place of work","Nevada state total",1920512,2130078,2356466,2631453,3032000,3312048,3654457,4226008,4946496,6055109,7003559,8013710,8936684,9231849,9753128,10641338,11471213,12377518,13694075,15741534,17499195,19658911,21122911,23243383,25264256,27967463,30798142,34066515,37178501,41112942,45215515,48653881
"32000","8","CA05","36","1969"," less: Contributions for government social insurance","Nevada state total",131734,144019,164630,193789,256035,287247,312177,367398,438292,552188,677868,774800,940087,963806,1048967,1191271,1312853,1452302,1615372,1872156,2117538,2493539,2661634,2895211,3170188,3542750,3892637,4216694,4500715,4808799,5108577,5010185
"32000","8","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Nevada state total",53314,57822,65681,76385,101838,115628,124825,142829,169086,209899,260906,302802,382189,400991,415120,462734,528057,586679,657571,774489,892550,1058764,1129451,1210736,1329941,1500547,1670579,1840949,1986021,2146074,2349491,2500819
"32000","8","CA05","38","1969","  Employer contributions for government social insurance","Nevada state total",78420,86197,98949,117404,154197,171619,187352,224569,269206,342289,416962,471998,557898,562815,633847,728537,784796,865623,957801,1097667,1224988,1434775,1532183,1684475,1840247,2042203,2222058,2375745,2514694,2662725,2759086,2509366
"32000","8","CA05","42","1969"," plus: Adjustment for residence","Nevada state total",-34439,-39313,-41687,-45072,-54715,-57049,-58377,-68047,-83691,-117305,-131848,-158684,-165181,-165789,-176573,-187363,-195092,-212456,-235613,-276058,-321202,-373785,-346330,-307607,-346889,-358032,-353817,-374062,-329260,-338781,-372972,-332827
"32000","8","CA05","45","1969"," equals: Net earnings by place of residence","Nevada state total",1754339,1946746,2150149,2392592,2721250,2967752,3283903,3790563,4424513,5385616,6193843,7080226,7831416,8102254,8527588,9262704,9963268,10712760,11843090,13593320,15060455,16791587,18114947,20040565,21747179,24066681,26551688,29475759,32348526,35965362,39733966,43310869
"32000","8","CA05","46","1969"," plus: Dividends, interest, and rent","Nevada state total",295070,337685,378674,424971,491098,583231,635531,720748,818525,1001341,1234691,1519019,1889666,2276290,2456256,2775155,3087278,3286295,3463788,3838253,4456957,5065334,5605935,6190812,6636101,7730600,8496978,9565172,10501620,11767738,12074127,13250251
"32000","8","CA05","47","1969"," plus: Personal current transfer receipts","Nevada state total",124924,147941,184243,218393,253799,315339,437634,489114,534056,603450,711716,863417,1053371,1172885,1283099,1374828,1510063,1683343,1796356,1974561,2280765,2607696,3209101,3632669,3838354,4023768,4354565,4681410,4988210,5313339,5555389,5974294
"32000","8","CA05","50","1969"," Wage and salary disbursements","Nevada state total",1577728,1749949,1925449,2121289,2426738,2658803,2907625,3292793,3847622,4693717,5483072,6276380,7068302,7294165,7605054,8197002,8849326,9531639,10539349,11946862,13396916,14964614,15685346,17011725,18338999,20320960,22380181,24888959,27135444,29698951,32499353,35068899
"32000","8","CA05","60","1969"," Supplements to wages and salaries","Nevada state total",152937,176460,209031,247479,306798,355067,420442,517502,634330,802766,956676,1112455,1279506,1368199,1506818,1676525,1819807,2009462,2172505,2436264,2787425,3207614,3476098,3873335,4289110,4689455,4993230,5335291,5610993,6013999,6875467,7173319
"32000","8","CA05","61","1969","  Employer contributions for employee pension and insurance funds","Nevada state total",74517,90263,110082,130075,152601,183448,233090,292933,365124,460477,539714,640457,721608,805384,872971,947988,1035011,1143839,1214704,1338597,1562437,1772839,1943915,2188860,2448863,2647252,2771172,2959546,3096299,3351274,4116381,4663953
"32000","8","CA05","62","1969","  Employer contributions for government social insurance","Nevada state total",78420,86197,98949,117404,154197,171619,187352,224569,269206,342289,416962,471998,557898,562815,633847,728537,784796,865623,957801,1097667,1224988,1434775,1532183,1684475,1840247,2042203,2222058,2375745,2514694,2662725,2759086,2509366
"32000","8","CA05","70","1969"," Proprietors' income","Nevada state total",189847,203669,221986,262685,298464,298178,326390,415713,464544,558626,563811,624875,588876,569485,641256,767811,802080,836417,982221,1358408,1314854,1486683,1961467,2358323,2636147,2957048,3424731,3842265,4432064,5399992,5840695,6411663
"32000","8","CA05","71","1969","  Farm proprietors' income","Nevada state total",20597,20929,20794,28471,39130,15668,12382,12706,1742,-729,-16072,31913,4069,8241,165,8555,303,-124,18581,33088,46604,46709,43066,41833,82317,34994,19416,19656,9518,33547,26770,44966
"32000","8","CA05","72","1969","  Nonfarm proprietors' income","Nevada state total",169250,182740,201192,234214,259334,282510,314008,403007,462802,559355,579883,592962,584807,561244,641091,759256,801777,836541,963640,1325320,1268250,1439974,1918401,2316490,2553830,2922054,3405315,3822609,4422546,5366445,5813925,6366697
"32000","8","CA05","81","1969"," Farm earnings","Nevada state total",32279,34166,34841,42418,55705,34777,33167,35776,27494,23112,9044,57077,28098,32875,26157,35745,28928,27652,48637,65368,79025,82582,75899,73037,118779,82081,70284,70020,70509,92929,85475,103774
"32000","8","CA05","82","1969"," Nonfarm earnings","Nevada state total",1888233,2095912,2321625,2589035,2976295,3277271,3621290,4190232,4919002,6031997,6994515,7956633,8908586,9198974,9726971,10605593,11442285,12349866,13645438,15676166,17420170,19576329,21047012,23170346,25145477,27885382,30727858,33996495,37107992,41020013,45130040,48550107
"32000","8","CA05","90","1969","  Private earnings","Nevada state total",1520584,1677903,1838788,2060976,2404336,2642785,2895386,3371736,4011053,5024451,5870227,6669799,7451304,7558458,7955158,8752091,9416454,10191741,11304765,13143265,14588078,16431310,17519550,19314065,21078759,23553983,26084105,28999248,31797674,35258891,38930482,41965131
"32000","8","CA05","100","1969","   Agricultural services, forestry, and fishing","Nevada state total",4502,5146,6425,8355,10232,11151,11814,14281,15416,20793,27073,34539,33402,31794,37796,43295,45259,49418,63706,68428,77704,90947,89077,93712,104848,118066,136913,165712,183717,212827,236644,245560
"32000","8","CA05","110","1969","    Agricultural services","Nevada state total",4382,4958,6352,8083,9547,10351,10767,12503,13914,19026,23421,26837,25903,26066,29628,34898,38901,40368,54709,60025,69086,82730,82887,88712,100317,111288,130669,158600,176119,203235,229124,240720
"32000","8","CA05","120","1969","    Forestry and fishing","Nevada state total",120,188,73,272,685,800,1047,1778,1502,1767,3652,7702,7499,5728,8168,8397,6358,9050,8997,8403,8618,8217,6190,5000,4531,6778,6244,7112,7598,9592,7520,4840
"32000","8","CA05","121","1969","     Forestry","Nevada state total",51,"(L)","(L)",108,214,192,81,361,137,129,143,178,190,"(L)",561,398,227,-56,"(L)",78,126,220,236,200,214,586,"(D)",376,370,1020,1220,1190
"32000","8","CA05","122","1969","     Fishing","Nevada state total",69,167,"(L)",164,471,608,966,1417,1365,1638,3509,7524,7309,5763,7607,7999,6131,9106,9017,8325,8492,7997,5954,4800,4317,6192,"(D)",6736,7228,8572,6300,3650
"32000","8","CA05","200","1969","   Mining","Nevada state total",39968,44745,41943,45809,54517,76060,89579,83555,103520,102788,116272,179653,249567,228759,210152,241195,240818,225746,330349,479417,611892,666412,650641,677379,692584,727412,796334,917579,957712,942609,903868,883860
"32000","8","CA05","210","1969","    Metal mining","Nevada state total",29477,32302,30619,29756,33255,44697,48352,41097,56863,50323,53301,92710,150911,139169,141390,162922,157960,199222,286500,424928,561655,610318,596661,615600,627022,658753,717976,822534,855256,827619,786514,739868
"32000","8","CA05","220","1969","    Coal mining","Nevada state total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(D)",445,328,"(D)","(D)",2353,2047,3923,4162,4391,5154,"(D)","(D)",5366,6972,7610,7139
"32000","8","CA05","230","1969","    Oil and gas extraction","Nevada state total",2005,1739,1290,1976,3470,7839,9896,10413,13717,14981,25009,40136,38582,33583,17592,"(D)",30546,8344,"(D)","(D)",11292,12335,7947,9160,11100,10435,"(D)","(D)",14667,14293,16298,40228
"32000","8","CA05","240","1969","    Nonmetallic minerals, except fuels","Nevada state total",8486,10704,10034,14077,17792,23524,31331,32045,32940,37484,37962,46807,60074,56007,51170,54740,51867,17852,22838,32990,36592,41712,42110,48457,50071,53070,63231,77948,82423,93725,93446,96625
"32000","8","CA05","300","1969","   Construction","Nevada state total",164305,183750,207544,237137,326721,292386,270856,360907,478359,684220,759256,825139,876656,731592,734534,809569,880320,1020038,1102270,1412918,1778516,1967206,1770248,1834885,2281035,2688569,3035396,3921651,4271400,4733629,5132081,5173506
"32000","8","CA05","310","1969","    General building contractors","Nevada state total",39866,42003,55341,63774,84358,79841,77762,106618,151337,211727,223372,219716,222773,197071,176721,219022,227580,276521,298359,393664,452811,462063,408871,446598,533328,675741,687963,861509,933687,1030686,1117395,1158505
"32000","8","CA05","320","1969","    Heavy construction contractors","Nevada state total",40681,51915,47156,39051,53022,51088,38673,55008,63049,89437,123107,165425,149279,130990,165775,141300,140288,147811,169013,204291,225324,224729,244529,242683,298877,373280,428149,511824,504378,603287,675453,654182
"32000","8","CA05","330","1969","    Special trade contractors","Nevada state total",83758,89832,105047,134312,189341,161457,154421,199281,263973,383056,412777,439998,504604,403531,392038,449247,512452,595706,634898,814963,1100381,1280414,1116848,1145604,1448830,1639548,1919284,2548318,2833335,3099656,3339233,3360819
"32000","8","CA05","400","1969","   Manufacturing","Nevada state total",78857,85320,91640,108089,134350,147742,165451,187112,240781,305391,367038,397071,457239,460258,482726,537126,573493,595291,661518,730903,782558,853166,883082,1028427,1104182,1280998,1431936,1604951,1709895,1849594,1962092,2156450
"32000","8","CA05","410","1969","    Durable goods","Nevada state total",47920,52572,55916,66747,85011,94515,106380,120242,157397,204218,247586,274308,321646,316721,329194,369064,391217,394962,434479,479858,515196,567975,568963,684081,719241,828691,938132,1073137,1143308,1228719,1298841,1412262
"32000","8","CA05","413","1969","     Lumber and wood products","Nevada state total",2076,2013,2487,3297,4748,4400,5756,7215,11465,16388,18931,14612,14845,12118,19503,20939,21329,25035,28648,34342,36101,39528,29517,"(D)",42682,53926,49199,52497,61021,64081,76506,80715
"32000","8","CA05","417","1969","     Furniture and fixtures","Nevada state total",1703,1832,1990,1711,2848,2425,1957,1637,1898,2790,1908,4152,5899,4679,6128,6957,8284,8889,14208,15874,22940,20726,18695,"(D)",19674,22113,23289,26745,34208,34824,38034,38326
"32000","8","CA05","420","1969","     Stone, clay, and glass products","Nevada state total",11477,12125,14459,17527,19164,18506,19827,22832,35615,40258,49301,45535,42994,36944,38372,44404,46640,49888,56651,69749,77596,82095,77212,90698,107645,124282,143147,172978,173738,175315,182186,197060
"32000","8","CA05","423","1969","     Primary metal industries","Nevada state total",17781,19145,15158,14930,18816,24051,27317,22868,25167,30971,40109,49180,61464,54441,40051,41271,41466,37282,43045,45120,48134,46027,41533,48131,45431,39137,52714,80766,91202,91243,75728,74376
"32000","8","CA05","426","1969","     Fabricated metal products","Nevada state total",3680,3904,4565,5657,6085,6595,9414,12663,16205,22867,26672,31503,35874,33312,32561,30780,33130,36493,37802,46843,55445,65397,71411,65347,91147,109183,129164,150333,161666,176247,186420,194291
"32000","8","CA05","429","1969","     Industrial machinery and equipment","Nevada state total",1821,1304,3380,5471,8313,8898,12132,15130,14603,20226,25990,32162,38237,36926,46859,64215,75682,73071,73214,76118,68329,69090,71594,71043,79729,95606,99512,110208,119857,134563,123608,124413
"32000","8","CA05","432","1969","     Electronic and other electric equipment","Nevada state total",4439,7006,7779,10607,13638,15993,16838,22064,26433,34737,43966,49126,50170,56761,62078,73450,75565,70754,71717,57925,35054,45188,44943,46275,56297,76225,96006,106555,105771,107145,109246,142114
"32000","8","CA05","435","1969","     Motor vehicles and equipment","Nevada state total",252,179,189,65,173,245,69,"(L)",1094,1716,1213,1760,2168,2417,2256,3166,5342,6034,6182,6053,10451,10281,11197,8298,9940,10911,10537,10573,11366,19658,21155,18548
"32000","8","CA05","438","1969","     Other transportation equipment","Nevada state total",130,165,298,180,152,325,542,750,514,490,1006,1662,14574,17617,17335,14961,6902,4377,8781,9250,12424,19141,15881,15506,19234,21760,24288,25463,26825,29969,40926,36356
"32000","8","CA05","441","1969","     Instruments and related products","Nevada state total",236,285,340,695,1494,2839,1642,1892,2712,6998,8993,11214,13929,15632,16649,19694,19979,22406,25266,31048,63095,64904,75267,84424,92460,91161,100301,100545,113853,129152,133930,149099
"32000","8","CA05","444","1969","     Miscellaneous manufacturing industries","Nevada state total",4325,4581,5232,6595,9580,10238,10886,13171,21691,26777,29497,33402,41492,45874,47402,49227,56898,60733,68965,87536,85627,105598,111713,204553,155002,184387,209975,236474,243801,266522,311102,356964
"32000","8","CA05","447","1969","     Ordnance","Nevada state total",0,"(L)","(L)","(L)",0,0,"(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)"
"32000","8","CA05","450","1969","    Nondurable goods","Nevada state total",30937,32748,35724,41342,49339,53227,59071,66870,83384,101173,119452,122763,135593,143537,153532,168062,182276,200329,227039,251045,267362,285191,314119,344346,384941,452307,493804,531814,566587,620875,663251,744188
"32000","8","CA05","453","1969","     Food and kindred products","Nevada state total",10218,10781,11510,12567,15704,16460,16736,18537,22227,26218,28271,30561,32262,34991,38054,38506,39876,41498,43349,44914,43690,49570,64837,72623,83414,97609,100232,117407,123802,136148,141280,145926
