"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"39000","3","CA05","10","1969","Personal income","Ohio state total",41315652,43613600,46394750,50378309,56088705,61622794,65712949,72586467,80692974,89423849,99043719,108244079,117829552,123385389,130705176,144284866,152957270,159587543,167096913,178707241,191374726,202486112,208108728,220866299,229526968,243328949,253778203,264715818,280936311,298833101,309384093,326074771
"39000","3","CA05","20","1969","Population (persons)","Ohio state total",10563000,10668839,10734782,10746920,10767205,10765613,10770498,10752731,10771232,10795431,10798562,10800650,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11363844
"39000","3","CA05","30","1969","Per capita personal income (dollars)","Ohio state total",3911,4088,4322,4688,5209,5724,6101,6751,7492,8283,9172,10022,10922,11470,12173,13437,14249,14873,15529,16549,17672,18638,19013,20025,20676,21818,22653,23545,24912,26418,27293,28694
"39000","3","CA05","35","1969"," Earnings by place of work","Ohio state total",35761828,37171318,39069892,42599258,47820216,51770906,53474487,59747143,66917189,74536133,82000021,85528262,91105434,92047369,96815653,108009966,114901927,120098859,126946901,137141646,144924547,152225638,156170791,167023067,174274658,185646781,193137951,200281434,211683304,225836351,237117283,249240593
"39000","3","CA05","36","1969"," less: Contributions for government social insurance","Ohio state total",2359714,2408974,2604612,2986878,3865321,4311893,4337875,4944060,5557036,6406676,7331603,7614573,8718585,8904499,9612590,10932505,11869966,12856459,13614620,15095135,16101957,17256398,18099987,19214490,20294708,21829057,22967015,23637376,24347056,25111828,26243329,26568424
"39000","3","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Ohio state total",1109584,1139888,1231566,1375100,1770047,1981746,2013321,2224740,2469706,2806718,3252603,3437050,3995699,4105929,4313334,4810116,5368017,5831304,6204235,6881338,7424640,7908754,8290215,8724482,9219964,9996677,10558023,10929740,11564968,12228766,12849687,13294305
"39000","3","CA05","38","1969","  Employer contributions for government social insurance","Ohio state total",1250130,1269086,1373046,1611778,2095274,2330147,2324554,2719320,3087330,3599958,4079000,4177523,4722886,4798570,5299256,6122389,6501949,7025155,7410385,8213797,8677317,9347644,9809772,10490008,11074744,11832380,12408992,12707636,12782088,12883062,13393642,13274119
"39000","3","CA05","42","1969"," plus: Adjustment for residence","Ohio state total",-187342,-178308,-128445,-125400,-153012,-128713,-75056,-85343,-98117,-115608,-137021,-152818,-460098,-582371,-704412,-838082,-925453,-957409,-995728,-1048750,-1090877,-1080598,-1087806,-1290011,-1357093,-1504253,-1432912,-1396243,-1481179,-1596375,-1621042,-1568677
"39000","3","CA05","45","1969"," equals: Net earnings by place of residence","Ohio state total",33214772,34584036,36336835,39486980,43801883,47330300,49061556,54717740,61262036,68013849,74531397,77760871,81926751,82560499,86498651,96239379,102106508,106284991,112336553,120997761,127731713,133888642,136982998,146518566,152622857,162313471,168738024,175247815,185855069,199128148,209252912,221103492
"39000","3","CA05","46","1969"," plus: Dividends, interest, and rent","Ohio state total",5200600,5634100,6044342,6453139,7121256,8089762,8718879,9383004,10516428,11825854,13569141,16697197,20582363,23042016,25185281,28417480,29924615,31140140,31727768,33532861,37869307,39921572,40221506,40400173,41602646,44368200,46425386,49458910,53870465,57733516,56763100,58836389
"39000","3","CA05","47","1969"," plus: Personal current transfer receipts","Ohio state total",2900280,3395464,4013573,4438190,5165566,6202732,7932514,8485723,8914510,9584146,10943181,13786011,15320438,17782874,19021244,19628007,20926147,22162412,23032592,24176619,25773706,28675898,30904224,33947560,35301465,36647278,38614793,40009093,41210777,41971437,43368081,46134890
"39000","3","CA05","50","1969"," Wage and salary disbursements","Ohio state total",29031267,30172237,31453839,34062504,38072828,41033376,41942412,46480173,51610636,57575264,63401938,66443507,71104023,71669197,74862565,82675740,88185304,92315728,97593746,104787199,109931214,115449038,117746394,124696286,129145247,137236735,144780999,151269842,160527062,170544498,178859779,187385514
"39000","3","CA05","60","1969"," Supplements to wages and salaries","Ohio state total",3322571,3600763,4012638,4590873,5474795,6217883,6750581,7913527,9344553,10639465,11929136,12801605,14126010,14741964,15934493,17340649,18377269,19374872,20205015,21761860,23084448,24525379,26385422,29170432,30982482,33054990,32909762,32112547,32368267,34094262,35413416,36224909
"39000","3","CA05","61","1969","  Employer contributions for employee pension and insurance funds","Ohio state total",2072441,2331677,2639592,2979095,3379521,3887736,4426027,5194207,6257223,7039507,7850136,8624082,9403124,9943394,10635237,11218260,11875320,12349717,12794630,13548063,14407131,15177735,16575650,18680424,19907738,21222610,20500770,19404911,19586179,21211200,22019774,22950790
"39000","3","CA05","62","1969","  Employer contributions for government social insurance","Ohio state total",1250130,1269086,1373046,1611778,2095274,2330147,2324554,2719320,3087330,3599958,4079000,4177523,4722886,4798570,5299256,6122389,6501949,7025155,7410385,8213797,8677317,9347644,9809772,10490008,11074744,11832380,12408992,12707636,12782088,12883062,13393642,13274119
"39000","3","CA05","70","1969"," Proprietors' income","Ohio state total",3407990,3398318,3603415,3945881,4272593,4519647,4781494,5353443,5962000,6321404,6668947,6283150,5875401,5636208,6018595,7993577,8339354,8408259,9148140,10592587,11908885,12251221,12038975,13156349,14146929,15355056,15447190,16899045,18787975,21197591,22844088,25630170
"39000","3","CA05","71","1969","  Farm proprietors' income","Ohio state total",334865,340563,321405,407776,546855,661288,640327,574216,483510,465877,584969,392038,-11106,69777,-268728,673620,666555,495042,539558,563796,929563,919192,420516,881051,605580,848540,586758,958763,1371638,912862,501558,865179
"39000","3","CA05","72","1969","  Nonfarm proprietors' income","Ohio state total",3073125,3057755,3282010,3538105,3725738,3858359,4141167,4779227,5478490,5855527,6083978,5891112,5886507,5566431,6287323,7319957,7672799,7913217,8608582,10028791,10979322,11332029,11618459,12275298,13541349,14506516,14860432,15940282,17416337,20284729,22342530,24764991
"39000","3","CA05","81","1969"," Farm earnings","Ohio state total",417600,434803,415110,506254,667206,798397,815072,788509,675860,629520,762698,575659,169494,271403,-69148,873558,868441,684186,737334,788559,1171683,1206033,703729,1187536,936989,1164264,895482,1251008,1691172,1273531,848938,1198654
"39000","3","CA05","82","1969"," Nonfarm earnings","Ohio state total",35344228,36736515,38654782,42093004,47153010,50972509,52659415,58958634,66241329,73906613,81237323,84952603,90935940,91775966,96884801,107136408,114033486,119414673,126209567,136353087,143752864,151019605,155467062,165835531,173337669,184482517,192242469,199030426,209992132,224562820,236268345,248041939
"39000","3","CA05","90","1969","  Private earnings","Ohio state total",31189326,32049336,33501600,36553418,41033093,44321878,45406169,51147027,57638955,64504992,71069379,73749666,78775983,78673864,82789602,92137840,97908229,102334797,108073757,116670652,122957971,128652693,131769332,140573550,147061103,156982473,163708921,169932000,179653577,193218797,203318005,213807553
"39000","3","CA05","100","1969","   Agricultural services, forestry, and fishing","Ohio state total",96237,102206,118343,123304,129715,141254,143278,165383,159871,192044,218580,253457,254242,271292,306296,349253,361208,374627,469532,493795,521577,580883,606291,642497,660969,698898,732719,755846,804331,888154,991634,1035728
"39000","3","CA05","110","1969","    Agricultural services","Ohio state total",93180,98146,113784,118771,124526,134831,136687,156204,154000,185883,211577,244711,246373,270384,294919,335550,353985,366828,466910,487453,514499,571735,597420,635195,653053,684946,722917,750008,795603,869796,967104,1013404
"39000","3","CA05","120","1969","    Forestry and fishing","Ohio state total",3057,4060,4559,4533,5189,6423,6591,9179,5871,6161,7003,8746,7869,908,11377,13703,7223,7799,2622,6342,7078,9148,8871,7302,7916,13952,9802,5838,8728,18358,24530,22324
"39000","3","CA05","121","1969","     Forestry","Ohio state total",1974,2761,3213,3282,3458,4037,4218,6007,2699,3476,3154,4378,4685,-417,9918,12412,5675,4736,337,2782,2860,4794,4802,3882,4722,9619,5975,1229,2602,11356,17847,15459
"39000","3","CA05","122","1969","     Fishing","Ohio state total",1083,1299,1346,1251,1731,2386,2373,3172,3172,2685,3849,4368,3184,1325,1459,1291,1548,3063,2285,3560,4218,4354,4069,3420,3194,4333,3827,4609,6126,7002,6683,6865
"39000","3","CA05","200","1969","   Mining","Ohio state total",232846,266609,268865,327904,363057,485942,607107,665651,840222,877509,1015400,1153854,1198978,1221935,1055027,1191696,1190354,787767,915103,1129298,1072408,869617,689262,637541,621665,763675,844943,814260,873278,1111556,1129294,1225221
"39000","3","CA05","210","1969","    Metal mining","Ohio state total",8039,7667,9273,9017,7640,16266,10279,4574,29166,31891,34624,22480,14516,-1208,-3011,-11698,-9696,13062,33709,170213,197243,-12175,-81302,"(D)","(D)","(D)",79434,-8760,-24490,171576,175003,"(D)"
"39000","3","CA05","220","1969","    Coal mining","Ohio state total",98748,124548,132922,164051,180960,239031,331568,352089,452427,479640,553976,514649,484730,535224,499455,560705,523292,348072,"(D)",494112,401509,399925,385681,350218,"(D)","(D)",290557,288387,310542,335651,301756,"(D)"
"39000","3","CA05","230","1969","    Oil and gas extraction","Ohio state total",68086,71122,60427,83918,95308,146631,182746,221601,261531,254823,311139,500420,584759,579468,448696,513746,546594,310819,"(D)",300184,297652,291781,205147,"(D)",228263,228459,236764,272696,312653,320137,355749,517762
"39000","3","CA05","240","1969","    Nonmetallic minerals, except fuels","Ohio state total",57973,63272,66243,70918,79149,84014,82514,87387,97098,111155,115661,116305,114973,108451,109887,128943,130164,115814,134622,164789,176004,190086,179736,193913,204994,229215,238188,261937,274573,284192,296786,293457
"39000","3","CA05","300","1969","   Construction","Ohio state total",2554625,2440757,2430160,2518855,2842059,3013580,3038908,3382673,3713412,4319160,4757506,4938947,4587443,4338090,4420915,5112277,5386283,5789209,6523036,7271174,7738064,8274853,8036807,8329030,9137837,10088098,10480487,11241415,12091782,13272541,14641050,15547802
"39000","3","CA05","310","1969","    General building contractors","Ohio state total",646752,606116,561432,598089,676227,725318,729680,832819,887312,1050702,1193579,1229909,1038236,944486,1057892,1241445,1275445,1466680,1642487,1844135,1787333,1843527,1767072,1866543,2017306,2204741,2256632,2412649,2615356,2789531,3078323,3195254
"39000","3","CA05","320","1969","    Heavy construction contractors","Ohio state total",334502,317458,348071,328622,393300,427984,424433,448476,542354,657649,756910,711500,730880,755653,631133,685136,703994,721693,846595,867329,923306,989235,909788,992979,1072929,1146865,1125856,1196588,1303630,1414728,1485356,1539106
"39000","3","CA05","330","1969","    Special trade contractors","Ohio state total",1573371,1517183,1520657,1592144,1772532,1860278,1884795,2101378,2283746,2610809,2807017,2997538,2818327,2637951,2731890,3185696,3406844,3600836,4033954,4559710,5027425,5442091,5359947,5469508,6047602,6736492,7097999,7632178,8172796,9068282,10077371,10813442
"39000","3","CA05","400","1969","   Manufacturing","Ohio state total",14491279,14408237,14641662,16106404,18456309,19743737,19333861,21985585,25229325,28059744,30640387,30832912,33299277,31855640,33139302,37174086,39149518,39835092,40259662,42756588,44058869,44556004,44809518,47821551,49317732,52127412,52870998,52692110,53991147,56008085,57424595,58545646
"39000","3","CA05","410","1969","    Durable goods","Ohio state total",10641697,10454409,10536710,11697912,13592410,14543619,14036623,16051470,18473566,20600722,22498853,22349066,24112134,22527512,23341739,26409918,27833536,27964847,28024897,29906904,30654919,30623902,30417712,32665481,33710442,36193662,36685805,36383693,37120153,38323545,39128374,39895477
