"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"41000","8","CA05","10","1969","Personal income","Oregon state total",7577778,8247695,9023246,10108946,11437425,13003084,14377949,16364134,18357705,21103262,23966420,26639641,28820445,29622615,31436608,34160601,35890227,37728292,39770473,43247583,47317743,51186688,54087686,57446094,61444488,66230677,71747270,77120991,82126645,87218286,91691427,98529806
"41000","8","CA05","20","1969","Population (persons)","Oregon state total",2062000,2100388,2149890,2195219,2238878,2280956,2324622,2372155,2439355,2509609,2578312,2641218,2667985,2664919,2653071,2666589,2672648,2683526,2700996,2741297,2790579,2860375,2928507,2991755,3060367,3121264,3184369,3247111,3304310,3352449,3393941,3430891
"41000","8","CA05","30","1969","Per capita personal income (dollars)","Oregon state total",3675,3927,4197,4605,5109,5701,6185,6898,7526,8409,9295,10086,10802,11116,11849,12811,13429,14059,14724,15776,16956,17895,18469,19201,20077,21219,22531,23751,24854,26016,27016,28718
"41000","8","CA05","35","1969"," Earnings by place of work","Oregon state total",6369565,6756723,7343055,8320971,9482335,10619054,11366669,13102417,14808319,17184012,19464868,20862565,21624563,21388203,22510722,24672645,26050200,27560080,29454635,32594337,35098662,38352425,40397701,43237901,46285981,49827484,53198934,57789507,62096814,66048791,70361522,76082076
"41000","8","CA05","36","1969"," less: Contributions for government social insurance","Oregon state total",482519,505546,569490,680152,880691,1003511,1057265,1234827,1420660,1694175,1988715,2125249,2364829,2397875,2558155,2890312,3070384,3250791,3438167,3923704,4254267,4766035,5090726,5457020,5833165,6318463,6792608,7469439,7939947,8386413,8746108,9426336
"41000","8","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Oregon state total",213891,225784,251554,295681,382190,439944,468614,526883,603200,709327,836599,907882,1024032,1054481,1108268,1219205,1351993,1455676,1567970,1817556,2027115,2272278,2453116,2604998,2772064,3014333,3255211,3482934,3733138,3940286,4142277,4406291
"41000","8","CA05","38","1969","  Employer contributions for government social insurance","Oregon state total",268628,279762,317936,384471,498501,563567,588651,707944,817460,984848,1152116,1217367,1340797,1343394,1449887,1671107,1718391,1795115,1870197,2106148,2227152,2493757,2637610,2852022,3061101,3304130,3537397,3986505,4206809,4446127,4603831,5020045
"41000","8","CA05","42","1969"," plus: Adjustment for residence","Oregon state total",-91281,-67466,-56237,-50068,-55687,-62911,-31174,-15665,-73833,-131324,-203487,-251655,-262239,-249069,-232395,-278411,-314594,-360667,-420229,-492964,-546081,-607531,-666370,-752536,-844056,-897539,-1071966,-1294371,-1478430,-1599901,-1748781,-1918266
"41000","8","CA05","45","1969"," equals: Net earnings by place of residence","Oregon state total",5795765,6183711,6717328,7590751,8545957,9552632,10278230,11851925,13313826,15358513,17272666,18485661,18997495,18741259,19720172,21503922,22665222,23948622,25596239,28177669,30298314,32978859,34640605,37028345,39608760,42611482,45334360,49025697,52678437,56062477,59866633,64737474
"41000","8","CA05","46","1969"," plus: Dividends, interest, and rent","Oregon state total",1119928,1259331,1373777,1495750,1678835,1954624,2198828,2445010,2808689,3303325,3956210,4904928,6062388,6641786,7158743,7949433,8298925,8765938,8982860,9548017,10959422,11617255,12145349,12291860,13155883,14608783,16448268,17495100,18547712,19819543,19469522,20789481
"41000","8","CA05","47","1969"," plus: Personal current transfer receipts","Oregon state total",662085,804653,932141,1022445,1212633,1495828,1900891,2067199,2235190,2441424,2737544,3249052,3760562,4239570,4557693,4707246,4926080,5013732,5191374,5521897,6060007,6590574,7301732,8125889,8679845,9010412,9964642,10600194,10900496,11336266,12355272,13002851
"41000","8","CA05","50","1969"," Wage and salary disbursements","Oregon state total",4867891,5171189,5602599,6289550,7092628,7844586,8430089,9595968,10913657,12622715,14331762,15355343,16053856,15971994,16619669,17975927,18856591,19914776,21335532,23435332,25408224,27653764,28980579,30997417,32814707,35349105,38340754,41679478,45225579,47929640,50954582,55208891
"41000","8","CA05","60","1969"," Supplements to wages and salaries","Oregon state total",549389,623257,706982,840740,1033487,1211919,1357807,1672406,2012862,2416895,2785637,3059672,3289771,3389811,3611412,3990402,4303891,4465513,4720706,5237676,5695338,6316385,6783864,7356854,7854704,8394818,8794056,9351132,9769363,10320802,11293816,11894748
