"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"44000","1","CA05","10","1969","Personal income","Rhode Island state total",3585577,3895481,4130959,4504127,4845987,5135040,5537087,6083971,6662159,7309324,8128378,9150617,10229027,11011338,11849080,13109989,14086338,15094528,16217149,17845029,19401859,19939620,20194189,21082163,21926694,22552828,23760736,24807044,26271050,27784316,28861317,30980284
"44000","1","CA05","20","1969","Population (persons)","Rhode Island state total",932000,950561,963974,976365,978010,953503,946339,950321,955128,957237,956643,948773,953012,954170,956382,961895,968956,977340,989605,996407,1000666,1005995,1010649,1012581,1015112,1015960,1017002,1020893,1025353,1031155,1040402,1050736
"44000","1","CA05","30","1969","Per capita personal income (dollars)","Rhode Island state total",3847,4098,4285,4613,4955,5385,5851,6402,6975,7636,8497,9645,10733,11540,12389,13629,14538,15445,16387,17909,19389,19821,19981,20820,21600,22199,23364,24299,25621,26945,27741,29484
"44000","1","CA05","35","1969"," Earnings by place of work","Rhode Island state total",2908876,3125967,3284805,3621261,3879460,3981958,4120995,4640094,5104252,5667762,6304125,6868486,7414129,7811931,8426312,9347600,10128661,10956865,11875487,13083848,13779724,14084764,13853431,14710334,15247194,15781633,16565909,17103498,18032465,19148249,20141765,21625872
"44000","1","CA05","36","1969"," less: Contributions for government social insurance","Rhode Island state total",230034,244647,266576,305888,380586,409510,415186,472479,519960,596650,684471,745606,849004,899648,988170,1135898,1220421,1330385,1430435,1598875,1664396,1791739,1798147,1916096,2006876,2097542,2171599,2213314,2320771,2457996,2575421,2744917
"44000","1","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Rhode Island state total",107057,113361,122518,136321,173279,188287,192306,210305,229989,259717,300781,332544,376352,407314,446737,500683,552757,612618,670505,759104,810093,882318,906127,968058,1009447,1057629,1099914,1125997,1186334,1265612,1337216,1429505
"44000","1","CA05","38","1969","  Employer contributions for government social insurance","Rhode Island state total",122977,131286,144058,169567,207307,221223,222880,262174,289971,336933,383690,413062,472652,492334,541433,635215,667664,717767,759930,839771,854303,909421,892020,948038,997429,1039913,1071685,1087317,1134437,1192384,1238205,1315412
"44000","1","CA05","42","1969"," plus: Adjustment for residence","Rhode Island state total",64784,66298,61241,55583,70514,87772,81703,88812,103272,102409,110416,123985,155187,208763,264647,335299,393549,416894,483217,557909,618989,664244,690598,707966,748426,819853,849841,917428,978063,1059867,1154060,1318767
"44000","1","CA05","45","1969"," equals: Net earnings by place of residence","Rhode Island state total",2743626,2947618,3079470,3370956,3569388,3660220,3787512,4256427,4687564,5173521,5730070,6246865,6720312,7121046,7702789,8547001,9301789,10043374,10928269,12042882,12734317,12957269,12745882,13502204,13988744,14503944,15244151,15807612,16689757,17750120,18720404,20199722
"44000","1","CA05","46","1969"," plus: Dividends, interest, and rent","Rhode Island state total",494753,524853,554834,587544,651930,741234,777655,834733,934696,1024608,1163525,1475752,1875169,2096953,2233906,2597911,2698068,2880726,3053355,3411803,4058353,4097888,3944688,3926246,3972454,4106107,4359904,4764689,5082630,5486274,5409559,5872968
