"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"47000","5","CA05","10","1969","Personal income","Tennessee state total",11524119,12505040,13790797,15537972,17730809,19684645,21414299,24115062,26804943,30614828,34247653,37846839,42204552,45048417,47964169,53490037,57302373,61105169,65785744,71289309,76299925,81121010,85632449,93558292,99314751,106111548,113671397,119900677,126654111,136253480,143052772,152224210
"47000","5","CA05","20","1969","Population (persons)","Tennessee state total",3897000,3936975,4010238,4088445,4138417,4201621,4260829,4329160,4401939,4461639,4533297,4600252,4627662,4646043,4659757,4686743,4715292,4738708,4782939,4822438,4854432,4894492,4966587,5049742,5137584,5231438,5326936,5416643,5499233,5570045,5638706,5703243
"47000","5","CA05","30","1969","Per capita personal income (dollars)","Tennessee state total",2957,3176,3439,3800,4284,4685,5026,5570,6089,6862,7555,8227,9120,9696,10293,11413,12152,12895,13754,14783,15718,16574,17242,18527,19331,20283,21339,22136,23031,24462,25370,26691
"47000","5","CA05","35","1969"," Earnings by place of work","Tennessee state total",10159978,10806253,11852852,13478397,15407128,16796707,17591450,20023139,22469908,25893486,28711374,30650158,33541731,34774574,37128724,41687730,44749578,47957777,52259341,56718634,59910819,63228073,66404493,72905946,77922736,83694873,89238407,93547516,99261843,107036375,113509096,120123402
"47000","5","CA05","36","1969"," less: Contributions for government social insurance","Tennessee state total",659316,695392,789106,937404,1210592,1383099,1430283,1639457,1846078,2151055,2480222,2675177,3154919,3351523,3652182,4190337,4589664,5066332,5474415,6096890,6542668,6958155,7394476,7997197,8603652,9380465,10005533,10368819,11015791,11709952,12358284,12918058
"47000","5","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Tennessee state total",329712,348788,394331,460807,591701,678325,702927,782298,879595,1008938,1173038,1281100,1532163,1643642,1767514,1984335,2246494,2499755,2735592,3071521,3360766,3574091,3825497,4112268,4428495,4841420,5207643,5398671,5742192,6105680,6475109,6760613
"47000","5","CA05","38","1969","  Employer contributions for government social insurance","Tennessee state total",329604,346604,394775,476597,618891,704774,727356,857159,966483,1142117,1307184,1394077,1622756,1707881,1884668,2206002,2343170,2566577,2738823,3025369,3181902,3384064,3568979,3884929,4175157,4539045,4797890,4970148,5273599,5604272,5883175,6157445
"47000","5","CA05","42","1969"," plus: Adjustment for residence","Tennessee state total",-155266,-154946,-165186,-191693,-181331,-191324,-189918,-184228,-240805,-307595,-357608,-423882,-456744,-414456,-427919,-427246,-443983,-481378,-511514,-525075,-548979,-585268,-582322,-422773,-549364,-643934,-733088,-707935,-911982,-1066642,-1247247,-1415852
"47000","5","CA05","45","1969"," equals: Net earnings by place of residence","Tennessee state total",9345396,9955915,10898560,12349300,14015205,15222284,15971249,18199454,20383025,23434836,25873544,27551099,29930068,31008595,33048623,37070147,39715931,42410067,46273412,50096669,52819172,55684650,58427695,64485976,68769720,73670474,78499786,82470762,87334070,94259781,99903565,105789492
"47000","5","CA05","46","1969"," plus: Dividends, interest, and rent","Tennessee state total",1200888,1352051,1495693,1649823,1898812,2241684,2509222,2721005,3066923,3514841,4106392,5157706,6447732,7644742,8044276,9223308,9935994,10483818,10860269,11897608,13257238,14119353,14351589,14605341,15024411,16163142,17360100,18703717,19853394,21657067,21884073,23341825
"47000","5","CA05","47","1969"," plus: Personal current transfer receipts","Tennessee state total",977835,1197074,1396544,1538849,1816792,2220677,2933828,3194603,3354995,3665151,4267717,5138034,5826752,6395080,6871270,7196582,7650448,8211284,8652063,9295032,10223515,11317007,12853165,14466975,15520620,16277932,17811511,18726198,19466647,20336632,21265134,23092893
"47000","5","CA05","50","1969"," Wage and salary disbursements","Tennessee state total",7990044,8519078,9260369,10411264,11717748,12946771,13506625,15055854,16903438,19324920,21495668,23201326,25362012,26286711,28058255,31006258,33383447,35854052,39094794,42070193,44557469,47084203,48961502,53005602,56020956,60039506,64101944,67049593,71565206,76353963,80568948,84736758
"47000","5","CA05","60","1969"," Supplements to wages and salaries","Tennessee state total",853956,944999,1094173,1314469,1578264,1847312,2077868,2493767,2962116,3520323,3993219,4409689,4966381,5287481,5759462,6420287,6902579,7461880,7994508,8573882,9134493,9771095,10559256,11785957,12680606,13763122,13990037,13913893,14103810,14999060,15800534,16737647
"47000","5","CA05","61","1969","  Employer contributions for employee pension and insurance funds","Tennessee state total",524352,598395,699398,837872,959373,1142538,1350512,1636608,1995633,2378206,2686035,3015612,3343625,3579600,3874794,4214285,4559409,4895303,5255685,5548513,5952591,6387031,6990277,7901028,8505449,9224077,9192147,8943745,8830211,9394788,9917359,10580202
"47000","5","CA05","62","1969","  Employer contributions for government social insurance","Tennessee state total",329604,346604,394775,476597,618891,704774,727356,857159,966483,1142117,1307184,1394077,1622756,1707881,1884668,2206002,2343170,2566577,2738823,3025369,3181902,3384064,3568979,3884929,4175157,4539045,4797890,4970148,5273599,5604272,5883175,6157445
"47000","5","CA05","70","1969"," Proprietors' income","Tennessee state total",1315978,1342176,1498310,1752664,2111116,2002624,2006957,2473518,2604354,3048243,3222487,3039143,3213338,3200382,3311007,4261185,4463552,4641845,5170039,6074559,6218857,6372775,6883735,8114387,9221174,9892245,11146426,12584030,13592827,15683352,17139614,18648997
"47000","5","CA05","71","1969","  Farm proprietors' income","Tennessee state total",205266,208993,207437,263195,424683,239412,172869,289794,200839,225400,238008,88192,253613,179846,-149254,297692,221858,137567,201845,275463,320521,303201,378760,537809,459472,526989,303630,258639,240855,51196,-101920,179448
"47000","5","CA05","72","1969","  Nonfarm proprietors' income","Tennessee state total",1110712,1133183,1290873,1489469,1686433,1763212,1834088,2183724,2403515,2822843,2984479,2950951,2959725,3020536,3460261,3963493,4241694,4504278,4968194,5799096,5898336,6069574,6504975,7576578,8761702,9365256,10842796,12325391,13351972,15632156,17241534,18469549
"47000","5","CA05","81","1969"," Farm earnings","Tennessee state total",255710,269357,266526,326063,492585,318152,250537,371619,299915,319753,341888,196987,361199,302812,-33544,411564,334352,241234,306735,392461,443490,443955,511352,667822,595308,656823,444156,394419,385338,207197,56001,321039
"47000","5","CA05","82","1969"," Nonfarm earnings","Tennessee state total",9904268,10536896,11586326,13152334,14914543,16478555,17340913,19651520,22169993,25573733,28369486,30453171,33180532,34471762,37162268,41276166,44415226,47716543,51952606,56326173,59467329,62784118,65893141,72238124,77327428,83038050,88794251,93153097,98876505,106829178,113453095,119802363
"47000","5","CA05","90","1969","  Private earnings","Tennessee state total",8268791,8747738,9584349,10884997,12422049,13665577,14134168,16122667,18122342,20891701,23183585,24695149,26949071,28087065,30476049,34136579,36627725,39517787,43069945,46803567,49652883,52159057,54897930,60871080,65299411,70159529,75574406,79509429,85196999,92651502,98474343,103950414
"47000","5","CA05","100","1969","   Agricultural services, forestry, and fishing","Tennessee state total",36933,35508,38382,43118,52918,57192,58310,69752,63532,80986,90958,107181,113494,124731,141503,161606,165091,164072,230826,227307,224398,246898,257775,271057,296554,329571,350532,371333,405257,454077,502175,538968
"47000","5","CA05","110","1969","    Agricultural services","Tennessee state total",33007,31294,33919,38273,48095,52321,53358,63747,58262,74690,83546,98120,104165,118048,130477,148187,152572,147666,218625,214968,213893,237213,248685,261515,283947,309805,335596,363134,394666,426260,464588,503394
"47000","5","CA05","120","1969","    Forestry and fishing","Tennessee state total",3926,4214,4463,4845,4823,4871,4952,6005,5270,6296,7412,9061,9329,6683,11026,13419,12519,16406,12201,12339,10505,9685,9090,9542,12607,19766,14936,8199,10591,27817,37587,35574
"47000","5","CA05","121","1969","     Forestry","Tennessee state total",3430,3653,3855,4082,4171,3960,4067,4739,4165,4852,5340,6462,7188,5484,9462,11622,8983,8829,5792,7126,6788,6675,6048,6514,9455,16533,11615,4744,6946,23962,32284,"(D)"
"47000","5","CA05","122","1969","     Fishing","Tennessee state total",496,561,608,763,652,911,885,1266,1105,1444,2072,2599,2141,1199,1564,1797,3536,7577,6409,5213,3717,3010,3042,3028,3152,3233,3321,3455,3645,3855,5303,"(D)"
"47000","5","CA05","200","1969","   Mining","Tennessee state total",54229,62064,70424,80719,88869,150428,184339,170377,301890,319676,327621,321987,340381,327803,276708,302931,303161,163011,176582,388667,306465,298520,307958,291047,268053,249894,252235,270509,302588,311209,301026,300138
"47000","5","CA05","210","1969","    Metal mining","Tennessee state total",13631,15567,17543,17636,14242,26948,20637,8460,34783,38397,45942,38059,45963,32994,26649,17411,16243,41614,43388,53430,42793,36833,37827,37323,36009,39733,43525,42396,36889,39205,37651,"(D)"
