"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"49000","7","CA05","10","1969","Personal income","Utah state total",3251099,3611237,4016049,4505225,5044791,5680307,6383606,7322002,8350739,9624760,11033558,12505546,14164852,15509675,16755896,18447506,19592700,20489507,21231293,22235719,23782174,25703869,27549134,29635837,31978241,34847778,37795185,41150761,44517564,48057488,50554948,55024962
"49000","7","CA05","20","1969","Population (persons)","Utah state total",1047000,1065672,1100733,1134601,1168784,1198793,1233935,1272365,1316421,1364235,1416094,1472595,1515472,1558314,1594943,1622342,1642910,1662833,1678120,1689372,1705865,1731223,1779780,1836799,1898404,1960446,2014177,2067976,2119784,2165960,2203482,2244314
"49000","7","CA05","30","1969","Per capita personal income (dollars)","Utah state total",3105,3389,3649,3971,4316,4738,5173,5755,6344,7055,7792,8492,9347,9953,10506,11371,11926,12322,12652,13162,13941,14847,15479,16135,16845,17775,18765,19899,21001,22188,22943,24517
"49000","7","CA05","35","1969"," Earnings by place of work","Utah state total",2766940,3036608,3355619,3770122,4266932,4784072,5277637,6086272,6973952,8045007,9123536,10056811,11237907,11943685,12683688,14112481,14985215,15644845,16373545,17548977,18686230,20442596,22074040,23976293,25934587,28247155,30670426,33262569,36147627,39109610,41540919,44979596
"49000","7","CA05","36","1969"," less: Contributions for government social insurance","Utah state total",175686,191171,218423,260330,338586,395634,432858,502467,575460,677676,810173,896826,1086962,1174964,1267027,1448109,1578147,1658190,1722974,1926053,2091764,2362947,2595221,2811822,3055540,3370663,3679581,3926087,4221721,4490509,4718574,5031317
"49000","7","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Utah state total",87124,94583,107085,125891,163618,190471,207313,234836,267732,310402,376873,422418,518895,564551,597187,669333,750572,794300,831701,934761,1023565,1151618,1265248,1368860,1486710,1640865,1804882,1946477,2109424,2234291,2374697,2523718
"49000","7","CA05","38","1969","  Employer contributions for government social insurance","Utah state total",88562,96588,111338,134439,174968,205163,225545,267631,307728,367274,433300,474408,568067,610413,669840,778776,827575,863890,891273,991292,1068199,1211329,1329973,1442962,1568830,1729798,1874699,1979610,2112297,2256218,2343877,2507599
"49000","7","CA05","42","1969"," plus: Adjustment for residence","Utah state total",2392,2208,2943,5427,8060,11229,14229,17388,21928,27191,35725,52085,53315,53370,42423,37581,39415,34220,24311,23069,20739,16063,10567,5774,6559,6051,-221,85,-48,-6335,-2377,2042
"49000","7","CA05","45","1969"," equals: Net earnings by place of residence","Utah state total",2593646,2847645,3140139,3515219,3936406,4399667,4859008,5601193,6420420,7394522,8349088,9212070,10204260,10822091,11459084,12701953,13446483,14020875,14674882,15645993,16615205,18095712,19489386,21170245,22885606,24882543,26990624,29336567,31925858,34612766,36819968,39950321
"49000","7","CA05","46","1969"," plus: Dividends, interest, and rent","Utah state total",409558,465074,523469,588136,636740,742905,851158,990479,1143805,1353835,1686412,2117929,2583263,3104070,3570689,3966083,4213264,4377640,4315160,4255831,4592263,4782913,4935651,4999221,5333316,6092116,6613516,7381455,7986015,8635161,8647547,9609804
"49000","7","CA05","47","1969"," plus: Personal current transfer receipts","Utah state total",247895,298518,352441,401870,471645,537735,673440,730330,786514,876403,998058,1175547,1377329,1583514,1726123,1779470,1932953,2090992,2241251,2333895,2574706,2825244,3124097,3466371,3759319,3873119,4191045,4432739,4605691,4809561,5087433,5464837
"49000","7","CA05","50","1969"," Wage and salary disbursements","Utah state total",2197687,2417977,2648469,2948484,3297354,3696796,4043805,4581550,5213944,6038149,6864750,7629858,8609944,9157683,9639639,10669778,11380479,11812828,12306890,13150876,14074481,15272059,16419156,17753099,18912974,20616733,22600238,24614458,26789205,28816460,30634770,32976639
"49000","7","CA05","60","1969"," Supplements to wages and salaries","Utah state total",225550,258842,314114,369816,441588,535566,641517,781218,943289,1108285,1294346,1480551,1726070,1889619,2044781,2256115,2404752,2505899,2608309,2763257,3025908,3376540,3782197,4171716,4558903,4910686,5234803,5480610,5695791,6168076,6499649,7080858
"49000","7","CA05","61","1969","  Employer contributions for employee pension and insurance funds","Utah state total",136988,162254,202776,235377,266620,330403,415972,513587,635561,741011,861046,1006143,1158003,1279206,1374941,1477339,1577177,1642009,1717036,1771965,1957709,2165211,2452224,2728754,2990073,3180888,3360104,3501000,3583494,3911858,4155772,4573259
"49000","7","CA05","62","1969","  Employer contributions for government social insurance","Utah state total",88562,96588,111338,134439,174968,205163,225545,267631,307728,367274,433300,474408,568067,610413,669840,778776,827575,863890,891273,991292,1068199,1211329,1329973,1442962,1568830,1729798,1874699,1979610,2112297,2256218,2343877,2507599
"49000","7","CA05","70","1969"," Proprietors' income","Utah state total",343703,359789,393036,451822,527990,551710,592315,723504,816719,898573,964440,946402,901893,896383,999268,1186588,1199984,1326118,1458346,1634844,1585841,1793997,1872687,2051478,2462710,2719736,2835385,3167501,3662631,4125074,4406500,4922099
"49000","7","CA05","71","1969","  Farm proprietors' income","Utah state total",53151,57450,57370,70377,108030,71518,41071,44696,32472,29601,36772,10392,-6543,-9241,-15650,7045,7794,42661,86519,158370,149949,187277,169541,214666,227044,127033,70221,81964,93207,127706,131960,84727
"49000","7","CA05","72","1969","  Nonfarm proprietors' income","Utah state total",290552,302339,335666,381445,419960,480192,551244,678808,784247,868972,927668,936010,908436,905624,1014918,1179543,1192190,1283457,1371827,1476474,1435892,1606720,1703146,1836812,2235666,2592703,2765164,3085537,3569424,3997368,4274540,4837372
"49000","7","CA05","81","1969"," Farm earnings","Utah state total",73714,77557,76935,88297,130065,96496,67339,74256,63754,71686,82390,59969,42057,45721,36224,56793,56591,86988,130937,209765,205176,252608,233404,279710,300815,219728,166475,173088,198100,232812,239806,205445
"49000","7","CA05","82","1969"," Nonfarm earnings","Utah state total",2693226,2959051,3278684,3681825,4136867,4687576,5210298,6012016,6910198,7973321,9041146,9996842,11195850,11897964,12647464,14055688,14928624,15557857,16242608,17339212,18481054,20189988,21840636,23696583,25633772,28027427,30503951,33089481,35949527,38876798,41301113,44774151
"49000","7","CA05","90","1969","  Private earnings","Utah state total",1939719,2111365,2311531,2665019,3058888,3493395,3876930,4531041,5236695,6125428,7024169,7741090,8671447,9151553,9679450,10863209,11418129,11829015,12404558,13306791,14220819,15590174,16865237,18393376,20188803,22354676,24500349,26805908,29320716,31861040,33889265,36775801
"49000","7","CA05","100","1969","   Agricultural services, forestry, and fishing","Utah state total",6715,6787,8017,9833,10704,12255,13175,16267,16298,19864,22958,27306,28272,30777,36519,43671,51312,44191,50986,49543,49264,54506,60722,67471,75409,81982,92951,109190,118456,127384,143225,162363
"49000","7","CA05","110","1969","    Agricultural services","Utah state total","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",30479,35107,42517,49859,42201,48575,47217,47290,52343,58887,65583,73066,78970,84962,94047,103951,"(D)",134532,152791
"49000","7","CA05","120","1969","    Forestry and fishing","Utah state total","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",298,1412,1154,1453,1990,2411,2326,1974,2163,1835,1888,2343,3012,7989,15143,14505,"(D)",8693,9572
"49000","7","CA05","121","1969","     Forestry","Utah state total",126,128,155,274,295,333,323,583,250,229,284,411,454,"(L)",1031,754,471,291,"(L)",194,216,346,347,292,371,725,298,"(L)","(L)","(D)","(D)","(D)"
"49000","7","CA05","122","1969","     Fishing","Utah state total","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",334,381,400,982,1699,2427,2132,1758,1817,1488,1596,1972,2287,7691,15171,14470,"(D)","(D)","(D)"
"49000","7","CA05","200","1969","   Mining","Utah state total",122123,133385,133793,146465,164702,203353,230062,264436,325496,377629,467480,549098,690803,680443,530854,493983,393589,317551,333577,364909,374783,400999,385193,410937,422421,437956,451735,453678,496864,513380,498757,554841
"49000","7","CA05","210","1969","    Metal mining","Utah state total",86227,94937,93702,93695,99705,118024,123121,140479,173499,201194,238850,252555,315587,271878,230525,182904,92140,78678,112873,128592,133693,145138,131828,142424,151578,165727,181628,178071,181884,189356,176661,186122
"49000","7","CA05","220","1969","    Coal mining","Utah state total",13809,16566,17567,20988,25834,31656,45903,62950,75285,84092,119493,142062,164904,207625,136678,126340,133493,127065,113313,132029,129165,136370,131542,134336,132686,131749,135441,144533,160786,159176,150781,146096
"49000","7","CA05","230","1969","    Oil and gas extraction","Utah state total",10590,11678,13796,22853,30103,43055,48652,46926,61426,76160,90083,132176,183253,172451,137821,159798,140290,84284,82867,78652,83501,88863,90295,99607,101892,97383,95577,89375,107463,115008,107278,155671
"49000","7","CA05","240","1969","    Nonmetallic minerals, except fuels","Utah state total",11497,10204,8728,8929,9060,10618,12386,14081,15286,16183,19054,22305,27059,28489,25830,24941,27666,27524,24524,25636,28424,30628,31528,34570,36265,43097,39089,41699,46731,49840,64037,66952
"49000","7","CA05","300","1969","   Construction","Utah state total",167363,184081,223605,289565,344638,387030,427230,563234,662681,750041,838028,831590,807057,815648,897805,1117805,1140196,1088245,970821,954996,1001311,1113836,1286639,1419362,1656073,2073430,2383839,2661749,2885584,3137714,3448146,3719185
"49000","7","CA05","310","1969","    General building contractors","Utah state total",42528,47563,55578,75609,102550,109817,129654,174230,209142,229995,249730,231999,210171,196059,233636,308615,314336,328071,280889,264446,253201,273258,315971,388917,451332,550489,617305,695373,760886,821260,879560,956032
"49000","7","CA05","320","1969","    Heavy construction contractors","Utah state total",38079,39555,50955,55541,58028,62670,74783,107203,125175,149841,159967,160774,176460,202289,201270,199178,179494,142916,131907,115130,138892,140730,195453,177565,176663,190246,253442,264461,316831,368404,383290,385427
"49000","7","CA05","330","1969","    Special trade contractors","Utah state total",86756,96963,117072,158415,184060,214543,222793,281801,328364,370205,428331,438817,420426,417300,462899,610012,646366,617258,558025,575420,609218,699848,775215,852880,1028078,1332695,1513092,1701915,1807867,1948050,2185296,2377726
"49000","7","CA05","400","1969","   Manufacturing","Utah state total",438677,469408,492617,565388,651932,762745,830099,939048,1095133,1279827,1525369,1703406,1937235,1990701,2069907,2367145,2505528,2523344,2602331,2877632,3075009,3282688,3435575,3614791,3826625,4132376,4495689,4840117,5107798,5300751,5478696,5768997
"49000","7","CA05","410","1969","    Durable goods","Utah state total",303983,323801,339733,396288,464127,547117,588738,667403,770421,908015,1087422,1261919,1459854,1498382,1559558,1817291,1912282,1893899,1924181,2126984,2273531,2414718,2522907,2649870,2760271,2977282,3219693,3468874,3601777,3728700,3868466,4088668
"49000","7","CA05","413","1969","     Lumber and wood products","Utah state total",8927,8961,10452,13436,16449,18373,28085,33740,41758,52092,58278,56149,55873,50645,58456,68104,71719,66829,64568,67329,72306,77851,79849,82951,98097,118821,114267,126847,130340,127950,142654,148357
"49000","7","CA05","417","1969","     Furniture and fixtures","Utah state total",4456,6130,7873,9972,10773,11527,9585,11400,12231,15792,14008,23243,28432,29631,41553,48674,56433,54119,58153,56150,62794,70581,73924,83810,91856,98976,104592,114099,123272,136646,157336,164198
"49000","7","CA05","420","1969","     Stone, clay, and glass products","Utah state total",21983,23061,27437,32909,39052,44256,44751,52857,61811,71379,85467,85412,86792,83954,91419,117126,121447,121978,111611,97737,104872,109612,107257,113452,133702,148989,171221,194276,198348,218293,211091,223632
"49000","7","CA05","423","1969","     Primary metal industries","Utah state total",94193,97213,96139,110368,124932,144502,150624,171171,199299,224302,249208,266682,322311,262662,219456,229120,204057,145978,116119,211362,236056,245346,246117,277098,294666,318841,354003,368584,364017,343335,293681,315890
"49000","7","CA05","426","1969","     Fabricated metal products","Utah state total",24261,26586,27856,32267,41671,49251,67953,77997,83040,97236,110563,127490,150209,153505,144451,167921,159432,153004,154575,163647,183721,198602,197737,232313,249133,274940,291261,313161,340788,360851,396985,412638
"49000","7","CA05","429","1969","     Industrial machinery and equipment","Utah state total",45187,51755,65277,70054,83751,102311,115576,130776,145868,167415,204235,244916,296478,334014,352142,402841,435525,438061,434497,414155,348858,354063,354008,367347,394910,413531,453619,545666,584817,652161,581727,577443
"49000","7","CA05","432","1969","     Electronic and other electric equipment","Utah state total",22801,23712,16255,21439,25158,27569,34490,39041,45676,64509,92568,131393,154700,175799,183113,228906,214410,220290,218690,238326,320544,331158,343866,325960,303143,300718,266377,294164,312096,292440,436843,450202
"49000","7","CA05","435","1969","     Motor vehicles and equipment","Utah state total",3665,3720,3851,4945,6210,9389,10945,14263,17289,22724,26075,24251,23982,24194,26366,34837,35820,38747,41382,57167,65876,83328,114871,145071,199815,249219,275568,274129,283302,311773,289228,309630
"49000","7","CA05","438","1969","     Other transportation equipment","Utah state total",52533,57949,62475,72602,79434,95356,95911,96143,112236,131481,166721,206190,235200,271135,320755,389506,475646,508880,566312,588066,624646,661293,677645,651996,587725,574241,601672,589458,587676,602131,586916,633860
"49000","7","CA05","441","1969","     Instruments and related products","Utah state total",4211,5464,5710,7047,10019,15494,15520,22003,29301,34266,48358,59892,64934,73665,80358,81088,83607,92457,97005,131148,144117,162773,192683,216150,233073,261091,357674,374051,396320,406352,440221,489423
"49000","7","CA05","444","1969","     Miscellaneous manufacturing industries","Utah state total",6163,7054,9233,11360,13780,15318,15298,18012,21912,26819,31941,36301,40943,39178,41489,49168,54186,53556,61269,101897,109741,120111,134950,153722,174151,217915,229439,274439,280801,276768,331784,363395
"49000","7","CA05","447","1969","     Ordnance","Utah state total",15603,12196,7175,9889,12898,13771,"(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)"
"49000","7","CA05","450","1969","    Nondurable goods","Utah state total",134694,145607,152884,169100,187805,215628,241361,271645,324712,371812,437947,441487,477381,492319,510349,549854,593246,629445,678150,750648,801478,867970,912668,964921,1066354,1155094,1275996,1371243,1506021,1572051,1610230,1680329
"49000","7","CA05","453","1969","     Food and kindred products","Utah state total",58882,63523,62564,66405,70275,78952,87166,95765,107743,118320,130164,136741,152860,163968,161480,169798,183199,199885,227393,236253,255852,274491,284491,302301,319969,335606,355449,367888,421493,421899,441462,429374
"49000","7","CA05","456","1969","     Tobacco products","Utah state total",0,0,0,0,"(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",60,68,78,"(D)","(D)","(D)",88,67,"(L)","(L)","(L)","(L)","(L)",0,0,0,0,0,0,0
"49000","7","CA05","459","1969","     Textile mill products","Utah state total","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",962,1632,1998,1183,1365,2996,6076,5430,6029,7228,"(D)","(D)","(D)",12342,10328,9323,13345,12893,12924
"49000","7","CA05","462","1969","     Apparel and other textile products","Utah state total",18708,21303,22665,25668,28971,33637,36449,44786,54577,63842,76079,60792,59811,59570,68498,72321,71028,72769,68967,70091,69788,69980,74142,79300,82629,82642,73321,76388,74029,71531,61452,57985
"49000","7","CA05","465","1969","     Paper and allied products","Utah state total","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",13899,15216,18283,29020,34904,36179,38976,45355,52127,56342,60555,70282,75514,83131,89228,100830,109718,114683,125889
"49000","7","CA05","468","1969","     Printing and publishing","Utah state total",25358,27338,29488,34075,38672,43231,47829,53980,66868,80174,104042,102265,104065,109455,123499,132290,144878,156054,166239,184911,199907,222102,229081,246078,265209,292157,332082,361281,396603,414726,404515,433545
