"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"51000","5","CA05","10","1969","Personal income","Virginia state total",16427696,17669113,19442856,21660698,24392880,27305953,30135807,33613897,37443033,42407577,47653667,54257738,61121276,66437300,72303866,80697057,87349706,94082315,101979861,111335664,120040778,126277751,132030198,140101100,147090659,155163037,162498322,171164804,182302795,194596525,207326101,224787655
"51000","5","CA05","20","1969","Population (persons)","Virginia state total",4614000,4659930,4752846,4828131,4906648,4978155,5056385,5132693,5205706,5284122,5324533,5368334,5444094,5492785,5564662,5643868,5715149,5811692,5932273,6036908,6120246,6216884,6301217,6414307,6509630,6593139,6670693,6750884,6829183,6900918,7000174,7104533
"51000","5","CA05","30","1969","Per capita personal income (dollars)","Virginia state total",3560,3792,4091,4486,4971,5485,5960,6549,7193,8025,8950,10107,11227,12095,12993,14298,15284,16188,17191,18442,19614,20312,20953,21842,22596,23534,24360,25354,26695,28199,29617,31640
"51000","5","CA05","35","1969"," Earnings by place of work","Virginia state total",13421074,14431284,15839271,17717289,20036616,22181326,23817993,26627894,29690986,33594351,37354530,41240993,45870226,49204108,53741869,60867829,66510833,72256085,79312404,86717285,92400471,96206066,99706052,105870696,110964806,116691973,122057398,128938714,137937029,148382945,159659452,175509718
"51000","5","CA05","36","1969"," less: Contributions for government social insurance","Virginia state total",800451,870696,1000067,1167494,1484374,1700947,1820877,2070930,2302055,2621212,3049898,3387534,4044986,4406329,4947073,5703518,6437779,7280799,7982448,9037551,9809424,10388089,10866821,11472305,12069561,12781160,13319008,13998327,14998661,16086713,17311601,18670835
"51000","5","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Virginia state total",401000,431529,487373,564719,728349,833973,881453,979784,1087035,1240109,1457920,1635737,1987316,2186920,2422498,2750321,3194523,3625796,4003509,4551159,4991851,5257875,5519861,5798102,6127189,6548326,6883524,7230240,7759766,8318616,8993973,9684229
"51000","5","CA05","38","1969","  Employer contributions for government social insurance","Virginia state total",399451,439167,512694,602775,756025,866974,939424,1091146,1215020,1381103,1591978,1751797,2057670,2219409,2524575,2953197,3243256,3655003,3978939,4486392,4817573,5130214,5346960,5674203,5942372,6232834,6435484,6768087,7238895,7768097,8317628,8986606
"51000","5","CA05","42","1969"," plus: Adjustment for residence","Virginia state total",956356,851389,876674,933128,1004924,1134461,1393968,1616996,1856630,2189108,2582348,3153869,3366577,3431417,3423990,3529211,3644636,3792260,3992689,4364031,4586866,5337705,5859042,6308182,6737072,6718575,6926416,6386396,6947029,6618048,7985794,6049587
"51000","5","CA05","45","1969"," equals: Net earnings by place of residence","Virginia state total",13576979,14411977,15715878,17482923,19557166,21614840,23391084,26173960,29245561,33162247,36886980,41007328,45191817,48229196,52218786,58693522,63717690,68767546,75322645,82043765,87177913,91155682,94698273,100706573,105632317,110629388,115664806,121326783,129885397,138914280,150333645,162888470
"51000","5","CA05","46","1969"," plus: Dividends, interest, and rent","Virginia state total",1871959,2077612,2313679,2555911,2898167,3389629,3797120,4220007,4743500,5427831,6385008,8041487,9915188,11635875,12976349,14482575,15593925,16796026,17808782,19843424,22523385,23901491,24942242,25454053,26707830,28917565,29958008,32022341,33982023,36598732,36839020,40294870
"51000","5","CA05","47","1969"," plus: Personal current transfer receipts","Virginia state total",978758,1179524,1413299,1621864,1937547,2301484,2947603,3219930,3453972,3817499,4381679,5208923,6014271,6572229,7108731,7520960,8038091,8518743,8848434,9448475,10339480,11220578,12389683,13940474,14750512,15616084,16875508,17815680,18435375,19083513,20153436,21604315
"51000","5","CA05","50","1969"," Wage and salary disbursements","Virginia state total",11024459,11832864,12878782,14274107,16095137,17711402,18757404,20721525,22880226,25634068,28621472,31724483,35154715,37817656,40980860,45628171,49980218,54521613,60002056,65236016,69888227,73384122,75284673,79632818,82930313,87132416,91269830,96626201,103770643,112122498,121001080,132391443
"51000","5","CA05","60","1969"," Supplements to wages and salaries","Virginia state total",1161502,1325233,1608690,1866990,2198661,2654493,3144740,3730062,4413734,5034878,5788612,6688142,7725884,8539838,9475200,11071414,12083863,13101423,14005786,15011510,16212891,16966931,18012076,19343717,20294610,21393826,21581931,22423170,23342522,24809189,26246256,28927304
"51000","5","CA05","61","1969","  Employer contributions for employee pension and insurance funds","Virginia state total",762051,886066,1095996,1264215,1442636,1787519,2205316,2638916,3198714,3653775,4196634,4936345,5668214,6320429,6950625,8118217,8840607,9446420,10026847,10525118,11395318,11836717,12665116,13669514,14352238,15160992,15146447,15655083,16103627,17041092,17928628,19940698
"51000","5","CA05","62","1969","  Employer contributions for government social insurance","Virginia state total",399451,439167,512694,602775,756025,866974,939424,1091146,1215020,1381103,1591978,1751797,2057670,2219409,2524575,2953197,3243256,3655003,3978939,4486392,4817573,5130214,5346960,5674203,5942372,6232834,6435484,6768087,7238895,7768097,8317628,8986606
