"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"53000","8","CA05","10","1969","Personal income","Washington state total",13657040,14315584,15031200,16246149,18374279,20904884,23648023,26441314,29411510,34276322,39513569,44912337,50125931,53177320,56521600,60690177,64324253,68669300,72917703,79133433,87356932,96282227,103440724,111373047,116870584,123527654,130328400,140803466,151795374,166286571,178319432,191561542
"53000","8","CA05","20","1969","Population (persons)","Washington state total",3343000,3417362,3446958,3446815,3477227,3547877,3618824,3690561,3772360,3886191,4012831,4154678,4235728,4276551,4300269,4343657,4400096,4452724,4531903,4639894,4746315,4903043,5025624,5160757,5278842,5375161,5481027,5569753,5674747,5769562,5842564,5911122
"53000","8","CA05","30","1969","Per capita personal income (dollars)","Washington state total",4085,4189,4361,4713,5284,5892,6535,7165,7797,8820,9847,10810,11834,12435,13144,13972,14619,15422,16090,17055,18405,19637,20583,21581,22139,22981,23778,25280,26749,28821,30521,32407
"53000","8","CA05","35","1969"," Earnings by place of work","Washington state total",11556789,11709256,12110064,13190884,15095375,17069019,19037315,21523409,24197106,28558912,32982970,36332846,39590711,40947255,43245878,46129181,48782593,52464973,56181567,61460376,66922119,74390099,80018827,87305865,91346991,95534509,99982268,107443566,116295103,128506993,140089079,149953697
"53000","8","CA05","36","1969"," less: Contributions for government social insurance","Washington state total",910089,912903,980539,1116910,1437600,1658956,1839755,2139604,2459376,2977169,3566586,3861619,4530817,4752018,5114483,5647801,6087556,6585782,7025887,7929475,8664765,9828726,10700998,11692467,12200070,12897432,13497244,14109786,14894278,16338443,17094406,18500096
"53000","8","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Washington state total",376195,382402,409938,458615,592591,690107,767987,862286,967300,1155726,1390485,1546720,1834605,1950062,2058094,2216952,2496761,2743356,2950489,3371597,3775203,4299845,4700393,5084277,5230094,5558841,5874908,6233314,6808059,7411147,7889066,8442271
"53000","8","CA05","38","1969","  Employer contributions for government social insurance","Washington state total",533894,530501,570601,658295,845009,968849,1071768,1277318,1492076,1821443,2176101,2314899,2696212,2801956,3056389,3430849,3590795,3842426,4075398,4557878,4889562,5528881,6000605,6608190,6969976,7338591,7622336,7876472,8086219,8927296,9205340,10057825
"53000","8","CA05","42","1969"," plus: Adjustment for residence","Washington state total",83064,64654,63206,73122,89632,133080,199755,247027,226823,269398,321670,387066,431160,463090,483700,540958,583612,607019,657851,749110,834003,927109,993788,1093456,1187318,1231849,1381847,1582484,1733522,1840215,1955131,2199467
"53000","8","CA05","45","1969"," equals: Net earnings by place of residence","Washington state total",10729764,10861007,11192731,12147096,13747407,15543143,17397315,19630832,21964553,25851141,29738054,32858293,35491054,36658327,38615095,41022338,43278649,46486210,49813531,54280011,59091357,65488482,70311617,76706854,80334239,83868926,87866871,94916264,103134347,114008765,124949804,133653068
"53000","8","CA05","46","1969"," plus: Dividends, interest, and rent","Washington state total",1850352,2019540,2167487,2314595,2615909,3010034,3343470,3653706,4142678,4841484,5764079,7146898,8932146,10103163,10896956,12298256,13118490,13776508,14249324,15220452,17686560,19167336,19970381,20148867,20998148,23305951,25013363,27610524,29713097,32579288,32458633,35567509
