"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"55000","3","CA05","10","1969","Personal income","Wisconsin state total",16404152,17621473,18912876,20698372,23167859,25499135,27829804,30620497,34150524,38198882,42911183,47518940,51862137,54727003,56778811,62093651,65132488,68594242,72540708,76929464,83494408,88212654,91809319,98871998,103722102,110630173,116074253,122953065,130478341,141019347,147461519,156602874
"55000","3","CA05","20","1969","Population (persons)","Wisconsin state total",4378000,4425944,4459968,4498433,4518461,4538173,4569616,4584688,4613299,4631944,4665911,4712045,4726345,4728862,4721438,4735571,4747765,4755625,4777923,4822391,4856568,4904562,4964343,5025398,5084889,5133678,5184836,5229986,5266213,5297672,5332666,5374254
"55000","3","CA05","30","1969","Per capita personal income (dollars)","Wisconsin state total",3747,3981,4241,4601,5127,5619,6090,6679,7403,8247,9197,10085,10973,11573,12026,13112,13719,14424,15182,15953,17192,17986,18494,19674,20398,21550,22387,23509,24777,26619,27652,29139
"55000","3","CA05","35","1969"," Earnings by place of work","Wisconsin state total",13313021,14035676,14939413,16445318,18631518,20229273,21496913,23958492,27084685,30468741,34086918,36184499,38200676,39106419,40522967,44920945,47163356,49979963,53576641,57420053,61696524,65478557,68114639,74064682,78272076,83713506,87418269,91958201,97414767,105299548,112008314,117901385
"55000","3","CA05","36","1969"," less: Contributions for government social insurance","Wisconsin state total",933839,974348,1070443,1247973,1614730,1840973,1927971,2188119,2443551,2846911,3307180,3507306,3992209,4150049,4359513,4904543,5208780,5503868,5811393,6531388,6956428,7735095,8194102,8832491,9380616,10113226,10623255,11057971,11729194,12443016,13196416,13836829
"55000","3","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Wisconsin state total",461202,484537,529948,604974,774295,888168,938723,1031806,1138552,1308522,1534257,1649356,1886161,1972169,2056149,2258360,2483903,2649733,2834850,3216719,3516165,3895516,4144495,4449888,4691769,5063631,5357856,5574175,5929951,6269306,6693469,7004352
"55000","3","CA05","38","1969","  Employer contributions for government social insurance","Wisconsin state total",472637,489811,540495,642999,840435,952805,989248,1156313,1304999,1538389,1772923,1857950,2106048,2177880,2303364,2646183,2724877,2854135,2976543,3314669,3440263,3839579,4049607,4382603,4688847,5049595,5265399,5483796,5799243,6173710,6502947,6832477
"55000","3","CA05","42","1969"," plus: Adjustment for residence","Wisconsin state total",248723,253150,263815,287467,313238,339269,345384,390407,431928,486819,525273,548188,601164,620115,675451,791753,879979,960525,1064822,1232673,1263879,1351915,1378428,1512536,1570843,1688860,1786954,1936304,2157042,2302604,2485859,2719916
"55000","3","CA05","45","1969"," equals: Net earnings by place of residence","Wisconsin state total",12627905,13314478,14132785,15484812,17330026,18727569,19914326,22160780,25073062,28108649,31305011,33225381,34809631,35576485,36838905,40808155,42834555,45436620,48830070,52121338,56003975,59095377,61298965,66744727,70462303,75289140,78581968,82836534,87842615,95159136,101297757,106784472
"55000","3","CA05","46","1969"," plus: Dividends, interest, and rent","Wisconsin state total",2417194,2708140,2910190,3134331,3472874,3960412,4387856,4642596,5029216,5619057,6476115,8045437,9946248,11223224,11421279,12561381,13029539,13598116,13934817,14681724,16579800,17417732,17808644,18362703,18913936,20549934,21835313,23910889,25901510,28695565,28271197,30578511
"55000","3","CA05","47","1969"," plus: Personal current transfer receipts","Wisconsin state total",1359053,1598855,1869901,2079229,2364959,2811154,3527622,3817121,4048246,4471176,5130057,6248122,7106258,7927294,8518627,8724115,9268394,9559506,9775821,10126402,10910633,11699545,12701710,13764568,14345863,14791099,15656972,16205642,16734216,17164646,17892565,19239891
"55000","3","CA05","50","1969"," Wage and salary disbursements","Wisconsin state total",10263716,10888896,11491191,12585897,14148209,15553845,16373993,18135767,20102679,22774337,25424713,27066486,28897485,29720638,30895500,33707909,35382032,37363160,39948014,43400747,45830256,49178408,51313253,55423946,58260025,62018111,65647138,69123659,74003002,78962977,83737701,88462090
"55000","3","CA05","60","1969"," Supplements to wages and salaries","Wisconsin state total",1168717,1280044,1443221,1683388,2038955,2337569,2631261,3101988,3659559,4231216,4810485,5269564,5726498,6043395,6420363,6984715,7349903,7778545,8291633,9037870,9614926,10580240,11421438,12658407,13854978,14835660,14974036,15028390,15303628,16378244,17337337,18377442
"55000","3","CA05","61","1969","  Employer contributions for employee pension and insurance funds","Wisconsin state total",696080,790233,902726,1040389,1198520,1384764,1642013,1945675,2354560,2692827,3037562,3411614,3620450,3865515,4116999,4338532,4625026,4924410,5315090,5723201,6174663,6740661,7371831,8275804,9166131,9786065,9708637,9544594,9504385,10204534,10834390,11544965
"55000","3","CA05","62","1969","  Employer contributions for government social insurance","Wisconsin state total",472637,489811,540495,642999,840435,952805,989248,1156313,1304999,1538389,1772923,1857950,2106048,2177880,2303364,2646183,2724877,2854135,2976543,3314669,3440263,3839579,4049607,4382603,4688847,5049595,5265399,5483796,5799243,6173710,6502947,6832477
"55000","3","CA05","70","1969"," Proprietors' income","Wisconsin state total",1880588,1866736,2005001,2176033,2444354,2337859,2491659,2720737,3322447,3463188,3851720,3848449,3576693,3342386,3207104,4228321,4431421,4838258,5336994,4981436,6251342,5719909,5379948,5982329,6157073,6859735,6797095,7806152,8108137,9958327,10933276,11061853
"55000","3","CA05","71","1969","  Farm proprietors' income","Wisconsin state total",553943,549086,600677,631336,803280,658575,708395,599376,969995,904189,1148416,1163586,885827,685833,154378,693250,724331,1030819,1146378,529750,1369245,935601,540514,765451,435422,703800,283762,832530,424337,737380,725227,192500
"55000","3","CA05","72","1969","  Nonfarm proprietors' income","Wisconsin state total",1326645,1317650,1404324,1544697,1641074,1679284,1783264,2121361,2352452,2558999,2703304,2684863,2690866,2656553,3052726,3535071,3707090,3807439,4190616,4451686,4882097,4784308,4839434,5216878,5721651,6155935,6513333,6973622,7683800,9220947,10208049,10869353
"55000","3","CA05","81","1969"," Farm earnings","Wisconsin state total",637988,639258,692921,729490,915699,805873,867375,762654,1144856,1129008,1407288,1446246,1175378,1025470,471969,1001743,1027913,1306072,1422650,862670,1740032,1397071,1018508,1278895,958568,1225625,802012,1371959,1004858,1373575,1321953,879623
"55000","3","CA05","82","1969"," Nonfarm earnings","Wisconsin state total",12675033,13396418,14246492,15715828,17715819,19423400,20629538,23195838,25939829,29339733,32679630,34738253,37025298,38080949,40050998,43919202,46135443,48673891,52153991,56557383,59956492,64081486,67096131,72785787,77313508,82487881,86616257,90586242,96409909,103925973,110686361,117021762
"55000","3","CA05","90","1969","  Private earnings","Wisconsin state total",10872443,11330145,11947655,13217887,14957129,16452226,17282776,19545892,21982768,24966577,27980537,29547953,31460736,31874606,33519637,36972729,38645081,40731443,43860263,47683886,50618892,53979437,56322065,61119403,64874407,69479622,73118719,76594945,82049729,88953195,95021532,100407846
"55000","3","CA05","100","1969","   Agricultural services, forestry, and fishing","Wisconsin state total",52254,54038,59942,64079,71017,78442,82725,104266,93498,119667,142535,166741,168524,178435,205541,241355,236823,234390,300570,306330,314177,352534,374995,396197,418995,417934,423368,430787,452644,518560,600179,610424
"55000","3","CA05","110","1969","    Agricultural services","Wisconsin state total",49158,49213,55093,58444,63490,69936,75988,93953,87422,112482,133702,154376,158495,176179,184734,215593,211378,212203,292985,291743,300281,336840,357936,380341,400333,395347,403476,414270,434307,495210,570609,581762
"55000","3","CA05","120","1969","    Forestry and fishing","Wisconsin state total",3096,4825,4849,5635,7527,8506,6737,10313,6076,7185,8833,12365,10029,2256,20807,25762,25445,22187,7585,14587,13896,15694,17059,15856,18662,22587,19892,16517,18337,23350,29570,28662
"55000","3","CA05","121","1969","     Forestry","Wisconsin state total",1927,2968,3321,3832,5333,5433,4716,6946,3347,4157,4859,7218,8282,990,18470,24742,19578,14102,2209,7352,8073,10021,11253,9898,12416,16009,12435,9129,10438,15450,21495,21167
"55000","3","CA05","122","1969","     Fishing","Wisconsin state total",1169,1857,1528,1803,2194,3073,2021,3367,2729,3028,3974,5147,1747,1266,2337,1020,5867,8085,5376,7235,5823,5673,5806,5958,6246,6578,7457,7388,7899,7900,8075,7495
"55000","3","CA05","200","1969","   Mining","Wisconsin state total",34027,36931,32178,42569,46155,69089,78697,86978,109168,98368,116308,161830,166688,141877,89467,102846,126653,57405,124535,120878,95692,97075,96412,110611,117154,127907,132231,139518,151589,172852,185882,193032
