"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"56000","7","CA05","10","1969","Personal income","Wyoming state total",1180169,1305054,1447457,1627524,1904393,2241917,2557352,2856789,3354964,4035748,4751019,5532918,6297633,6759750,6482729,6773458,7064392,7059995,6814386,6893275,7508930,8125388,8537129,9019166,9492154,9961613,10361878,10853179,11636161,12513157,13372433,14463473
"56000","7","CA05","20","1969","Population (persons)","Wyoming state total",329000,333795,340023,346863,353353,364548,380477,395446,411530,430897,451850,474185,491712,506400,510344,504895,499696,495633,476966,465103,458373,453690,459260,466251,473081,480283,485160,488167,489451,490787,491780,493958
"56000","7","CA05","30","1969","Per capita personal income (dollars)","Wyoming state total",3587,3910,4257,4692,5389,6150,6721,7224,8152,9366,10515,11668,12808,13349,12703,13416,14137,14244,14287,14821,16382,17910,18589,19344,20065,20741,21358,22233,23774,25496,27192,29281
"56000","7","CA05","35","1969"," Earnings by place of work","Wyoming state total",971335,1061023,1171666,1341014,1589131,1884778,2137596,2403197,2853749,3470513,4108149,4742057,5323782,5398405,5117900,5314897,5546120,5479362,5187648,5230920,5594217,6043290,6281306,6641797,7056644,7302179,7488454,7714327,8247333,8722212,9359035,10112151
"56000","7","CA05","36","1969"," less: Contributions for government social insurance","Wyoming state total",66235,71929,81233,95673,127956,159039,181799,213059,249497,308745,380960,441734,545613,569377,522421,560304,599135,581009,550022,598493,620506,690098,737341,769949,808590,856695,880451,899285,934797,990532,1039294,1101470
"56000","7","CA05","37","1969","  Employee and self-employed contributions for government social insurance","Wyoming state total",33288,36096,40223,46899,62202,75542,86053,99290,114890,142495,175774,205493,256611,267545,243631,253835,278736,273078,265470,292211,308470,342561,368014,387814,405915,431057,445269,455903,472503,504868,525730,556659
"56000","7","CA05","38","1969","  Employer contributions for government social insurance","Wyoming state total",32947,35833,41010,48774,65754,83497,95746,113769,134607,166250,205186,236241,289002,301832,278790,306469,320399,307931,284552,306282,312036,347537,369327,382135,402675,425638,435182,443382,462294,485664,513564,544811
"56000","7","CA05","42","1969"," plus: Adjustment for residence","Wyoming state total",13,130,-804,-3033,-6978,-13557,-16152,-22681,-29630,-39058,-55990,-76588,-87246,-83926,-61553,-55525,-53984,-42750,-27694,-23088,-15637,-12185,-2135,-7694,-10024,-9378,-7058,-2311,2964,5289,4120,11666
"56000","7","CA05","45","1969"," equals: Net earnings by place of residence","Wyoming state total",905113,989224,1089629,1242308,1454197,1712182,1939645,2167457,2574622,3122710,3671199,4223735,4690923,4745102,4533926,4699068,4893001,4855603,4609932,4609339,4958074,5341007,5541830,5864154,6238030,6436106,6600945,6812731,7315500,7736969,8323861,9022347
"56000","7","CA05","46","1969"," plus: Dividends, interest, and rent","Wyoming state total",186394,213084,239093,255819,298347,357556,409863,457729,526400,627133,749340,917413,1136208,1473324,1308814,1441815,1499736,1464805,1453999,1502563,1709022,1878907,1983936,2036387,2035141,2237107,2389063,2596436,2838768,3252640,3460272,3732234
"56000","7","CA05","47","1969"," plus: Personal current transfer receipts","Wyoming state total",88662,102746,118735,129397,151849,172179,207844,231603,253942,285905,330480,391770,470502,541324,639989,632575,671655,739587,750455,781373,841834,905474,1011363,1118625,1218983,1288400,1371870,1444012,1481893,1523548,1588300,1708892
"56000","7","CA05","50","1969"," Wage and salary disbursements","Wyoming state total",723995,785240,854141,951123,1111669,1332824,1530206,1773648,2087142,2514555,2988683,3527764,4056990,4140114,3835618,3957736,4142316,3962008,3706078,3827032,3941183,4235552,4469204,4661930,4883324,5142907,5297116,5437703,5735106,6040788,6387729,6835516
"56000","7","CA05","60","1969"," Supplements to wages and salaries","Wyoming state total",72202,83438,97900,115371,144558,187392,234348,291060,360188,451145,547421,647920,753126,791411,773919,811868,860638,855760,825567,825325,857153,937615,1014842,1074585,1151279,1206583,1219397,1219229,1238854,1290027,1389340,1485447
"56000","7","CA05","61","1969","  Employer contributions for employee pension and insurance funds","Wyoming state total",39255,47605,56890,66597,78804,103895,138602,177291,225581,284895,342235,411679,464124,489579,495129,505399,540239,547829,541015,519043,545117,590078,645515,692450,748604,780945,784215,775847,776560,804363,875776,940636
"56000","7","CA05","62","1969","  Employer contributions for government social insurance","Wyoming state total",32947,35833,41010,48774,65754,83497,95746,113769,134607,166250,205186,236241,289002,301832,278790,306469,320399,307931,284552,306282,312036,347537,369327,382135,402675,425638,435182,443382,462294,485664,513564,544811
"56000","7","CA05","70","1969"," Proprietors' income","Wyoming state total",175138,192345,219625,274520,332904,364562,373042,338489,406419,504813,572045,566373,513666,466880,508363,545293,543166,661594,656003,578563,795881,870123,797260,905282,1022041,952689,971941,1057395,1273373,1391397,1581966,1791188
"56000","7","CA05","71","1969","  Farm proprietors' income","Wyoming state total",38617,46338,54588,91388,110959,63613,18464,-1496,-8631,11517,38067,25805,-8184,-27321,-15909,-36039,-30699,-3554,17206,13488,41844,98402,161693,170942,191640,52695,31465,17460,111141,24877,92228,38701
