"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"12000","Florida state total","5","CA25N 1/","10","...","Total employment (number of jobs)",8938750,9055369,9279218,9655496,10081657,10400599,10557490,10296804,9879406,9813712,10048428,10255574,10544027,10944829,11371094,11708333
"12000","Florida state total","5","CA25N 1/","20","...","  Wage and salary employment",7473528,7515173,7660147,7901881,8177620,8398686,8402503,8127759,7635641,7528307,7612793,7767188,7939949,8199434,8476957,8739974
"12000","Florida state total","5","CA25N 1/","40","...","  Proprietors employment",1465222,1540196,1619071,1753615,1904037,2001913,2154987,2169045,2243765,2285405,2435635,2488386,2604078,2745395,2894137,2968359
"12000","Florida state total","5","CA25N 1/","50","...","    Farm proprietors employment",41702,39135,37541,36179,35397,34112,39647,39133,39008,38954,38943,38636,38694,38634,38338,38155
"12000","Florida state total","5","CA25N 1/","60","...","    Nonfarm proprietors employment 2/",1423520,1501061,1581530,1717436,1868640,1967801,2115340,2129912,2204757,2246451,2396692,2449750,2565384,2706761,2855799,2930204
"12000","Florida state total","5","CA25N 1/","70","111-112","  Farm employment",95765,91782,94945,88398,80374,81106,86636,84077,79639,82145,83250,86584,83389,87406,80429,78308
"12000","Florida state total","5","CA25N 1/","80","...","  Nonfarm employment",8842985,8963587,9184273,9567098,10001283,10319493,10470854,10212727,9799767,9731567,9965178,10168990,10460638,10857423,11290665,11630025
"12000","Florida state total","5","CA25N 1/","90","...","    Private nonfarm employment",7730882,7835256,8042829,8405951,8823424,9123811,9256305,8992519,8594879,8528850,8784278,9004228,9297303,9699074,10126645,10453409
"12000","Florida state total","5","CA25N 1/","100","113-115","      Forestry, fishing, and related activities",64452,63127,59505,61962,61486,62003,62614,61790,62263,61172,60029,59793,62269,64117,61497,60114
"12000","Florida state total","5","CA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",13394,12053,13180,12672,13492,14013,14990,19141,18779,22590,19350,26297,27842,26557,27383,27570
"12000","Florida state total","5","CA25N 1/","300","22","      Utilities",29017,25973,25441,25195,25469,26059,26047,26724,25599,24517,23979,24359,24108,23881,25112,26054
"12000","Florida state total","5","CA25N 1/","400","23","      Construction",585788,603998,642977,700853,801509,864391,803083,693202,561440,501095,488924,501690,533752,573696,611883,653576
"12000","Florida state total","5","CA25N 1/","500","31-33","      Manufacturing",452607,428818,412018,416193,424318,433507,423471,397809,354049,334621,343175,349790,360055,369971,383555,397071
"12000","Florida state total","5","CA25N 1/","600","42","      Wholesale trade",344078,343190,345802,361384,375965,388081,396852,383194,357258,346526,350893,359141,365887,395811,406168,420231
"12000","Florida state total","5","CA25N 1/","700","44-45","      Retail trade",1081271,1077729,1082346,1109559,1149575,1180852,1190753,1153644,1092002,1083824,1124133,1148898,1182156,1225870,1272726,1298323
