"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"25000","Massachusetts state total","1","CA25N 1/","10","...","Total employment (number of jobs)",4076042,4022865,3994490,4033910,4076552,4116422,4210891,4225689,4130425,4118873,4180062,4255596,4354896,4451098,4634225,4720200
"25000","Massachusetts state total","1","CA25N 1/","20","...","  Wage and salary employment",3455251,3387504,3329644,3321383,3333806,3364693,3409202,3416432,3306898,3304140,3343033,3423005,3476147,3543967,3612867,3674116
"25000","Massachusetts state total","1","CA25N 1/","40","...","  Proprietors employment",620791,635361,664846,712527,742746,751729,801689,809257,823527,814733,837029,832591,878749,907131,1021358,1046084
"25000","Massachusetts state total","1","CA25N 1/","50","...","    Farm proprietors employment",5784,5742,5539,5390,5359,5235,6556,6519,6487,6511,6519,6462,6620,6624,6682,6678
"25000","Massachusetts state total","1","CA25N 1/","60","...","    Nonfarm proprietors employment 2/",615007,629619,659307,707137,737387,746494,795133,802738,817040,808222,830510,826129,872129,900507,1014676,1039406
"25000","Massachusetts state total","1","CA25N 1/","70","111-112","  Farm employment",10687,10582,10512,9512,9351,8890,10091,10371,10208,10187,10538,10895,11691,11709,11749,11407
"25000","Massachusetts state total","1","CA25N 1/","80","...","  Nonfarm employment",4065355,4012283,3983978,4024398,4067201,4107532,4200800,4215318,4120217,4108686,4169524,4244701,4343205,4439389,4622476,4708793
"25000","Massachusetts state total","1","CA25N 1/","90","...","    Private nonfarm employment",3607414,3555048,3537580,3588097,3629522,3664914,3752124,3761796,3667838,3654168,3718755,3791508,3887486,3977910,4161905,4245901
"25000","Massachusetts state total","1","CA25N 1/","100","113-115","      Forestry, fishing, and related activities",10611,11846,10398,11126,11049,10826,10729,10856,11016,10927,9759,9851,9836,10069,9965,9787
"25000","Massachusetts state total","1","CA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",2490,2378,2798,2756,2840,2861,2828,3008,2943,3290,2791,3428,3588,3408,3806,3821
"25000","Massachusetts state total","1","CA25N 1/","300","22","      Utilities",12332,11290,10958,10489,10081,10202,10527,10868,10829,11069,10947,10902,10909,11693,12217,12852
"25000","Massachusetts state total","1","CA25N 1/","400","23","      Construction",217577,215957,219329,228888,237054,239628,236439,227320,202820,192585,196498,202012,213556,221050,236763,242983
"25000","Massachusetts state total","1","CA25N 1/","500","31-33","      Manufacturing",399058,359957,333739,322436,315696,309700,306895,297614,271553,265178,265586,263692,263918,263392,263657,260824
"25000","Massachusetts state total","1","CA25N 1/","600","42","      Wholesale trade",150803,145226,144522,147244,145847,148880,149710,147645,138954,133691,134752,132447,134878,140766,143207,147140
"25000","Massachusetts state total","1","CA25N 1/","700","44-45","      Retail trade",410274,410386,410075,412386,413738,409081,409663,405037,392556,392201,397444,397532,401362,404718,415239,418735
"25000","Massachusetts state total","1","CA25N 1/","800","48-49","      Transportation and warehousing",100152,95285,94321,93468,93569,94104,97644,96516,92355,92703,94916,97584,102574,114273,137738,142570
"25000","Massachusetts state total","1","CA25N 1/","900","51","      Information",122381,109471,102274,98939,100166,99836,101152,103355,97528,97857,97436,99566,99398,100022,103056,104067
