"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"24000","Maryland state total","2","CA25N 1/","10","...","Total employment (number of jobs)",3119825,3157590,3193365,3251538,3315028,3383502,3447347,3439470,3371694,3347915,3398359,3440390,3494511,3539352,3605124,3662827
"24000","Maryland state total","2","CA25N 1/","20","...","  Wage and salary employment",2595837,2617631,2622500,2646872,2677583,2713923,2732666,2723040,2645643,2625019,2650584,2685280,2702959,2729028,2769217,2805670
"24000","Maryland state total","2","CA25N 1/","40","...","  Proprietors employment",523988,539959,570865,604666,637445,669579,714681,716430,726051,722896,747775,755110,791552,810324,835907,857157
"24000","Maryland state total","2","CA25N 1/","50","...","    Farm proprietors employment",12200,11618,11069,10782,10716,10379,10978,10973,10800,10806,10783,10545,10853,10771,10770,10852
"24000","Maryland state total","2","CA25N 1/","60","...","    Nonfarm proprietors employment 2/",511788,528341,559796,593884,626729,659200,703703,705457,715251,712090,736992,744565,780699,799553,825137,846305
"24000","Maryland state total","2","CA25N 1/","70","111-112","  Farm employment",18611,18181,16632,16137,15838,15675,15953,15402,15098,15554,15527,17020,16833,17187,16984,18351
"24000","Maryland state total","2","CA25N 1/","80","...","  Nonfarm employment",3101214,3139409,3176733,3235401,3299190,3367827,3431394,3424068,3356596,3332361,3382832,3423370,3477678,3522165,3588140,3644476
"24000","Maryland state total","2","CA25N 1/","90","...","    Private nonfarm employment",2582074,2605046,2642225,2707938,2769154,2830379,2888959,2872541,2798956,2768427,2815210,2853985,2909232,2955138,3020423,3076033
"24000","Maryland state total","2","CA25N 1/","100","113-115","      Forestry, fishing, and related activities",6412,7343,6375,6721,6827,6732,6513,6562,6471,6372,6052,6170,6310,6647,6236,6103
"24000","Maryland state total","2","CA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",3000,2624,2941,2823,3094,3354,3525,4044,3857,4347,3830,4957,5000,4520,4873,4746
"24000","Maryland state total","2","CA25N 1/","300","22","      Utilities",11156,10220,10268,10104,10111,10154,10467,10979,10623,10341,10707,10856,10710,10671,10806,11320
"24000","Maryland state total","2","CA25N 1/","400","23","      Construction",214351,214771,221818,235019,247711,255834,256506,243764,216928,201731,201836,206190,218015,220577,225552,231652
"24000","Maryland state total","2","CA25N 1/","500","31-33","      Manufacturing",174398,162271,152935,149081,145606,141847,139174,135468,126937,122327,121144,117592,116805,113665,113992,114049
"24000","Maryland state total","2","CA25N 1/","600","42","      Wholesale trade",101601,100921,99441,101275,103376,104871,104547,102000,96740,94357,95861,95379,95486,99212,100767,102572
"24000","Maryland state total","2","CA25N 1/","700","44-45","      Retail trade",349523,348338,350177,353673,358943,360653,363601,351967,336141,331231,338234,340317,342178,345305,348933,351893
"24000","Maryland state total","2","CA25N 1/","800","48-49","      Transportation and warehousing",91473,90477,87821,89748,91828,94665,96404,93044,89889,89410,91763,95291,98275,105215,125364,129439
"24000","Maryland state total","2","CA25N 1/","900","51","      Information",69737,63199,61666,61204,62730,63952,64568,64056,59855,57322,54727,53075,53130,53240,51522,51508
"24000","Maryland state total","2","CA25N 1/","1000","52","      Finance and insurance",139771,142376,145985,147021,149254,151286,157088,160921,166865,160581,167900,165473,165206,160587,162363,161968
"24000","Maryland state total","2","CA25N 1/","1100","53","      Real estate and rental and leasing",123452,127038,136042,147357,161881,168876,174778,170670,164741,167249,170648,166821,168711,173917,178214,184239
"24000","Maryland state total","2","CA25N 1/","1200","54","      Professional, scientific, and technical services",281701,283528,290038,300694,306573,314322,326026,332196,329584,329361,332621,337757,341730,346067,353739,362129
"24000","Maryland state total","2","CA25N 1/","1300","55","      Management of companies and enterprises",11207,11238,11636,17352,19591,21469,22088,23435,22160,21849,24427,26904,28164,28171,28053,29570
"24000","Maryland state total","2","CA25N 1/","1400","56","      Administrative and support and waste management and remediation services",189715,192262,196861,203977,204125,211681,215474,211104,201601,204252,205786,212922,223746,227585,228255,233191
"24000","Maryland state total","2","CA25N 1/","1500","61","      Educational services",68760,75672,76425,79735,81844,84018,86159,88525,90598,92388,92563,94234,95521,100445,102319,105181
"24000","Maryland state total","2","CA25N 1/","1600","62","      Health care and social assistance",317677,328979,339071,343230,348500,359334,371506,380059,389677,395942,404199,412719,418691,421563,431720,439616
"24000","Maryland state total","2","CA25N 1/","1700","71","      Arts, entertainment, and recreation",61811,64533,65116,68253,70036,71956,74456,75900,75050,75722,77160,79922,84177,88197,87823,88359
"24000","Maryland state total","2","CA25N 1/","1800","72","      Accommodation and food services",187984,193652,198303,198671,204629,209048,213204,215834,211334,209695,214435,222473,229930,235300,241602,247252
"24000","Maryland state total","2","CA25N 1/","1900","81","      Other services (except government and government enterprises)",178345,185604,189306,192000,192495,196327,202875,202013,199905,193950,201317,204933,207447,214254,218290,221246
"24000","Maryland state total","2","CA25N 1/","2000","...","    Government and government enterprises",519140,534363,534508,527463,530036,537448,542435,551527,557640,563934,567622,569385,568446,567027,567717,568443
"24000","Maryland state total","2","CA25N 1/","2001","...","      Federal civilian",151149,159583,159876,158762,157644,156987,156690,158844,163568,172020,175871,175480,173726,172070,173603,175205
"24000","Maryland state total","2","CA25N 1/","2002","...","      Military",49913,50383,49834,47469,47030,47539,46487,46730,46350,46402,48433,50016,49959,49006,50307,50125
"24000","Maryland state total","2","CA25N 1/","2010","...","      State and local",318078,324397,324798,321232,325362,332922,339258,345953,347722,345512,343318,343889,344761,345951,343807,343113
"24000","Maryland state total","2","CA25N 1/","2011","...","        State government",98384,99252,97929,96829,97399,98121,99290,100517,101074,101563,100703,101122,101097,100769,99623,98940
"24000","Maryland state total","2","CA25N 1/","2012","...","        Local government",219694,225145,226869,224403,227963,234801,239968,245436,246648,243949,242615,242767,243664,245182,244184,244173
"24001","Allegany, MD","2","CA25N 1/","10","...","Total employment (number of jobs)",37595,37292,37174,37723,38422,38549,38079,38007,37831,37982,37830,37645,36927,36832,37208,37650
"24001","Allegany, MD","2","CA25N 1/","20","...","  Wage and salary employment",32279,32006,31924,32363,32806,32885,32148,32165,31904,32126,31900,31678,31047,31000,31268,31558
