"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"33000","New Hampshire state total","1","CA25N 1/","10","...","Total employment (number of jobs)",788156,788803,798207,813847,826687,836792,849585,846865,823627,814408,819722,824809,835383,845159,861347,876100
"33000","New Hampshire state total","1","CA25N 1/","20","...","  Wage and salary employment",640651,636208,637840,644811,649969,656964,660440,658979,635883,630596,634658,640890,647438,656097,666962,677409
"33000","New Hampshire state total","1","CA25N 1/","40","...","  Proprietors employment",147505,152595,160367,169036,176718,179828,189145,187886,187744,183812,185064,183919,187945,189062,194385,198691
"33000","New Hampshire state total","1","CA25N 1/","50","...","    Farm proprietors employment",3264,3481,3404,3328,3327,3265,3968,3979,3997,4048,4041,4061,4124,4127,4147,4144
"33000","New Hampshire state total","1","CA25N 1/","60","...","    Nonfarm proprietors employment 2/",144241,149114,156963,165708,173391,176563,185177,183907,183747,179764,181023,179858,183821,184935,190238,194547
"33000","New Hampshire state total","1","CA25N 1/","70","111-112","  Farm employment",4876,5042,4991,4630,4575,4396,5050,5158,5136,5173,5271,5512,5784,5791,5805,5691
"33000","New Hampshire state total","1","CA25N 1/","80","...","  Nonfarm employment",783280,783761,793216,809217,822112,832396,844535,841707,818491,809235,814451,819297,829599,839368,855542,870409
"33000","New Hampshire state total","1","CA25N 1/","90","...","    Private nonfarm employment",695237,692520,699851,717342,730198,738778,749822,746042,722220,711510,719140,724379,734915,744308,760661,775290
"33000","New Hampshire state total","1","CA25N 1/","100","113-115","      Forestry, fishing, and related activities",3445,3571,3093,3221,3330,3158,3215,3301,3110,2945,2955,3299,3300,3290,3197,3210
"33000","New Hampshire state total","1","CA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",882,779,894,922,946,1023,1260,1303,1176,1361,1219,1697,1579,1556,1633,1662
"33000","New Hampshire state total","1","CA25N 1/","300","22","      Utilities",2885,2806,2690,2656,2635,2629,2665,2647,2672,2655,2581,2572,2615,2469,2364,2355
"33000","New Hampshire state total","1","CA25N 1/","400","23","      Construction",52595,53736,57012,59548,62050,62196,60180,57149,52279,48951,48808,48893,49490,49802,50602,51595
"33000","New Hampshire state total","1","CA25N 1/","500","31-33","      Manufacturing",101262,88690,83817,83697,83842,82289,82234,80229,72757,69993,71213,70688,71141,71424,72406,73513
"33000","New Hampshire state total","1","CA25N 1/","600","42","      Wholesale trade",29325,29477,29450,30316,30740,31344,31630,31265,29611,28888,29393,29627,29724,31551,32294,33111
"33000","New Hampshire state total","1","CA25N 1/","700","44-45","      Retail trade",111706,113477,114294,115401,116354,117404,117481,115252,111440,109278,110079,110687,111416,111118,112127,113580
"33000","New Hampshire state total","1","CA25N 1/","800","48-49","      Transportation and warehousing",16907,16705,16926,16803,17244,17133,17380,16853,16251,15706,15986,16283,16428,16554,17831,18812
"33000","New Hampshire state total","1","CA25N 1/","900","51","      Information",15572,14597,14256,14752,15316,15113,15098,15393,14945,13821,13773,14572,14545,14785,14847,15113
"33000","New Hampshire state total","1","CA25N 1/","1000","52","      Finance and insurance",34161,35171,35785,36248,37151,37509,39236,40665,41525,40565,42253,42599,43066,42135,43319,43885
"33000","New Hampshire state total","1","CA25N 1/","1100","53","      Real estate and rental and leasing",25784,26528,28580,31308,33806,34149,34815,34549,33983,34644,35718,34911,35846,36690,37311,38815
"33000","New Hampshire state total","1","CA25N 1/","1200","54","      Professional, scientific, and technical services",47002,46414,46922,49666,51102,52676,55699,56540,54713,54308,54446,54726,56585,57184,59535,60859
"33000","New Hampshire state total","1","CA25N 1/","1300","55","      Management of companies and enterprises",7368,6865,6585,7466,7831,7869,8121,8683,8420,8525,8621,8740,8729,8825,9281,9637
"33000","New Hampshire state total","1","CA25N 1/","1400","56","      Administrative and support and waste management and remediation services",34107,34165,35662,36911,37020,38943,40988,40870,39150,40487,40906,41917,43214,45595,46746,46794
"33000","New Hampshire state total","1","CA25N 1/","1500","61","      Educational services",23520,25248,26040,26148,26431,26456,26524,26762,27044,26869,26548,26850,27849,28753,30206,30730
"33000","New Hampshire state total","1","CA25N 1/","1600","62","      Health care and social assistance",78421,80594,82617,83974,85525,88377,91619,93501,94926,95006,95171,95675,96365,96904,99044,101145
"33000","New Hampshire state total","1","CA25N 1/","1700","71","      Arts, entertainment, and recreation",17832,18565,19043,19887,19486,19838,20236,20877,20594,20928,21234,21332,21461,21497,21662,21994
"33000","New Hampshire state total","1","CA25N 1/","1800","72","      Accommodation and food services",52803,54130,54791,56491,56902,57638,57666,57475,55659,55943,56918,57780,59564,60975,62159,63414
"33000","New Hampshire state total","1","CA25N 1/","1900","81","      Other services (except government and government enterprises)",39660,41002,41394,41927,42487,43034,43775,42728,41965,40637,41318,41531,41998,43201,44097,45066
"33000","New Hampshire state total","1","CA25N 1/","2000","...","    Government and government enterprises",88043,91241,93365,91875,91914,93618,94713,95665,96271,97725,95311,94918,94684,95060,94881,95119
"33000","New Hampshire state total","1","CA25N 1/","2001","...","      Federal civilian",7939,8080,8035,7929,7920,7933,7813,7821,7801,8046,7427,7400,7400,7410,7562,7672
"33000","New Hampshire state total","1","CA25N 1/","2002","...","      Military",4279,4310,4464,4286,4018,3967,3943,4270,4544,4705,4654,4647,4668,4576,4621,4710
"33000","New Hampshire state total","1","CA25N 1/","2010","...","      State and local",75825,78851,80866,79660,79976,81718,82957,83574,83926,84974,83230,82871,82616,83074,82698,82737
"33000","New Hampshire state total","1","CA25N 1/","2011","...","        State government",23868,24900,25633,24084,23457,24211,24985,25147,24968,26068,25361,24928,24913,25457,25739,25996
"33000","New Hampshire state total","1","CA25N 1/","2012","...","        Local government",51957,53951,55233,55576,56519,57507,57972,58427,58958,58906,57869,57943,57703,57617,56959,56741
"33001","Belknap, NH","1","CA25N 1/","10","...","Total employment (number of jobs)",36768,36625,37224,38501,38580,38983,39618,39090,37917,36896,36909,37115,37613,37516,37895,38309
"33001","Belknap, NH","1","CA25N 1/","20","...","  Wage and salary employment",27903,27686,27797,28492,28461,28760,28776,28386,27312,26491,26416,26603,26966,26932,27068,27262
"33001","Belknap, NH","1","CA25N 1/","40","...","  Proprietors employment",8865,8939,9427,10009,10119,10223,10842,10704,10605,10405,10493,10512,10647,10584,10827,11047
"33001","Belknap, NH","1","CA25N 1/","50","...","    Farm proprietors employment",222,238,234,228,227,221,269,272,278,286,289,293,297,297,299,299
"33001","Belknap, NH","1","CA25N 1/","60","...","    Nonfarm proprietors employment 2/",8643,8701,9193,9781,9892,10002,10573,10432,10327,10119,10204,10219,10350,10287,10528,10748
"33001","Belknap, NH","1","CA25N 1/","70","111-112","  Farm employment",291,308,309,293,292,283,330,335,336,340,344,355,367,367,369,364
"33001","Belknap, NH","1","CA25N 1/","80","...","  Nonfarm employment",36477,36317,36915,38208,38288,38700,39288,38755,37581,36556,36565,36760,37246,37149,37526,37945
"33001","Belknap, NH","1","CA25N 1/","90","...","    Private nonfarm employment",32743,32319,32727,34034,33986,34248,34788,34177,32857,31920,32063,32253,32721,32652,33074,33479
"33001","Belknap, NH","1","CA25N 1/","100","113-115","      Forestry, fishing, and related activities",129,147,129,131,122,115,"(D)",135,131,"(D)","(D)","(D)",153,161,"(D)",162
"33001","Belknap, NH","1","CA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction","(D)","(D)","(D)",49,71,72,"(D)","(D)",76,"(D)","(D)","(D)","(D)",113,97,103
"33001","Belknap, NH","1","CA25N 1/","300","22","      Utilities",114,114,114,119,139,141,140,140,140,143,132,133,143,133,126,141
"33001","Belknap, NH","1","CA25N 1/","400","23","      Construction","(D)","(D)","(D)","(D)","(D)",4022,"(D)","(D)",3490,3183,3073,"(D)","(D)",3020,3129,3168
"33001","Belknap, NH","1","CA25N 1/","500","31-33","      Manufacturing",4853,3911,3590,3733,3884,3562,3313,3187,2775,2417,2381,2476,2582,2551,2531,2506
"33001","Belknap, NH","1","CA25N 1/","600","42","      Wholesale trade",713,691,683,854,846,872,863,889,857,807,785,747,706,776,821,906
"33001","Belknap, NH","1","CA25N 1/","700","44-45","      Retail trade",6230,6412,6350,6456,6238,6338,6561,6384,6156,5999,5944,5906,5998,6043,6022,6182
"33001","Belknap, NH","1","CA25N 1/","800","48-49","      Transportation and warehousing",726,638,684,699,721,721,715,700,637,637,645,653,668,678,714,727
"33001","Belknap, NH","1","CA25N 1/","900","51","      Information",380,"(D)",423,423,433,419,414,420,435,397,396,380,406,355,359,363
"33001","Belknap, NH","1","CA25N 1/","1000","52","      Finance and insurance",1041,1057,1081,960,959,971,1022,1143,1247,1209,1274,1213,1203,1195,1170,1164
"33001","Belknap, NH","1","CA25N 1/","1100","53","      Real estate and rental and leasing",1510,"(D)",1619,1828,1940,1946,2049,2011,1889,1979,2059,2041,2043,2090,2204,2277
"33001","Belknap, NH","1","CA25N 1/","1200","54","      Professional, scientific, and technical services",1559,1546,1624,1755,1770,1825,1938,1898,1868,1934,1953,1943,1921,1915,1929,1965
"33001","Belknap, NH","1","CA25N 1/","1300","55","      Management of companies and enterprises","(D)","(D)","(D)","(D)","(D)",366,373,349,350,336,362,384,549,611,669,681
"33001","Belknap, NH","1","CA25N 1/","1400","56","      Administrative and support and waste management and remediation services",1581,1689,1648,1791,1779,1905,1879,1788,1792,1714,1830,1900,1885,1697,1677,1652
"33001","Belknap, NH","1","CA25N 1/","1500","61","      Educational services",604,658,658,661,656,640,628,650,659,641,599,688,656,621,"(D)",667
"33001","Belknap, NH","1","CA25N 1/","1600","62","      Health care and social assistance",3514,3498,3520,3594,3521,3649,3756,3792,3804,3808,3814,3967,3990,3933,3979,3871
"33001","Belknap, NH","1","CA25N 1/","1700","71","      Arts, entertainment, and recreation",910,921,950,1118,1042,1082,1147,1176,1051,1060,1036,1065,1093,1108,1107,1099
"33001","Belknap, NH","1","CA25N 1/","1800","72","      Accommodation and food services",3359,3258,3304,3345,3395,3450,3514,3472,3362,3392,3498,3520,3605,3628,3683,3760
"33001","Belknap, NH","1","CA25N 1/","1900","81","      Other services (except government and government enterprises)",1996,2118,2280,2158,2124,2152,2227,2183,2138,2039,2047,1970,1979,2024,2053,2085
"33001","Belknap, NH","1","CA25N 1/","2000","...","    Government and government enterprises",3734,3998,4188,4174,4302,4452,4500,4578,4724,4636,4502,4507,4525,4497,4452,4466
"33001","Belknap, NH","1","CA25N 1/","2001","...","      Federal civilian",271,279,276,279,262,258,234,243,240,230,151,147,141,138,138,142
"33001","Belknap, NH","1","CA25N 1/","2002","...","      Military",186,188,195,195,181,173,175,191,203,208,204,202,202,197,199,204
"33001","Belknap, NH","1","CA25N 1/","2010","...","      State and local",3277,3531,3717,3700,3859,4021,4091,4144,4281,4198,4147,4158,4182,4162,4115,4120
"33001","Belknap, NH","1","CA25N 1/","2011","...","        State government",738,768,778,781,824,905,"(D)","(D)","(D)","(D)","(D)","(D)",898,904,893,905
"33001","Belknap, NH","1","CA25N 1/","2012","...","        Local government",2539,2763,2939,2919,3035,3116,"(D)","(D)","(D)","(D)","(D)","(D)",3284,3258,3222,3215
"33003","Carroll, NH","1","CA25N 1/","10","...","Total employment (number of jobs)",28818,29411,30023,30552,30823,31037,31713,31686,30945,30440,30535,30655,30662,30712,30613,31027
"33003","Carroll, NH","1","CA25N 1/","20","...","  Wage and salary employment",20821,21099,21495,21736,21414,21543,21639,21799,21201,20989,21158,21231,21072,21131,20963,21197
"33003","Carroll, NH","1","CA25N 1/","40","...","  Proprietors employment",7997,8312,8528,8816,9409,9494,10074,9887,9744,9451,9377,9424,9590,9581,9650,9830
"33003","Carroll, NH","1","CA25N 1/","50","...","    Farm proprietors employment",221,241,236,228,227,221,266,266,267,269,269,270,275,276,279,279
"33003","Carroll, NH","1","CA25N 1/","60","...","    Nonfarm proprietors employment 2/",7776,8071,8292,8588,9182,9273,9808,9621,9477,9182,9108,9154,9315,9305,9371,9551
"33003","Carroll, NH","1","CA25N 1/","70","111-112","  Farm employment",317,343,333,302,293,277,315,319,318,318,322,333,347,348,351,346
"33003","Carroll, NH","1","CA25N 1/","80","...","  Nonfarm employment",28501,29068,29690,30250,30530,30760,31398,31367,30627,30122,30213,30322,30315,30364,30262,30681
"33003","Carroll, NH","1","CA25N 1/","90","...","    Private nonfarm employment",25786,26299,26886,27377,27609,27810,28345,28241,27401,26873,27007,27107,27116,27109,27092,27542
"33003","Carroll, NH","1","CA25N 1/","100","113-115","      Forestry, fishing, and related activities","(D)",314,"(D)",285,297,267,292,302,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"33003","Carroll, NH","1","CA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction","(D)",55,"(D)",55,60,72,74,70,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"33003","Carroll, NH","1","CA25N 1/","300","22","      Utilities",74,72,74,90,93,95,95,100,92,93,92,90,94,93,"(D)","(D)"
"33003","Carroll, NH","1","CA25N 1/","400","23","      Construction","(D)","(D)","(D)","(D)","(D)",3717,"(D)","(D)",3287,3001,2989,"(D)",2904,2891,2865,2868
