"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"34000","New Jersey state total","2","CA25N 1/","10","...","Total employment (number of jobs)",4776810,4793591,4827884,4914980,4997158,5064551,5139862,5136323,5009609,4964511,5023890,5056431,5134797,5209825,5305660,5396080
"34000","New Jersey state total","2","CA25N 1/","20","...","  Wage and salary employment",4059472,4052131,4044351,4073426,4105791,4140848,4152832,4126107,3968683,3911956,3908751,3940169,3980038,4013405,4064830,4121989
"34000","New Jersey state total","2","CA25N 1/","40","...","  Proprietors employment",717338,741460,783533,841554,891367,923703,987030,1010216,1040926,1052555,1115139,1116262,1154759,1196420,1240830,1274091
"34000","New Jersey state total","2","CA25N 1/","50","...","    Farm proprietors employment",9591,9492,9095,8849,8717,8517,8907,8613,8444,8344,8221,7929,8015,8020,8087,8083
"34000","New Jersey state total","2","CA25N 1/","60","...","    Nonfarm proprietors employment 2/",707747,731968,774438,832705,882650,915186,978123,1001603,1032482,1044211,1106918,1108333,1146744,1188400,1232743,1266008
"34000","New Jersey state total","2","CA25N 1/","70","111-112","  Farm employment",18899,19093,17350,16909,16539,16721,16726,15574,15199,15806,15677,17570,16918,17572,17339,19248
"34000","New Jersey state total","2","CA25N 1/","80","...","  Nonfarm employment",4757911,4774498,4810534,4898071,4980619,5047830,5123136,5120749,4994410,4948705,5008213,5038861,5117879,5192253,5288321,5376832
"34000","New Jersey state total","2","CA25N 1/","90","...","    Private nonfarm employment",4145458,4148861,4174378,4249210,4324775,4391269,4466021,4461261,4334330,4300278,4383684,4420907,4499342,4575138,4674615,4769034
"34000","New Jersey state total","2","CA25N 1/","100","113-115","      Forestry, fishing, and related activities",5269,5728,5109,5439,5529,5509,5763,5852,5920,6253,6065,6208,5723,6531,6450,6808
"34000","New Jersey state total","2","CA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",3038,2487,2899,2821,3134,3364,3287,3852,3646,4114,3601,4566,4556,4333,4337,4279
"34000","New Jersey state total","2","CA25N 1/","300","22","      Utilities",16412,15945,15435,15315,14501,14382,13966,12653,12322,15132,14450,14923,14820,14828,15805,16108
"34000","New Jersey state total","2","CA25N 1/","400","23","      Construction",226122,227802,233734,246899,257280,266035,263197,253735,225831,212140,212754,216901,227868,233751,239775,244113
"34000","New Jersey state total","2","CA25N 1/","500","31-33","      Manufacturing",408393,376981,359125,347878,341643,333968,319905,309417,279940,269240,266106,259274,258196,257671,253851,258528
"34000","New Jersey state total","2","CA25N 1/","600","42","      Wholesale trade",258187,248842,247124,250637,252402,252038,254043,252730,237134,230472,231782,234098,234614,247269,250523,254632
"34000","New Jersey state total","2","CA25N 1/","700","44-45","      Retail trade",527542,529582,536767,537307,544391,545061,548592,537618,517837,513807,522578,523633,530859,539021,548706,551558
"34000","New Jersey state total","2","CA25N 1/","800","48-49","      Transportation and warehousing",200281,193185,192003,193154,195567,200626,205998,203648,194472,190490,194978,197818,199951,205576,229220,243871
"34000","New Jersey state total","2","CA25N 1/","900","51","      Information",136816,122283,115257,112962,113501,113288,113457,108199,99428,95249,92991,94700,92697,93954,92135,91046
"34000","New Jersey state total","2","CA25N 1/","1000","52","      Finance and insurance",273655,277841,278480,280538,287102,289531,302429,315948,331255,321189,339621,334849,338150,321174,329769,329059
"34000","New Jersey state total","2","CA25N 1/","1100","53","      Real estate and rental and leasing",187091,196375,210477,227946,247925,258004,269410,270597,268296,275988,286655,281794,289271,302603,311836,324370
"34000","New Jersey state total","2","CA25N 1/","1200","54","      Professional, scientific, and technical services",393114,382917,381133,393952,399923,409800,431374,437083,422119,419459,426094,428134,437701,444938,458900,470170
"34000","New Jersey state total","2","CA25N 1/","1300","55","      Management of companies and enterprises",66476,69345,65727,66816,68090,73981,74656,79660,80602,77510,82081,84649,88333,84777,86609,88370
"34000","New Jersey state total","2","CA25N 1/","1400","56","      Administrative and support and waste management and remediation services",298579,308770,303904,314257,311450,312788,316523,308801,294842,301366,311230,322199,326708,335595,337694,342806
"34000","New Jersey state total","2","CA25N 1/","1500","61","      Educational services",94176,101305,104663,106936,108022,111919,114435,116173,119243,121200,121399,123919,129288,134260,137374,141448
"34000","New Jersey state total","2","CA25N 1/","1600","62","      Health care and social assistance",468368,485405,497930,507204,521397,534801,550063,560285,567117,577546,584214,594123,609011,618172,633046,646024
"34000","New Jersey state total","2","CA25N 1/","1700","71","      Arts, entertainment, and recreation",80571,84758,87157,90683,93115,94824,100158,105064,103271,104737,107195,110805,112533,118012,118036,121047
"34000","New Jersey state total","2","CA25N 1/","1800","72","      Accommodation and food services",275495,281183,292037,296607,302986,310375,310844,312051,305786,306428,310154,315924,322870,327312,328064,337070
"34000","New Jersey state total","2","CA25N 1/","1900","81","      Other services (except government and government enterprises)",225873,238127,245417,251859,256817,260975,267921,267895,265269,257958,269736,272390,276193,285361,292485,297727
"34000","New Jersey state total","2","CA25N 1/","2000","...","    Government and government enterprises",612453,625637,636156,648861,655844,656561,657115,659488,660080,648427,624529,617954,618537,617115,613706,607798
"34000","New Jersey state total","2","CA25N 1/","2001","...","      Federal civilian",64224,63724,63464,62784,61846,61409,61766,60252,59899,60524,53902,50893,49589,48979,49408,49520
"34000","New Jersey state total","2","CA25N 1/","2002","...","      Military",28270,27286,26842,26566,24581,24346,24533,24767,25538,25456,25732,25554,25227,24926,25207,25197
"34000","New Jersey state total","2","CA25N 1/","2010","...","      State and local",519959,534627,545850,559511,569417,570806,570816,574469,574643,562447,544895,541507,543721,543210,539091,533081
"34000","New Jersey state total","2","CA25N 1/","2011","...","        State government",142051,144579,148085,153746,158002,156821,156593,157046,156089,154603,150350,146607,145176,141445,139015,137186
"34000","New Jersey state total","2","CA25N 1/","2012","...","        Local government",377908,390048,397765,405765,411415,413985,414223,417423,418554,407844,394545,394900,398545,401765,400076,395895
"34001","Atlantic, NJ","2","CA25N 1/","10","...","Total employment (number of jobs)",171585,171705,174268,177592,183323,184772,183416,181704,173292,171000,170799,171787,171302,168390,164818,165614
"34001","Atlantic, NJ","2","CA25N 1/","20","...","  Wage and salary employment",150522,150088,151619,153207,157525,157844,154648,153459,144786,142281,140824,142425,141129,137606,133853,133857
"34001","Atlantic, NJ","2","CA25N 1/","40","...","  Proprietors employment",21063,21617,22649,24385,25798,26928,28768,28245,28506,28719,29975,29362,30173,30784,30965,31757
"34001","Atlantic, NJ","2","CA25N 1/","50","...","    Farm proprietors employment",429,419,410,402,400,393,413,392,378,365,352,334,338,338,344,344
"34001","Atlantic, NJ","2","CA25N 1/","60","...","    Nonfarm proprietors employment 2/",20634,21198,22239,23983,25398,26535,28355,27853,28128,28354,29623,29028,29835,30446,30621,31413
"34001","Atlantic, NJ","2","CA25N 1/","70","111-112","  Farm employment",1712,1773,1703,1613,1617,1699,1702,1616,1617,1653,1652,2361,2000,2041,2039,2251
"34001","Atlantic, NJ","2","CA25N 1/","80","...","  Nonfarm employment",169873,169932,172565,175979,181706,183073,181714,180088,171675,169347,169147,169426,169302,166349,162779,163363
"34001","Atlantic, NJ","2","CA25N 1/","90","...","    Private nonfarm employment",148667,147761,149745,152451,157841,158811,157524,155527,146773,144401,144552,145004,144632,141935,138871,140059
"34001","Atlantic, NJ","2","CA25N 1/","100","113-115","      Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"34001","Atlantic, NJ","2","CA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"34001","Atlantic, NJ","2","CA25N 1/","300","22","      Utilities",966,751,749,718,697,639,653,645,448,754,699,787,763,758,783,806
"34001","Atlantic, NJ","2","CA25N 1/","400","23","      Construction","(D)",8950,9147,9453,9710,10302,10392,9809,7924,7293,8138,7337,7615,7790,8420,8448
"34001","Atlantic, NJ","2","CA25N 1/","500","31-33","      Manufacturing",4995,4732,4830,4731,4581,4411,4028,3512,2732,2488,2535,2532,2431,"(D)","(D)","(D)"
"34001","Atlantic, NJ","2","CA25N 1/","600","42","      Wholesale trade",3206,3145,2755,3216,3597,3302,"(D)",3598,"(D)",3246,3339,"(D)",3027,3339,3505,3618
"34001","Atlantic, NJ","2","CA25N 1/","700","44-45","      Retail trade",17474,17423,18114,18533,18784,19043,19411,19122,18415,18248,18503,18556,18701,18941,19100,19012
"34001","Atlantic, NJ","2","CA25N 1/","800","48-49","      Transportation and warehousing",3559,3263,3217,3383,3274,3408,3645,3616,3295,3194,3274,3433,3626,3799,4073,4169
"34001","Atlantic, NJ","2","CA25N 1/","900","51","      Information",1816,1676,1506,1387,1472,1362,1480,1420,1376,1325,1239,1160,1150,1178,1180,1171
"34001","Atlantic, NJ","2","CA25N 1/","1000","52","      Finance and insurance",3970,3789,3895,4017,4191,4416,4833,5016,5248,5109,5494,5402,5422,5110,5257,5304
"34001","Atlantic, NJ","2","CA25N 1/","1100","53","      Real estate and rental and leasing",5533,5861,6353,7020,7795,8266,8382,8139,7844,7881,7993,7717,7757,7974,7817,8063
"34001","Atlantic, NJ","2","CA25N 1/","1200","54","      Professional, scientific, and technical services",7386,7246,7014,7409,7438,7504,7919,7917,7370,7416,7194,7131,7017,7142,7290,7394
"34001","Atlantic, NJ","2","CA25N 1/","1300","55","      Management of companies and enterprises",843,647,556,667,791,814,796,841,823,740,754,803,882,885,995,1005
"34001","Atlantic, NJ","2","CA25N 1/","1400","56","      Administrative and support and waste management and remediation services",5786,5703,5887,6152,7424,6456,6354,6357,6145,6511,6573,6187,6340,6509,6630,6751
"34001","Atlantic, NJ","2","CA25N 1/","1500","61","      Educational services",1264,1430,1508,1591,1694,1686,1815,1541,1610,1678,1682,1677,1497,1449,1459,1525
