"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"39000","Ohio state total","3","CA25N 1/","10","...","Total employment (number of jobs)",6725662,6647842,6631834,6681427,6725526,6765479,6815552,6749926,6487006,6423136,6528427,6608784,6682769,6773385,6863016,6957538
"39000","Ohio state total","3","CA25N 1/","20","...","  Wage and salary employment",5709491,5621521,5573517,5583386,5588308,5599652,5597110,5524882,5232886,5168965,5228768,5319551,5371183,5445180,5524484,5589230
"39000","Ohio state total","3","CA25N 1/","40","...","  Proprietors employment",1016171,1026321,1058317,1098041,1137218,1165827,1218442,1225044,1254120,1254171,1299659,1289233,1311586,1328205,1338532,1368308
"39000","Ohio state total","3","CA25N 1/","50","...","    Farm proprietors employment",80527,75380,72471,70216,69221,67367,66342,66224,66321,67417,67970,67654,68169,67754,67802,67856
"39000","Ohio state total","3","CA25N 1/","60","...","    Nonfarm proprietors employment 2/",935644,950941,985846,1027825,1067997,1098460,1152100,1158820,1187799,1186754,1231689,1221579,1243417,1260451,1270730,1300452
"39000","Ohio state total","3","CA25N 1/","70","111-112","  Farm employment",98228,89256,88195,85170,83762,82962,83500,78836,79930,80764,81224,87247,84250,80330,85815,87949
"39000","Ohio state total","3","CA25N 1/","80","...","  Nonfarm employment",6627434,6558586,6543639,6596257,6641764,6682517,6732052,6671090,6407076,6342372,6447203,6521537,6598519,6693055,6777201,6869589
"39000","Ohio state total","3","CA25N 1/","90","...","    Private nonfarm employment",5793019,5709741,5692806,5745720,5798738,5840343,5887399,5827195,5568006,5517329,5639661,5722277,5803238,5898250,5982975,6067890
"39000","Ohio state total","3","CA25N 1/","100","113-115","      Forestry, fishing, and related activities",10287,11438,10349,11145,11388,11367,12164,12906,12854,12904,13160,13958,14199,15122,14395,14314
"39000","Ohio state total","3","CA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",21512,19655,20982,19434,19528,21189,21791,26752,26784,30237,27552,34752,36097,36987,36750,34124
"39000","Ohio state total","3","CA25N 1/","300","22","      Utilities",24866,22443,21970,21094,21070,21503,21979,22869,22167,21029,20060,19953,19678,19077,20322,20576
"39000","Ohio state total","3","CA25N 1/","400","23","      Construction",358380,352231,355660,365477,369638,368210,365063,347350,314308,292897,301457,306994,312970,322338,322089,326254
"39000","Ohio state total","3","CA25N 1/","500","31-33","      Manufacturing",972313,901876,860549,842470,833574,819217,796878,762499,655822,644319,664133,683109,691634,702225,714908,714829
"39000","Ohio state total","3","CA25N 1/","600","42","      Wholesale trade",264202,253904,250691,252752,258345,260696,260449,257113,241846,236163,239652,243953,247618,262042,266116,269484
"39000","Ohio state total","3","CA25N 1/","700","44-45","      Retail trade",778247,762043,755865,746334,740894,732175,731215,709771,682287,664335,675132,676532,682071,685232,690763,698917
"39000","Ohio state total","3","CA25N 1/","800","48-49","      Transportation and warehousing",215525,211488,210122,217411,229747,239843,248456,242591,220480,214004,220104,224820,229057,235268,253101,258303
"39000","Ohio state total","3","CA25N 1/","900","51","      Information",119921,111577,109185,106421,105772,103831,103237,102232,96333,93325,92285,90115,90910,89023,86676,86785
"39000","Ohio state total","3","CA25N 1/","1000","52","      Finance and insurance",294798,297817,298103,300300,298008,299886,310366,313878,324615,317737,332768,329906,330763,323821,330048,334294
"39000","Ohio state total","3","CA25N 1/","1100","53","      Real estate and rental and leasing",202219,204060,208702,219762,231649,236228,242128,240052,236746,242146,250267,245961,250805,260053,265485,274701
"39000","Ohio state total","3","CA25N 1/","1200","54","      Professional, scientific, and technical services",348633,339033,341853,350766,354595,362429,378248,381808,368977,367661,373481,368713,373142,377915,383995,394559
"39000","Ohio state total","3","CA25N 1/","1300","55","      Management of companies and enterprises",88895,94851,98442,97059,105008,108798,107603,113927,113008,112214,117762,132215,137217,143537,145365,145440
"39000","Ohio state total","3","CA25N 1/","1400","56","      Administrative and support and waste management and remediation services",383672,380708,379265,395751,398739,406571,411693,405658,372833,382757,393851,402797,412481,422218,418210,418477
"39000","Ohio state total","3","CA25N 1/","1500","61","      Educational services",108925,113175,117725,121740,128586,134631,136701,139838,143267,146796,146951,145787,146124,149578,152143,156783
"39000","Ohio state total","3","CA25N 1/","1600","62","      Health care and social assistance",688662,705913,722943,736180,750945,769366,788358,807789,819697,832634,842795,853780,863244,867235,881999,898978
"39000","Ohio state total","3","CA25N 1/","1700","71","      Arts, entertainment, and recreation",113114,115753,115425,116697,117951,117170,120334,121279,119335,119429,122220,128019,133123,138197,136279,137780
"39000","Ohio state total","3","CA25N 1/","1800","72","      Accommodation and food services",436779,439184,445514,453207,457554,462377,462738,457548,443687,441055,450718,460627,473628,482211,492872,505339
"39000","Ohio state total","3","CA25N 1/","1900","81","      Other services (except government and government enterprises)",362069,372592,369461,371720,365747,364856,367998,361335,352960,345687,355313,360286,358477,366171,371459,377953
"39000","Ohio state total","3","CA25N 1/","2000","...","    Government and government enterprises",834415,848845,850833,850537,843026,842174,844653,843895,839070,825043,807542,799260,795281,794805,794226,801699
"39000","Ohio state total","3","CA25N 1/","2001","...","      Federal civilian",80502,81227,79852,78509,77482,76787,77002,78125,79505,84816,80543,78453,76644,75992,76793,77791
"39000","Ohio state total","3","CA25N 1/","2002","...","      Military",37067,38304,38600,38085,36318,35963,34839,35649,36109,35828,36085,36065,36169,35802,35738,35432
"39000","Ohio state total","3","CA25N 1/","2010","...","      State and local",716846,729314,732381,733943,729226,729424,732812,730121,723456,704399,690914,684742,682468,683011,681695,688476
"39000","Ohio state total","3","CA25N 1/","2011","...","        State government",177166,178777,178670,179472,180412,181619,186242,186829,185412,175251,174902,176137,175999,176508,175757,178488
"39000","Ohio state total","3","CA25N 1/","2012","...","        Local government",539680,550537,553711,554471,548814,547805,546570,543292,538044,529148,516012,508605,506469,506503,505938,509988
"39001","Adams, OH","3","CA25N 1/","10","...","Total employment (number of jobs)",11304,11050,11090,11377,11533,11785,11961,11528,11060,11036,11043,10623,10471,10522,10817,11136
"39001","Adams, OH","3","CA25N 1/","20","...","  Wage and salary employment",6906,6706,6656,6902,6962,7140,7267,6916,6451,6429,6363,6041,6001,6084,6345,6590
"39001","Adams, OH","3","CA25N 1/","40","...","  Proprietors employment",4398,4344,4434,4475,4571,4645,4694,4612,4609,4607,4680,4582,4470,4438,4472,4546
"39001","Adams, OH","3","CA25N 1/","50","...","    Farm proprietors employment",1423,1303,1270,1250,1255,1243,1248,1237,1233,1249,1253,1243,1243,1235,1221,1222
"39001","Adams, OH","3","CA25N 1/","60","...","    Nonfarm proprietors employment 2/",2975,3041,3164,3225,3316,3402,3446,3375,3376,3358,3427,3339,3227,3203,3251,3324
"39001","Adams, OH","3","CA25N 1/","70","111-112","  Farm employment",1469,1322,1296,1280,1289,1285,1300,1280,1283,1302,1310,1333,1317,1292,1303,1313
"39001","Adams, OH","3","CA25N 1/","80","...","  Nonfarm employment",9835,9728,9794,10097,10244,10500,10661,10248,9777,9734,9733,9290,9154,9230,9514,9823
"39001","Adams, OH","3","CA25N 1/","90","...","    Private nonfarm employment",8144,8042,8145,8402,8512,8737,8929,8481,8002,7995,8090,7700,7556,7640,7929,8224
"39001","Adams, OH","3","CA25N 1/","100","113-115","      Forestry, fishing, and related activities",94,116,"(D)","(D)",133,"(D)","(D)",179,155,"(D)","(D)","(D)","(D)",170,"(D)","(D)"
"39001","Adams, OH","3","CA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",118,113,"(D)","(D)",69,"(D)","(D)",73,60,"(D)","(D)","(D)","(D)",78,"(D)","(D)"
"39001","Adams, OH","3","CA25N 1/","300","22","      Utilities","(D)","(D)","(D)","(D)","(D)","(D)",435,322,199,191,190,179,170,165,158,181
"39001","Adams, OH","3","CA25N 1/","400","23","      Construction",828,"(D)",884,891,876,981,1155,1052,781,801,"(D)","(D)",770,706,737,760
"39001","Adams, OH","3","CA25N 1/","500","31-33","      Manufacturing",865,668,659,821,940,1020,1116,954,"(D)",759,867,766,768,796,864,924
"39001","Adams, OH","3","CA25N 1/","600","42","      Wholesale trade",196,152,194,217,203,196,198,190,194,269,284,296,278,325,331,370
"39001","Adams, OH","3","CA25N 1/","700","44-45","      Retail trade",1645,1648,1652,1685,1690,1698,1637,1501,1502,1454,1426,1260,1230,1243,1314,1357
"39001","Adams, OH","3","CA25N 1/","800","48-49","      Transportation and warehousing","(D)","(D)","(D)","(D)","(D)","(D)",301,282,266,276,258,265,267,252,267,287
"39001","Adams, OH","3","CA25N 1/","900","51","      Information",57,57,58,54,54,52,54,57,51,49,"(D)",49,50,48,57,"(D)"
"39001","Adams, OH","3","CA25N 1/","1000","52","      Finance and insurance",335,326,332,333,338,333,316,286,291,277,267,262,270,268,281,302
"39001","Adams, OH","3","CA25N 1/","1100","53","      Real estate and rental and leasing",322,286,316,315,312,314,311,302,327,314,304,268,274,275,264,274
"39001","Adams, OH","3","CA25N 1/","1200","54","      Professional, scientific, and technical services",229,"(D)","(D)",262,252,272,284,"(D)",268,281,284,274,256,285,300,320
"39001","Adams, OH","3","CA25N 1/","1300","55","      Management of companies and enterprises",0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"39001","Adams, OH","3","CA25N 1/","1400","56","      Administrative and support and waste management and remediation services","(D)","(D)",256,"(D)","(D)","(D)","(D)",316,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"39001","Adams, OH","3","CA25N 1/","1500","61","      Educational services","(D)",51,49,"(D)","(D)","(D)","(D)","(D)","(D)",45,"(D)",51,"(D)",49,58,65
"39001","Adams, OH","3","CA25N 1/","1600","62","      Health care and social assistance","(D)",1012,1014,"(D)","(D)","(D)","(D)","(D)","(D)",1225,"(D)",1201,"(D)",1159,1149,1174
"39001","Adams, OH","3","CA25N 1/","1700","71","      Arts, entertainment, and recreation",92,101,102,104,96,112,97,99,96,89,98,100,103,95,101,98
"39001","Adams, OH","3","CA25N 1/","1800","72","      Accommodation and food services",673,639,624,655,658,633,630,670,731,683,694,681,651,637,661,681
"39001","Adams, OH","3","CA25N 1/","1900","81","      Other services (except government and government enterprises)",712,"(D)",770,793,799,758,762,759,755,744,"(D)",762,755,787,803,813
"39001","Adams, OH","3","CA25N 1/","2000","...","    Government and government enterprises",1691,1686,1649,1695,1732,1763,1732,1767,1775,1739,1643,1590,1598,1590,1585,1599
"39001","Adams, OH","3","CA25N 1/","2001","...","      Federal civilian",78,81,79,78,76,76,77,76,75,82,66,67,69,69,64,65
"39001","Adams, OH","3","CA25N 1/","2002","...","      Military",74,77,77,77,72,72,70,73,74,73,73,73,72,71,71,70
"39001","Adams, OH","3","CA25N 1/","2010","...","      State and local",1539,1528,1493,1540,1584,1615,1585,1618,1626,1584,1504,1450,1457,1450,1450,1464
"39001","Adams, OH","3","CA25N 1/","2011","...","        State government",40,50,46,46,47,50,51,49,47,46,42,41,38,41,42,42
"39001","Adams, OH","3","CA25N 1/","2012","...","        Local government",1499,1478,1447,1494,1537,1565,1534,1569,1579,1538,1462,1409,1419,1409,1408,1422
"39003","Allen, OH","3","CA25N 1/","10","...","Total employment (number of jobs)",69824,69184,68450,68733,68868,68041,66919,65633,63184,62523,63065,63417,63672,63458,63607,64256
"39003","Allen, OH","3","CA25N 1/","20","...","  Wage and salary employment",60336,59781,59004,59238,59097,57968,56493,55161,52718,52034,52115,52802,53005,52684,52960,53381
"39003","Allen, OH","3","CA25N 1/","40","...","  Proprietors employment",9488,9403,9446,9495,9771,10073,10426,10472,10466,10489,10950,10615,10667,10774,10647,10875
"39003","Allen, OH","3","CA25N 1/","50","...","    Farm proprietors employment",1013,938,896,868,852,828,811,809,804,812,813,802,810,805,809,810
"39003","Allen, OH","3","CA25N 1/","60","...","    Nonfarm proprietors employment 2/",8475,8465,8550,8627,8919,9245,9615,9663,9662,9677,10137,9813,9857,9969,9838,10065
"39003","Allen, OH","3","CA25N 1/","70","111-112","  Farm employment",1139,1040,1017,990,977,969,975,933,940,948,951,1011,982,939,1001,1024
"39003","Allen, OH","3","CA25N 1/","80","...","  Nonfarm employment",68685,68144,67433,67743,67891,67072,65944,64700,62244,61575,62114,62406,62690,62519,62606,63232
"39003","Allen, OH","3","CA25N 1/","90","...","    Private nonfarm employment",60629,60132,59633,60153,60713,59841,58749,57570,55229,54616,55377,55862,56246,56119,56235,56856
"39003","Allen, OH","3","CA25N 1/","100","113-115","      Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",123,"(D)","(D)"
"39003","Allen, OH","3","CA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",78,79,84,86,"(D)","(D)",78,"(D)","(D)","(D)","(D)","(D)","(D)",68,"(D)","(D)"
"39003","Allen, OH","3","CA25N 1/","300","22","      Utilities","(D)","(D)","(D)","(D)",179,177,"(D)",176,"(D)","(D)",154,152,148,148,150,152
"39003","Allen, OH","3","CA25N 1/","400","23","      Construction",3606,3541,3581,3543,3676,3575,3397,3266,2840,2559,2631,2804,2840,2900,2818,2828
"39003","Allen, OH","3","CA25N 1/","500","31-33","      Manufacturing",11896,11343,10839,10655,11063,10124,9062,8410,7778,7882,7977,7988,8508,8695,9047,9033
"39003","Allen, OH","3","CA25N 1/","600","42","      Wholesale trade",2782,2670,2452,2409,2417,2620,2667,2912,2892,2757,2710,2690,2457,2468,2486,2581
"39003","Allen, OH","3","CA25N 1/","700","44-45","      Retail trade",8949,8924,9300,9356,9067,8720,8623,8232,7874,7541,7698,7608,7446,7308,7291,7274
"39003","Allen, OH","3","CA25N 1/","800","48-49","      Transportation and warehousing","(D)","(D)",1946,1982,2091,2244,"(D)",2223,"(D)","(D)",2008,1960,1942,1970,1914,1963
"39003","Allen, OH","3","CA25N 1/","900","51","      Information",1009,942,924,924,941,980,895,883,868,819,846,753,709,709,726,698
"39003","Allen, OH","3","CA25N 1/","1000","52","      Finance and insurance",1781,1821,1852,1776,1725,1742,1844,1914,2000,1937,1971,1925,1915,1834,1871,1857
"39003","Allen, OH","3","CA25N 1/","1100","53","      Real estate and rental and leasing",1400,1404,1353,1428,1556,1606,1675,1739,1634,1652,1764,1732,1818,1845,1852,1899
"39003","Allen, OH","3","CA25N 1/","1200","54","      Professional, scientific, and technical services",1692,1721,1749,1849,2048,1826,1905,1969,1827,1715,1802,1791,1824,1845,1865,1966
"39003","Allen, OH","3","CA25N 1/","1300","55","      Management of companies and enterprises",244,377,392,445,446,365,393,233,335,311,339,349,338,327,389,373
"39003","Allen, OH","3","CA25N 1/","1400","56","      Administrative and support and waste management and remediation services",4631,4387,4316,4133,4150,3907,4076,3990,3679,3548,3616,4122,4335,4286,4196,3947
"39003","Allen, OH","3","CA25N 1/","1500","61","      Educational services",1213,1239,1289,1336,1396,1478,1500,1516,1498,1580,1566,1437,1382,1511,1555,1571
"39003","Allen, OH","3","CA25N 1/","1600","62","      Health care and social assistance",9834,10119,9784,10089,10002,10367,10511,10672,10548,10860,10738,10815,10623,10318,10230,10828
"39003","Allen, OH","3","CA25N 1/","1700","71","      Arts, entertainment, and recreation",907,871,892,914,857,816,888,898,882,867,851,841,857,906,824,855
"39003","Allen, OH","3","CA25N 1/","1800","72","      Accommodation and food services",4360,4492,4566,4908,4886,5146,4697,4457,4378,4454,4701,4914,5172,5045,5011,4995
