"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"05000","5","CA25N","10","2001","Total employment","Arkansas state total",1482678,1477823,1480228,1500992,1531355,1565130,1582366,1581061,1546619,1545596,1552597
"05000","5","CA25N","20","2001","  Wage and salary employment","Arkansas state total",1207826,1202909,1202986,1217065,1234501,1259810,1262522,1263298,1227077,1226354,1229913
"05000","5","CA25N","40","2001","  Proprietors employment","Arkansas state total",274852,274914,277242,283927,296854,305320,319844,317763,319542,319242,322684
"05000","5","CA25N","50","2001","    Farm proprietors employment","Arkansas state total",49368,45977,44406,43420,42861,41518,43802,43529,43135,42892,42575
"05000","5","CA25N","60","2001","    Nonfarm proprietors employment 2/","Arkansas state total",225484,228937,232836,240507,253993,263802,276042,274234,276407,276350,280109
"05000","5","CA25N","70","2001","  Farm employment","Arkansas state total",62771,58945,57569,55141,53795,53754,54502,55982,55628,56100,54547
"05000","5","CA25N","80","2001","  Nonfarm employment","Arkansas state total",1419907,1418878,1422659,1445851,1477560,1511376,1527864,1525079,1490991,1489496,1498050
"05000","5","CA25N","90","2001","    Private nonfarm employment","Arkansas state total",1210514,1208373,1208101,1228215,1254695,1282821,1298072,1292356,1254897,1252869,1263840
"05000","5","CA25N","100","2001","      Forestry, fishing, and related activities","Arkansas state total",15109,15736,14224,14811,14742,14307,14307,14276,13685,13849,13787
"05000","5","CA25N","200","2001","      Mining","Arkansas state total",7032,6357,7128,6930,7369,8726,11053,14767,14793,16789,18344
"05000","5","CA25N","300","2001","      Utilities","Arkansas state total",7022,6916,6866,6695,6802,7052,7239,7316,7284,7570,7386
"05000","5","CA25N","400","2001","      Construction","Arkansas state total",90915,90494,89220,92035,99097,102442,101699,98765,92702,86930,83898
"05000","5","CA25N","500","2001","      Manufacturing","Arkansas state total",231337,218281,210236,207838,205232,203385,193708,186083,167395,163515,162660
"05000","5","CA25N","600","2001","      Wholesale trade","Arkansas state total",49869,49058,48789,50213,51781,52350,52800,52756,50868,50356,50542
"05000","5","CA25N","700","2001","      Retail trade","Arkansas state total",162401,162124,160825,162662,164080,165488,166972,163889,160124,159135,160633
"05000","5","CA25N","800","2001","      Transportation and warehousing","Arkansas state total",70927,73126,72390,71864,73618,75252,76206,72210,66269,65235,66717
"05000","5","CA25N","900","2001","      Information","Arkansas state total",23694,22523,22954,23004,23006,22895,22661,21642,20181,19443,18958
"05000","5","CA25N","1000","2001","      Finance and insurance","Arkansas state total",47703,48850,49198,49337,49943,51599,53847,55731,57295,55493,57157
"05000","5","CA25N","1100","2001","      Real estate and rental and leasing","Arkansas state total",36639,36603,38031,41954,46005,48615,51743,51694,51025,52500,53036
"05000","5","CA25N","1200","2001","      Professional, scientific, and technical services","Arkansas state total",49505,49937,51627,54144,56135,58269,61625,61505,59972,60844,61580
