"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"04000","6","CA25N","10","2001","Total employment","Arizona state total",2823452,2841538,2914131,3039930,3208243,3369783,3465578,3407829,3235390,3188129,3227500
"04000","6","CA25N","20","2001","  Wage and salary employment","Arizona state total",2351869,2354883,2395135,2482846,2613915,2743333,2779312,2713899,2524521,2483674,2510358
"04000","6","CA25N","40","2001","  Proprietors employment","Arizona state total",471583,486655,518996,557084,594328,626450,686266,693930,710869,704455,717142
"04000","6","CA25N","50","2001","    Farm proprietors employment","Arizona state total",10086,7356,9727,9541,9557,9446,15022,14877,14719,14765,14777
"04000","6","CA25N","60","2001","    Nonfarm proprietors employment 2/","Arizona state total",461497,479299,509269,547543,584771,617004,671244,679053,696150,689690,702365
"04000","6","CA25N","70","2001","  Farm employment","Arizona state total",22274,19246,22528,22562,23372,22869,28294,26509,26853,26348,26119
"04000","6","CA25N","80","2001","  Nonfarm employment","Arizona state total",2801178,2822292,2891603,3017368,3184871,3346914,3437284,3381320,3208537,3161781,3201381
"04000","6","CA25N","90","2001","    Private nonfarm employment","Arizona state total",2403969,2412294,2471149,2591783,2752707,2909528,2987513,2922292,2755880,2713806,2761123
"04000","6","CA25N","100","2001","      Forestry, fishing, and related activities","Arizona state total",18058,18675,17433,17869,17062,17347,17429,16428,15062,15652,16204
"04000","6","CA25N","200","2001","      Mining","Arizona state total",12852,11559,11708,11498,11923,13633,16182,19095,16509,17977,19669
"04000","6","CA25N","300","2001","      Utilities","Arizona state total",11230,11291,11674,11722,12148,12750,13186,13304,12835,12503,12334
"04000","6","CA25N","400","2001","      Construction","Arizona state total",213716,213314,221206,241067,274329,298545,284328,242356,181949,161293,159470
"04000","6","CA25N","500","2001","      Manufacturing","Arizona state total",210741,193360,185501,186712,190318,195721,192755,183841,165358,159094,161153
"04000","6","CA25N","600","2001","      Wholesale trade","Arizona state total",104906,103052,102348,106146,111699,117716,122242,120845,113097,109131,108870
"04000","6","CA25N","700","2001","      Retail trade","Arizona state total",323264,327746,337653,352257,374960,391476,403356,388970,364490,355645,356468
"04000","6","CA25N","800","2001","      Transportation and warehousing","Arizona state total",81053,81383,82293,85431,89589,95054,97267,95374,90945,88072,91514
"04000","6","CA25N","900","2001","      Information","Arizona state total",62224,58713,57795,56603,54592,53876,51831,51304,49022,47297,47181
"04000","6","CA25N","1000","2001","      Finance and insurance","Arizona state total",150846,153509,158773,163525,172042,179148,187577,193134,201559,194415,202900
"04000","6","CA25N","1100","2001","      Real estate and rental and leasing","Arizona state total",121833,126889,136069,153290,174463,188738,202910,198318,192158,193492,195975
"04000","6","CA25N","1200","2001","      Professional, scientific, and technical services","Arizona state total",164395,164350,169414,182089,191186,204932,217911,217658,207084,205827,208951
"04000","6","CA25N","1300","2001","      Management of companies and enterprises","Arizona state total",22944,23105,22697,24473,25804,28016,29701,32404,31503,29977,29653
"04000","6","CA25N","1400","2001","      Administrative and waste management services","Arizona state total",233782,231620,237584,249886,270423,288246,293462,279020,253095,252071,257926
"04000","6","CA25N","1500","2001","      Educational services","Arizona state total",31963,37027,40752,44920,49933,54101,55168,58795,61973,66613,70274
"04000","6","CA25N","1600","2001","      Health care and social assistance","Arizona state total",227925,237571,253006,263680,275982,291869,308284,322853,328607,340360,348927
"04000","6","CA25N","1700","2001","      Arts, entertainment, and recreation","Arizona state total",53279,55311,55970,58487,60783,63923,68493,69795,66673,66932,67767
"04000","6","CA25N","1800","2001","      Accommodation and food services","Arizona state total",212938,213919,217614,226098,238411,249505,253705,250259,238702,237217,242710
"04000","6","CA25N","1900","2001","      Other services, except public administration","Arizona state total",146020,149900,151659,156030,157060,164932,171726,168539,165259,160238,163177
"04000","6","CA25N","2000","2001","    Government and government enterprises","Arizona state total",397209,409998,420454,425585,432164,437386,449771,459028,452657,447975,440258
"04000","6","CA25N","2001","2001","      Federal, civilian","Arizona state total",47034,47540,50617,51114,51849,52135,52352,54417,56822,60025,57269
"04000","6","CA25N","2002","2001","      Military","Arizona state total",33032,33316,34750,34527,34147,33188,33789,33842,34453,34887,34280
"04000","6","CA25N","2010","2001","      State and local","Arizona state total",317143,329142,335087,339944,346168,352063,363630,370769,361382,353063,348709
"04000","6","CA25N","2011","2001","        State government","Arizona state total",80488,82445,83506,83827,84579,84600,88006,88204,84327,82530,82258
"04000","6","CA25N","2012","2001","        Local government","Arizona state total",236655,246697,251581,256117,261589,267463,275624,282565,277055,270533,266451
"04001","6","CA25N","10","2001","Total employment","Apache, AZ ",24996,25365,26302,27477,28164,29121,31189,31031,30845,30089,29706
"04001","6","CA25N","20","2001","  Wage and salary employment","Apache, AZ ",19952,20352,20151,20237,20316,20854,20757,20861,20757,20163,19708
"04001","6","CA25N","40","2001","  Proprietors employment","Apache, AZ ",5044,5013,6151,7240,7848,8267,10432,10170,10088,9926,9998
"04001","6","CA25N","50","2001","    Farm proprietors employment","Apache, AZ ",510,374,1340,1846,2256,2527,4396,4316,4273,4290,4293
"04001","6","CA25N","60","2001","    Nonfarm proprietors employment 2/","Apache, AZ ",4534,4639,4811,5394,5592,5740,6036,5854,5815,5636,5705
"04001","6","CA25N","70","2001","  Farm employment","Apache, AZ ",516,380,1345,1850,2260,2533,4402,4326,4280,4297,4303
"04001","6","CA25N","80","2001","  Nonfarm employment","Apache, AZ ",24480,24985,24957,25627,25904,26588,26787,26705,26565,25792,25403
"04001","6","CA25N","90","2001","    Private nonfarm employment","Apache, AZ ",11386,11575,11802,12355,13028,13358,13693,13811,13686,13223,13580
"04001","6","CA25N","100","2001","      Forestry, fishing, and related activities","Apache, AZ ","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",259,257
"04001","6","CA25N","200","2001","      Mining","Apache, AZ ","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",85,229
"04001","6","CA25N","300","2001","      Utilities","Apache, AZ ","(D)","(D)","(D)",234,253,285,284,"(D)","(D)","(D)","(D)"
"04001","6","CA25N","400","2001","      Construction","Apache, AZ ",1307,1192,1205,1168,1401,"(D)","(D)","(D)",1249,1190,1214
"04001","6","CA25N","500","2001","      Manufacturing","Apache, AZ ","(D)","(D)","(D)","(D)","(D)",202,204,270,297,405,430
"04001","6","CA25N","600","2001","      Wholesale trade","Apache, AZ ",318,338,323,364,386,396,387,340,"(D)","(D)","(D)"
"04001","6","CA25N","700","2001","      Retail trade","Apache, AZ ",1847,1949,2125,2172,2212,2212,2302,2225,2196,2042,1926
"04001","6","CA25N","800","2001","      Transportation and warehousing","Apache, AZ ","(D)","(D)","(D)",414,419,491,508,"(D)",474,461,458
"04001","6","CA25N","900","2001","      Information","Apache, AZ ",174,180,156,158,166,156,150,139,146,135,136
"04001","6","CA25N","1000","2001","      Finance and insurance","Apache, AZ ","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"04001","6","CA25N","1100","2001","      Real estate and rental and leasing","Apache, AZ ","(D)","(D)","(D)","(D)","(D)","(D)","(D)",901,"(D)",813,819
"04001","6","CA25N","1200","2001","      Professional, scientific, and technical services","Apache, AZ ",466,421,447,525,542,555,579,592,519,502,506
"04001","6","CA25N","1300","2001","      Management of companies and enterprises","Apache, AZ ",0,0,0,0,0,0,0,0,0,0,0
"04001","6","CA25N","1400","2001","      Administrative and waste management services","Apache, AZ ",481,444,468,548,538,568,592,533,516,461,467
"04001","6","CA25N","1500","2001","      Educational services","Apache, AZ ",789,879,918,865,752,786,767,773,751,702,744
"04001","6","CA25N","1600","2001","      Health care and social assistance","Apache, AZ ",1366,1556,1565,1801,2171,2177,2363,2508,2538,2559,2751
"04001","6","CA25N","1700","2001","      Arts, entertainment, and recreation","Apache, AZ ",243,"(D)",240,294,340,371,386,331,327,328,331
