"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"09000","1","CA25N","10","2001","Total employment","Connecticut state total",2108345,2116722,2113441,2139139,2168508,2199608,2243205,2254645,2194589,2177277,2203186
"09000","1","CA25N","20","2001","  Wage and salary employment","Connecticut state total",1753124,1739097,1718439,1724379,1733450,1750386,1766024,1768627,1697796,1678439,1695049
"09000","1","CA25N","40","2001","  Proprietors employment","Connecticut state total",355221,377625,395002,414760,435058,449222,477181,486018,496793,498838,508137
"09000","1","CA25N","50","2001","    Farm proprietors employment","Connecticut state total",4074,4020,3847,3758,3728,3646,4189,4208,4185,4194,4197
"09000","1","CA25N","60","2001","    Nonfarm proprietors employment 2/","Connecticut state total",351147,373605,391155,411002,431330,445576,472992,481810,492608,494644,503940
"09000","1","CA25N","70","2001","  Farm employment","Connecticut state total",10212,10216,10130,8898,8638,8079,8416,8820,8634,8654,8927
"09000","1","CA25N","80","2001","  Nonfarm employment","Connecticut state total",2098133,2106506,2103311,2130241,2159870,2191529,2234789,2245825,2185955,2168623,2194259
"09000","1","CA25N","90","2001","    Private nonfarm employment","Connecticut state total",1833370,1837731,1837279,1865379,1892747,1923963,1966418,1973318,1916775,1902338,1932772
"09000","1","CA25N","100","2001","      Forestry, fishing, and related activities","Connecticut state total",2380,2640,2341,2514,2492,2525,2630,2707,2644,2557,2603
"09000","1","CA25N","200","2001","      Mining","Connecticut state total",1969,1768,2073,1866,1891,2064,2274,2882,2680,3039,3361
"09000","1","CA25N","300","2001","      Utilities","Connecticut state total",9443,9140,8965,8816,8764,6895,7005,7127,6958,6710,6511
"09000","1","CA25N","400","2001","      Construction","Connecticut state total",109266,107502,110092,117552,122815,126628,128709,123330,110652,102544,102129
"09000","1","CA25N","500","2001","      Manufacturing","Connecticut state total",232776,218042,206825,204479,202131,200982,199114,194680,179894,173238,174142
"09000","1","CA25N","600","2001","      Wholesale trade","Connecticut state total",73550,72058,70964,72141,74011,75425,75625,76792,72552,70160,70845
"09000","1","CA25N","700","2001","      Retail trade","Connecticut state total",228239,230329,227084,228934,231477,231501,232001,227318,218055,215784,217162
"09000","1","CA25N","800","2001","      Transportation and warehousing","Connecticut state total",49407,48395,49776,50682,52330,52893,53733,53076,50414,49510,50688
"09000","1","CA25N","900","2001","      Information","Connecticut state total",50338,45991,45372,45086,44991,44365,44787,44181,40672,38349,37943
"09000","1","CA25N","1000","2001","      Finance and insurance","Connecticut state total",158945,161620,162579,161784,164521,167338,174786,185284,193257,193361,198175
"09000","1","CA25N","1100","2001","      Real estate and rental and leasing","Connecticut state total",76708,80515,85562,90983,99235,101772,107801,108045,106196,110366,112024
"09000","1","CA25N","1200","2001","      Professional, scientific, and technical services","Connecticut state total",149338,149261,147949,151273,150681,154323,160789,160967,154068,153669,155887
"09000","1","CA25N","1300","2001","      Management of companies and enterprises","Connecticut state total",29763,28959,28222,26468,26357,27711,28209,31187,30334,30422,31151
"09000","1","CA25N","1400","2001","      Administrative and waste management services","Connecticut state total",110587,109645,109919,114563,115949,119951,122367,118655,109653,110803,115199
"09000","1","CA25N","1500","2001","      Educational services","Connecticut state total",58701,62156,64311,66027,66920,69358,70895,73137,75730,77585,80876
"09000","1","CA25N","1600","2001","      Health care and social assistance","Connecticut state total",239466,246159,248662,251459,254046,259675,269093,275909,280501,283971,288430
"09000","1","CA25N","1700","2001","      Arts, entertainment, and recreation","Connecticut state total",41489,43875,44563,45943,46221,46622,47709,48893,48418,48975,50023
"09000","1","CA25N","1800","2001","      Accommodation and food services","Connecticut state total",105710,108574,111629,113325,115926,119790,122909,124755,121723,122241,125697
"09000","1","CA25N","1900","2001","      Other services, except public administration","Connecticut state total",105295,111102,110391,111484,111989,114145,115982,114393,112374,109054,109926
"09000","1","CA25N","2000","2001","    Government and government enterprises","Connecticut state total",264763,268775,266032,264862,267123,267566,268371,272507,269180,266285,261487
"09000","1","CA25N","2001","2001","      Federal, civilian","Connecticut state total",21061,20727,20694,20229,19964,19729,19638,19532,19338,19723,18060
"09000","1","CA25N","2002","2001","      Military","Connecticut state total",16292,16704,16351,15703,14826,15069,14273,14060,14456,14739,14569
"09000","1","CA25N","2010","2001","      State and local","Connecticut state total",227410,231344,228987,228930,232333,232768,234460,238915,235386,231823,228858
"09000","1","CA25N","2011","2001","        State government","Connecticut state total",76326,75939,72342,72587,75283,74145,74864,77457,76437,75974,75430
"09000","1","CA25N","2012","2001","        Local government","Connecticut state total",151084,155405,156645,156343,157050,158623,159596,161458,158949,155849,153428
"09001","1","CA25N","10","2001","Total employment","Fairfield, CT ",571350,572861,573787,580460,588594,598885,617503,617708,603231,602652,612943
"09001","1","CA25N","20","2001","  Wage and salary employment","Fairfield, CT ",457320,452468,448156,447091,448489,452512,459208,456614,435173,431591,437924
"09001","1","CA25N","40","2001","  Proprietors employment","Fairfield, CT ",114030,120393,125631,133369,140105,146373,158295,161094,168058,171061,175019
"09001","1","CA25N","50","2001","    Farm proprietors employment","Fairfield, CT ",243,238,226,221,217,210,238,243,241,241,241
"09001","1","CA25N","60","2001","    Nonfarm proprietors employment 2/","Fairfield, CT ",113787,120155,125405,133148,139888,146163,158057,160851,167817,170820,174778
"09001","1","CA25N","70","2001","  Farm employment","Fairfield, CT ",398,427,413,392,385,387,420,460,476,480,461
"09001","1","CA25N","80","2001","  Nonfarm employment","Fairfield, CT ",570952,572434,573374,580068,588209,598498,617083,617248,602755,602172,612482
"09001","1","CA25N","90","2001","    Private nonfarm employment","Fairfield, CT ",523545,524023,525365,531946,539818,550223,568254,567346,552971,552897,564196
