"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"10000","2","CA25N","10","2001","Total employment","Delaware state total",500267,501222,505878,519512,530211,540399,549028,549120,530364,527530,533428
"10000","2","CA25N","20","2001","  Wage and salary employment","Delaware state total",435726,431278,431522,440759,446298,450887,452042,451791,430104,428089,432161
"10000","2","CA25N","40","2001","  Proprietors employment","Delaware state total",64541,69944,74356,78753,83913,89512,96986,97329,100260,99441,101267
"10000","2","CA25N","50","2001","    Farm proprietors employment","Delaware state total",2396,2184,2011,1944,1915,1854,2011,1973,1947,1968,1970
"10000","2","CA25N","60","2001","    Nonfarm proprietors employment 2/","Delaware state total",62145,67760,72345,76809,81998,87658,94975,95356,98313,97473,99297
"10000","2","CA25N","70","2001","  Farm employment","Delaware state total",4036,3806,3379,3254,3162,3138,3211,3042,2983,3129,3096
"10000","2","CA25N","80","2001","  Nonfarm employment","Delaware state total",496231,497416,502499,516258,527049,537261,545817,546078,527381,524401,530332
"10000","2","CA25N","90","2001","    Private nonfarm employment","Delaware state total",429341,430074,434831,448816,458771,467677,475328,474398,455754,451554,457509
"10000","2","CA25N","100","2001","      Forestry, fishing, and related activities","Delaware state total","(D)",949,805,841,853,833,878,"(D)","(D)","(D)","(D)"
"10000","2","CA25N","200","2001","      Mining","Delaware state total","(D)",211,239,228,"(D)",189,200,"(D)","(D)","(D)","(D)"
"10000","2","CA25N","300","2001","      Utilities","Delaware state total",2269,2233,2228,2232,2231,2231,2197,2294,2193,2160,2019
"10000","2","CA25N","400","2001","      Construction","Delaware state total",32111,32253,33240,36124,"(D)",40574,38201,34974,29750,28580,28235
"10000","2","CA25N","500","2001","      Manufacturing","Delaware state total",40076,37754,36390,35430,34022,34204,34378,32825,29071,27198,26752
"10000","2","CA25N","600","2001","      Wholesale trade","Delaware state total",14291,14467,15071,15805,16041,16345,16033,15737,14474,13668,13660
"10000","2","CA25N","700","2001","      Retail trade","Delaware state total",58132,59093,60248,60970,62298,62972,63925,62028,59078,58789,59302
"10000","2","CA25N","800","2001","      Transportation and warehousing","Delaware state total",12194,12187,12249,13394,13145,13823,14228,13720,12792,12523,12720
"10000","2","CA25N","900","2001","      Information","Delaware state total",8820,7845,7727,7363,7623,7781,7951,8093,7546,7100,6771
"10000","2","CA25N","1000","2001","      Finance and insurance","Delaware state total",48174,48539,46733,46282,48453,47531,48905,50689,52420,50624,51613
"10000","2","CA25N","1100","2001","      Real estate and rental and leasing","Delaware state total",15745,16532,17991,19864,22205,23404,25274,25211,24744,25191,25452
"10000","2","CA25N","1200","2001","      Professional, scientific, and technical services","Delaware state total",34563,33080,34140,35792,33848,34181,35578,36123,34319,34123,36349
"10000","2","CA25N","1300","2001","      Management of companies and enterprises","Delaware state total",12387,12632,12010,13149,13150,12698,12061,11844,11027,10523,9133
"10000","2","CA25N","1400","2001","      Administrative and waste management services","Delaware state total",29704,26827,26612,27659,28205,29522,30589,29636,27760,27815,28745
"10000","2","CA25N","1500","2001","      Educational services","Delaware state total",7218,7786,7857,8069,8612,9202,9132,9178,9205,9435,9830
"10000","2","CA25N","1600","2001","      Health care and social assistance","Delaware state total",46623,47890,49659,51085,52801,54539,56965,61034,62057,62879,64375
"10000","2","CA25N","1700","2001","      Arts, entertainment, and recreation","Delaware state total",10932,11991,12367,12664,12951,13103,12862,13123,12897,13679,14157
"10000","2","CA25N","1800","2001","      Accommodation and food services","Delaware state total",30358,30878,31513,33043,33601,34079,34684,35327,35107,35966,36713
"10000","2","CA25N","1900","2001","      Other services, except public administration","Delaware state total",24646,26927,27752,28822,30001,30466,31287,31384,30139,30109,30316
"10000","2","CA25N","2000","2001","    Government and government enterprises","Delaware state total",66890,67342,67668,67442,68278,69584,70489,71680,71627,72847,72823
"10000","2","CA25N","2001","2001","      Federal, civilian","Delaware state total",5441,5342,5370,5426,5430,5383,5531,5686,5792,6156,5842
"10000","2","CA25N","2002","2001","      Military","Delaware state total",9005,9262,9396,9033,8422,8032,8275,8378,8464,8675,8803
"10000","2","CA25N","2010","2001","      State and local","Delaware state total",52444,52738,52902,52983,54426,56169,56683,57616,57371,58016,58178
"10000","2","CA25N","2011","2001","        State government","Delaware state total",30120,30580,30378,29987,30559,31742,32667,33173,32569,32719,32484
"10000","2","CA25N","2012","2001","        Local government","Delaware state total",22324,22158,22524,22996,23867,24427,24016,24443,24802,25297,25694
"10001","2","CA25N","10","2001","Total employment","Kent, DE ",73704,75820,77553,80521,83895,85267,87297,87335,84799,85881,86475
"10001","2","CA25N","20","2001","  Wage and salary employment","Kent, DE ",62138,63368,64269,66639,69124,69646,70547,70431,67638,68222,68550
"10001","2","CA25N","40","2001","  Proprietors employment","Kent, DE ",11566,12452,13284,13882,14771,15621,16750,16904,17161,17659,17925
"10001","2","CA25N","50","2001","    Farm proprietors employment","Kent, DE ",757,689,641,628,626,614,674,662,653,660,660
"10001","2","CA25N","60","2001","    Nonfarm proprietors employment 2/","Kent, DE ",10809,11763,12643,13254,14145,15007,16076,16242,16508,16999,17265
"10001","2","CA25N","70","2001","  Farm employment","Kent, DE ",1267,1195,1041,993,972,975,1020,959,929,968,974
