"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"17000","3","CA25N","10","2001","Total employment","Illinois state total",7317418,7219812,7197501,7250420,7335894,7448480,7571715,7553822,7310450,7261670,7349087
"17000","3","CA25N","20","2001","  Wage and salary employment","Illinois state total",6188623,6080421,6014380,6016410,6053479,6134058,6181343,6153026,5869095,5821234,5882915
"17000","3","CA25N","40","2001","  Proprietors employment","Illinois state total",1128795,1139391,1183121,1234010,1282415,1314422,1390372,1400796,1441355,1440436,1466172
"17000","3","CA25N","50","2001","    Farm proprietors employment","Illinois state total",76657,66349,63342,61664,61040,59651,62700,61907,61509,61335,60737
"17000","3","CA25N","60","2001","    Nonfarm proprietors employment 2/","Illinois state total",1052138,1073042,1119779,1172346,1221375,1254771,1327672,1338889,1379846,1379101,1405435
"17000","3","CA25N","70","2001","  Farm employment","Illinois state total",96985,82485,81235,76925,78311,77657,80531,78114,76780,79572,77806
"17000","3","CA25N","80","2001","  Nonfarm employment","Illinois state total",7220433,7137327,7116266,7173495,7257583,7370823,7491184,7475708,7233670,7182098,7271281
"17000","3","CA25N","90","2001","    Private nonfarm employment","Illinois state total",6320028,6228045,6213460,6277200,6364342,6475906,6593672,6567432,6319245,6275236,6382012
"17000","3","CA25N","100","2001","      Forestry, fishing, and related activities","Illinois state total",10928,11966,10545,10775,10855,10558,11475,11810,11772,11241,11546
"17000","3","CA25N","200","2001","      Mining","Illinois state total",18305,16871,18104,16675,17533,18695,19103,23184,22408,25580,28309
"17000","3","CA25N","300","2001","      Utilities","Illinois state total",29997,28497,25157,24557,23992,23724,23841,24773,24603,24055,24258
"17000","3","CA25N","400","2001","      Construction","Illinois state total",387061,383844,392631,393254,403636,415305,411082,388919,345225,318264,311367
"17000","3","CA25N","500","2001","      Manufacturing","Illinois state total",831005,771218,730994,713315,705564,700306,694354,676269,598074,578936,592460
"17000","3","CA25N","600","2001","      Wholesale trade","Illinois state total",331382,319967,315174,315337,321757,327829,331531,330124,313245,306596,309678
"17000","3","CA25N","700","2001","      Retail trade","Illinois state total",755069,745326,745811,743941,749437,750638,757850,742623,711126,698665,703636
"17000","3","CA25N","800","2001","      Transportation and warehousing","Illinois state total",293105,283641,281049,285915,293776,299511,308400,305218,294061,295778,302925
"17000","3","CA25N","900","2001","      Information","Illinois state total",164292,152637,144008,138673,137501,135580,136402,135177,124961,120312,118526
"17000","3","CA25N","1000","2001","      Finance and insurance","Illinois state total",440830,437297,436672,434525,436544,436689,453735,475838,496022,477706,487877
"17000","3","CA25N","1100","2001","      Real estate and rental and leasing","Illinois state total",226855,228546,239852,253106,271855,280938,289439,282425,273229,279380,282349
"17000","3","CA25N","1200","2001","      Professional, scientific, and technical services","Illinois state total",498631,485435,475723,485428,495887,510296,526163,530571,507509,507048,516959
"17000","3","CA25N","1300","2001","      Management of companies and enterprises","Illinois state total",83874,87662,88591,91855,95720,99234,100068,103226,100479,101564,103404
"17000","3","CA25N","1400","2001","      Administrative and waste management services","Illinois state total",454015,446575,451683,481960,486349,504734,519147,504041,460001,480890,503562
"17000","3","CA25N","1500","2001","      Educational services","Illinois state total",139707,144552,148623,153358,159674,170690,174033,180617,190213,197452,205558
"17000","3","CA25N","1600","2001","      Health care and social assistance","Illinois state total",693195,705914,719599,729311,739736,758858,783456,798967,811574,822179,835136
"17000","3","CA25N","1700","2001","      Arts, entertainment, and recreation","Illinois state total",131307,135948,137060,138324,140214,141820,146891,148818,146104,146128,148457
"17000","3","CA25N","1800","2001","      Accommodation and food services","Illinois state total",433512,433913,441557,450281,457297,469079,479949,480435,468089,468171,475450
"17000","3","CA25N","1900","2001","      Other services, except public administration","Illinois state total",396958,408236,410627,416610,417015,421422,426753,424397,420550,415291,420555
"17000","3","CA25N","2000","2001","    Government and government enterprises","Illinois state total",900405,909282,902806,896295,893241,894917,897512,908276,914425,906862,889269
"17000","3","CA25N","2001","2001","      Federal, civilian","Illinois state total",91335,90102,92298,90055,89242,87958,87329,87300,87468,92017,85985
"17000","3","CA25N","2002","2001","      Military","Illinois state total",56769,54686,51978,49960,47031,47195,48053,48545,48155,47780,44784
"17000","3","CA25N","2010","2001","      State and local","Illinois state total",752301,764494,758530,756280,756968,759764,762130,772431,778802,767065,758500
"17000","3","CA25N","2011","2001","        State government","Illinois state total",167347,166089,157190,157156,156316,155295,154461,156463,157705,155058,154595
"17000","3","CA25N","2012","2001","        Local government","Illinois state total",584954,598405,601340,599124,600652,604469,607669,615968,621097,612007,603905
"17001","3","CA25N","10","2001","Total employment","Adams, IL ",42981,42911,42671,43037,43835,44240,44490,44318,43288,43035,43305
"17001","3","CA25N","20","2001","  Wage and salary employment","Adams, IL ",35187,35430,34931,35214,35763,36241,36288,36355,35334,35038,35225
"17001","3","CA25N","40","2001","  Proprietors employment","Adams, IL ",7794,7481,7740,7823,8072,7999,8202,7963,7954,7997,8080
"17001","3","CA25N","50","2001","    Farm proprietors employment","Adams, IL ",1444,1239,1156,1104,1071,1026,1052,1045,1037,1033,1024
"17001","3","CA25N","60","2001","    Nonfarm proprietors employment 2/","Adams, IL ",6350,6242,6584,6719,7001,6973,7150,6918,6917,6964,7056
"17001","3","CA25N","70","2001","  Farm employment","Adams, IL ",1620,1372,1314,1248,1245,1219,1256,1231,1212,1241,1219
"17001","3","CA25N","80","2001","  Nonfarm employment","Adams, IL ",41361,41539,41357,41789,42590,43021,43234,43087,42076,41794,42086
"17001","3","CA25N","90","2001","    Private nonfarm employment","Adams, IL ",36407,36614,36593,37041,37831,38118,38248,38064,37102,36909,37373
"17001","3","CA25N","100","2001","      Forestry, fishing, and related activities","Adams, IL ",99,121,99,106,108,105,107,112,"(D)","(D)","(D)"
"17001","3","CA25N","200","2001","      Mining","Adams, IL ",245,242,245,242,260,276,276,269,"(D)","(D)","(D)"
"17001","3","CA25N","300","2001","      Utilities","Adams, IL ",102,98,113,115,114,116,115,118,119,112,108
"17001","3","CA25N","400","2001","      Construction","Adams, IL ",2057,2047,2114,2117,2220,2167,2104,2169,2150,2141,2087
"17001","3","CA25N","500","2001","      Manufacturing","Adams, IL ",5825,5523,5121,5222,5531,5832,5757,5585,5175,4863,5013
"17001","3","CA25N","600","2001","      Wholesale trade","Adams, IL ",1971,1986,2099,2138,2130,2109,2197,2234,2060,2014,1990
"17001","3","CA25N","700","2001","      Retail trade","Adams, IL ",5846,5655,5852,5857,5776,5845,5636,5524,5506,5604,5645
"17001","3","CA25N","800","2001","      Transportation and warehousing","Adams, IL ",1335,1240,1224,1268,1351,1380,1415,1353,1313,1282,1289
"17001","3","CA25N","900","2001","      Information","Adams, IL ",922,1116,865,838,841,813,804,763,664,640,649
"17001","3","CA25N","1000","2001","      Finance and insurance","Adams, IL ",2092,2046,2055,2072,2123,2170,2382,2594,2729,2541,2691
"17001","3","CA25N","1100","2001","      Real estate and rental and leasing","Adams, IL ",1160,1219,1281,1324,1456,1409,1359,1347,1345,1398,1401
"17001","3","CA25N","1200","2001","      Professional, scientific, and technical services","Adams, IL ",1139,1165,1192,1193,1234,1230,1217,1233,1169,1251,1328
"17001","3","CA25N","1300","2001","      Management of companies and enterprises","Adams, IL ",139,128,113,114,118,128,128,200,193,263,262
"17001","3","CA25N","1400","2001","      Administrative and waste management services","Adams, IL ",1323,1441,1388,1382,1332,1302,1626,1723,1590,1981,2017
"17001","3","CA25N","1500","2001","      Educational services","Adams, IL ",787,934,973,933,945,976,965,795,868,849,878
"17001","3","CA25N","1600","2001","      Health care and social assistance","Adams, IL ",5600,5658,5780,5878,6014,6004,6068,6010,5970,5819,5838
"17001","3","CA25N","1700","2001","      Arts, entertainment, and recreation","Adams, IL ",610,647,594,647,663,677,694,709,639,632,641
"17001","3","CA25N","1800","2001","      Accommodation and food services","Adams, IL ",2567,2610,2698,2790,2751,2707,2550,2589,2567,2551,2592
