"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"18000","3","CA25N","10","2001","Total employment","Indiana state total",3588104,3547026,3547659,3586423,3626252,3665740,3715676,3679500,3522385,3526143,3577648
"18000","3","CA25N","20","2001","  Wage and salary employment","Indiana state total",3029339,2995937,2989195,3014636,3033785,3059032,3075446,3042659,2877302,2886635,2930409
"18000","3","CA25N","40","2001","  Proprietors employment","Indiana state total",558765,551089,558464,571787,592467,606708,640230,636841,645083,639508,647239
"18000","3","CA25N","50","2001","    Farm proprietors employment","Indiana state total",62793,56675,53974,52527,52119,51048,52275,52225,52400,52969,53012
"18000","3","CA25N","60","2001","    Nonfarm proprietors employment 2/","Indiana state total",495972,494414,504490,519260,540348,555660,587955,584616,592683,586539,594227
"18000","3","CA25N","70","2001","  Farm employment","Indiana state total",77334,68189,65582,63328,63585,64241,64421,61593,62888,66545,63326
"18000","3","CA25N","80","2001","  Nonfarm employment","Indiana state total",3510770,3478837,3482077,3523095,3562667,3601499,3651255,3617907,3459497,3459598,3514322
"18000","3","CA25N","90","2001","    Private nonfarm employment","Indiana state total",3080156,3044729,3040583,3082062,3121748,3157555,3200289,3157448,2997725,3001677,3064418
"18000","3","CA25N","100","2001","      Forestry, fishing, and related activities","Indiana state total",7422,7839,7082,7595,7839,7870,8591,8667,8506,8598,8631
"18000","3","CA25N","200","2001","      Mining","Indiana state total",9491,9081,9464,9146,9233,9591,10073,11068,10755,11819,12896
"18000","3","CA25N","300","2001","      Utilities","Indiana state total",15332,14953,14680,14803,15057,15241,15311,15705,15739,15389,15099
"18000","3","CA25N","400","2001","      Construction","Indiana state total",214233,208711,210752,215484,220769,223336,225139,216240,190465,181024,183585
"18000","3","CA25N","500","2001","      Manufacturing","Indiana state total",625696,598669,582211,581784,581055,576573,562377,532928,456176,460725,477205
"18000","3","CA25N","600","2001","      Wholesale trade","Indiana state total",131982,128263,125671,127438,131346,133641,135827,134565,124985,123122,124233
"18000","3","CA25N","700","2001","      Retail trade","Indiana state total",424373,414890,411186,407994,408775,407098,405380,393221,378600,372117,374440
"18000","3","CA25N","800","2001","      Transportation and warehousing","Indiana state total",139352,133676,132031,135325,141710,146236,150313,146356,139109,139499,142946
"18000","3","CA25N","900","2001","      Information","Indiana state total",51326,48064,47162,47458,47347,47641,48684,47981,45610,43938,42351
"18000","3","CA25N","1000","2001","      Finance and insurance","Indiana state total",138147,136579,136979,134894,133544,134258,139275,143419,146867,143476,146432
