"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"22000","5","CA25N","10","2001","Total employment","Louisiana state total",2382268,2403843,2427307,2443228,2415247,2432176,2528895,2576136,2556727,2565507,2590728
"22000","5","CA25N","20","2001","  Wage and salary employment","Louisiana state total",2012160,2000052,2005398,2014386,1982867,1949562,2014645,2040323,2003169,1990201,2005804
"22000","5","CA25N","40","2001","  Proprietors employment","Louisiana state total",370108,403791,421909,428842,432380,482614,514250,535813,553558,575306,584924
"22000","5","CA25N","50","2001","    Farm proprietors employment","Louisiana state total",28372,24596,23652,22945,22729,22254,24831,24639,24519,24175,23784
"22000","5","CA25N","60","2001","    Nonfarm proprietors employment 2/","Louisiana state total",341736,379195,398257,405897,409651,460360,489419,511174,529039,551131,561140
"22000","5","CA25N","70","2001","  Farm employment","Louisiana state total",37909,33892,30828,30638,29991,31121,32735,32373,33336,33144,31873
"22000","5","CA25N","80","2001","  Nonfarm employment","Louisiana state total",2344359,2369951,2396479,2412590,2385256,2401055,2496160,2543763,2523391,2532363,2558855
"22000","5","CA25N","90","2001","    Private nonfarm employment","Louisiana state total",1936552,1956513,1979895,1995890,1978397,2018368,2107007,2142779,2116973,2123590,2161513
"22000","5","CA25N","100","2001","      Forestry, fishing, and related activities","Louisiana state total",19001,21466,18389,19224,18120,17904,18011,18377,18187,19949,19662
"22000","5","CA25N","200","2001","      Mining","Louisiana state total",58106,54378,55251,51006,52142,57974,61923,71483,67678,74120,78598
"22000","5","CA25N","300","2001","      Utilities","Louisiana state total",10163,10205,10106,9962,9922,9792,9684,9815,9903,9876,9680
"22000","5","CA25N","400","2001","      Construction","Louisiana state total",167963,164968,169223,168049,175149,196570,201859,199567,192448,178877,177581
"22000","5","CA25N","500","2001","      Manufacturing","Louisiana state total",177572,166546,161862,158280,157005,158641,164565,159459,150130,144576,147177
