"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"25000","1","CA25N","10","2001","Total employment","Massachusetts state total",4096218,4025691,3993191,4015738,4056052,4117311,4194623,4209768,4114502,4117425,4168887
"25000","1","CA25N","20","2001","  Wage and salary employment","Massachusetts state total",3454679,3384261,3327417,3318313,3330098,3360521,3404202,3410858,3300521,3311859,3350292
"25000","1","CA25N","40","2001","  Proprietors employment","Massachusetts state total",641539,641430,665774,697425,725954,756790,790421,798910,813981,805566,818595
"25000","1","CA25N","50","2001","    Farm proprietors employment","Massachusetts state total",5784,5742,5539,5390,5359,5235,6557,6526,6496,6514,6519
"25000","1","CA25N","60","2001","    Nonfarm proprietors employment 2/","Massachusetts state total",635755,635688,660235,692035,720595,751555,783864,792384,807485,799052,812076
"25000","1","CA25N","70","2001","  Farm employment","Massachusetts state total",10688,10583,10512,9512,9351,8890,10092,10384,10217,10244,10475
"25000","1","CA25N","80","2001","  Nonfarm employment","Massachusetts state total",4085530,4015108,3982679,4006226,4046701,4108421,4184531,4199384,4104285,4107181,4158412
"25000","1","CA25N","90","2001","    Private nonfarm employment","Massachusetts state total",3627559,3559379,3536360,3570021,3609132,3665925,3736009,3746013,3652075,3653016,3708491
"25000","1","CA25N","100","2001","      Forestry, fishing, and related activities","Massachusetts state total",10704,11806,10346,11060,10964,10786,10719,10807,10855,10794,9773
"25000","1","CA25N","200","2001","      Mining","Massachusetts state total",2603,2422,2874,2785,2845,2865,2856,3020,2978,3331,3604
"25000","1","CA25N","300","2001","      Utilities","Massachusetts state total",12323,11264,10921,10457,10003,10174,10660,10843,10789,11047,10972
"25000","1","CA25N","400","2001","      Construction","Massachusetts state total",219882,216427,219729,227103,235731,239959,236308,227202,202683,193765,194257
"25000","1","CA25N","500","2001","      Manufacturing","Massachusetts state total",399164,359937,333714,322060,315077,309886,307096,297733,271607,265403,265206
"25000","1","CA25N","600","2001","      Wholesale trade","Massachusetts state total",151589,145103,144437,146851,145511,148775,149625,147673,138935,134128,134375
"25000","1","CA25N","700","2001","      Retail trade","Massachusetts state total",411660,410843,410463,412288,413346,409085,409627,404973,392479,394938,397902
"25000","1","CA25N","800","2001","      Transportation and warehousing","Massachusetts state total",100767,95329,94376,92966,92638,94154,97709,96510,92487,93612,94427
"25000","1","CA25N","900","2001","      Information","Massachusetts state total",122949,109369,102156,98677,99257,99866,100896,102459,97524,97978,96920
"25000","1","CA25N","1000","2001","      Finance and insurance","Massachusetts state total",233793,231699,227026,223638,229275,234928,245758,257801,267233,259235,265228
"25000","1","CA25N","1100","2001","      Real estate and rental and leasing","Massachusetts state total",124682,126466,134135,145319,155335,165532,162742,161368,161260,167581,170243
"25000","1","CA25N","1200","2001","      Professional, scientific, and technical services","Massachusetts state total",365190,348119,344331,354515,364677,373322,390170,400527,391477,389315,398204
"25000","1","CA25N","1300","2001","      Management of companies and enterprises","Massachusetts state total",70437,68719,66099,64634,65351,63350,62345,62986,60619,59000,60127
"25000","1","CA25N","1400","2001","      Administrative and waste management services","Massachusetts state total",213098,203413,206330,212146,212869,224208,229839,224743,209606,215436,222950
"25000","1","CA25N","1500","2001","      Educational services","Massachusetts state total",185345,189572,195195,199243,199297,201678,208397,208632,213043,212778,218991
"25000","1","CA25N","1600","2001","      Health care and social assistance","Massachusetts state total",474288,483584,488483,494780,500565,515263,537937,550281,558807,570145,579132
"25000","1","CA25N","1700","2001","      Arts, entertainment, and recreation","Massachusetts state total",84610,88589,89795,91498,92761,95331,99327,101967,100357,101897,103695
"25000","1","CA25N","1800","2001","      Accommodation and food services","Massachusetts state total",251537,255526,257437,259688,260963,265246,270376,273285,269021,275714,282779
"25000","1","CA25N","1900","2001","      Other services, except public administration","Massachusetts state total",192938,201192,198513,200313,202667,201517,203622,203203,200315,196919,199706
"25000","1","CA25N","2000","2001","    Government and government enterprises","Massachusetts state total",457971,455729,446319,436205,437569,442496,448522,453371,452210,454165,449921
"25000","1","CA25N","2001","2001","      Federal, civilian","Massachusetts state total",53197,51717,52649,51351,50320,49466,49423,49487,49503,51078,48402
"25000","1","CA25N","2002","2001","      Military","Massachusetts state total",22438,22881,22048,20715,19749,20222,19901,19643,19899,20569,20906
"25000","1","CA25N","2010","2001","      State and local","Massachusetts state total",382336,381131,371622,364139,367500,372808,379198,384241,382808,382518,380613
"25000","1","CA25N","2011","2001","        State government","Massachusetts state total",125141,120160,118839,113468,114278,116274,120305,123028,123132,124367,124304
"25000","1","CA25N","2012","2001","        Local government","Massachusetts state total",257195,260971,252783,250671,253222,256534,258893,261213,259676,258151,256309
"25001","1","CA25N","10","2001","Total employment","Barnstable, MA ",133002,133686,137573,140670,141640,142392,142999,141497,137708,137616,138000
"25001","1","CA25N","20","2001","  Wage and salary employment","Barnstable, MA ",95047,96476,98294,98993,98462,98210,98417,97377,94298,94339,94263
"25001","1","CA25N","40","2001","  Proprietors employment","Barnstable, MA ",37955,37210,39279,41677,43178,44182,44582,44120,43410,43277,43737
"25001","1","CA25N","50","2001","    Farm proprietors employment","Barnstable, MA ",250,256,258,260,266,266,341,339,338,339,339
"25001","1","CA25N","60","2001","    Nonfarm proprietors employment 2/","Barnstable, MA ",37705,36954,39021,41417,42912,43916,44241,43781,43072,42938,43398
"25001","1","CA25N","70","2001","  Farm employment","Barnstable, MA ",377,395,377,371,375,378,459,469,455,461,459
"25001","1","CA25N","80","2001","  Nonfarm employment","Barnstable, MA ",132625,133291,137196,140299,141265,142014,142540,141028,137253,137155,137541
"25001","1","CA25N","90","2001","    Private nonfarm employment","Barnstable, MA ",117541,118336,122018,125263,126027,126689,126943,125511,121844,121447,122221
"25001","1","CA25N","100","2001","      Forestry, fishing, and related activities","Barnstable, MA ",1433,1634,1294,1351,"(D)","(D)","(D)",1253,"(D)","(D)",1175
"25001","1","CA25N","200","2001","      Mining","Barnstable, MA ",131,133,151,150,"(D)","(D)","(D)",170,"(D)","(D)",165
"25001","1","CA25N","300","2001","      Utilities","Barnstable, MA ",485,408,403,383,374,380,412,399,452,409,366
"25001","1","CA25N","400","2001","      Construction","Barnstable, MA ",12221,11849,12634,13180,13950,14146,13839,13329,11994,11479,11277
"25001","1","CA25N","500","2001","      Manufacturing","Barnstable, MA ",3094,2800,2602,2283,2215,2271,2214,2191,2058,2131,2180
"25001","1","CA25N","600","2001","      Wholesale trade","Barnstable, MA ",2150,2107,2133,2165,2329,2459,2439,2403,2277,2265,2325
"25001","1","CA25N","700","2001","      Retail trade","Barnstable, MA ",19483,19745,20219,21098,20774,20767,20735,19761,17981,17859,17818
"25001","1","CA25N","800","2001","      Transportation and warehousing","Barnstable, MA ",2673,2607,2587,2643,2575,2535,2572,2515,2505,2471,2567
"25001","1","CA25N","900","2001","      Information","Barnstable, MA ",2493,2417,2369,2396,2325,2311,2202,2165,2060,2103,2077
"25001","1","CA25N","1000","2001","      Finance and insurance","Barnstable, MA ",4776,4781,4857,4743,4653,4584,4775,5377,5774,5461,5659
"25001","1","CA25N","1100","2001","      Real estate and rental and leasing","Barnstable, MA ",8284,8182,9368,10499,11200,11438,10449,9742,9707,10035,10141
"25001","1","CA25N","1200","2001","      Professional, scientific, and technical services","Barnstable, MA ",9369,9088,9561,9717,9569,9419,9694,9786,9450,9608,9648
"25001","1","CA25N","1300","2001","      Management of companies and enterprises","Barnstable, MA ",1100,1076,1044,1023,687,707,695,692,510,614,609
"25001","1","CA25N","1400","2001","      Administrative and waste management services","Barnstable, MA ",6080,6419,6700,6891,6976,7312,7456,7369,7314,7188,7394
"25001","1","CA25N","1500","2001","      Educational services","Barnstable, MA ",1586,1788,1879,1970,1980,2017,2073,2167,2303,2283,2370
"25001","1","CA25N","1600","2001","      Health care and social assistance","Barnstable, MA ",14773,15033,15836,16368,16842,17044,17491,17810,18016,18120,18216
"25001","1","CA25N","1700","2001","      Arts, entertainment, and recreation","Barnstable, MA ",4469,4532,4794,4788,4710,4930,5235,5122,5065,5043,5034
"25001","1","CA25N","1800","2001","      Accommodation and food services","Barnstable, MA ",15376,15860,15731,15591,15322,14944,15161,15355,15261,15457,15554
"25001","1","CA25N","1900","2001","      Other services, except public administration","Barnstable, MA ",7565,7877,7856,8024,8110,8012,8080,7905,7759,7603,7646
"25001","1","CA25N","2000","2001","    Government and government enterprises","Barnstable, MA ",15084,14955,15178,15036,15238,15325,15597,15517,15409,15708,15320
"25001","1","CA25N","2001","2001","      Federal, civilian","Barnstable, MA ",1641,1495,1702,1696,1825,1787,1904,1808,1766,1918,1708
"25001","1","CA25N","2002","2001","      Military","Barnstable, MA ",1231,1277,1270,1221,1172,1225,1217,1218,1227,1279,1228
"25001","1","CA25N","2010","2001","      State and local","Barnstable, MA ",12212,12183,12206,12119,12241,12313,12476,12491,12416,12511,12384
"25001","1","CA25N","2011","2001","        State government","Barnstable, MA ",2592,2241,2229,1974,1963,1985,2100,2106,2215,2398,2362
"25001","1","CA25N","2012","2001","        Local government","Barnstable, MA ",9620,9942,9977,10145,10278,10328,10376,10385,10201,10113,10022
"25003","1","CA25N","10","2001","Total employment","Berkshire, MA ",80824,80736,80782,81216,82955,84032,84660,84454,82504,81922,82164
"25003","1","CA25N","20","2001","  Wage and salary employment","Berkshire, MA ",65796,65997,65477,65081,66068,66652,66744,66525,64676,64334,64391
"25003","1","CA25N","40","2001","  Proprietors employment","Berkshire, MA ",15028,14739,15305,16135,16887,17380,17916,17929,17828,17588,17773
"25003","1","CA25N","50","2001","    Farm proprietors employment","Berkshire, MA ",397,388,377,368,367,358,448,448,446,447,448
"25003","1","CA25N","60","2001","    Nonfarm proprietors employment 2/","Berkshire, MA ",14631,14351,14928,15767,16520,17022,17468,17481,17382,17141,17325
"25003","1","CA25N","70","2001","  Farm employment","Berkshire, MA ",566,568,579,530,518,493,554,575,587,597,563
"25003","1","CA25N","80","2001","  Nonfarm employment","Berkshire, MA ",80258,80168,80203,80686,82437,83539,84106,83879,81917,81325,81601
"25003","1","CA25N","90","2001","    Private nonfarm employment","Berkshire, MA ",71815,71805,72034,72934,74601,75579,76020,75550,73064,72385,72722
"25003","1","CA25N","100","2001","      Forestry, fishing, and related activities","Berkshire, MA ",209,212,167,189,207,203,198,198,193,198,195
"25003","1","CA25N","200","2001","      Mining","Berkshire, MA ",115,104,148,168,145,155,140,131,146,155,159
"25003","1","CA25N","300","2001","      Utilities","Berkshire, MA ",285,284,218,232,221,226,259,295,290,281,271
