"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"24000","2","CA25N","10","2001","Total employment","Maryland state total",3106180,3142315,3180557,3240172,3308776,3368182,3439165,3434704,3366279,3356458,3395660
"24000","2","CA25N","20","2001","  Wage and salary employment","Maryland state total",2595769,2612770,2622104,2646254,2676773,2712874,2731261,2721297,2643648,2636857,2664514
"24000","2","CA25N","40","2001","  Proprietors employment","Maryland state total",510411,529545,558453,593918,632003,655308,707904,713407,722631,719601,731146
"24000","2","CA25N","50","2001","    Farm proprietors employment","Maryland state total",12200,11618,11069,10782,10716,10379,10978,10974,10878,10906,10915
"24000","2","CA25N","60","2001","    Nonfarm proprietors employment 2/","Maryland state total",498211,517927,547384,583136,621287,644929,696926,702433,711753,708695,720231
"24000","2","CA25N","70","2001","  Farm employment","Maryland state total",18611,18182,16633,16137,15838,15675,15953,15410,15176,15722,15585
"24000","2","CA25N","80","2001","  Nonfarm employment","Maryland state total",3087569,3124133,3163924,3224035,3292938,3352507,3423212,3419294,3351103,3340736,3380075
"24000","2","CA25N","90","2001","    Private nonfarm employment","Maryland state total",2568407,2594275,2629594,2696764,2763109,2815318,2881061,2868049,2793724,2775186,2809640
"24000","2","CA25N","100","2001","      Forestry, fishing, and related activities","Maryland state total",6450,7416,6428,6846,6907,6757,6546,6585,6427,6394,6265
"24000","2","CA25N","200","2001","      Mining","Maryland state total",2987,2561,2904,2819,3052,3310,3404,4038,3842,4339,4707
"24000","2","CA25N","300","2001","      Utilities","Maryland state total",11135,10205,10267,10124,10125,10173,10500,11016,10635,10362,10613
"24000","2","CA25N","400","2001","      Construction","Maryland state total",214505,214871,221976,234990,247306,255754,256889,244119,217274,203856,202689
"24000","2","CA25N","500","2001","      Manufacturing","Maryland state total",174148,162242,152824,149145,145836,141905,139045,135742,127206,122655,120810
"24000","2","CA25N","600","2001","      Wholesale trade","Maryland state total",101455,100830,99346,101156,103565,104776,104647,102053,96767,94702,95296
"24000","2","CA25N","700","2001","      Retail trade","Maryland state total",349152,348082,349850,353261,358352,360404,363853,352148,336360,333565,335592
"24000","2","CA25N","800","2001","      Transportation and warehousing","Maryland state total",91294,90304,87690,89601,92071,94481,96290,93011,89792,90127,90728
"24000","2","CA25N","900","2001","      Information","Maryland state total",69328,63406,61869,61319,63371,63954,64673,64194,59967,57498,54483
