"FIPS","Region","Table","Line code","First year","Line Title","Area Name","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"10180"," ","CA25N","10","2001","Total employment","Abilene, TX (Metropolitan Statistical Area)",88990,90158,91874,93401,94566,95594,97738,99800,97921,97382,98765
"10180"," ","CA25N","20","2001","  Wage and salary employment","Abilene, TX (Metropolitan Statistical Area)",68827,69947,70225,70931,71200,71867,73243,75206,73125,72215,72908
"10180"," ","CA25N","40","2001","  Proprietors employment","Abilene, TX (Metropolitan Statistical Area)",20163,20211,21649,22470,23366,23727,24495,24594,24796,25167,25857
"10180"," ","CA25N","50","2001","    Farm proprietors employment","Abilene, TX (Metropolitan Statistical Area)",3160,2948,2875,2832,2867,2833,3061,3038,3023,3017,3004
"10180"," ","CA25N","60","2001","    Nonfarm proprietors employment 2/","Abilene, TX (Metropolitan Statistical Area)",17003,17263,18774,19638,20499,20894,21434,21556,21773,22150,22853
"10180"," ","CA25N","70","2001","  Farm employment","Abilene, TX (Metropolitan Statistical Area)",3597,3319,3199,3104,3138,3042,3269,3242,3256,3229,3203
"10180"," ","CA25N","80","2001","  Nonfarm employment","Abilene, TX (Metropolitan Statistical Area)",85393,86839,88675,90297,91428,92552,94469,96558,94665,94153,95562
"10180"," ","CA25N","90","2001","    Private nonfarm employment","Abilene, TX (Metropolitan Statistical Area)",67332,68500,70466,72029,73441,74451,76399,78434,76403,75592,77396
"10180"," ","CA25N","100","2001","      Forestry, fishing, and related activities","Abilene, TX (Metropolitan Statistical Area)","(D)","(D)","(D)","(D)",451,417,428,467,"(D)","(D)","(D)"
"10180"," ","CA25N","200","2001","      Mining","Abilene, TX (Metropolitan Statistical Area)",2941,2668,3115,2819,3106,3578,3928,4931,4215,"(D)",5643
"10180"," ","CA25N","300","2001","      Utilities","Abilene, TX (Metropolitan Statistical Area)","469E","448E",432,426,413,428,480,"(D)","472E","415E",386
"10180"," ","CA25N","400","2001","      Construction","Abilene, TX (Metropolitan Statistical Area)",4614,4939,5050,5046,5536,5573,5823,6559,5929,5395,5402
"10180"," ","CA25N","500","2001","      Manufacturing","Abilene, TX (Metropolitan Statistical Area)",3630,3503,3195,3434,3551,3650,3691,3591,3284,3110,2923
"10180"," ","CA25N","600","2001","      Wholesale trade","Abilene, TX (Metropolitan Statistical Area)",2876,2886,2845,2891,2601,2695,2736,2845,2719,2609,2714
"10180"," ","CA25N","700","2001","      Retail trade","Abilene, TX (Metropolitan Statistical Area)",10253,10344,10378,10668,11084,11309,11407,11047,10540,10413,10325
"10180"," ","CA25N","800","2001","      Transportation and warehousing","Abilene, TX (Metropolitan Statistical Area)","2144E","2131E",2078,2117,2099,2088,2129,"1930E","1871E","1948E",2134
"10180"," ","CA25N","900","2001","      Information","Abilene, TX (Metropolitan Statistical Area)","1370E","1327E","1406E","1412E","1439E","1428E","1469E","(D)","1387E","(D)","1275E"
"10180"," ","CA25N","1000","2001","      Finance and insurance","Abilene, TX (Metropolitan Statistical Area)",3775,3865,3899,3943,4083,4075,4948,5265,5718,5643,5938
"10180"," ","CA25N","1100","2001","      Real estate and rental and leasing","Abilene, TX (Metropolitan Statistical Area)",2193,2244,2424,2486,2723,2845,2916,2778,2767,2853,2899
"10180"," ","CA25N","1200","2001","      Professional, scientific, and technical services","Abilene, TX (Metropolitan Statistical Area)","2846E","2823E",3040,3229,"2957E","3052E","3306E","3370E","3392E","3416E","3456E"
"10180"," ","CA25N","1300","2001","      Management of companies and enterprises","Abilene, TX (Metropolitan Statistical Area)","(D)","(D)","(D)","295E","297E","308E","323E","445E","330E","218E","274E"
"10180"," ","CA25N","1400","2001","      Administrative and waste management services","Abilene, TX (Metropolitan Statistical Area)","3325E","3314E","3642E","3746E","3817E",4251,"4027E","4092E","4059E","3990E","4867E"
"10180"," ","CA25N","1500","2001","      Educational services","Abilene, TX (Metropolitan Statistical Area)","2661E","2657E","2834E","3067E","3020E","2614E","2633E","2772E","2904E","2918E","2886E"
"10180"," ","CA25N","1600","2001","      Health care and social assistance","Abilene, TX (Metropolitan Statistical Area)","9774E","10300E","10594E","10837E","11013E","10779E","10835E","10507E","10573E","10513E","10389E"
"10180"," ","CA25N","1700","2001","      Arts, entertainment, and recreation","Abilene, TX (Metropolitan Statistical Area)","1191E","1250E","(D)","1284E","1307E","1273E","1269E","1227E","1224E","1257E","1280E"
"10180"," ","CA25N","1800","2001","      Accommodation and food services","Abilene, TX (Metropolitan Statistical Area)","5703E","5832E","5930E","6080E","6168E","6618E","6423E","6673E","6663E","6449E","6721E"
"10180"," ","CA25N","1900","2001","      Other services, except public administration","Abilene, TX (Metropolitan Statistical Area)",5865,6143,6488,6741,6586,6506,6451,6243,6092,5882,5866
"10180"," ","CA25N","2000","2001","    Government and government enterprises","Abilene, TX (Metropolitan Statistical Area)",18061,18339,18209,18268,17987,18101,18070,18124,18262,18561,18166
"10180"," ","CA25N","2001","2001","      Federal, civilian","Abilene, TX (Metropolitan Statistical Area)",1333,1322,1214,1125,1185,1397,1376,1350,1361,1474,1337
"10180"," ","CA25N","2002","2001","      Military","Abilene, TX (Metropolitan Statistical Area)",5133,5471,5589,5793,5435,5286,5221,5178,5145,5135,5056
"10180"," ","CA25N","2010","2001","      State and local","Abilene, TX (Metropolitan Statistical Area)",11595,11546,11406,11350,11367,11418,11473,11596,11756,11952,11773
"10180"," ","CA25N","2011","2001","        State government","Abilene, TX (Metropolitan Statistical Area)","(D)","(D)","3216E","3141E",3154,3149,3218,3321,3430,3553,3508
"10180"," ","CA25N","2012","2001","        Local government","Abilene, TX (Metropolitan Statistical Area)","(D)","(D)","(D)","(D)",8213,8269,8255,8275,8326,8399,8265
"10420"," ","CA25N","10","2001","Total employment","Akron, OH (Metropolitan Statistical Area)",392623,393033,394628,402254,410073,415061,420595,420524,401358,399253,403347
"10420"," ","CA25N","20","2001","  Wage and salary employment","Akron, OH (Metropolitan Statistical Area)",335325,334603,333466,339140,344370,348050,351033,350981,329866,327616,330566
"10420"," ","CA25N","40","2001","  Proprietors employment","Akron, OH (Metropolitan Statistical Area)",57298,58430,61162,63114,65703,67011,69562,69543,71492,71637,72781
"10420"," ","CA25N","50","2001","    Farm proprietors employment","Akron, OH (Metropolitan Statistical Area)",1300,1256,1192,1138,1106,1059,1028,1014,1008,1001,994
"10420"," ","CA25N","60","2001","    Nonfarm proprietors employment 2/","Akron, OH (Metropolitan Statistical Area)",55998,57174,59970,61976,64597,65952,68534,68529,70484,70636,71787
"10420"," ","CA25N","70","2001","  Farm employment","Akron, OH (Metropolitan Statistical Area)",1576,1476,1454,1402,1375,1364,1372,1275,1291,1285,1256
"10420"," ","CA25N","80","2001","  Nonfarm employment","Akron, OH (Metropolitan Statistical Area)",391047,391557,393174,400852,408698,413697,419223,419249,400067,397968,402091
"10420"," ","CA25N","90","2001","    Private nonfarm employment","Akron, OH (Metropolitan Statistical Area)",340652,340236,341633,348998,357864,362860,367178,366085,347102,345749,351285
"10420"," ","CA25N","100","2001","      Forestry, fishing, and related activities","Akron, OH (Metropolitan Statistical Area)","(D)","(D)","(D)","(D)","(D)",325,333,367,335,306,319
"10420"," ","CA25N","200","2001","      Mining","Akron, OH (Metropolitan Statistical Area)","(D)","(D)","(D)","(D)","(D)",1253,1341,1509,1522,1518,1585
"10420"," ","CA25N","300","2001","      Utilities","Akron, OH (Metropolitan Statistical Area)","2025E","2362E","1277E","1223E",1230,"1264E",1327,"1304E","1309E","1223E","1046E"
"10420"," ","CA25N","400","2001","      Construction","Akron, OH (Metropolitan Statistical Area)",20767,20245,20562,21009,21587,22223,21835,20586,19003,18087,18118
"10420"," ","CA25N","500","2001","      Manufacturing","Akron, OH (Metropolitan Statistical Area)",53810,50520,49641,50310,50024,49467,49194,46461,39712,38776,40172
"10420"," ","CA25N","600","2001","      Wholesale trade","Akron, OH (Metropolitan Statistical Area)",18090,17474,17647,17853,18831,19265,19648,19316,18249,18455,19072
"10420"," ","CA25N","700","2001","      Retail trade","Akron, OH (Metropolitan Statistical Area)",46518,45290,44181,45713,46541,46133,46368,45914,42360,41640,41775
"10420"," ","CA25N","800","2001","      Transportation and warehousing","Akron, OH (Metropolitan Statistical Area)","(D)","(D)","(D)","(D)",12530,"(D)",13125,"(D)","(D)","(D)","(D)"
"10420"," ","CA25N","900","2001","      Information","Akron, OH (Metropolitan Statistical Area)",5792,5318,5556,5496,5489,5638,5709,5568,5305,5050,4905
"10420"," ","CA25N","1000","2001","      Finance and insurance","Akron, OH (Metropolitan Statistical Area)",14082,14204,14494,14474,14791,14729,15040,15680,16525,16173,16716
"10420"," ","CA25N","1100","2001","      Real estate and rental and leasing","Akron, OH (Metropolitan Statistical Area)",12673,12589,13094,13770,14587,14342,14142,13761,13545,13837,13984
"10420"," ","CA25N","1200","2001","      Professional, scientific, and technical services","Akron, OH (Metropolitan Statistical Area)",19777,19586,20254,21327,21429,22390,23490,23961,22991,23165,23321
"10420"," ","CA25N","1300","2001","      Management of companies and enterprises","Akron, OH (Metropolitan Statistical Area)",9664,11616,14413,13848,14019,14253,14014,15527,14775,14304,15389
"10420"," ","CA25N","1400","2001","      Administrative and waste management services","Akron, OH (Metropolitan Statistical Area)",23290,23325,22475,23721,25803,28080,28813,28802,25601,26174,26595
"10420"," ","CA25N","1500","2001","      Educational services","Akron, OH (Metropolitan Statistical Area)",5441,5794,6170,6711,6950,7045,6930,7121,7228,7569,7837
"10420"," ","CA25N","1600","2001","      Health care and social assistance","Akron, OH (Metropolitan Statistical Area)",39979,41352,42135,43095,44555,45854,47708,49592,50252,51143,51890
"10420"," ","CA25N","1700","2001","      Arts, entertainment, and recreation","Akron, OH (Metropolitan Statistical Area)",7872,8065,8062,8165,8318,8362,8534,8315,8160,8264,8430
"10420"," ","CA25N","1800","2001","      Accommodation and food services","Akron, OH (Metropolitan Statistical Area)",26251,26743,26868,27490,27934,27700,27894,27746,26817,27062,27053
"10420"," ","CA25N","1900","2001","      Other services, except public administration","Akron, OH (Metropolitan Statistical Area)",21189,21722,21618,21630,21747,21589,21733,21827,21532,21271,21368
"10420"," ","CA25N","2000","2001","    Government and government enterprises","Akron, OH (Metropolitan Statistical Area)",50395,51321,51541,51854,50834,50837,52045,53164,52965,52219,50806
"10420"," ","CA25N","2001","2001","      Federal, civilian","Akron, OH (Metropolitan Statistical Area)",3046,3131,3136,2869,2654,2314,2280,2296,2254,2517,2288
"10420"," ","CA25N","2002","2001","      Military","Akron, OH (Metropolitan Statistical Area)",1899,1962,1959,1931,1916,1804,1751,1823,1847,1819,1822
"10420"," ","CA25N","2010","2001","      State and local","Akron, OH (Metropolitan Statistical Area)",45450,46228,46446,47054,46264,46719,48014,49045,48864,47883,46696
"10420"," ","CA25N","2011","2001","        State government","Akron, OH (Metropolitan Statistical Area)",13707,13940,14170,14535,14584,14686,15512,16525,16606,16651,16483
"10420"," ","CA25N","2012","2001","        Local government","Akron, OH (Metropolitan Statistical Area)",31743,32288,32276,32519,31680,32033,32502,32520,32258,31232,30213
"10500"," ","CA25N","10","2001","Total employment","Albany, GA (Metropolitan Statistical Area)",79230,78069,79432,79559,81386,81694,82182,81638,79394,79054,78804
"10500"," ","CA25N","20","2001","  Wage and salary employment","Albany, GA (Metropolitan Statistical Area)",69168,68007,68446,67740,68854,68698,68635,68167,65768,64694,64235
"10500"," ","CA25N","40","2001","  Proprietors employment","Albany, GA (Metropolitan Statistical Area)",10062,10062,10986,11819,12532,12996,13547,13471,13626,14360,14569
"10500"," ","CA25N","50","2001","    Farm proprietors employment","Albany, GA (Metropolitan Statistical Area)",1181,1046,1021,1012,1025,1021,1012,1002,992,989,982
"10500"," ","CA25N","60","2001","    Nonfarm proprietors employment 2/","Albany, GA (Metropolitan Statistical Area)",8881,9016,9965,10807,11507,11975,12535,12469,12634,13371,13587
"10500"," ","CA25N","70","2001","  Farm employment","Albany, GA (Metropolitan Statistical Area)",1839,1710,1696,1688,1824,1652,1639,1697,1653,1543,1567
"10500"," ","CA25N","80","2001","  Nonfarm employment","Albany, GA (Metropolitan Statistical Area)",77391,76359,77736,77871,79562,80042,80543,79941,77741,77511,77237
"10500"," ","CA25N","90","2001","    Private nonfarm employment","Albany, GA (Metropolitan Statistical Area)",62498,61618,62736,63072,64542,64873,65619,65304,62984,62565,62567
"10500"," ","CA25N","100","2001","      Forestry, fishing, and related activities","Albany, GA (Metropolitan Statistical Area)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","753E","835E","774E"
"10500"," ","CA25N","200","2001","      Mining","Albany, GA (Metropolitan Statistical Area)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"10500"," ","CA25N","300","2001","      Utilities","Albany, GA (Metropolitan Statistical Area)","(D)","195E","221E","218E","221E","201E","(D)","(D)","(D)","(D)","(D)"
"10500"," ","CA25N","400","2001","      Construction","Albany, GA (Metropolitan Statistical Area)",4492,"4271E","4515E","4808E","4683E","4644E","4821E","4934E","4071E","3738E","3604E"
