"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"33000","1","CA25N","10","2001","Total employment","New Hampshire state total",788798,786629,795951,810548,825020,834791,848118,844001,820890,814733,821729
"33000","1","CA25N","20","2001","  Wage and salary employment","New Hampshire state total",640603,635959,637904,644879,650099,657187,660712,659277,636169,633655,638856
"33000","1","CA25N","40","2001","  Proprietors employment","New Hampshire state total",148195,150670,158047,165669,174921,177604,187406,184724,184721,181078,182873
"33000","1","CA25N","50","2001","    Farm proprietors employment","New Hampshire state total",3264,3481,3404,3328,3327,3265,3969,3948,3930,3942,3944
"33000","1","CA25N","60","2001","    Nonfarm proprietors employment 2/","New Hampshire state total",144931,147189,154643,162341,171594,174339,183437,180776,180791,177136,178929
"33000","1","CA25N","70","2001","  Farm employment","New Hampshire state total",4876,5042,4992,4630,4575,4396,5050,5128,5069,5083,5154
"33000","1","CA25N","80","2001","  Nonfarm employment","New Hampshire state total",783922,781587,790959,805918,820445,830395,843068,838873,815821,809650,816575
"33000","1","CA25N","90","2001","    Private nonfarm employment","New Hampshire state total",695872,690575,697607,714061,728552,736800,748385,743237,719583,712005,720634
"33000","1","CA25N","100","2001","      Forestry, fishing, and related activities","New Hampshire state total",3433,3505,3037,3174,3278,3096,3201,3293,3093,2956,2860
"33000","1","CA25N","200","2001","      Mining","New Hampshire state total",888,781,928,907,949,1035,1322,1295,1162,1341,1470
"33000","1","CA25N","300","2001","      Utilities","New Hampshire state total",2892,2982,2939,2896,2877,2645,2681,2672,2693,2690,2624
"33000","1","CA25N","400","2001","      Construction","New Hampshire state total",52913,53497,56796,59488,62604,62168,60084,57060,52195,49142,48775
"33000","1","CA25N","500","2001","      Manufacturing","New Hampshire state total",101311,88715,83877,83663,83688,82350,82533,80471,72779,70013,71015
"33000","1","CA25N","600","2001","      Wholesale trade","New Hampshire state total",29357,29458,29456,30305,30617,31295,31640,31245,29576,28944,29211
"33000","1","CA25N","700","2001","      Retail trade","New Hampshire state total",111858,113445,114240,115291,116350,117398,117449,115217,111393,110044,110419
"33000","1","CA25N","800","2001","      Transportation and warehousing","New Hampshire state total",16915,16648,16875,16790,17224,17081,17336,16823,16252,15902,16117
"33000","1","CA25N","900","2001","      Information","New Hampshire state total",15598,14568,14254,14731,15205,15113,14941,15192,14709,13842,13760
"33000","1","CA25N","1000","2001","      Finance and insurance","New Hampshire state total",34586,35470,36011,36288,36923,37495,40751,40733,41484,40650,42113
"33000","1","CA25N","1100","2001","      Real estate and rental and leasing","New Hampshire state total",26658,27463,29436,32261,35029,35053,34739,34480,34056,34924,35557
"33000","1","CA25N","1200","2001","      Professional, scientific, and technical services","New Hampshire state total",47097,45840,46395,48513,51080,52182,55627,56461,54596,54413,55287
"33000","1","CA25N","1300","2001","      Management of companies and enterprises","New Hampshire state total",7396,6821,6330,7212,7563,7879,8112,8557,8339,8425,8500
"33000","1","CA25N","1400","2001","      Administrative and waste management services","New Hampshire state total",33782,33638,35118,36467,36854,38948,40941,40825,39102,40621,42415
"33000","1","CA25N","1500","2001","      Educational services","New Hampshire state total",23565,25172,25949,26026,26337,26370,26439,26752,27042,26940,27555
"33000","1","CA25N","1600","2001","      Health care and social assistance","New Hampshire state total",78547,80600,82651,83956,85462,88444,91719,93582,95016,95140,95636
"33000","1","CA25N","1700","2001","      Arts, entertainment, and recreation","New Hampshire state total",17903,18506,18984,19769,19349,19762,20065,20839,20565,20870,21295
"33000","1","CA25N","1800","2001","      Accommodation and food services","New Hampshire state total",52845,54106,54771,56529,56913,57662,57655,57460,55646,56266,56997
"33000","1","CA25N","1900","2001","      Other services, except public administration","New Hampshire state total",38328,39360,39560,39795,40250,40824,41150,40280,39885,38882,39028
"33000","1","CA25N","2000","2001","    Government and government enterprises","New Hampshire state total",88050,91012,93352,91857,91893,93595,94683,95636,96238,97645,95941
"33000","1","CA25N","2001","2001","      Federal, civilian","New Hampshire state total",7939,7852,8028,7922,7913,7923,7803,7811,7794,8047,7427
"33000","1","CA25N","2002","2001","      Military","New Hampshire state total",4279,4310,4464,4286,4018,3967,3943,4270,4544,4705,4658
"33000","1","CA25N","2010","2001","      State and local","New Hampshire state total",75832,78850,80860,79649,79962,81705,82937,83555,83900,84893,83856
"33000","1","CA25N","2011","2001","        State government","New Hampshire state total",23874,24903,25636,24086,23459,24213,24983,25145,24959,26006,25985
"33000","1","CA25N","2012","2001","        Local government","New Hampshire state total",51958,53947,55224,55563,56503,57492,57954,58410,58941,58887,57871
"33001","1","CA25N","10","2001","Total employment","Belknap, NH ",37499,37200,37849,38891,39026,39574,40220,39374,38322,37391,37473
"33001","1","CA25N","20","2001","  Wage and salary employment","Belknap, NH ",27901,27677,27797,28491,28464,28768,28787,28394,27322,26639,26649
"33001","1","CA25N","40","2001","  Proprietors employment","Belknap, NH ",9598,9523,10052,10400,10562,10806,11433,10980,11000,10752,10824
"33001","1","CA25N","50","2001","    Farm proprietors employment","Belknap, NH ",222,238,234,228,227,221,269,266,264,265,265
"33001","1","CA25N","60","2001","    Nonfarm proprietors employment 2/","Belknap, NH ",9376,9285,9818,10172,10335,10585,11164,10714,10736,10487,10559
"33001","1","CA25N","70","2001","  Farm employment","Belknap, NH ",291,308,309,293,292,283,330,333,329,330,334
"33001","1","CA25N","80","2001","  Nonfarm employment","Belknap, NH ",37208,36892,37540,38598,38734,39291,39890,39041,37993,37061,37139
"33001","1","CA25N","90","2001","    Private nonfarm employment","Belknap, NH ",33475,32903,33353,34426,34434,34840,35392,34467,33273,32432,32582
"33001","1","CA25N","100","2001","      Forestry, fishing, and related activities","Belknap, NH ",137,150,126,134,128,121,"(D)",137,132,"(D)","(D)"
"33001","1","CA25N","200","2001","      Mining","Belknap, NH ","(D)","(D)","(D)",35,65,70,"(D)","(D)",90,"(D)","(D)"
"33001","1","CA25N","300","2001","      Utilities","Belknap, NH ",113,115,114,118,140,141,140,142,144,147,136
"33001","1","CA25N","400","2001","      Construction","Belknap, NH ","(D)","(D)","(D)","(D)","(D)",4118,"(D)","(D)",3577,3283,3159
"33001","1","CA25N","500","2001","      Manufacturing","Belknap, NH ",4992,4069,3760,3892,4000,3697,3484,3115,2772,2418,2406
"33001","1","CA25N","600","2001","      Wholesale trade","Belknap, NH ",718,695,689,861,845,878,873,891,860,811,794
"33001","1","CA25N","700","2001","      Retail trade","Belknap, NH ",6277,6447,6427,6379,6241,6340,6536,6418,6194,6083,5980
"33001","1","CA25N","800","2001","      Transportation and warehousing","Belknap, NH ",738,644,681,693,732,733,723,708,644,653,657
"33001","1","CA25N","900","2001","      Information","Belknap, NH ",388,"(D)",420,420,434,435,426,418,430,401,392
"33001","1","CA25N","1000","2001","      Finance and insurance","Belknap, NH ",1058,1084,1070,981,990,1006,1168,1188,1275,1236,1294
"33001","1","CA25N","1100","2001","      Real estate and rental and leasing","Belknap, NH ",1755,"(D)",1883,2081,2076,2208,2337,2170,2080,2161,2226
"33001","1","CA25N","1200","2001","      Professional, scientific, and technical services","Belknap, NH ",1588,1567,1644,1742,1798,1825,1944,1925,1888,1956,2010
"33001","1","CA25N","1300","2001","      Management of companies and enterprises","Belknap, NH ","(D)","(D)","(D)","(D)","(D)",382,389,395,397,407,432
"33001","1","CA25N","1400","2001","      Administrative and waste management services","Belknap, NH ",1628,1715,1656,1803,1804,1942,1920,1813,1818,1752,1939
