"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"34000","2","CA25N","10","2001","Total employment","New Jersey state total",4741318,4776628,4814604,4894294,4980350,5059218,5121074,5120430,4992083,4964752,4983993
"34000","2","CA25N","20","2001","  Wage and salary employment","New Jersey state total",4058636,4048433,4042010,4070069,4101753,4135950,4146632,4118820,3960283,3922946,3923939
"34000","2","CA25N","40","2001","  Proprietors employment","New Jersey state total",682682,728195,772594,824225,878597,923268,974442,1001610,1031800,1041806,1060054
"34000","2","CA25N","50","2001","    Farm proprietors employment","New Jersey state total",9591,9492,9095,8849,8717,8517,8906,8834,8793,8819,8825
"34000","2","CA25N","60","2001","    Nonfarm proprietors employment 2/","New Jersey state total",673091,718703,763499,815376,869880,914751,965536,992776,1023007,1032987,1051229
"34000","2","CA25N","70","2001","  Farm employment","New Jersey state total",18899,19092,17350,16910,16539,16721,16725,15805,15548,16389,16164
"34000","2","CA25N","80","2001","  Nonfarm employment","New Jersey state total",4722419,4757536,4797254,4877384,4963811,5042497,5104349,5104625,4976535,4948363,4967829
"34000","2","CA25N","90","2001","    Private nonfarm employment","New Jersey state total",4109936,4133711,4161204,4228658,4308124,4386106,4447447,4445341,4316690,4300465,4342197
"34000","2","CA25N","100","2001","      Forestry, fishing, and related activities","New Jersey state total",5299,5756,5118,5419,5535,5547,5763,5940,5962,6476,6584
"34000","2","CA25N","200","2001","      Mining","New Jersey state total",2931,2466,2916,2806,3082,3357,3487,4222,3694,4174,4501
"34000","2","CA25N","300","2001","      Utilities","New Jersey state total",16366,15924,15421,15305,14492,14390,13958,12680,12318,15035,14181
"34000","2","CA25N","400","2001","      Construction","New Jersey state total",224569,227974,233826,245668,256310,266624,263058,253556,225689,213578,210703
"34000","2","CA25N","500","2001","      Manufacturing","New Jersey state total",407836,376557,358782,347570,341394,334158,319884,309322,279886,269393,265567
"34000","2","CA25N","600","2001","      Wholesale trade","New Jersey state total",257759,248996,247135,250318,252473,252318,254163,252844,237162,231336,230631
"34000","2","CA25N","700","2001","      Retail trade","New Jersey state total",525690,529903,536866,537199,545063,545685,548529,537545,517674,517173,519693
"34000","2","CA25N","800","2001","      Transportation and warehousing","New Jersey state total",199211,192931,191783,193410,196161,200646,205879,203658,194473,192154,193401
"34000","2","CA25N","900","2001","      Information","New Jersey state total",136077,121787,114804,112692,113042,113362,113731,108386,99472,95395,91644
"34000","2","CA25N","1000","2001","      Finance and insurance","New Jersey state total",271673,277831,279184,280210,286515,290814,300390,317989,333735,322150,330052
"34000","2","CA25N","1100","2001","      Real estate and rental and leasing","New Jersey state total",178996,192607,209231,227305,249005,264215,269748,270792,268453,277884,280859
