"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"36000","2","CA25N","10","2001","Total employment","New York state total",10422202,10334385,10360965,10509161,10648866,10787589,11044506,11166653,10955038,11007832,11154532
"36000","2","CA25N","20","2001","  Wage and salary employment","New York state total",8789469,8656383,8615644,8671435,8724537,8810584,8939191,9003322,8735423,8732197,8837168
"36000","2","CA25N","40","2001","  Proprietors employment","New York state total",1632733,1678002,1745321,1837726,1924329,1977005,2105315,2163331,2219615,2275635,2317364
"36000","2","CA25N","50","2001","    Farm proprietors employment","New York state total",38249,37087,35404,33587,32944,31639,32261,32676,32505,32315,32075
"36000","2","CA25N","60","2001","    Nonfarm proprietors employment 2/","New York state total",1594484,1640915,1709917,1804139,1891385,1945366,2073054,2130655,2187110,2243320,2285289
"36000","2","CA25N","70","2001","  Farm employment","New York state total",60224,58970,58285,52887,51963,49355,49698,51699,50856,50707,51584
"36000","2","CA25N","80","2001","  Nonfarm employment","New York state total",10361978,10275415,10302680,10456274,10596903,10738234,10994808,11114954,10904182,10957125,11102948
"36000","2","CA25N","90","2001","    Private nonfarm employment","New York state total",8877726,8769517,8799867,8957053,9096963,9238926,9483559,9586392,9378351,9439215,9625140
"36000","2","CA25N","100","2001","      Forestry, fishing, and related activities","New York state total",12786,13610,12052,12688,13223,13291,13700,14106,13676,13395,13504
"36000","2","CA25N","200","2001","      Mining","New York state total",9609,8904,10049,9547,9691,10537,12111,13789,12658,14855,16354
"36000","2","CA25N","300","2001","      Utilities","New York state total",43533,43015,42224,40436,40459,40145,40042,40815,40819,40187,38853
"36000","2","CA25N","400","2001","      Construction","New York state total",463428,447925,457446,467784,482028,499585,519102,523658,484489,460023,457019
"36000","2","CA25N","500","2001","      Manufacturing","New York state total",729920,675670,636899,620841,606771,592679,581639,559345,506509,484363,486728
"36000","2","CA25N","600","2001","      Wholesale trade","New York state total",397370,384685,381594,386986,389677,391690,393783,387392,366490,362708,368266
"36000","2","CA25N","700","2001","      Retail trade","New York state total",1014501,1007010,1010483,1023401,1040369,1046042,1061868,1056631,1026902,1035511,1049816
"36000","2","CA25N","800","2001","      Transportation and warehousing","New York state total",323347,308288,309073,313985,320842,325761,338140,337964,325391,320598,322951
"36000","2","CA25N","900","2001","      Information","New York state total",357307,323602,307815,303524,308666,306349,304638,302837,289496,290719,293900
"36000","2","CA25N","1000","2001","      Finance and insurance","New York state total",720548,693404,679518,687045,703056,720202,756461,788087,801686,804908,840182
"36000","2","CA25N","1100","2001","      Real estate and rental and leasing","New York state total",394933,396973,416273,444386,479940,489372,522966,532506,528820,553438,560100
"36000","2","CA25N","1200","2001","      Professional, scientific, and technical services","New York state total",777270,765801,768748,796047,805692,829713,862805,879644,845694,845667,865670
"36000","2","CA25N","1300","2001","      Management of companies and enterprises","New York state total",122453,127086,126659,125487,129759,135343,136076,144502,142766,143567,144407
"36000","2","CA25N","1400","2001","      Administrative and waste management services","New York state total",528052,513695,514601,529275,534927,542262,556466,558618,534201,546594,565216
"36000","2","CA25N","1500","2001","      Educational services","New York state total",334966,349223,360692,376440,382492,394223,400626,410510,415465,427182,439928
