"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"39000","3","CA25N","10","2001","Total employment","Ohio state total",6710695,6640830,6630434,6677697,6722669,6761906,6810557,6745551,6479392,6443835,6521257
"39000","3","CA25N","20","2001","  Wage and salary employment","Ohio state total",5708999,5618684,5573441,5583201,5588468,5600646,5598268,5526611,5234992,5201963,5262063
"39000","3","CA25N","40","2001","  Proprietors employment","Ohio state total",1001696,1022146,1056993,1094496,1134201,1161260,1212289,1218940,1244400,1241872,1259194
"39000","3","CA25N","50","2001","    Farm proprietors employment","Ohio state total",80527,75380,72471,70216,69221,67367,66341,65429,65031,64687,64217
"39000","3","CA25N","60","2001","    Nonfarm proprietors employment 2/","Ohio state total",921169,946766,984522,1024280,1064980,1093893,1145948,1153511,1179369,1177185,1194977
"39000","3","CA25N","70","2001","  Farm employment","Ohio state total",98228,89256,88195,85169,83762,82962,83051,78159,78728,78489,76935
"39000","3","CA25N","80","2001","  Nonfarm employment","Ohio state total",6612467,6551574,6542239,6592528,6638907,6678944,6727506,6667392,6400664,6365346,6444322
"39000","3","CA25N","90","2001","    Private nonfarm employment","Ohio state total",5777984,5705026,5691536,5742154,5796058,5836960,5883118,5823753,5561859,5530125,5626864
"39000","3","CA25N","100","2001","      Forestry, fishing, and related activities","Ohio state total",10305,11571,10398,11208,11431,11367,12260,12974,12686,12825,12868
"39000","3","CA25N","200","2001","      Mining","Ohio state total",21719,19858,21255,19653,20019,21592,22738,26892,26947,30345,33488
"39000","3","CA25N","300","2001","      Utilities","Ohio state total",24841,22387,21936,21082,20989,21486,22214,22882,22153,21018,20206
"39000","3","CA25N","400","2001","      Construction","Ohio state total",358453,352519,355710,365578,372419,368300,365647,347857,314672,295508,298618
"39000","3","CA25N","500","2001","      Manufacturing","Ohio state total",971700,901451,860594,841904,832648,819701,797280,762828,656353,644542,662849
"39000","3","CA25N","600","2001","      Wholesale trade","Ohio state total",263603,253302,250186,252366,257810,260495,260566,257183,241745,236907,238395
"39000","3","CA25N","700","2001","      Retail trade","Ohio state total",777379,762046,755224,745551,740440,731775,731824,710207,682560,669011,669877
"39000","3","CA25N","800","2001","      Transportation and warehousing","Ohio state total",215286,211351,209943,217273,229568,239698,248376,242732,220718,216066,220593
"39000","3","CA25N","900","2001","      Information","Ohio state total",119141,111977,109208,106472,104740,103774,103529,102479,96373,93477,91693
"39000","3","CA25N","1000","2001","      Finance and insurance","Ohio state total",293937,298091,298657,300152,297311,300154,309525,315468,326227,319044,327128
"39000","3","CA25N","1100","2001","      Real estate and rental and leasing","Ohio state total",207325,209771,215130,227777,241791,242378,243106,240921,237220,243975,247376
"39000","3","CA25N","1200","2001","      Professional, scientific, and technical services","Ohio state total",346133,340123,343731,352808,353760,362553,379111,382547,368739,369172,376777
"39000","3","CA25N","1300","2001","      Management of companies and enterprises","Ohio state total",88494,94193,98314,96950,104985,108617,107530,113902,112979,112099,117556
"39000","3","CA25N","1400","2001","      Administrative and waste management services","Ohio state total",383476,380969,379247,394142,398038,406384,412072,405896,372889,384766,403064
"39000","3","CA25N","1500","2001","      Educational services","Ohio state total",108761,112908,117314,121082,128249,134183,136473,139957,143560,146709,151052
"39000","3","CA25N","1600","2001","      Health care and social assistance","Ohio state total",688053,706080,723098,735926,750505,769795,789095,808066,819760,832502,842674
"39000","3","CA25N","1700","2001","      Arts, entertainment, and recreation","Ohio state total",112663,115826,115521,116344,117765,116978,120520,121455,119304,119405,121805
"39000","3","CA25N","1800","2001","      Accommodation and food services","Ohio state total",436361,438884,445141,452934,457197,462166,462863,457615,443717,443993,451148
"39000","3","CA25N","1900","2001","      Other services, except public administration","Ohio state total",350354,361719,360929,362952,356393,355564,358389,351892,343257,338761,339697
"39000","3","CA25N","2000","2001","    Government and government enterprises","Ohio state total",834483,846548,850703,850374,842849,841984,844388,843639,838805,835221,817458
"39000","3","CA25N","2001","2001","      Federal, civilian","Ohio state total",80502,78939,79778,78436,77410,76687,76902,78025,79433,84827,80543
"39000","3","CA25N","2002","2001","      Military","Ohio state total",37067,38304,38600,38085,36318,35963,34839,35649,36109,35838,36158
"39000","3","CA25N","2010","2001","      State and local","Ohio state total",716914,729305,732325,733853,729121,729334,732647,729965,723263,714556,700757
"39000","3","CA25N","2011","2001","        State government","Ohio state total",177223,178807,178692,179495,180433,181641,186218,186805,185354,185741,184889
"39000","3","CA25N","2012","2001","        Local government","Ohio state total",539691,550498,553633,554358,548688,547693,546429,543160,537909,528815,515868
"39001","3","CA25N","10","2001","Total employment","Adams, OH ",11701,11593,11606,11964,12117,12335,12624,12147,11782,11685,11629
"39001","3","CA25N","20","2001","  Wage and salary employment","Adams, OH ",6904,6702,6653,6897,6958,7137,7264,6913,6446,6439,6375
"39001","3","CA25N","40","2001","  Proprietors employment","Adams, OH ",4797,4891,4953,5067,5159,5198,5360,5234,5336,5246,5254
"39001","3","CA25N","50","2001","    Farm proprietors employment","Adams, OH ",1423,1303,1270,1250,1255,1243,1248,1227,1220,1213,1205
