"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"41000","8","CA25N","10","2001","Total employment","Oregon state total",2088698,2064780,2083820,2137067,2199828,2263610,2317876,2307058,2206794,2196416,2221802
"41000","8","CA25N","20","2001","  Wage and salary employment","Oregon state total",1673039,1655219,1667808,1705730,1750502,1798292,1823312,1810443,1707674,1701494,1720379
"41000","8","CA25N","40","2001","  Proprietors employment","Oregon state total",415659,409561,416012,431337,449326,465318,494564,496615,499120,494922,501423
"41000","8","CA25N","50","2001","    Farm proprietors employment","Oregon state total",39925,41720,40096,38988,38782,37189,36048,35971,35803,35813,35654
"41000","8","CA25N","60","2001","    Nonfarm proprietors employment 2/","Oregon state total",375734,367841,375916,392349,410544,428129,458516,460644,463317,459109,465769
"41000","8","CA25N","70","2001","  Farm employment","Oregon state total",67687,69440,68141,68075,67897,67182,66669,66322,66745,69391,69012
"41000","8","CA25N","80","2001","  Nonfarm employment","Oregon state total",2021011,1995340,2015679,2068992,2131931,2196428,2251207,2240736,2140049,2127025,2152790
"41000","8","CA25N","90","2001","    Private nonfarm employment","Oregon state total",1742891,1716058,1737084,1787291,1846822,1909842,1961907,1944737,1841324,1826395,1858068
"41000","8","CA25N","100","2001","      Forestry, fishing, and related activities","Oregon state total",28829,30433,29223,29280,29640,29571,30382,30921,28442,28213,28731
"41000","8","CA25N","200","2001","      Mining","Oregon state total",3325,3074,3495,3351,3512,3758,4423,4649,4156,4870,5371
"41000","8","CA25N","300","2001","      Utilities","Oregon state total",5546,5336,5362,5469,5048,5060,5012,5192,5003,4856,4753
"41000","8","CA25N","400","2001","      Construction","Oregon state total",119886,115273,114180,121070,132242,143903,148562,135760,113005,103626,103577
"41000","8","CA25N","500","2001","      Manufacturing","Oregon state total",226667,212297,205247,210147,214422,218378,216839,207702,181406,176916,181874
"41000","8","CA25N","600","2001","      Wholesale trade","Oregon state total",81566,80422,81019,82735,85652,88122,88878,88040,83197,80893,81906
"41000","8","CA25N","700","2001","      Retail trade","Oregon state total",235673,231534,231650,235955,243411,248392,252255,244728,231727,229397,230165
"41000","8","CA25N","800","2001","      Transportation and warehousing","Oregon state total",63613,63036,62359,63940,65983,67750,69225,67857,62915,61740,62956
"41000","8","CA25N","900","2001","      Information","Oregon state total",45774,41203,39576,39173,40665,41669,42734,42814,40053,39753,39548
"41000","8","CA25N","1000","2001","      Finance and insurance","Oregon state total",80952,80782,82250,81262,83319,85521,89065,92543,94934,91035,93747
"41000","8","CA25N","1100","2001","      Real estate and rental and leasing","Oregon state total",80224,76481,79022,83394,88865,94802,103157,103426,100739,103554,104442
"41000","8","CA25N","1200","2001","      Professional, scientific, and technical services","Oregon state total",114982,111219,111721,117271,119488,123667,132611,134493,130614,132113,135856
"41000","8","CA25N","1300","2001","      Management of companies and enterprises","Oregon state total",27632,26761,26040,26986,28513,29983,31839,33659,32067,31661,31520
"41000","8","CA25N","1400","2001","      Administrative and waste management services","Oregon state total",108813,109845,109528,115077,120183,125375,126064,120647,109660,111645,115218
"41000","8","CA25N","1500","2001","      Educational services","Oregon state total",34850,36835,41051,45292,47854,49282,48145,49870,51534,53340,55534
"41000","8","CA25N","1600","2001","      Health care and social assistance","Oregon state total",194087,199018,216934,220452,224423,230375,238225,245631,248136,252251,256708
"41000","8","CA25N","1700","2001","      Arts, entertainment, and recreation","Oregon state total",42183,42868,43567,45276,46476,48779,52038,53162,52214,52476,53558
"41000","8","CA25N","1800","2001","      Accommodation and food services","Oregon state total",140719,140902,143329,146411,150252,155706,161363,162243,153863,154380,157452
"41000","8","CA25N","1900","2001","      Other services, except public administration","Oregon state total",107570,108739,111531,114750,116874,119749,121090,121400,117659,113676,115152
"41000","8","CA25N","2000","2001","    Government and government enterprises","Oregon state total",278120,279282,278595,281701,285109,286586,289300,295999,298725,300630,294722
"41000","8","CA25N","2001","2001","      Federal, civilian","Oregon state total",29106,29009,30743,30316,29646,29025,29099,29535,29980,30585,28837
"41000","8","CA25N","2002","2001","      Military","Oregon state total",12681,13151,13403,12919,12673,12591,12377,12159,12465,12350,12391
"41000","8","CA25N","2010","2001","      State and local","Oregon state total",236333,237122,234449,238466,242790,244970,247824,254305,256280,257695,253494
"41000","8","CA25N","2011","2001","        State government","Oregon state total",60829,62022,63470,66478,68555,68165,66948,68444,70961,73266,73219
"41000","8","CA25N","2012","2001","        Local government","Oregon state total",175504,175100,170979,171988,174235,176805,180876,185861,185319,184429,180275
"41001","8","CA25N","10","2001","Total employment","Baker, OR ",8582,8439,8409,8449,8506,8708,8927,8988,8765,8638,8499
"41001","8","CA25N","20","2001","  Wage and salary employment","Baker, OR ",5572,5509,5493,5559,5599,5742,5835,5842,5687,5617,5456
"41001","8","CA25N","40","2001","  Proprietors employment","Baker, OR ",3010,2930,2916,2890,2907,2966,3092,3146,3078,3021,3043
"41001","8","CA25N","50","2001","    Farm proprietors employment","Baker, OR ",720,730,705,687,686,659,641,640,637,637,634
"41001","8","CA25N","60","2001","    Nonfarm proprietors employment 2/","Baker, OR ",2290,2200,2211,2203,2221,2307,2451,2506,2441,2384,2409
"41001","8","CA25N","70","2001","  Farm employment","Baker, OR ",989,991,962,947,939,913,893,890,893,915,910
"41001","8","CA25N","80","2001","  Nonfarm employment","Baker, OR ",7593,7448,7447,7502,7567,7795,8034,8098,7872,7723,7589
"41001","8","CA25N","90","2001","    Private nonfarm employment","Baker, OR ",6282,6160,6210,6274,6326,6577,6811,6833,6629,6508,6421
"41001","8","CA25N","100","2001","      Forestry, fishing, and related activities","Baker, OR ",227,246,"(D)","(D)","(D)","(D)","(D)",201,178,"(D)","(D)"
"41001","8","CA25N","200","2001","      Mining","Baker, OR ",106,89,"(D)","(D)","(D)","(D)","(D)",112,95,"(D)","(D)"
"41001","8","CA25N","300","2001","      Utilities","Baker, OR ",63,64,70,69,69,79,77,89,85,75,72
"41001","8","CA25N","400","2001","      Construction","Baker, OR ",395,384,384,422,442,485,527,535,451,450,425
"41001","8","CA25N","500","2001","      Manufacturing","Baker, OR ",700,703,684,703,714,765,739,680,644,599,580
"41001","8","CA25N","600","2001","      Wholesale trade","Baker, OR ",138,139,136,135,129,123,112,120,129,117,122
"41001","8","CA25N","700","2001","      Retail trade","Baker, OR ",1058,1011,993,1034,1049,1044,1061,1031,1047,1025,1029
"41001","8","CA25N","800","2001","      Transportation and warehousing","Baker, OR ",243,249,252,254,262,267,275,258,262,286,283
"41001","8","CA25N","900","2001","      Information","Baker, OR ",103,95,99,107,103,100,101,107,107,101,"(D)"
"41001","8","CA25N","1000","2001","      Finance and insurance","Baker, OR ",274,214,216,223,219,229,231,275,259,281,290
"41001","8","CA25N","1100","2001","      Real estate and rental and leasing","Baker, OR ",328,247,264,253,277,302,361,355,367,344,340
"41001","8","CA25N","1200","2001","      Professional, scientific, and technical services","Baker, OR ",311,283,297,317,301,322,356,356,327,322,324
"41001","8","CA25N","1300","2001","      Management of companies and enterprises","Baker, OR ",62,118,91,81,82,86,58,74,72,71,71
"41001","8","CA25N","1400","2001","      Administrative and waste management services","Baker, OR ",184,198,195,194,188,213,221,204,236,218,229
"41001","8","CA25N","1500","2001","      Educational services","Baker, OR ","(D)","(D)","(D)","(D)","(D)","(D)",52,"(D)",57,47,56
"41001","8","CA25N","1600","2001","      Health care and social assistance","Baker, OR ","(D)","(D)","(D)","(D)","(D)","(D)",965,"(D)",1005,1034,963
"41001","8","CA25N","1700","2001","      Arts, entertainment, and recreation","Baker, OR ",92,92,91,96,85,91,96,94,99,"(D)",89
"41001","8","CA25N","1800","2001","      Accommodation and food services","Baker, OR ",673,661,685,657,634,671,720,688,644,"(D)",665
"41001","8","CA25N","1900","2001","      Other services, except public administration","Baker, OR ",529,516,534,549,582,568,567,578,565,545,"(D)"
"41001","8","CA25N","2000","2001","    Government and government enterprises","Baker, OR ",1311,1288,1237,1228,1241,1218,1223,1265,1243,1215,1168
"41001","8","CA25N","2001","2001","      Federal, civilian","Baker, OR ",297,308,303,281,266,242,240,239,243,256,230
"41001","8","CA25N","2002","2001","      Military","Baker, OR ",53,54,53,51,48,47,46,45,46,45,45
"41001","8","CA25N","2010","2001","      State and local","Baker, OR ",961,926,881,896,927,929,937,981,954,914,893
"41001","8","CA25N","2011","2001","        State government","Baker, OR ",213,197,175,200,206,200,197,210,209,203,203
"41001","8","CA25N","2012","2001","        Local government","Baker, OR ",748,729,706,696,721,729,740,771,745,711,690
"41003","8","CA25N","10","2001","Total employment","Benton, OR ",52603,51173,52547,53675,54474,54982,55251,55185,54441,54431,55141
"41003","8","CA25N","20","2001","  Wage and salary employment","Benton, OR ",40034,40225,40970,41899,42325,42474,42009,42143,41296,41637,42173
"41003","8","CA25N","40","2001","  Proprietors employment","Benton, OR ",12569,10948,11577,11776,12149,12508,13242,13042,13145,12794,12968
"41003","8","CA25N","50","2001","    Farm proprietors employment","Benton, OR ",899,950,918,898,899,869,851,847,842,843,839
"41003","8","CA25N","60","2001","    Nonfarm proprietors employment 2/","Benton, OR ",11670,9998,10659,10878,11250,11639,12391,12195,12303,11951,12129
"41003","8","CA25N","70","2001","  Farm employment","Benton, OR ",1887,2047,1922,1831,1725,1611,1499,1489,1497,1554,1545
"41003","8","CA25N","80","2001","  Nonfarm employment","Benton, OR ",50716,49126,50625,51844,52749,53371,53752,53696,52944,52877,53596
"41003","8","CA25N","90","2001","    Private nonfarm employment","Benton, OR ",38207,36265,36921,37730,38067,38770,40048,39746,38306,38062,38843
"41003","8","CA25N","100","2001","      Forestry, fishing, and related activities","Benton, OR ","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1085,970,975,1088
"41003","8","CA25N","200","2001","      Mining","Benton, OR ","(D)","(D)","(D)","(D)","(D)","(D)","(D)",64,65,81,93
"41003","8","CA25N","300","2001","      Utilities","Benton, OR ","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"41003","8","CA25N","400","2001","      Construction","Benton, OR ",1985,1695,1797,1808,1901,1954,2130,2028,1744,1660,1654
"41003","8","CA25N","500","2001","      Manufacturing","Benton, OR ",6936,6367,6200,6122,5755,5263,5222,4860,4170,3864,3815
"41003","8","CA25N","600","2001","      Wholesale trade","Benton, OR ",719,"(D)","(D)","(D)","(D)","(D)",664,624,"(D)","(D)","(D)"
"41003","8","CA25N","700","2001","      Retail trade","Benton, OR ",4793,4380,4535,4577,4607,4745,4867,4566,4393,4358,4437
"41003","8","CA25N","800","2001","      Transportation and warehousing","Benton, OR ","(D)","(D)",634,638,622,"(D)","(D)","(D)",670,662,"(D)"
"41003","8","CA25N","900","2001","      Information","Benton, OR ",1183,1126,1062,1056,1136,1179,1231,1180,1111,1084,1040
"41003","8","CA25N","1000","2001","      Finance and insurance","Benton, OR ",1200,1106,1126,1105,1095,1082,1184,1333,1368,1279,1338
"41003","8","CA25N","1100","2001","      Real estate and rental and leasing","Benton, OR ",1786,1653,1707,1862,1977,2066,2202,2332,2331,2339,2384
"41003","8","CA25N","1200","2001","      Professional, scientific, and technical services","Benton, OR ",3504,3307,3359,3562,3558,3765,4043,4065,3984,3897,3946
"41003","8","CA25N","1300","2001","      Management of companies and enterprises","Benton, OR ",101,140,70,296,314,"(D)","(D)","(D)","(D)",772,"(D)"
"41003","8","CA25N","1400","2001","      Administrative and waste management services","Benton, OR ",1895,1660,1599,1500,1530,"(D)","(D)","(D)","(D)",1733,"(D)"
