"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"44000","1","CA25N","10","2001","Total employment","Rhode Island state total",581080,585018,591342,599975,604307,609775,615605,607209,587282,585431,588210
"44000","1","CA25N","20","2001","  Wage and salary employment","Rhode Island state total",498615,498760,502652,506628,506636,509071,509447,499308,477886,476805,478046
"44000","1","CA25N","40","2001","  Proprietors employment","Rhode Island state total",82465,86258,88690,93347,97671,100704,106158,107901,109396,108626,110164
"44000","1","CA25N","50","2001","    Farm proprietors employment","Rhode Island state total",770,766,725,702,691,669,936,939,934,936,937
"44000","1","CA25N","60","2001","    Nonfarm proprietors employment 2/","Rhode Island state total",81695,85492,87965,92645,96980,100035,105222,106962,108462,107690,109227
"44000","1","CA25N","70","2001","  Farm employment","Rhode Island state total",1428,1424,1402,1264,1236,1168,1419,1466,1443,1446,1478
"44000","1","CA25N","80","2001","  Nonfarm employment","Rhode Island state total",579652,583594,589940,598711,603071,608607,614186,605743,585839,583985,586732
"44000","1","CA25N","90","2001","    Private nonfarm employment","Rhode Island state total",502821,506309,512065,521797,527369,533437,538783,531088,512451,510937,514621
"44000","1","CA25N","100","2001","      Forestry, fishing, and related activities","Rhode Island state total","(D)","(D)",1873,2027,1985,1919,1914,1875,1857,"(D)","(D)"
"44000","1","CA25N","200","2001","      Mining","Rhode Island state total","(D)","(D)",411,365,423,462,504,515,453,"(D)","(D)"
"44000","1","CA25N","300","2001","      Utilities","Rhode Island state total","(D)","(D)",1212,1130,1180,1187,1166,1182,1167,1181,1120
"44000","1","CA25N","400","2001","      Construction","Rhode Island state total",28827,"(D)",31485,32334,34060,35584,35012,32934,29543,27765,27045
"44000","1","CA25N","500","2001","      Manufacturing","Rhode Island state total",69613,64306,60287,58535,56651,54435,52745,49799,43821,42273,42355
"44000","1","CA25N","600","2001","      Wholesale trade","Rhode Island state total",17901,18007,18076,18050,18516,18854,19068,18636,17860,17622,17958
"44000","1","CA25N","700","2001","      Retail trade","Rhode Island state total",60261,61538,62117,62146,61942,61201,61182,58836,56196,55725,55574
"44000","1","CA25N","800","2001","      Transportation and warehousing","Rhode Island state total","(D)","(D)",12396,12348,12468,12600,12918,12690,11981,11956,12412
"44000","1","CA25N","900","2001","      Information","Rhode Island state total",12200,12254,12229,12197,12244,12465,12039,12291,11610,11577,11708
"44000","1","CA25N","1000","2001","      Finance and insurance","Rhode Island state total",30680,31195,31728,31710,32118,33179,34141,34514,34683,33711,34081
"44000","1","CA25N","1100","2001","      Real estate and rental and leasing","Rhode Island state total",18643,19498,20416,22348,24256,25219,25391,25349,25257,25896,26285
"44000","1","CA25N","1200","2001","      Professional, scientific, and technical services","Rhode Island state total",32535,32785,33593,35277,35828,36520,38003,37915,36816,36429,36492
"44000","1","CA25N","1300","2001","      Management of companies and enterprises","Rhode Island state total",6832,7139,8039,8827,9351,9753,9637,9654,9554,9745,10264
"44000","1","CA25N","1400","2001","      Administrative and waste management services","Rhode Island state total",30005,29531,29190,31710,31706,32140,32213,31246,30138,31449,31965
"44000","1","CA25N","1500","2001","      Educational services","Rhode Island state total",22894,23711,23373,24648,25040,26161,26902,27821,28466,28832,29395
"44000","1","CA25N","1600","2001","      Health care and social assistance","Rhode Island state total",74847,76580,78891,80163,81218,83231,85678,86257,86271,87515,87477
"44000","1","CA25N","1700","2001","      Arts, entertainment, and recreation","Rhode Island state total",12291,12958,13072,13262,13467,13833,14743,14865,14442,14329,14460
"44000","1","CA25N","1800","2001","      Accommodation and food services","Rhode Island state total",42014,43167,44485,45079,45207,45149,45789,45665,44074,44858,45465
"44000","1","CA25N","1900","2001","      Other services, except public administration","Rhode Island state total",27352,28644,29192,29641,29709,29545,29738,29044,28262,27702,28164
"44000","1","CA25N","2000","2001","    Government and government enterprises","Rhode Island state total",76831,77285,77875,76914,75702,75170,75403,74655,73388,73048,72111
"44000","1","CA25N","2001","2001","      Federal, civilian","Rhode Island state total",10216,9991,10231,10009,9949,9988,9889,9994,10301,10676,10261
"44000","1","CA25N","2002","2001","      Military","Rhode Island state total",8895,8648,8682,8424,7767,7322,7607,7460,7244,7317,7376
"44000","1","CA25N","2010","2001","      State and local","Rhode Island state total",57720,58646,58962,58481,57986,57860,57907,57201,55843,55055,54474
"44000","1","CA25N","2011","2001","        State government","Rhode Island state total",22475,22312,21979,21619,21940,21613,21813,21379,20829,21111,21196
"44000","1","CA25N","2012","2001","        Local government","Rhode Island state total",35245,36334,36983,36862,36046,36247,36094,35822,35014,33944,33278
"44001","1","CA25N","10","2001","Total employment","Bristol, RI ",20380,20647,21591,21980,22313,22583,23191,23035,22307,21853,21785
"44001","1","CA25N","20","2001","  Wage and salary employment","Bristol, RI ",15114,15335,16044,16324,16289,16285,16476,16339,15431,15093,14912
"44001","1","CA25N","40","2001","  Proprietors employment","Bristol, RI ",5266,5312,5547,5656,6024,6298,6715,6696,6876,6760,6873
"44001","1","CA25N","50","2001","    Farm proprietors employment","Bristol, RI ",36,34,31,30,29,28,39,38,38,38,38
"44001","1","CA25N","60","2001","    Nonfarm proprietors employment 2/","Bristol, RI ",5230,5278,5516,5626,5995,6270,6676,6658,6838,6722,6835
"44001","1","CA25N","70","2001","  Farm employment","Bristol, RI ",51,50,50,44,41,37,48,50,51,43,43
"44001","1","CA25N","80","2001","  Nonfarm employment","Bristol, RI ",20329,20597,21541,21936,22272,22546,23143,22985,22256,21810,21742
"44001","1","CA25N","90","2001","    Private nonfarm employment","Bristol, RI ",18124,18333,19159,19643,20033,20262,20846,20692,20013,19599,19560
"44001","1","CA25N","100","2001","      Forestry, fishing, and related activities","Bristol, RI ",120,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",83
"44001","1","CA25N","200","2001","      Mining","Bristol, RI ",12,10,16,10,"(L)",11,11,34,43,74,85
"44001","1","CA25N","300","2001","      Utilities","Bristol, RI ",0,0,0,0,0,0,"(D)","(D)","(D)","(D)","(D)"
"44001","1","CA25N","400","2001","      Construction","Bristol, RI ",1296,"(D)",1365,1478,1604,1654,1657,"(D)","(D)","(D)",1238
"44001","1","CA25N","500","2001","      Manufacturing","Bristol, RI ",2984,2606,"(D)",2643,2610,"(D)","(D)",2495,2003,"(D)",1800
"44001","1","CA25N","600","2001","      Wholesale trade","Bristol, RI ","(D)","(D)","(D)",649,586,"(D)","(D)","(D)","(D)","(D)","(D)"
"44001","1","CA25N","700","2001","      Retail trade","Bristol, RI ",1830,1923,1844,1818,1841,1824,1802,1669,1610,1602,1560
"44001","1","CA25N","800","2001","      Transportation and warehousing","Bristol, RI ","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",411,"(D)","(D)"
"44001","1","CA25N","900","2001","      Information","Bristol, RI ",218,229,225,238,264,267,282,264,234,237,233
"44001","1","CA25N","1000","2001","      Finance and insurance","Bristol, RI ",607,718,763,792,783,763,845,1011,1161,1067,1105
"44001","1","CA25N","1100","2001","      Real estate and rental and leasing","Bristol, RI ",974,924,1091,1129,1345,1495,1633,1365,1371,1416,1471
"44001","1","CA25N","1200","2001","      Professional, scientific, and technical services","Bristol, RI ","(D)","(D)",1354,1401,1362,1405,1525,1546,1516,1483,1481
"44001","1","CA25N","1300","2001","      Management of companies and enterprises","Bristol, RI ","(D)","(D)",45,57,40,55,58,103,104,41,41
"44001","1","CA25N","1400","2001","      Administrative and waste management services","Bristol, RI ","(D)","(D)",649,701,707,711,726,775,853,824,790
"44001","1","CA25N","1500","2001","      Educational services","Bristol, RI ",1650,1792,1928,2005,2045,2128,2207,2317,2534,2441,2405
"44001","1","CA25N","1600","2001","      Health care and social assistance","Bristol, RI ",2302,2337,2383,2426,2495,2562,2603,2653,2585,2645,2673
"44001","1","CA25N","1700","2001","      Arts, entertainment, and recreation","Bristol, RI ",596,629,619,587,603,658,724,772,771,813,837
"44001","1","CA25N","1800","2001","      Accommodation and food services","Bristol, RI ",1416,1548,1647,1712,1745,1786,1732,1696,1613,1669,1671
"44001","1","CA25N","1900","2001","      Other services, except public administration","Bristol, RI ",1219,1302,1358,1377,1376,1354,1358,1332,1259,1230,1248
"44001","1","CA25N","2000","2001","    Government and government enterprises","Bristol, RI ",2205,2264,2382,2293,2239,2284,2297,2293,2243,2211,2182
"44001","1","CA25N","2001","2001","      Federal, civilian","Bristol, RI ",109,104,103,103,104,101,103,101,101,107,89
"44001","1","CA25N","2002","2001","      Military","Bristol, RI ",278,279,290,291,254,233,242,236,234,237,237
"44001","1","CA25N","2010","2001","      State and local","Bristol, RI ",1818,1881,1989,1899,1881,1950,1952,1956,1908,1867,1856
"44001","1","CA25N","2011","2001","        State government","Bristol, RI ","(D)","(D)","(D)","(D)","(D)",248,244,235,226,232,233
"44001","1","CA25N","2012","2001","        Local government","Bristol, RI ","(D)","(D)","(D)","(D)","(D)",1702,1708,1721,1682,1635,1623
"44003","1","CA25N","10","2001","Total employment","Kent, RI ",95357,96598,99517,102049,102489,103316,103691,101267,96417,94566,95443
"44003","1","CA25N","20","2001","  Wage and salary employment","Kent, RI ",81738,82373,84955,86472,86337,86865,86544,83729,78689,76819,77419
"44003","1","CA25N","40","2001","  Proprietors employment","Kent, RI ",13619,14225,14562,15577,16152,16451,17147,17538,17728,17747,18024
"44003","1","CA25N","50","2001","    Farm proprietors employment","Kent, RI ",88,89,86,84,83,81,113,115,114,114,114
"44003","1","CA25N","60","2001","    Nonfarm proprietors employment 2/","Kent, RI ",13531,14136,14476,15493,16069,16370,17034,17423,17614,17633,17910
"44003","1","CA25N","70","2001","  Farm employment","Kent, RI ",114,119,117,114,104,105,140,142,144,147,147
"44003","1","CA25N","80","2001","  Nonfarm employment","Kent, RI ",95243,96479,99400,101935,102385,103211,103551,101125,96273,94419,95296
"44003","1","CA25N","90","2001","    Private nonfarm employment","Kent, RI ",85440,87192,89840,92467,92778,93603,93955,91660,87110,85424,86492
"44003","1","CA25N","100","2001","      Forestry, fishing, and related activities","Kent, RI ","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"44003","1","CA25N","200","2001","      Mining","Kent, RI ","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"44003","1","CA25N","300","2001","      Utilities","Kent, RI ","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)"
"44003","1","CA25N","400","2001","      Construction","Kent, RI ",4831,4865,5415,5925,6040,6336,6368,"(D)",5147,4779,4658
"44003","1","CA25N","500","2001","      Manufacturing","Kent, RI ",11743,10989,10774,10334,9741,"(D)",9237,8753,7658,7191,7002
