"FIPS","Region","Table","Line code","First year","Line Title","Area Name","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"00000"," ","CA25N","10","2001","Total employment","United States",165510200,165063100,166019500,169026700,172551400,176124600,179899700,179644900,174225700,173626700,175834700
"00000"," ","CA25N","20","2001","  Wage and salary employment","United States",137322000,136269000,136065000,137591000,139554000,141916000,143526000,143009000,136821000,136108000,137715000
"00000"," ","CA25N","40","2001","  Proprietors employment","United States",28188200,28794100,29954500,31435700,32997400,34208600,36373700,36635900,37404700,37518700,38119700
"00000"," ","CA25N","50","2001","    Farm proprietors employment","United States",2190000,2032000,1953000,1894000,1875000,1827000,1914000,1903000,1894000,1892000,1884000
"00000"," ","CA25N","60","2001","    Nonfarm proprietors employment 2/","United States",25998200,26762100,28001500,29541700,31122400,32381600,34459700,34732900,35510700,35626700,36235700
"00000"," ","CA25N","70","2001","  Farm employment","United States",3060000,2902000,2838000,2719000,2655000,2579000,2664000,2635000,2633000,2657000,2635000
"00000"," ","CA25N","80","2001","  Nonfarm employment","United States",162450200,162161100,163181500,166307700,169896400,173545600,177235700,177009900,171592700,170969700,173199700
"00000"," ","CA25N","90","2001","    Private nonfarm employment","United States",139299200,138639100,139491500,142566700,146057400,149539600,152982700,152405900,146900700,146290700,148898700
"00000"," ","CA25N","100","2001","      Forestry, fishing, and related activities","United States",801500,831700,775300,802500,820400,817500,840600,855200,829400,846400,862700
"00000"," ","CA25N","200","2001","      Mining","United States",806400,748000,801200,781400,832600,930200,1013300,1212200,1127600,1269000,1429400
"00000"," ","CA25N","300","2001","      Utilities","United States",615800,599600,583200,575400,569900,570700,580600,597300,589800,582200,576500
"00000"," ","CA25N","400","2001","      Construction","United States",9817700,9678800,9920300,10367600,11004800,11460900,11463000,10848800,9530900,8863700,8732500
"00000"," ","CA25N","500","2001","      Manufacturing","United States",16913600,15745700,14974000,14791900,14729200,14688200,14472800,13981300,12490200,12107900,12344600
"00000"," ","CA25N","600","2001","      Wholesale trade","United States",6231400,6098800,6063500,6184500,6340500,6490800,6583600,6529600,6149300,6045000,6122100
"00000"," ","CA25N","700","2001","      Retail trade","United States",18256800,18193100,18233100,18385500,18697800,18846800,19024300,18609900,17889700,17702600,17829600
"00000"," ","CA25N","800","2001","      Transportation and warehousing","United States",5478000,5356300,5313500,5423800,5614300,5759900,5948900,5844600,5567200,5519200,5635400
"00000"," ","CA25N","900","2001","      Information","United States",4047800,3713200,3590400,3555100,3561700,3548500,3556900,3513400,3312300,3229600,3200400
"00000"," ","CA25N","1000","2001","      Finance and insurance","United States",7805600,7874300,7955500,8035000,8211300,8375800,8801600,9122200,9479800,9224400,9509700
"00000"," ","CA25N","1100","2001","      Real estate and rental and leasing","United States",5547400,5676000,6010500,6513300,7117100,7463500,7766500,7701200,7530200,7739000,7844100
"00000"," ","CA25N","1200","2001","      Professional, scientific, and technical services","United States",10272800,10160200,10268300,10689900,10931100,11328800,11938100,12139900,11757800,11800800,12034700
"00000"," ","CA25N","1300","2001","      Management of companies and enterprises","United States",1786300,1807000,1770500,1798400,1858200,1909700,1958600,2074200,2021300,2014400,2071200
"00000"," ","CA25N","1400","2001","      Administrative and waste management services","United States",9604500,9616300,9757400,10181000,10415500,10801500,11077500,10777900,10120000,10447200,10890400
"00000"," ","CA25N","1500","2001","      Educational services","United States",3019300,3186600,3287800,3413300,3525800,3668500,3739800,3845300,3972200,4088900,4242800
"00000"," ","CA25N","1600","2001","      Health care and social assistance","United States",15247400,15718000,16187100,16504600,16839300,17364900,18023300,18460900,18770700,19096900,19391400
"00000"," ","CA25N","1700","2001","      Arts, entertainment, and recreation","United States",3165100,3265200,3290800,3389700,3462300,3550400,3711100,3799800,3754100,3787400,3851700
"00000"," ","CA25N","1800","2001","      Accommodation and food services","United States",10807200,10926200,11157700,11437800,11693100,12002200,12268000,12331100,11990500,12058300,12338500
"00000"," ","CA25N","1900","2001","      Other services, except public administration","United States",9074600,9444100,9551400,9736000,9832500,9960800,10214200,10161100,10017700,9867800,9991000
"00000"," ","CA25N","2000","2001","    Government and government enterprises","United States",23151000,23522000,23690000,23741000,23839000,24006000,24253000,24604000,24692000,24679000,24301000
"00000"," ","CA25N","2001","2001","      Federal, civilian","United States",2729000,2736000,2823000,2798000,2790000,2784000,2783000,2818000,2887000,3038000,2921000
"00000"," ","CA25N","2002","2001","      Military","United States",2071000,2097000,2110000,2082000,2026000,2040000,2042000,2079000,2092000,2101000,2095000
"00000"," ","CA25N","2010","2001","      State and local","United States",18351000,18689000,18757000,18861000,19023000,19182000,19428000,19707000,19713000,19540000,19285000
"00000"," ","CA25N","2011","2001","        State government","United States",5031000,5077000,5070000,5092000,5120000,5148000,5212000,5285000,5305000,5292000,5248000
"00000"," ","CA25N","2012","2001","        Local government","United States",13320000,13612000,13687000,13769000,13903000,14034000,14216000,14422000,14408000,14248000,14037000
"01000"," ","CA25N","10","2001","Total employment","Alabama",2369868,2369236,2380137,2440586,2504522,2564654,2633075,2610979,2511647,2493221,2500459
"01000"," ","CA25N","20","2001","  Wage and salary employment","Alabama",1988158,1971950,1968679,2004356,2041001,2078844,2101829,2082617,1978414,1960904,1962049
"01000"," ","CA25N","40","2001","  Proprietors employment","Alabama",381710,397286,411458,436230,463521,485810,531246,528362,533233,532317,538410
"01000"," ","CA25N","50","2001","    Farm proprietors employment","Alabama",47687,41915,40802,39137,38955,37981,43094,42507,42333,42211,41628
"01000"," ","CA25N","60","2001","    Nonfarm proprietors employment 2/","Alabama",334023,355371,370656,397093,424566,447829,488152,485855,490900,490106,496782
"01000"," ","CA25N","70","2001","  Farm employment","Alabama",56018,50997,49413,48794,47282,47006,50742,50257,51815,50168,49702
"01000"," ","CA25N","80","2001","  Nonfarm employment","Alabama",2313850,2318239,2330724,2391792,2457240,2517648,2582333,2560722,2459832,2443053,2450757
"01000"," ","CA25N","90","2001","    Private nonfarm employment","Alabama",1929098,1929094,1936995,1992314,2057046,2112820,2172134,2149884,2048380,2030097,2042670
"01000"," ","CA25N","100","2001","      Forestry, fishing, and related activities","Alabama","(D)",16503,15136,15682,15803,15468,15484,15433,14697,14919,14815
"01000"," ","CA25N","200","2001","      Mining","Alabama",9488,9230,9124,8993,9794,10352,10636,11670,10934,12015,13112
"01000"," ","CA25N","300","2001","      Utilities","Alabama",14596,14160,13837,13760,12997,13302,13800,14546,14242,14560,14656
"01000"," ","CA25N","400","2001","      Construction","Alabama",157134,151997,155336,162127,171394,178649,184219,175482,154720,145021,136351
"01000"," ","CA25N","500","2001","      Manufacturing","Alabama",335160,315172,299674,298469,306043,310050,304411,290371,254706,244145,245587
"01000"," ","CA25N","600","2001","      Wholesale trade","Alabama",86466,84123,82832,84803,86670,88968,89677,88386,81874,79047,79268
"01000"," ","CA25N","700","2001","      Retail trade","Alabama",276391,277264,279085,282597,287108,286801,293484,286922,274984,271147,271925
"01000"," ","CA25N","800","2001","      Transportation and warehousing","Alabama",71266,68909,67570,69088,72759,75456,77429,75216,70331,69968,71086
"01000"," ","CA25N","900","2001","      Information","Alabama",40544,38132,36119,35849,36144,35299,33041,32616,30262,29159,28211
"01000"," ","CA25N","1000","2001","      Finance and insurance","Alabama",88434,89476,91383,92405,94166,95168,101798,103348,106471,102761,106190
"01000"," ","CA25N","1100","2001","      Real estate and rental and leasing","Alabama",62607,63943,67502,73610,80859,84857,95342,96462,93865,95529,96271
"01000"," ","CA25N","1200","2001","      Professional, scientific, and technical services","Alabama",113197,116785,121176,127665,129494,134810,141308,143688,139304,137768,137183
"01000"," ","CA25N","1300","2001","      Management of companies and enterprises","Alabama",9579,10368,11452,12514,13079,14123,15605,15961,16644,16997,17444
"01000"," ","CA25N","1400","2001","      Administrative and waste management services","Alabama",121376,126314,127448,137421,144636,150678,157394,155200,145613,153914,160443
"01000"," ","CA25N","1500","2001","      Educational services","Alabama",26104,27344,28879,30438,31634,33921,33839,35192,36728,37644,39150
"01000"," ","CA25N","1600","2001","      Health care and social assistance","Alabama",178650,186875,192437,196377,202987,210453,218583,222368,221906,226026,228168
"01000"," ","CA25N","1700","2001","      Arts, entertainment, and recreation","Alabama",25875,26675,26578,28318,29959,31127,32720,33405,33631,32524,32416
"01000"," ","CA25N","1800","2001","      Accommodation and food services","Alabama","(D)",145428,149459,153633,158063,163332,167671,168443,164089,163632,165972
"01000"," ","CA25N","1900","2001","      Other services, except public administration","Alabama",152230,160396,161968,168565,173457,180006,185693,185175,183379,183321,184422
"01000"," ","CA25N","2000","2001","    Government and government enterprises","Alabama",384752,389145,393729,399478,400194,404828,410199,410838,411452,412956,408087
"01000"," ","CA25N","2001","2001","      Federal, civilian","Alabama",50104,49703,50458,51077,51555,51736,51961,52522,54095,58492,57594
"01000"," ","CA25N","2002","2001","      Military","Alabama",37853,37256,36586,39604,36853,36996,36262,32112,33131,32776,32806
"01000"," ","CA25N","2010","2001","      State and local","Alabama",296795,302186,306685,308797,311786,316096,321976,326204,324226,321688,317687
"01000"," ","CA25N","2011","2001","        State government","Alabama",93582,97992,100429,100814,101393,102325,104843,106130,105575,104967,104282
"01000"," ","CA25N","2012","2001","        Local government","Alabama",203213,204194,206256,207983,210393,213771,217133,220074,218651,216721,213405
"02000"," ","CA25N","10","2001","Total employment","Alaska",401252,405155,408502,417158,425003,434404,442225,445669,444792,446770,454201
"02000"," ","CA25N","20","2001","  Wage and salary employment","Alaska",313393,319136,323925,330104,335796,343297,347537,351532,351192,353467,359669
"02000"," ","CA25N","40","2001","  Proprietors employment","Alaska",87859,86019,84577,87054,89207,91107,94688,94137,93600,93303,94532
"02000"," ","CA25N","50","2001","    Farm proprietors employment","Alaska",559,530,516,518,540,535,579,569,567,568,568
"02000"," ","CA25N","60","2001","    Nonfarm proprietors employment 2/","Alaska",87300,85489,84061,86536,88667,90572,94109,93568,93033,92735,93964
"02000"," ","CA25N","70","2001","  Farm employment","Alaska",774,744,732,729,746,743,774,748,742,755,778
"02000"," ","CA25N","80","2001","  Nonfarm employment","Alaska",400478,404411,407770,416429,424257,433661,441451,444921,444050,446015,453423
"02000"," ","CA25N","90","2001","    Private nonfarm employment","Alaska",303145,304370,307072,315771,322930,329349,336394,339217,336159,337837,344387
"02000"," ","CA25N","100","2001","      Forestry, fishing, and related activities","Alaska","(D)",13374,10827,12213,12453,12258,12001,12227,11593,12069,12108
"02000"," ","CA25N","200","2001","      Mining","Alaska","(D)",11484,11145,11016,11571,13502,15982,17400,16986,17816,18779
"02000"," ","CA25N","300","2001","      Utilities","Alaska",1712,1846,1890,1898,1933,1933,1961,2055,2097,2270,2215
"02000"," ","CA25N","400","2001","      Construction","Alaska",22734,23504,25055,26142,27422,27182,26607,25961,24963,24277,23775
"02000"," ","CA25N","500","2001","      Manufacturing","Alaska",14431,13149,13382,14105,14434,15165,15354,14976,15186,14871,15892
