"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"50000","1","CA25N","10","2001","Total employment","Vermont state total",404860,406906,408720,415436,420451,423778,429113,428265,418742,418355,421906
"50000","1","CA25N","20","2001","  Wage and salary employment","Vermont state total",316450,316121,315057,318731,320101,322438,322306,321435,311317,312230,314778
"50000","1","CA25N","40","2001","  Proprietors employment","Vermont state total",88410,90785,93663,96705,100350,101340,106807,106830,107425,106125,107128
"50000","1","CA25N","50","2001","    Farm proprietors employment","Vermont state total",6658,6865,6509,6197,6008,5824,6309,6344,6312,6327,6332
"50000","1","CA25N","60","2001","    Nonfarm proprietors employment 2/","Vermont state total",81752,83920,87154,90508,94342,95516,100498,100486,101113,99798,100796
"50000","1","CA25N","70","2001","  Farm employment","Vermont state total",9637,9922,9630,8769,8483,8075,8472,8703,8588,8609,8752
"50000","1","CA25N","80","2001","  Nonfarm employment","Vermont state total",395223,396984,399090,406667,411968,415703,420641,419562,410154,409746,413154
"50000","1","CA25N","90","2001","    Private nonfarm employment","Vermont state total",342139,343126,344517,351629,356468,359703,364382,362766,353026,352343,356221
"50000","1","CA25N","100","2001","      Forestry, fishing, and related activities","Vermont state total",3340,3498,3004,3250,3482,3377,3396,3639,3529,3327,3264
"50000","1","CA25N","200","2001","      Mining","Vermont state total",1325,1112,1117,1032,946,1124,1277,1221,1097,1121,1216
"50000","1","CA25N","300","2001","      Utilities","Vermont state total",1717,1754,1794,1788,1778,1814,1851,1847,1861,1898,1883
"50000","1","CA25N","400","2001","      Construction","Vermont state total",28222,27857,29275,31458,32906,33483,33183,31449,29254,28406,28378
"50000","1","CA25N","500","2001","      Manufacturing","Vermont state total",48086,43490,40055,39605,39380,38832,39043,37802,34471,33904,34091
"50000","1","CA25N","600","2001","      Wholesale trade","Vermont state total",11329,11131,11362,11449,11480,11828,11858,11523,10899,10827,10889
"50000","1","CA25N","700","2001","      Retail trade","Vermont state total",48878,49100,48739,49479,49968,49820,49747,49305,47489,46912,46804
"50000","1","CA25N","800","2001","      Transportation and warehousing","Vermont state total",9026,9102,8799,8974,9291,9235,9243,9054,8724,8717,9026
"50000","1","CA25N","900","2001","      Information","Vermont state total",8003,"(D)",7693,7643,7629,7382,7378,7196,6852,6780,6352
"50000","1","CA25N","1000","2001","      Finance and insurance","Vermont state total",13061,13086,13175,13046,12965,13044,13857,13775,14190,13877,14178
