"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"56000","7","CA25N","10","2001","Total employment","Wyoming state total",330878,333771,336901,344343,355201,371472,390073,399767,388475,385729,391484
"56000","7","CA25N","20","2001","  Wage and salary employment","Wyoming state total",257232,260188,262475,267535,275063,287821,298916,307460,295383,291969,295870
"56000","7","CA25N","40","2001","  Proprietors employment","Wyoming state total",73646,73583,74426,76808,80138,83651,91157,92307,93092,93760,95614
"56000","7","CA25N","50","2001","    Farm proprietors employment","Wyoming state total",8928,9550,8767,8518,8416,8116,9747,9693,9643,9667,9675
"56000","7","CA25N","60","2001","    Nonfarm proprietors employment 2/","Wyoming state total",64718,64033,65659,68290,71722,75535,81410,82614,83449,84093,85939
"56000","7","CA25N","70","2001","  Farm employment","Wyoming state total",12447,13160,12124,11837,11523,11180,12584,12686,12448,12545,12895
"56000","7","CA25N","80","2001","  Nonfarm employment","Wyoming state total",318431,320611,324777,332506,343678,360292,377489,387081,376027,373184,378589
"56000","7","CA25N","90","2001","    Private nonfarm employment","Wyoming state total",253157,254492,257623,264870,275184,291790,307283,315574,302120,298191,303629
"56000","7","CA25N","100","2001","      Forestry, fishing, and related activities","Wyoming state total",2601,2658,2516,2631,2594,2563,2669,2781,2751,2704,2765
"56000","7","CA25N","200","2001","      Mining","Wyoming state total",20671,20128,21434,23019,25413,29950,31668,34566,30160,30854,33854
"56000","7","CA25N","300","2001","      Utilities","Wyoming state total","(D)","(D)",2168,2232,2312,2355,2524,2583,2547,2552,2547
"56000","7","CA25N","400","2001","      Construction","Wyoming state total",27291,"(D)",27270,27378,29522,33248,36363,37977,33218,30949,29336
"56000","7","CA25N","500","2001","      Manufacturing","Wyoming state total",11404,"(D)",10706,10873,11217,11789,11961,11649,10908,10418,10922
"56000","7","CA25N","600","2001","      Wholesale trade","Wyoming state total",7741,7814,7785,8236,8708,9172,9683,10006,9680,9425,9803
"56000","7","CA25N","700","2001","      Retail trade","Wyoming state total",39010,38907,38962,38905,39560,40041,41266,41029,39886,38242,37768
"56000","7","CA25N","800","2001","      Transportation and warehousing","Wyoming state total","(D)","(D)",11683,12213,12936,13929,14917,14951,14213,14057,14650
"56000","7","CA25N","900","2001","      Information","Wyoming state total","(D)","(D)",4831,5003,5067,4935,4793,4786,4729,4698,4653
"56000","7","CA25N","1000","2001","      Finance and insurance","Wyoming state total",10302,10904,11172,11333,11535,11738,13193,13720,15159,14866,15322
"56000","7","CA25N","1100","2001","      Real estate and rental and leasing","Wyoming state total",11940,11941,11963,13432,15102,16657,18578,19462,19004,19719,20099
"56000","7","CA25N","1200","2001","      Professional, scientific, and technical services","Wyoming state total",13885,13756,13854,14720,15172,16018,17022,17380,16562,16654,16650
"56000","7","CA25N","1300","2001","      Management of companies and enterprises","Wyoming state total",943,1014,778,896,917,1027,1031,1090,1126,1195,1194
"56000","7","CA25N","1400","2001","      Administrative and waste management services","Wyoming state total",11522,11668,11843,11437,11262,11940,13098,12876,12380,12384,13203
"56000","7","CA25N","1500","2001","      Educational services","Wyoming state total",2382,2595,2628,2796,2945,3143,2998,3187,3393,3604,3697
"56000","7","CA25N","1600","2001","      Health care and social assistance","Wyoming state total",22917,23264,24207,24958,25322,25973,27005,27997,28786,29005,29326
"56000","7","CA25N","1700","2001","      Arts, entertainment, and recreation","Wyoming state total",6350,5715,5795,5959,6104,6285,6480,6683,6582,6615,6719
"56000","7","CA25N","1800","2001","      Accommodation and food services","Wyoming state total",28507,30033,30575,31281,31696,32371,32980,34077,32555,32385,32826
"56000","7","CA25N","1900","2001","      Other services, except public administration","Wyoming state total","(D)","(D)",17453,17568,17800,18656,19054,18774,18481,17865,18295
"56000","7","CA25N","2000","2001","    Government and government enterprises","Wyoming state total",65274,66119,67154,67636,68494,68502,70206,71507,73907,74993,74960
"56000","7","CA25N","2001","2001","      Federal, civilian","Wyoming state total",7186,7344,7685,7645,7490,7300,7280,7451,7792,8105,7707
"56000","7","CA25N","2002","2001","      Military","Wyoming state total",6122,6069,6130,6217,6138,6113,6130,6129,6252,6306,6329
"56000","7","CA25N","2010","2001","      State and local","Wyoming state total",51966,52706,53339,53774,54866,55089,56796,57927,59863,60582,60924
"56000","7","CA25N","2011","2001","        State government","Wyoming state total",14198,14269,14535,14639,14756,14485,14924,15037,15543,15669,15716
"56000","7","CA25N","2012","2001","        Local government","Wyoming state total",37768,38437,38804,39135,40110,40604,41872,42890,44320,44913,45208
"56001","7","CA25N","10","2001","Total employment","Albany, WY ",20372,20121,20351,20560,20926,20888,21563,21460,21553,21389,21621
"56001","7","CA25N","20","2001","  Wage and salary employment","Albany, WY ",17649,17496,17730,17775,18055,17874,18276,18310,18355,18107,18285
"56001","7","CA25N","40","2001","  Proprietors employment","Albany, WY ",2723,2625,2621,2785,2871,3014,3287,3150,3198,3282,3336
"56001","7","CA25N","50","2001","    Farm proprietors employment","Albany, WY ",307,337,307,309,313,310,383,382,380,381,382
