"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"02000","Alaska state total*","8","CA25 1/","10","...","Total employment (number of jobs)",143816,149006,153071,158341,167102,188957,227185,242956,236928,237556,240753,243706,252410,277085,296629,309004,316395,309714,310141,316728,328642,338924,347156,350764,358161,363344,365083,369095,374497,382137,381412,389738
"02000","Alaska state total*","8","CA25 1/","20","...","  Wage and salary employment",130194,134383,137079,140623,147036,165399,198767,208761,199967,197018,199329,202746,216274,231898,244471,254109,259208,249697,240230,244855,258330,269848,274562,279281,284926,288160,288869,289579,293471,298940,299907,307474
"02000","Alaska state total*","8","CA25 1/","40","...","  Proprietors employment",13622,14623,15992,17718,20066,23558,28418,34195,36961,40538,41424,40960,36136,45187,52158,54895,57187,60017,69911,71873,70312,69076,72594,71483,73235,75184,76214,79516,81026,83197,81505,82264
"02000","Alaska state total*","8","CA25 1/","50","...","    Farm proprietors employment",284,291,289,294,303,307,296,305,325,343,388,434,479,526,618,655,680,667,641,613,598,575,550,531,529,524,534,526,540,547,546,549
"02000","Alaska state total*","8","CA25 1/","60","...","    Nonfarm proprietors employment 2/",13338,14332,15703,17424,19763,23251,28122,33890,36636,40195,41036,40526,35657,44661,51540,54240,56507,59350,69270,71260,69714,68501,72044,70952,72706,74660,75680,78990,80486,82650,80959,81715
"02000","Alaska state total*","8","CA25 1/","70","[01-02]","    Farm employment",469,479,571,674,495,512,501,510,530,643,688,734,764,786,900,908,815,792,781,760,766,764,748,746,741,730,731,747,766,848,897,786
"02000","Alaska state total*","8","CA25 1/","80","...","    Nonfarm employment",143347,148527,152500,157667,166607,188445,226684,242446,236398,236913,240065,242972,251646,276299,295729,308096,315580,308922,309360,315968,327876,338160,346408,350018,357420,362614,364352,368348,373731,381289,380515,388952
"02000","Alaska state total*","8","CA25 1/","90","...","      Private nonfarm employment",72272,76823,80097,85313,92303,111867,149045,165320,159136,158343,159339,162834,170234,191009,207941,217658,223055,215983,217552,222612,232101,238705,247002,248896,255480,263955,268157,272755,278583,285581,285509,292271
"02000","Alaska state total*","8","CA25 1/","100","[07-09]","        Agricultural services, forestry, and fishing",4638,4599,4648,4199,5334,4904,5548,9141,8608,9655,9290,9306,7366,10668,12668,13158,13614,15223,13272,14574,14506,13863,13471,13506,14796,14418,12370,13511,13502,14791,15540,16068
"02000","Alaska state total*","8","CA25 1/","200","B","        Mining",3690,3224,2686,2369,2167,3142,3954,4223,4805,5938,6373,7556,9815,10135,9992,10528,11199,10562,10305,10808,11476,12632,13050,12111,11653,12114,11562,11256,11412,11836,10610,11369
"02000","Alaska state total*","8","CA25 1/","300","C","        Construction",8069,8374,8936,9474,9265,16019,28550,33138,22278,14969,12786,13336,16618,21575,27083,27611,25254,19319,15601,14346,14945,15541,15841,15818,17302,18247,19052,19345,19850,20247,20610,20678
"02000","Alaska state total*","8","CA25 1/","400","D","        Manufacturing",7351,8159,8075,8399,9684,9980,10053,10801,11353,12109,13388,14910,14686,13453,12779,12204,13086,13663,14804,17026,17744,18906,19665,19906,19025,18870,19314,18736,18177,16621,15702,16270
"02000","Alaska state total*","8","CA25 1/","500","E","        Transportation and public utilities",9350,9809,10142,10719,11112,13263,17431,16763,16567,17787,17942,18677,19741,20045,20528,20889,20604,19830,21151,20664,24673,24601,25820,26473,26872,27952,27236,27347,28343,29660,30390,31433
"02000","Alaska state total*","8","CA25 1/","610","F","        Wholesale trade",3206,3503,3525,3679,3685,4391,6255,6413,6247,6065,5844,5895,6856,7584,8376,9093,9133,8473,8264,8246,8400,8659,8903,9127,9115,9348,9725,9881,9803,10393,10065,9893
"02000","Alaska state total*","8","CA25 1/","620","G","        Retail trade",13319,14657,15890,16638,17724,20336,23947,25404,26663,27309,28155,28185,31093,35509,38764,41562,42633,40914,42530,43240,44946,46667,48764,50339,51686,55921,56704,57748,59368,58864,59248,59508
"02000","Alaska state total*","8","CA25 1/","700","H","        Finance, insurance, and real estate",4909,5603,6158,7741,9751,12792,16515,19219,21146,23064,23372,21713,18858,21047,21160,22093,23477,24252,22940,21997,20918,20307,19885,18645,19393,17773,20772,20867,20888,22648,21881,22589
"02000","Alaska state total*","8","CA25 1/","800","I","        Services",17740,18895,20037,22095,23581,27040,36792,40218,41469,41447,42189,43256,45201,50993,56591,60520,64055,63747,68685,71711,74493,77529,81603,82971,85638,89312,91422,94064,97240,100521,101463,104463
"02000","Alaska state total*","8","CA25 1/","900","...","      Government and government enterprises",71075,71704,72403,72354,74304,76578,77639,77126,77262,78570,80726,80138,81412,85290,87788,90438,92525,92939,91808,93356,95775,99455,99406,101122,101940,98659,96195,95593,95148,95708,95006,96681
"02000","Alaska state total*","8","CA25 1/","910","...","        Federal civilian",16632,17849,18142,17998,18008,18941,18928,18575,18143,18266,17977,17632,17182,17289,17438,17810,17290,17535,17620,17597,17885,18623,18663,19299,19512,18380,17080,17456,17127,16992,16501,17025
"02000","Alaska state total*","8","CA25 1/","920","...","        Military",37852,36316,34643,31732,31167,30329,30008,29270,28611,28107,27662,26555,25847,26544,26320,26721,26953,27655,28485,29637,29975,30121,29946,30379,29469,27048,24860,23786,23082,22739,22190,22292
"02000","Alaska state total*","8","CA25 1/","930","...","        State and local",16591,17539,19618,22624,25129,27308,28703,29281,30508,32197,35087,35951,38383,41457,44030,45907,48282,47749,45703,46122,47915,50711,50797,51444,52959,53231,54255,54351,54939,55977,56315,57364
"02000","Alaska state total*","8","CA25 1/","931","...","          State government","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",14686,15231,16480,17932,18969,19177,20247,19964,18608,19159,20379,21229,20777,20524,21335,21535,21485,21078,21307,21746,21724,22275
"02000","Alaska state total*","8","CA25 1/","932","...","          Local government","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",20401,20720,21903,23525,25061,26730,28035,27785,27095,26963,27536,29482,30020,30920,31624,31696,32770,33273,33632,34231,34591,35089
"02010","Aleutian Islands Census Area, AK*","8","CA25 1/","10","...","Total employment (number of jobs)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6779,6559,6676,6543,6818,6510,6487,6778,7090,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02010","Aleutian Islands Census Area, AK*","8","CA25 1/","20","...","  Wage and salary employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6148,5923,6198,5649,5992,5711,5721,6015,6381,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02010","Aleutian Islands Census Area, AK*","8","CA25 1/","40","...","  Proprietors employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",631,636,478,894,826,799,766,763,709,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02010","Aleutian Islands Census Area, AK*","8","CA25 1/","50","...","    Farm proprietors employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",20,22,18,27,31,31,32,30,28,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02010","Aleutian Islands Census Area, AK*","8","CA25 1/","60","...","    Nonfarm proprietors employment 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",611,614,460,867,795,768,734,733,681,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02010","Aleutian Islands Census Area, AK*","8","CA25 1/","70","[01-02]","    Farm employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",20,37,28,31,35,35,34,32,30,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02010","Aleutian Islands Census Area, AK*","8","CA25 1/","80","...","    Nonfarm employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6759,6522,6648,6512,6783,6475,6453,6746,7060,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02010","Aleutian Islands Census Area, AK*","8","CA25 1/","90","...","      Private nonfarm employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2943,3085,3171,2927,3074,2727,2680,2894,3160,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02010","Aleutian Islands Census Area, AK*","8","CA25 1/","100","[07-09]","        Agricultural services, forestry, and fishing","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",486,497,376,728,648,597,545,536,402,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02010","Aleutian Islands Census Area, AK*","8","CA25 1/","200","B","        Mining","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02010","Aleutian Islands Census Area, AK*","8","CA25 1/","300","C","        Construction","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",108,125,134,101,155,137,179,248,253,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02010","Aleutian Islands Census Area, AK*","8","CA25 1/","400","D","        Manufacturing","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1761,1811,1972,1376,1363,905,926,1024,1248,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
