"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"15000","Hawaii state total","8","CA25 1/","10","...","Total employment (number of jobs)",415912,433555,436830,452960,473087,485226,499203,504799,509265,527519,556339,574555,567762,566510,576830,582402,597946,611862,642686,668691,696362,724262,745447,746137,741780,736771,734039,733396,733761,737524,737047,750083
"15000","Hawaii state total","8","CA25 1/","20","...","  Wage and salary employment",368900,385181,389108,400094,418518,425912,434443,440767,448947,469403,488281,498755,496535,491843,501857,508739,521605,531289,554533,570377,597113,618833,629443,634001,625580,618941,611684,607850,607070,606429,607879,624169
"15000","Hawaii state total","8","CA25 1/","40","...","  Proprietors employment",47012,48374,47722,52866,54569,59314,64760,64032,60318,58116,68058,75800,71227,74667,74973,73663,76341,80573,88153,98314,99249,105429,116004,112136,116200,117830,122355,125546,126691,131095,129168,125914
"15000","Hawaii state total","8","CA25 1/","50","...","    Farm proprietors employment",3876,3792,3616,3431,3595,3590,3634,3741,3865,4058,4060,4063,4151,4250,4550,4615,4627,4589,4562,4507,4524,4542,4510,4596,4947,4988,4980,5009,5119,5297,5274,5258
"15000","Hawaii state total","8","CA25 1/","60","...","    Nonfarm proprietors employment 2/",43136,44582,44106,49435,50974,55724,61126,60291,56453,54058,63998,71737,67076,70417,70423,69048,71714,75984,83591,93807,94725,100887,111494,107540,111253,112842,117375,120537,121572,125798,123894,120656
"15000","Hawaii state total","8","CA25 1/","70","[01-02]","    Farm employment",14329,14402,14146,13860,14342,15047,15105,15714,15150,16058,15057,16051,14597,13900,15012,14012,14617,13699,14599,14032,14335,14610,14257,14358,13673,12744,11775,12099,11853,12501,12292,12839
"15000","Hawaii state total","8","CA25 1/","80","...","    Nonfarm employment",401583,419153,422684,439100,458745,470179,484098,489085,494115,511461,541282,558504,553165,552610,561818,568390,583329,598163,628087,654659,682027,709652,731190,731779,728107,724027,722264,721297,721908,725023,724755,737244
"15000","Hawaii state total","8","CA25 1/","90","...","      Private nonfarm employment",261079,277813,282227,296594,313461,324721,334096,337080,343366,358577,387359,403939,400359,398718,404007,407264,420898,436169,463050,487859,512095,537922,557230,555232,553390,550973,553591,555444,556177,558858,560233,571248
"15000","Hawaii state total","8","CA25 1/","100","[07-09]","        Agricultural services, forestry, and fishing",1793,2029,2051,2349,2481,2485,2680,3206,3343,3608,4412,5031,5002,4703,4897,5005,5052,5262,6330,6626,6761,7233,8380,8181,9035,8794,8870,8992,8745,8022,8502,8542
"15000","Hawaii state total","8","CA25 1/","200","B","        Mining",72,77,49,95,89,88,61,79,117,126,189,216,246,269,320,288,250,245,398,337,345,375,504,511,510,458,583,544,541,541,507,476
"15000","Hawaii state total","8","CA25 1/","300","C","        Construction",25437,28246,25722,25868,28940,30254,28808,23759,22057,23086,26305,27487,25328,21483,21742,19563,21027,22932,26737,29516,35702,39506,41724,39870,40963,37314,34724,31923,30625,29228,29280,30874
"15000","Hawaii state total","8","CA25 1/","400","D","        Manufacturing",26306,26452,27199,27191,25477,25043,24789,24821,24712,24789,25654,25399,25342,24629,24892,24615,24503,25263,23817,24213,24413,23979,23317,22645,21392,20985,20080,19868,19892,19890,20014,20585
"15000","Hawaii state total","8","CA25 1/","500","E","        Transportation and public utilities",23668,25545,25415,25768,27063,27527,28125,29000,29885,30581,32352,32714,33861,34196,33483,34646,36111,37198,39985,41330,42220,45225,47413,46087,45261,45343,45855,46028,46079,45624,45567,46615
"15000","Hawaii state total","8","CA25 1/","610","F","        Wholesale trade",16366,17117,17386,17638,18206,18061,17307,17951,18604,18611,19735,20242,20089,20250,19817,20366,21106,21068,23146,23647,24643,25738,26533,26867,26041,25389,25441,25273,24692,25317,25453,25863
"15000","Hawaii state total","8","CA25 1/","620","G","        Retail trade",55517,59683,62414,66759,71738,73436,75832,80538,83907,88402,92989,97018,97542,97630,99069,101872,106147,108054,116924,121148,126003,130096,132721,132522,131653,132431,136297,136828,135180,133013,133108,135298
"15000","Hawaii state total","8","CA25 1/","700","H","        Finance, insurance, and real estate",37850,40163,37773,40186,41665,47211,51474,48478,48214,52369,60060,63672,59610,58210,55676,54453,54432,58866,56173,58150,58987,61582,61229,61915,62069,62203,60492,60628,63292,63208,61666,60817
"15000","Hawaii state total","8","CA25 1/","800","I","        Services",74070,78501,84218,90740,97802,100616,105020,109248,112527,117005,125663,132160,133339,137348,144111,146456,152270,157281,169540,182892,193021,204188,215409,216634,216466,218056,221249,225360,227131,234015,236136,242178
"15000","Hawaii state total","8","CA25 1/","900","...","      Government and government enterprises",140504,141340,140457,142506,145284,145458,150002,152005,150749,152884,153923,154565,152806,153892,157811,161126,162431,161994,165037,166800,169932,171730,173960,176547,174717,173054,168673,165853,165731,166165,164522,165996
"15000","Hawaii state total","8","CA25 1/","910","...","        Federal civilian",34759,33451,33027,32724,31657,31125,31017,31157,30293,30475,30798,30589,30885,31823,32407,32720,33418,33231,33276,33188,33289,33720,33073,32799,31558,31108,30536,30848,30291,30083,29775,30172
"15000","Hawaii state total","8","CA25 1/","920","...","        Military",69603,68949,65586,66350,70540,70896,72142,69170,66396,66416,65104,66457,62944,62628,65863,68406,68904,67691,69062,68813,68470,67225,67484,65717,63070,61218,58638,56441,55452,54859,53079,52496
"15000","Hawaii state total","8","CA25 1/","930","...","        State and local",36142,38940,41844,43432,43087,43437,46843,51678,54060,55993,58021,57519,58977,59441,59541,60000,60109,61072,62699,64799,68173,70785,73403,78031,80089,80728,79499,78564,79988,81223,81668,83328
"15000","Hawaii state total","8","CA25 1/","931","...","          State government","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",43988,43359,45273,45739,45770,46303,46356,47471,48587,50439,52191,54368,56941,61009,62844,63461,62692,61582,62579,63593,64258,65923
"15000","Hawaii state total","8","CA25 1/","932","...","          Local government","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",14033,14160,13704,13702,13771,13697,13753,13601,14112,14360,15982,16417,16462,17022,17245,17267,16807,16982,17409,17630,17410,17405
"15001","Hawaii, HI","8","CA25 1/","10","...","Total employment (number of jobs)",29258,30761,32225,33516,34538,35512,37283,38031,38972,40264,43497,46001,46219,46450,47804,48073,49351,50196,53031,56439,61566,66935,71389,69829,70520,70151,70202,71989,73636,74298,75920,78314
"15001","Hawaii, HI","8","CA25 1/","20","...","  Wage and salary employment",22702,24303,25871,26294,27231,27953,29390,30114,31066,32220,33779,34900,35530,35455,36128,36882,38205,39033,41072,43178,48165,52139,54689,53540,53487,52947,52203,53376,54727,54949,56241,59164
"15001","Hawaii, HI","8","CA25 1/","40","...","  Proprietors employment",6556,6458,6354,7222,7307,7559,7893,7917,7906,8044,9718,11101,10689,10995,11676,11191,11146,11163,11959,13261,13401,14796,16700,16289,17033,17204,17999,18613,18909,19349,19679,19150
"15001","Hawaii, HI","8","CA25 1/","50","...","    Farm proprietors employment",2150,2094,1991,1879,1960,1941,1939,1979,2032,2128,2161,2192,2248,2343,2543,2610,2649,2656,2669,2655,2676,2702,2697,2768,2993,3034,3041,3075,3157,3253,3225,3199
"15001","Hawaii, HI","8","CA25 1/","60","...","    Nonfarm proprietors employment 2/",4406,4364,4363,5343,5347,5618,5954,5938,5874,5916,7557,8909,8441,8652,9133,8581,8497,8507,9290,10606,10725,12094,14003,13521,14040,14170,14958,15538,15752,16096,16454,15951
"15001","Hawaii, HI","8","CA25 1/","70","[01-02]","    Farm employment",5121,5175,5118,5045,5300,5591,5426,5445,5134,5250,5232,5780,5595,5649,6051,5690,5846,5497,5712,5564,6005,5948,5952,5343,5648,5475,4998,5153,5100,5313,5245,5493
"15001","Hawaii, HI","8","CA25 1/","80","...","    Nonfarm employment",24137,25586,27107,28471,29238,29921,31857,32586,33838,35014,38265,40221,40624,40801,41753,42383,43505,44699,47319,50875,55561,60987,65437,64486,64872,64676,65204,66836,68536,68985,70675,72821
"15001","Hawaii, HI","8","CA25 1/","90","...","      Private nonfarm employment",20292,21470,22437,23619,24194,24696,26148,26298,27137,27935,30962,32733,32832,32738,33652,34114,35136,36099,38413,41643,45857,50857,54788,53439,53748,53312,53903,55529,57083,57150,58691,60561
"15001","Hawaii, HI","8","CA25 1/","100","[07-09]","        Agricultural services, forestry, and fishing",298,319,329,399,403,418,533,686,758,799,978,1166,1234,1202,1294,1274,1281,1283,1598,1619,1523,1623,"(D)","(D)","(D)","(D)",2113,"(D)","(D)","(D)","(D)","(D)"
"15001","Hawaii, HI","8","CA25 1/","200","B","        Mining",51,38,28,29,30,24,"(L)","(L)","(L)","(L)","(L)","(L)","(L)",22,35,34,27,32,34,34,33,76,"(D)","(D)","(D)","(D)",63,"(D)","(D)","(D)","(D)","(D)"
"15001","Hawaii, HI","8","CA25 1/","300","C","        Construction",1536,1791,1995,2218,2348,2043,1933,1820,1716,1799,2198,2492,2464,2058,1920,1825,1844,2054,2857,2974,3527,4479,5197,4419,4497,3972,4114,3808,3529,3463,3722,4213
"15001","Hawaii, HI","8","CA25 1/","400","D","        Manufacturing",2902,3070,3068,3081,2531,2677,2992,2915,2771,2722,3088,3155,3325,3056,2931,2997,2695,2639,2403,2459,2641,2659,2707,2786,2737,2604,2281,2213,2193,2134,"(D)","(D)"
"15001","Hawaii, HI","8","CA25 1/","500","E","        Transportation and public utilities",1479,1488,1536,1576,1742,1751,1871,1939,2012,2101,2071,2022,2030,2071,1933,2042,2187,2220,2297,2401,2523,2675,2859,2791,2894,2992,2927,2971,3010,3162,3179,3142
"15001","Hawaii, HI","8","CA25 1/","610","F","        Wholesale trade",1367,1349,1447,1487,1465,1471,1298,1263,1311,1241,1370,1433,1601,1490,1508,1588,1607,1677,1816,1824,1970,2371,2485,2463,2156,2081,2125,2054,2116,2271,2570,"(D)"
"15001","Hawaii, HI","8","CA25 1/","620","G","        Retail trade",4117,4688,5049,5224,5438,5292,5565,5655,5997,6273,6682,6877,6930,7270,7746,7898,8614,8717,9736,10174,11126,12297,12916,12797,12835,13024,13462,13609,13646,13746,13826,13851
"15001","Hawaii, HI","8","CA25 1/","700","H","        Finance, insurance, and real estate",2503,2692,2341,2585,2548,2858,3254,2928,2942,3196,4145,4596,4089,4064,3894,3778,3714,4025,3676,3811,4008,4638,4787,4967,4995,5032,4744,5094,5472,5662,5521,5399
"15001","Hawaii, HI","8","CA25 1/","800","I","        Services",6039,6035,6644,7020,7689,8162,8697,9089,9626,9800,10426,10987,11153,11505,12391,12678,13167,13452,13996,16347,18506,20039,22011,21327,21528,21521,22074,23526,24841,24618,25660,26992
"15001","Hawaii, HI","8","CA25 1/","900","...","      Government and government enterprises",3845,4116,4670,4852,5044,5225,5709,6288,6701,7079,7303,7488,7792,8063,8101,8269,8369,8600,8906,9232,9704,10130,10649,11047,11124,11364,11301,11307,11453,11835,11984,12260
"15001","Hawaii, HI","8","CA25 1/","910","...","        Federal civilian",361,372,380,409,411,425,437,459,522,550,560,563,557,582,607,661,685,697,719,754,763,791,807,795,831,868,900,923,937,959,963,1041
"15001","Hawaii, HI","8","CA25 1/","920","...","        Military",876,843,1080,1043,1062,1008,981,926,890,889,904,843,927,998,975,1107,1123,1115,1188,1201,1215,1214,1267,1248,1258,1237,1183,1214,1224,1341,1317,1306
"15001","Hawaii, HI","8","CA25 1/","930","...","        State and local",2608,2901,3210,3400,3571,3792,4291,4903,5289,5640,5839,6082,6308,6483,6519,6501,6561,6788,6999,7277,7726,8125,8575,9004,9035,9259,9218,9170,9292,9535,9704,9913
"15001","Hawaii, HI","8","CA25 1/","931","...","          State government","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",4020,4243,4437,4588,4677,4650,4700,4914,5086,5344,5567,5882,6294,6611,6897,7102,7072,6970,7059,7224,7398,7587
"15001","Hawaii, HI","8","CA25 1/","932","...","          Local government","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1819,1839,1871,1895,1842,1851,1861,1874,1913,1933,2159,2243,2281,2393,2138,2157,2146,2200,2233,2311,2306,2326
"15003","Honolulu, HI","8","CA25 1/","10","...","Total employment (number of jobs)",351502,366968,367494,381276,398757,407738,415990,417620,418536,431484,454142,467461,461302,457679,463241,467189,477011,486861,509161,525017,540855,558346,569711,570015,566606,560810,556670,553469,550825,550768,545661,553304
"15003","Honolulu, HI","8","CA25 1/","20","...","  Wage and salary employment",315717,330100,331188,341343,357376,362645,366668,369770,374491,390032,405397,413204,410757,404884,411167,415870,423497,429887,446947,456322,472163,485659,490335,493477,487754,480761,474653,469823,466852,464314,461891,471621
"15003","Honolulu, HI","8","CA25 1/","40","...","  Proprietors employment",35785,36868,36306,39933,41381,45093,49322,47850,44045,41452,48745,54257,50545,52795,52074,51319,53514,56974,62214,68695,68692,72687,79376,76538,78852,80049,82017,83646,83973,86454,83770,81683
"15003","Honolulu, HI","8","CA25 1/","50","...","    Farm proprietors employment",971,948,901,853,892,899,903,925,954,999,965,933,942,914,951,942,923,894,864,824,803,778,746,734,782,779,771,766,774,783,765,750
"15003","Honolulu, HI","8","CA25 1/","60","...","    Nonfarm proprietors employment 2/",34814,35920,35405,39080,40489,44194,48419,46925,43091,40453,47780,53324,49603,51881,51123,50377,52591,56080,61350,67871,67889,71909,78630,75804,78070,79270,81246,82880,83199,85671,83005,80933
"15003","Honolulu, HI","8","CA25 1/","70","[01-02]","    Farm employment",3303,3305,3230,3151,3248,3397,3473,3680,3619,3907,3598,3766,3376,3129,3398,3182,3351,3152,3404,3350,3300,3429,3126,2639,3087,2719,2486,2636,2746,2797,2757,2950
"15003","Honolulu, HI","8","CA25 1/","80","...","    Nonfarm employment",348199,363663,364264,378125,395509,404341,412517,413940,414917,427577,450544,463695,457926,454550,459843,464007,473660,483709,505757,521667,537555,554917,566585,567376,563519,558091,554184,550833,548079,547971,542904,550354
"15003","Honolulu, HI","8","CA25 1/","90","...","      Private nonfarm employment",216994,232046,234568,246622,261500,270375,274911,275419,278286,289389,311825,324808,321223,317310,318933,320152,328716,339650,359308,374200,388063,404645,415273,414476,413043,409744,410109,409451,407174,407266,404078,410602
