"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"25000","Massachusetts state total","1","CA25 1/","10","...","Total employment (number of jobs)",2678959,2679010,2643820,2696668,2786670,2811480,2727603,2755729,2833405,2957517,3073593,3133686,3141874,3143386,3215449,3402387,3509658,3604577,3632415,3739313,3710110,3614703,3450717,3481815,3547680,3615952,3648939,3712827,3802454,3895892,3963261,4070352
"25000","Massachusetts state total","1","CA25 1/","20","...","  Wage and salary employment",2426012,2419005,2382649,2425884,2503929,2519052,2425297,2453025,2518757,2633956,2729900,2769905,2776296,2758562,2824429,2990162,3062644,3126822,3206409,3274711,3248870,3130002,2959456,2935951,2986505,3037841,3105071,3153585,3230286,3306736,3366203,3451675
"25000","Massachusetts state total","1","CA25 1/","40","...","  Proprietors employment",252947,260005,261171,270784,282741,292428,302306,302704,314648,323561,343693,363781,365578,384824,391020,412225,447014,477755,426006,464602,461240,484701,491261,545864,561175,578111,543868,559242,572168,589156,597058,618677
"25000","Massachusetts state total","1","CA25 1/","50","...","    Farm proprietors employment",6207,6026,5839,5627,5537,5527,5546,6014,5946,5646,5898,5863,5718,5685,6281,6425,6431,6663,6569,6497,6240,6105,6060,6044,5843,5719,5641,5597,5641,5743,5799,5815
"25000","Massachusetts state total","1","CA25 1/","60","...","    Nonfarm proprietors employment 2/",246740,253979,255332,265157,277204,286901,296760,296690,308702,317915,337795,357918,359860,379139,384739,405800,440583,471092,419437,458105,455000,478596,485201,539820,555332,572392,538227,553645,566527,583413,591259,612862
"25000","Massachusetts state total","1","CA25 1/","70","[01-02]","    Farm employment",13595,13330,13454,12733,13309,13813,13125,14303,14769,14746,14796,15753,14740,13928,15195,14445,12903,13683,13797,13394,12304,12172,12032,11876,11621,11605,11153,10823,10593,10553,10531,10710
"25000","Massachusetts state total","1","CA25 1/","80","...","    Nonfarm employment",2665364,2665680,2630366,2683935,2773361,2797667,2714478,2741426,2818636,2942771,3058797,3117933,3127134,3129458,3200254,3387942,3496755,3590894,3618618,3725919,3697806,3602531,3438685,3469939,3536059,3604347,3637786,3702004,3791861,3885339,3952730,4059642
"25000","Massachusetts state total","1","CA25 1/","90","...","      Private nonfarm employment",2277682,2270030,2233761,2277626,2357237,2382464,2296009,2330125,2401476,2518552,2624039,2676302,2703013,2723498,2789719,2973398,3073697,3157616,3173230,3270756,3246096,3154060,3004023,3043807,3105387,3176491,3205385,3270754,3357855,3445401,3505394,3605022
"25000","Massachusetts state total","1","CA25 1/","100","[07-09]","        Agricultural services, forestry, and fishing",13250,13530,14428,14080,14910,14484,15402,15924,16248,18491,20140,20924,20698,21219,22863,25426,28016,30195,29659,30279,29291,28131,27773,27798,30937,31897,30412,32579,33895,33858,36884,38216
"25000","Massachusetts state total","1","CA25 1/","200","B","        Mining",1545,1618,1466,1394,1568,1524,1663,1545,1765,1795,1906,2090,2602,2789,2928,2848,2952,3075,3203,3023,2832,2530,2233,2348,2327,2579,2380,2115,2261,2328,2441,2340
"25000","Massachusetts state total","1","CA25 1/","300","C","        Construction",127714,128538,130027,134437,136169,126096,108203,100003,99972,103354,108919,108330,113089,117148,121030,139715,156231,178045,192214,203232,186375,160127,137752,141309,149649,159232,160152,163079,172609,183101,195231,204667
"25000","Massachusetts state total","1","CA25 1/","400","D","        Manufacturing",688662,654813,603513,608821,636729,644762,586051,605628,629605,665353,684446,687538,679811,650662,644779,685398,670810,633751,609886,597172,572508,533166,496595,479174,467446,464390,459240,459776,461146,461172,444831,448362
"25000","Massachusetts state total","1","CA25 1/","500","E","        Transportation and public utilities",121186,124419,124273,129199,130435,130840,122137,121017,124060,127916,131467,132443,131319,131072,132020,135514,138696,139713,143754,148263,141954,145478,139376,137937,144373,149796,147720,149433,153034,157877,160010,164261
"25000","Massachusetts state total","1","CA25 1/","610","F","        Wholesale trade",128018,129580,127555,130876,142214,141331,138637,138293,141876,140948,149806,155410,153937,150668,156819,170029,171882,179283,179176,185363,189443,180461,169910,170182,166161,171115,176460,177040,180521,186207,187634,188652
"25000","Massachusetts state total","1","CA25 1/","620","G","        Retail trade",428750,437273,446091,446260,449315,455955,448073,450930,463471,477472,491169,495844,500535,500788,522730,556621,580391,594509,598791,609629,614748,587592,549851,556097,560720,579478,584888,592607,602055,609876,622514,633708
"25000","Massachusetts state total","1","CA25 1/","700","H","        Finance, insurance, and real estate",179133,182638,185366,190012,196223,201208,202435,204034,210221,216922,231445,239965,244537,248235,247726,259463,272407,301555,306270,315106,305211,298827,284520,277555,282664,298630,295086,300865,308245,327814,334940,348451
"25000","Massachusetts state total","1","CA25 1/","800","I","        Services",589424,597621,601042,622547,649674,666264,673408,692751,714258,766301,804741,833758,856485,900917,938824,998384,1052312,1097490,1110277,1178689,1203734,1217748,1196013,1251407,1301110,1319374,1349047,1393260,1444089,1483168,1520909,1576365
"25000","Massachusetts state total","1","CA25 1/","900","...","      Government and government enterprises",387682,395650,396605,406309,416124,415203,418469,411301,417160,424219,434758,441631,424121,405960,410535,414544,423058,433278,445388,455163,451710,448471,434662,426132,430672,427856,432401,431250,434006,439938,447336,454620
"25000","Massachusetts state total","1","CA25 1/","910","...","        Federal civilian",67010,65352,63365,64090,61371,57984,57685,57544,56921,57783,58680,58624,56527,54897,54811,56307,57668,58909,60506,62184,61243,63256,60046,59128,59639,58721,56834,55222,54820,54611,55206,56839
"25000","Massachusetts state total","1","CA25 1/","920","...","        Military",79764,78410,69661,62549,57708,50452,46365,42833,40599,41043,41348,40513,40246,41667,43506,42689,42223,41543,41658,41238,41065,39938,40187,38290,36288,31081,29901,27046,25403,24317,23603,23412
"25000","Massachusetts state total","1","CA25 1/","930","...","        State and local",240908,251888,263579,279670,297045,306767,314419,310924,319640,325393,334730,342494,327348,309396,312218,315548,323167,332826,343224,351741,349402,345277,334429,328714,334745,338054,345666,348982,353783,361010,368527,374369
"25000","Massachusetts state total","1","CA25 1/","931","...","          State government","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",90436,94167,94709,90092,94714,103762,106463,111104,116402,119470,118287,117485,116331,114191,114502,115030,117405,114712,116203,119961,120532,121470
"25000","Massachusetts state total","1","CA25 1/","932","...","          Local government","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",244294,248327,232639,219304,217504,211786,216704,221722,226822,232271,231115,227792,218098,214523,220243,223024,228261,234270,237580,241049,247995,252899
"25001","Barnstable, MA","1","CA25 1/","10","...","Total employment (number of jobs)",45772,47104,49746,52776,57102,57828,58475,61244,65095,69572,73652,76419,78745,81237,86481,92174,96878,101045,100196,104357,102008,100006,96477,99683,103453,107427,109482,112108,116668,121296,126455,131102
"25001","Barnstable, MA","1","CA25 1/","20","...","  Wage and salary employment",35873,36662,38410,39923,42963,43260,43332,45709,48308,51722,54485,56246,58576,59308,63044,68268,72068,75473,78378,80573,78832,76033,72162,72455,74946,77454,80590,82453,84876,86877,90584,93996
"25001","Barnstable, MA","1","CA25 1/","40","...","  Proprietors employment",9899,10442,11336,12853,14139,14568,15143,15535,16787,17850,19167,20173,20169,21929,23437,23906,24810,25572,21818,23784,23176,23973,24315,27228,28507,29973,28892,29655,31792,34419,35871,37106
"25001","Barnstable, MA","1","CA25 1/","50","...","    Farm proprietors employment",98,100,99,99,101,102,109,123,126,123,126,124,119,116,132,135,138,142,144,146,142,143,145,146,157,169,180,193,208,222,234,243
"25001","Barnstable, MA","1","CA25 1/","60","...","    Nonfarm proprietors employment 2/",9801,10342,11237,12754,14038,14466,15034,15412,16661,17727,19041,20049,20050,21813,23305,23771,24672,25430,21674,23638,23034,23830,24170,27082,28350,29804,28712,29462,31584,34197,35637,36863
"25001","Barnstable, MA","1","CA25 1/","70","[01-02]","    Farm employment",192,204,220,224,252,281,244,244,229,210,226,252,253,254,292,291,276,305,328,367,406,414,461,388,358,357,349,363,372,368,367,389
"25001","Barnstable, MA","1","CA25 1/","80","...","    Nonfarm employment",45580,46900,49526,52552,56850,57547,58231,61000,64866,69362,73426,76167,78492,80983,86189,91883,96602,100740,99868,103990,101602,99592,96016,99295,103095,107070,109133,111745,116296,120928,126088,130713
"25001","Barnstable, MA","1","CA25 1/","90","...","      Private nonfarm employment",34796,37353,40341,43388,48312,48935,49331,51678,55139,59063,62988,65449,68116,70518,75461,80791,85308,89051,87914,91577,89058,86977,83554,86857,90149,93790,95639,98087,102529,106820,111673,115582
"25001","Barnstable, MA","1","CA25 1/","100","[07-09]","        Agricultural services, forestry, and fishing",1148,1199,1298,1285,1406,1340,1451,1610,1725,1923,2139,2306,2218,2318,2490,2630,2840,2861,2602,2621,2516,2519,"(D)",2722,3195,3441,3302,3570,3648,"(D)","(D)","(D)"
"25001","Barnstable, MA","1","CA25 1/","200","B","        Mining",14,16,30,38,59,49,55,45,54,57,68,77,107,126,124,115,110,102,95,75,76,76,"(D)",81,95,120,128,159,202,"(D)","(D)","(D)"
"25001","Barnstable, MA","1","CA25 1/","300","C","        Construction",4415,4501,4894,5524,5842,5147,4197,4259,4524,5077,5088,4847,5243,5543,5961,6914,7857,9123,9528,9995,8867,7701,7009,7593,7889,8359,8712,8420,9042,9904,10778,11310
"25001","Barnstable, MA","1","CA25 1/","400","D","        Manufacturing",1553,1746,2015,2085,2251,2238,2220,2542,2784,3256,3561,3740,4026,3983,4374,4993,4728,4903,4888,4931,4797,4031,3646,3568,3616,3914,4025,3832,3928,4119,4331,4143
"25001","Barnstable, MA","1","CA25 1/","500","E","        Transportation and public utilities",1858,1974,2145,2423,2714,2892,2817,2751,2944,3306,3481,3563,3635,3540,3614,3897,4115,4151,4370,4335,3973,4239,3898,3804,4140,4310,4320,4574,4686,4668,4822,4863
"25001","Barnstable, MA","1","CA25 1/","610","F","        Wholesale trade",681,820,866,915,1090,1214,1291,1306,1462,1545,1628,1764,1934,1908,1961,2074,2381,2559,2171,2079,2089,2084,2083,2206,2251,2307,2237,2184,2312,2464,2877,3067
"25001","Barnstable, MA","1","CA25 1/","620","G","        Retail trade",9663,10674,11379,11849,13848,14188,14700,15749,16925,17828,18707,19489,20483,20909,22750,24694,26292,27022,27154,28094,27609,26545,24912,25327,25651,26731,27296,27853,28338,28789,29587,30708
"25001","Barnstable, MA","1","CA25 1/","700","H","        Finance, insurance, and real estate",4171,4388,4793,5643,6244,6506,6635,6737,7251,7621,8500,8684,8691,9057,9020,9132,8899,9448,8426,8499,7885,7481,7179,7527,7555,8086,8154,8644,9953,10971,11559,12447
"25001","Barnstable, MA","1","CA25 1/","800","I","        Services",11293,12035,12921,13626,14858,15361,15965,16679,17470,18450,19816,20979,21779,23134,25167,26342,28086,28882,28680,30948,31246,32301,32098,34029,35757,36522,37465,38851,40420,42081,43866,45056
"25001","Barnstable, MA","1","CA25 1/","900","...","      Government and government enterprises",10784,9547,9185,9164,8538,8612,8900,9322,9727,10299,10438,10718,10376,10465,10728,11092,11294,11689,11954,12413,12544,12615,12462,12438,12946,13280,13494,13658,13767,14108,14415,15131
