"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"24000","Maryland state total","2","CA25 1/","10","...","Total employment (number of jobs)",1679355,1702298,1728598,1781187,1846490,1867792,1845601,1865565,1918925,2003857,2059469,2070441,2095422,2083585,2151035,2242630,2342002,2427570,2553099,2647475,2703904,2737249,2662392,2635653,2658555,2705548,2765393,2806074,2870391,2934675,3007035,3092788
"24000","Maryland state total","2","CA25 1/","20","...","  Wage and salary employment",1507824,1526688,1545705,1587652,1644117,1663356,1637175,1653854,1706787,1792138,1843422,1844630,1861065,1833647,1891558,1975031,2050525,2118703,2202991,2275714,2324079,2338426,2256161,2240645,2259518,2295631,2329126,2352888,2414004,2465749,2527328,2581832
"24000","Maryland state total","2","CA25 1/","40","...","  Proprietors employment",171531,175610,182893,193535,202373,204436,208426,211711,212138,211719,216047,225811,234357,249938,259477,267599,291477,308867,350108,371761,379825,398823,406231,395008,399037,409917,436267,453186,456387,468926,479707,510956
"24000","Maryland state total","2","CA25 1/","50","...","    Farm proprietors employment",18080,17758,17530,17228,17098,16919,16662,16653,16771,16992,17052,17617,18364,18257,19392,18913,18533,17747,16957,16272,15963,15465,15571,15772,15072,14422,14207,13440,12798,12532,12347,12368
"24000","Maryland state total","2","CA25 1/","60","...","    Nonfarm proprietors employment 2/",153451,157852,165363,176307,185275,187517,191764,195058,195367,194727,198995,208194,215993,231681,240085,248686,272944,291120,333151,355489,363862,383358,390660,379236,383965,395495,422060,439746,443589,456394,467360,498588
"24000","Maryland state total","2","CA25 1/","70","[01-02]","    Farm employment",28244,28074,27872,26375,27653,28171,28952,29956,29082,28992,29049,29605,30045,29480,31545,29838,26653,26198,25560,24881,22984,22129,22465,22477,20574,20034,19779,18882,18978,17450,18005,18976
"24000","Maryland state total","2","CA25 1/","80","...","    Nonfarm employment",1651111,1674224,1700726,1754812,1818837,1839621,1816649,1835609,1889843,1974865,2030420,2040836,2065377,2054105,2119490,2212792,2315349,2401372,2527539,2622594,2680920,2715120,2639927,2613176,2637981,2685514,2745614,2787192,2851413,2917225,2989030,3073812
"24000","Maryland state total","2","CA25 1/","90","...","      Private nonfarm employment",1242410,1264045,1284123,1326634,1381223,1394966,1370314,1385277,1435715,1512854,1560719,1567805,1594263,1592027,1659186,1750316,1847952,1930701,2050969,2139251,2189647,2210424,2141659,2115367,2139518,2187078,2247687,2289204,2350672,2408434,2478315,2557479
"24000","Maryland state total","2","CA25 1/","100","[07-09]","        Agricultural services, forestry, and fishing",10007,9882,10853,11170,11992,11426,12184,12542,12331,14005,14953,15646,15544,15121,16391,17771,19089,20966,23486,23542,23500,24800,24424,23481,25603,26038,26526,27764,28489,27854,30513,32341
"24000","Maryland state total","2","CA25 1/","200","B","        Mining",2606,2534,2525,2627,2568,2481,2309,2217,2345,2525,2874,3007,3266,3631,3731,3579,3791,3443,4320,4051,3981,3890,3594,3193,2846,2868,2870,2550,2761,2685,2782,2709
"24000","Maryland state total","2","CA25 1/","300","C","        Construction",100658,104865,110485,114129,123081,122000,108743,107164,112971,126716,128771,123302,121404,112376,125819,142217,158069,171869,185679,197145,201453,194696,168442,160061,160671,165791,169018,172654,180471,184659,195059,202633
"24000","Maryland state total","2","CA25 1/","400","D","        Manufacturing",284865,273459,255203,251478,258972,257127,235394,235192,238493,245880,252160,241002,235407,219141,217680,223593,222123,215664,214136,217675,214968,213197,200041,191192,186696,186556,183250,181959,184865,186229,184604,187875
"24000","Maryland state total","2","CA25 1/","500","E","        Transportation and public utilities",88571,90640,90649,90100,89983,91999,89070,88024,91690,95586,96954,96286,97172,98761,99282,101737,103637,106089,108892,112605,116799,118490,119071,115492,117441,122681,125062,126217,127699,128383,132593,137107
"24000","Maryland state total","2","CA25 1/","610","F","        Wholesale trade",62302,63324,66848,71107,74162,76546,77203,77362,80413,85417,89844,91650,92706,94866,97826,103503,106735,110358,116246,118789,120088,116635,113143,112073,108327,110213,114046,115147,117607,118643,120946,123262
"24000","Maryland state total","2","CA25 1/","620","G","        Retail trade",270248,279929,290797,302316,312546,317646,317293,321650,331670,346708,349942,352474,359081,357509,371460,390699,408727,426653,449882,464674,475850,469648,455708,452305,451788,463769,478262,482987,489775,491067,498518,507707
"24000","Maryland state total","2","CA25 1/","700","H","        Finance, insurance, and real estate",105647,111381,119228,127158,132637,135331,136229,136522,139326,145263,146747,150193,153824,154392,157799,164452,174700,187069,211778,224384,230056,232248,224919,212098,217447,225106,228312,233321,232594,242327,242377,255177
"24000","Maryland state total","2","CA25 1/","800","I","        Services",317506,328031,337535,356549,375282,380410,391889,404604,426476,450754,478474,494245,515859,536230,569198,602765,651081,688590,736550,776386,802952,836820,832317,845472,868699,884056,920341,946605,986411,1026587,1070923,1108668
"24000","Maryland state total","2","CA25 1/","900","...","      Government and government enterprises",408701,410179,416603,428178,437614,444655,446335,450332,454128,462011,469701,473031,471114,462078,460304,462476,467397,470671,476570,483343,491273,504696,498268,497809,498463,498436,497927,497988,500741,508791,510715,516333
"24000","Maryland state total","2","CA25 1/","910","...","        Federal civilian",132837,133569,137106,138783,142073,147695,147636,150779,151613,152351,152896,155926,154174,148673,152322,154234,156814,155853,153635,154179,155896,163360,158259,158195,157073,154261,149564,150339,151952,153237,152642,155884
"24000","Maryland state total","2","CA25 1/","920","...","        Military",89501,86564,78418,71389,70644,67549,63691,59209,56274,54756,54691,56646,54276,57172,58693,62068,59459,62232,63348,63048,63108,62430,61452,61204,59348,57444,57206,55075,52833,51755,51185,49735
"24000","Maryland state total","2","CA25 1/","930","...","        State and local",186363,190046,201079,218006,224897,229411,235008,240344,246241,254904,262114,260459,262664,256233,249289,246174,251124,252586,259587,266116,272269,278906,278557,278410,282042,286731,291157,292574,295956,303799,306888,310714
"24000","Maryland state total","2","CA25 1/","931","...","          State government","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",83071,85246,85725,86939,87995,89427,89757,89660,92871,95257,97313,99441,98795,100768,100986,101326,100877,100502,97385,98117,97172,97500
"24000","Maryland state total","2","CA25 1/","932","...","          Local government","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",179043,175213,176939,169294,161294,156747,161367,162926,166716,170859,174956,179465,179762,177642,181056,185405,190280,192072,198571,205682,209716,213214
"24001","Allegany, MD","2","CA25 1/","10","...","Total employment (number of jobs)",36153,36133,35535,35426,36326,35317,33430,33227,33825,35289,34921,34418,33905,32669,32505,32512,32832,32403,33751,34949,35349,35894,35577,35049,35192,35648,36203,36579,37361,37650,37731,38144
"24001","Allegany, MD","2","CA25 1/","20","...","  Wage and salary employment",32781,32856,32172,32029,32844,31919,30080,29854,30406,31852,31514,30976,30178,28820,28530,28626,28836,28427,29579,30494,30926,31268,30813,30173,30461,30899,31138,31361,32046,32291,32439,32548
"24001","Allegany, MD","2","CA25 1/","40","...","  Proprietors employment",3372,3277,3363,3397,3482,3398,3350,3373,3419,3437,3407,3442,3727,3849,3975,3886,3996,3976,4172,4455,4423,4626,4764,4876,4731,4749,5065,5218,5315,5359,5292,5596
"24001","Allegany, MD","2","CA25 1/","50","...","    Farm proprietors employment",118,117,119,118,120,129,167,200,230,255,263,279,295,306,321,308,301,284,267,257,252,245,247,253,252,252,258,255,254,266,270,273
"24001","Allegany, MD","2","CA25 1/","60","...","    Nonfarm proprietors employment 2/",3254,3160,3244,3279,3362,3269,3183,3173,3189,3182,3144,3163,3432,3543,3654,3578,3695,3692,3905,4198,4171,4381,4517,4623,4479,4497,4807,4963,5061,5093,5022,5323
"24001","Allegany, MD","2","CA25 1/","70","[01-02]","    Farm employment",340,340,341,313,343,361,379,389,372,367,372,385,396,399,419,394,363,346,327,315,296,284,285,287,277,274,277,270,270,279,286,291
"24001","Allegany, MD","2","CA25 1/","80","...","    Nonfarm employment",35813,35793,35194,35113,35983,34956,33051,32838,33453,34922,34549,34033,33509,32270,32086,32118,32469,32057,33424,34634,35053,35610,35292,34762,34915,35374,35926,36309,37091,37371,37445,37853
"24001","Allegany, MD","2","CA25 1/","90","...","      Private nonfarm employment",31225,31288,30640,30391,31087,29941,27880,27564,28118,29348,29084,28754,28230,27338,27061,27040,27261,26875,28184,29530,29915,30056,29784,29203,29302,29632,29866,30281,30797,30833,30835,31343
"24001","Allegany, MD","2","CA25 1/","100","[07-09]","        Agricultural services, forestry, and fishing",63,80,89,84,94,88,71,83,87,127,124,134,131,123,133,134,160,127,150,162,"(D)",139,146,167,178,177,189,183,192,190,195,213
"24001","Allegany, MD","2","CA25 1/","200","B","        Mining",226,175,195,171,191,239,302,380,469,433,380,379,393,386,318,342,323,284,270,213,"(D)",212,201,200,171,174,176,161,160,121,92,112
"24001","Allegany, MD","2","CA25 1/","300","C","        Construction",2031,2120,2231,2099,1996,2076,1893,1788,1753,2179,2121,1761,1613,1400,1430,1948,2013,1618,2072,2444,2383,2202,1692,1554,1516,1563,1629,2013,2242,2055,1789,1818
"24001","Allegany, MD","2","CA25 1/","400","D","        Manufacturing",12016,11780,10752,10521,10896,9989,7889,7988,8269,8191,8013,7892,7222,6338,5723,5469,5466,5275,4837,4705,4713,4756,4804,4595,4675,4804,4601,4619,4548,4535,4351,4224
"24001","Allegany, MD","2","CA25 1/","500","E","        Transportation and public utilities",3841,3845,3739,3516,3353,3326,3211,3073,3016,3096,3107,3032,2956,2699,2517,2421,2295,2089,2133,2234,2306,2145,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1950
"24001","Allegany, MD","2","CA25 1/","610","F","        Wholesale trade",840,860,870,868,827,794,768,754,746,793,839,810,821,818,877,937,795,942,1066,973,960,978,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",748
"24001","Allegany, MD","2","CA25 1/","620","G","        Retail trade",5358,5310,5606,5655,6018,5917,5907,5740,5823,6163,5941,5906,6174,6376,6568,6429,6674,6935,7672,8288,8498,8217,8131,7875,7935,8031,8076,8214,8324,8090,8394,8448
"24001","Allegany, MD","2","CA25 1/","700","H","        Finance, insurance, and real estate",1255,1196,1307,1341,1370,1418,1479,1372,1356,1347,1358,1550,1567,1668,1631,1557,1612,1581,1789,1853,1815,1833,1823,1830,1777,1820,1995,2065,1997,2010,1878,2012
"24001","Allegany, MD","2","CA25 1/","800","I","        Services",5595,5922,5851,6136,6342,6094,6360,6386,6599,7019,7201,7290,7353,7530,7864,7803,7923,8024,8195,8658,8880,9574,9734,9983,10180,10112,10307,10361,10714,11186,11497,11818
"24001","Allegany, MD","2","CA25 1/","900","...","      Government and government enterprises",4588,4505,4554,4722,4896,5015,5171,5274,5335,5574,5465,5279,5279,4932,5025,5078,5208,5182,5240,5104,5138,5554,5508,5559,5613,5742,6060,6028,6294,6538,6610,6510
"24001","Allegany, MD","2","CA25 1/","910","...","        Federal civilian",336,339,324,316,312,303,292,284,275,265,255,226,209,212,214,217,251,258,250,244,235,235,230,239,254,317,524,561,580,574,584,618
"24001","Allegany, MD","2","CA25 1/","920","...","        Military",504,503,476,460,448,466,469,433,409,395,411,365,387,410,412,427,378,418,419,416,410,396,380,397,388,351,339,322,295,282,274,254
"24001","Allegany, MD","2","CA25 1/","930","...","        State and local",3748,3663,3754,3946,4136,4246,4410,4557,4651,4914,4799,4688,4683,4310,4399,4434,4579,4506,4571,4444,4493,4923,4898,4923,4971,5074,5197,5145,5419,5682,5752,5638
"24001","Allegany, MD","2","CA25 1/","931","...","          State government","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1180,1356,1447,1505,1614,1624,1814,1733,1774,1852,1884,2278,2216,2262,2227,2275,2324,2222,2419,2590,2640,2561
"24001","Allegany, MD","2","CA25 1/","932","...","          Local government","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",3619,3332,3236,2805,2785,2810,2765,2773,2797,2592,2609,2645,2682,2661,2744,2799,2873,2923,3000,3092,3112,3077
"24003","Anne Arundel, MD","2","CA25 1/","10","...","Total employment (number of jobs)",126220,130013,130526,132094,139484,143164,147539,149921,156073,168045,172402,175706,178698,182013,191884,201330,207854,218202,230197,237376,246200,250070,244430,242313,245186,252497,260585,262890,268397,275699,284738,298002
"24003","Anne Arundel, MD","2","CA25 1/","20","...","  Wage and salary employment",116996,120309,119972,119952,126231,129082,132520,133839,138821,149778,154102,156856,158252,159291,167826,177121,182105,191512,200576,206303,214025,215779,209328,207576,210659,216396,222089,222990,226952,230415,236778,246820
"24003","Anne Arundel, MD","2","CA25 1/","40","...","  Proprietors employment",9224,9704,10554,12142,13253,14082,15019,16082,17252,18267,18300,18850,20446,22722,24058,24209,25749,26690,29621,31073,32175,34291,35102,34737,34527,36101,38496,39900,41445,45284,47960,51182
"24003","Anne Arundel, MD","2","CA25 1/","50","...","    Farm proprietors employment",713,691,672,650,635,621,622,631,643,662,661,679,706,695,741,724,710,681,654,623,604,580,577,580,544,509,491,453,422,424,420,420
"24003","Anne Arundel, MD","2","CA25 1/","60","...","    Nonfarm proprietors employment 2/",8511,9013,9882,11492,12618,13461,14397,15451,16609,17605,17639,18171,19740,22027,23317,23485,25039,26009,28967,30450,31571,33711,34525,34157,33983,35592,38005,39447,41023,44860,47540,50762
"24003","Anne Arundel, MD","2","CA25 1/","70","[01-02]","    Farm employment",969,927,885,818,806,780,820,869,883,910,892,894,901,872,928,888,828,800,771,735,691,658,652,645,604,577,565,533,522,505,514,532
"24003","Anne Arundel, MD","2","CA25 1/","80","...","    Nonfarm employment",125251,129086,129641,131276,138678,142384,146719,149052,155190,167135,171510,174812,177797,181141,190956,200442,207026,217402,229426,236641,245509,249412,243778,241668,244582,251920,260020,262357,267875,275194,284224,297470
"24003","Anne Arundel, MD","2","CA25 1/","90","...","      Private nonfarm employment",63548,65967,68481,71663,77313,81089,83298,85469,90448,100644,103717,104114,109015,110771,120081,129181,136141,145623,156631,164501,172553,174472,171344,170628,172709,179404,186870,188554,194386,201133,210064,222470
"24003","Anne Arundel, MD","2","CA25 1/","100","[07-09]","        Agricultural services, forestry, and fishing",530,535,547,526,666,577,564,630,663,809,887,893,891,899,1043,1111,1223,1423,1569,1568,1623,1676,1597,1820,2061,2203,2265,2447,2498,2515,2881,3006
"24003","Anne Arundel, MD","2","CA25 1/","200","B","        Mining",73,70,78,89,84,53,46,99,102,104,122,91,96,134,153,158,185,171,276,286,304,252,267,254,221,231,208,180,215,244,299,253
"24003","Anne Arundel, MD","2","CA25 1/","300","C","        Construction",5234,5720,6405,6405,7395,7524,7014,7463,8092,9514,9804,9389,9221,8363,9671,11520,12509,14060,15838,16468,17608,16932,14989,14301,14430,14951,15830,15644,15987,15917,17264,18200
"24003","Anne Arundel, MD","2","CA25 1/","400","D","        Manufacturing",16322,16128,15333,15392,16198,16410,15734,15996,16281,17534,19062,18528,19614,19657,20620,21483,22586,22407,22910,24016,23590,20810,19336,16870,15575,15289,15290,14637,15612,15813,15504,15928
"24003","Anne Arundel, MD","2","CA25 1/","500","E","        Transportation and public utilities",4379,4449,4470,4639,4784,4913,4948,4954,5330,5611,5990,5998,6967,7246,7730,8361,8844,9397,10033,10430,11374,12946,12828,12440,12887,13894,14505,14842,15288,15599,16448,17897
"24003","Anne Arundel, MD","2","CA25 1/","610","F","        Wholesale trade",1092,1376,1848,2205,2823,3201,3182,3031,3379,4058,4167,4087,4233,4412,5046,5258,5393,5638,6531,7122,8239,8269,8545,8869,9187,9548,9929,9753,9769,9779,10239,10898
"24003","Anne Arundel, MD","2","CA25 1/","620","G","        Retail trade",16710,17497,18380,19330,20441,20999,22331,23194,23874,26826,25933,26691,27118,26805,28959,31920,33458,36730,38087,38523,40262,40931,40863,41628,42046,43194,44857,45793,45894,46033,47123,48165
"24003","Anne Arundel, MD","2","CA25 1/","700","H","        Finance, insurance, and real estate",4081,4463,5264,6158,6641,7003,7666,8052,8652,9194,8746,8627,9351,9509,9608,10023,10478,10894,13064,13751,14234,14484,14143,13764,14045,15223,15173,15387,15915,17628,17530,19129
"24003","Anne Arundel, MD","2","CA25 1/","800","I","        Services",15127,15729,16156,16919,18281,20409,21813,22050,24075,26994,29006,29810,31524,33746,37251,39347,41465,44903,48323,52337,55319,58172,58776,60682,62257,64871,68813,69871,73208,77605,82776,88994
"24003","Anne Arundel, MD","2","CA25 1/","900","...","      Government and government enterprises",61703,63119,61160,59613,61365,61295,63421,63583,64742,66491,67793,70698,68782,70370,70875,71261,70885,71779,72795,72140,72956,74940,72434,71040,71873,72516,73150,73803,73489,74061,74160,75000
"24003","Anne Arundel, MD","2","CA25 1/","910","...","        Federal civilian",20134,20833,21055,21898,23541,24838,25923,27239,28386,29389,30568,32024,31493,32231,32942,32909,33309,33662,34325,34292,34511,35372,33658,32663,32901,32992,33193,33674,33753,33755,33358,33577
"24003","Anne Arundel, MD","2","CA25 1/","920","...","        Military",27285,27548,24394,20677,20253,18385,18939,17330,16808,16986,16739,17891,16412,16720,16570,17223,17129,17478,17442,17007,16899,17009,16776,16385,16303,16248,16388,16173,15490,15319,15581,15294
"24003","Anne Arundel, MD","2","CA25 1/","930","...","        State and local",14284,14738,15711,17038,17571,18072,18559,19014,19548,20116,20486,20783,20877,21419,21363,21129,20447,20639,21028,20841,21546,22559,22000,21992,22669,23276,23569,23956,24246,24987,25221,26129
"24003","Anne Arundel, MD","2","CA25 1/","931","...","          State government","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",9204,9363,9311,9606,9722,9429,8376,8353,8869,8474,8813,9535,9314,9310,9437,9610,9627,9588,9248,9259,9110,9313
"24003","Anne Arundel, MD","2","CA25 1/","932","...","          Local government","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",11282,11420,11566,11813,11641,11700,12071,12286,12159,12367,12733,13024,12686,12682,13232,13666,13942,14368,14998,15728,16111,16816
"24005","Baltimore, MD","2","CA25 1/","10","...","Total employment (number of jobs)",226266,227055,232096,239346,252040,258153,258132,260943,273015,294510,306198,308319,315957,314153,324400,336298,349208,358979,376001,386302,389663,399498,390227,382106,385850,393030,406372,412009,419707,429343,447107,452355
"24005","Baltimore, MD","2","CA25 1/","20","...","  Wage and salary employment",205540,205079,208789,215108,226489,231502,230536,233231,245324,266814,278301,279046,283790,278939,285985,297736,308107,316559,328539,335707,338302,345308,335979,332370,335903,344215,352324,356514,365482,371918,381163,381850
"24005","Baltimore, MD","2","CA25 1/","40","...","  Proprietors employment",20726,21976,23307,24238,25551,26651,27596,27712,27691,27696,27897,29273,32167,35214,38415,38562,41101,42420,47462,50595,51361,54190,54248,49736,49947,48815,54048,55495,54225,57425,65944,70505
"24005","Baltimore, MD","2","CA25 1/","50","...","    Farm proprietors employment",904,882,863,843,831,812,842,877,914,951,967,1013,1063,1079,1153,1131,1113,1072,1028,982,960,924,927,936,901,868,859,818,784,767,757,761
"24005","Baltimore, MD","2","CA25 1/","60","...","    Nonfarm proprietors employment 2/",19822,21094,22444,23395,24720,25839,26754,26835,26777,26745,26930,28260,31104,34135,37262,37431,39988,41348,46434,49613,50401,53266,53321,48800,49046,47947,53189,54677,53441,56658,65187,69744
"24005","Baltimore, MD","2","CA25 1/","70","[01-02]","    Farm employment",1809,1789,1760,1627,1723,1750,1841,1933,1871,1865,1906,1975,2023,2023,2175,2050,1796,1783,1751,1706,1550,1484,1506,1502,1389,1389,1400,1369,1437,1286,1356,1457
"24005","Baltimore, MD","2","CA25 1/","80","...","    Nonfarm employment",224457,225266,230336,237719,250317,256403,256291,259010,271144,292645,304292,306344,313934,312130,322225,334248,347412,357196,374250,384596,388113,398014,388721,380604,384461,391641,404972,410640,418270,428057,445751,450898
"24005","Baltimore, MD","2","CA25 1/","90","...","      Private nonfarm employment",179962,179552,181730,186707,197686,202365,200996,202698,213565,233751,244236,245170,252796,252862,263368,277915,291813,304282,322799,333344,336932,342854,334569,326494,330675,338568,351632,357536,363642,371634,388745,393103
"24005","Baltimore, MD","2","CA25 1/","100","[07-09]","        Agricultural services, forestry, and fishing",810,841,925,981,949,1013,1109,1068,1130,1456,1561,1540,1529,1628,1919,2134,2386,2621,3168,3237,3191,3260,3211,3003,3212,3188,3185,3500,3617,"(D)","(D)",4290
"24005","Baltimore, MD","2","CA25 1/","200","B","        Mining",239,163,157,171,186,215,157,149,159,167,186,197,214,287,338,348,404,392,519,482,423,434,366,278,232,254,242,278,274,"(D)","(D)",309
"24005","Baltimore, MD","2","CA25 1/","300","C","        Construction",13054,14020,14448,13760,15071,16660,13797,13330,15711,19565,20448,20380,19516,18360,20487,22274,24826,27402,28706,29618,28527,27946,24947,21969,22160,23276,24064,24546,24987,25554,27328,27371
"24005","Baltimore, MD","2","CA25 1/","400","D","        Manufacturing",66539,62238,54965,52556,55125,55369,50830,49442,51002,52750,55364,53470,54276,48284,47346,50035,49306,48111,49642,49495,46648,49034,44862,42396,40536,39798,39116,38264,37439,37346,36305,35196
"24005","Baltimore, MD","2","CA25 1/","500","E","        Transportation and public utilities",9070,9325,9464,9306,9061,9602,9470,9509,9670,9864,10183,10348,11342,11740,11969,13279,13466,14011,13646,14011,14114,14240,14357,13365,13603,15982,17426,17175,17024,16504,16808,17215
"24005","Baltimore, MD","2","CA25 1/","610","F","        Wholesale trade",7418,7984,9729,10626,11783,11649,11373,11336,11694,13508,15146,15970,15851,16180,15470,15881,16126,16197,16624,18508,18803,18490,17594,17001,16564,16473,16973,17714,18381,18857,19145,18968
"24005","Baltimore, MD","2","CA25 1/","620","G","        Retail trade",36833,38637,41086,44319,46169,46559,48609,49187,51349,56887,57905,57242,59528,61183,63077,65727,69117,72069,75511,77170,78678,78058,75850,75753,77132,79221,81312,80601,80521,80846,82591,82845
"24005","Baltimore, MD","2","CA25 1/","700","H","        Finance, insurance, and real estate",10194,10940,12201,12999,13944,14475,15712,16045,16051,17677,17694,18413,19323,19909,20557,21939,24100,26866,31701,33903,34616,34097,34584,33583,34343,32942,36265,37883,36963,39554,40970,43536
"24005","Baltimore, MD","2","CA25 1/","800","I","        Services",35805,35404,38755,41989,45398,46823,49939,52632,56799,61877,65749,67610,71217,75291,82205,86298,92082,96613,103282,106920,111932,117295,118798,119146,122893,127434,133049,137575,144436,149158,161334,163373
"24005","Baltimore, MD","2","CA25 1/","900","...","      Government and government enterprises",44495,45714,48606,51012,52631,54038,55295,56312,57579,58894,60056,61174,61138,59268,58857,56333,55599,52914,51451,51252,51181,55160,54152,54110,53786,53073,53340,53104,54628,56423,57006,57795
"24005","Baltimore, MD","2","CA25 1/","910","...","        Federal civilian",15197,16118,17931,18444,18989,19240,19331,19600,19747,19800,19980,22025,20638,19537,19099,18949,18865,15665,13854,13174,12811,15456,14521,14890,15052,14841,14052,13910,14352,15496,15465,15792
"24005","Baltimore, MD","2","CA25 1/","920","...","        Military",3462,3526,3377,3273,3181,3315,3456,3195,3016,2955,2983,2899,3020,3239,3350,3592,3205,3594,3666,3675,3655,3573,3478,3676,3607,3304,3213,3076,2850,2798,2732,2569
