"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"04000","6","CA25","10","1969","Total full-time and part-time employment","Arizona state total",711344,746653,785731,849706,924890,955104,935070,976118,1047500,1149617,1240161,1282615,1312566,1315333,1378623,1504336,1621750,1700594,1764638,1833198,1864934,1894104,1902691,1925190,2010588,2141302,2257829,2387542,2497166,2610870,2696787,2795770
"04000","6","CA25","20","1969"," Wage and salary employment","Arizona state total",622149,651480,685051,739954,807129,832651,808254,842127,903398,995370,1077889,1107461,1133535,1119682,1171381,1273536,1373068,1436240,1488827,1529105,1564144,1591853,1585873,1617768,1694659,1795494,1903363,2003290,2084645,2178444,2254939,2332044
"04000","6","CA25","40","1969"," Proprietors employment","Arizona state total",89195,95173,100680,109752,117761,122453,126816,133991,144102,154247,162272,175154,179031,195651,207242,230800,248682,264354,275811,304093,300790,302251,316818,307422,315929,345808,354466,384252,412521,432426,441848,463726
"04000","6","CA25","50","1969","  Farm proprietors employment","Arizona state total",6833,6766,6716,6635,6571,6474,6342,6396,6603,6672,7065,7458,7755,7968,8773,8889,9230,9346,8802,8349,8363,8027,7742,7651,7914,7842,7838,7848,7881,7432,7278,7295
"04000","6","CA25","60","1969","  Nonfarm proprietors employment","Arizona state total",82362,88407,93964,103117,111190,115979,120474,127595,137499,147575,155207,167696,171276,187683,198469,221911,239452,255008,267009,295744,292427,294224,309076,299771,308015,337966,346628,376404,404640,424994,434570,456431
"04000","6","CA25","70","1969","  Farm employment","Arizona state total",25092,24701,24696,24809,22474,22841,21705,20723,23018,23672,19062,21444,21050,20540,22383,21126,21361,20111,21346,19977,18859,19297,19103,20066,19117,19776,19894,20535,20033,20827,19548,19657
"04000","6","CA25","80","1969","  Nonfarm employment","Arizona state total",686252,721952,761035,824897,902416,932263,913365,955395,1024482,1125945,1221099,1261171,1291516,1294793,1356240,1483210,1600389,1680483,1743292,1813221,1846075,1874807,1883588,1905124,1991471,2121526,2237935,2367007,2477133,2590043,2677239,2776113
"04000","6","CA25","90","1969","   Private employment","Arizona state total",534376,565056,595730,649686,714846,735295,710697,745103,806877,899771,989401,1022850,1054576,1054539,1110897,1235230,1339339,1408980,1462667,1522881,1549645,1567371,1574644,1592016,1662839,1784507,1890032,2010750,2119841,2225759,2303894,2387364
"04000","6","CA25","100","1969","    Agricultural services, forestry, and fishing","Arizona state total",8161,8458,8860,10019,10401,10706,12058,12678,14138,16057,17220,17645,17654,17615,18896,21272,22381,24125,25649,26063,26853,26365,28536,29294,32105,34375,35430,38259,39384,42381,44456,43283
"04000","6","CA25","200","1969","    Mining","Arizona state total",20396,22693,22534,24305,26661,29139,25198,24895,22882,20046,22732,22328,27004,20278,17275,16315,15620,14484,15154,15397,15572,15673,15929,16033,15548,15245,16244,16936,16998,15699,14394,12761
