"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"10000","2","CA25","10","1969","Total full-time and part-time employment","Delaware state total",270578,274587,280122,292813,304918,301531,292148,295771,296352,304289,311835,311674,313583,316546,325291,339928,356873,370177,386540,402702,414670,420105,414316,413155,420651,424325,442453,452685,464460,481289,492793,503567
"10000","2","CA25","20","1969"," Wage and salary employment","Delaware state total",243740,246895,252535,263282,275413,272254,262267,266472,266852,273526,280537,280480,281055,281896,289250,302742,316232,326639,343962,356311,367268,370346,363825,363117,369912,376628,387425,395285,406061,417879,429712,437114
"10000","2","CA25","40","1969"," Proprietors employment","Delaware state total",26838,27692,27587,29531,29505,29277,29881,29299,29500,30763,31298,31194,32528,34650,36041,37186,40641,43538,42578,46391,47402,49759,50491,50038,50739,47697,55028,57400,58399,63410,63081,66453
"10000","2","CA25","50","1969","  Farm proprietors employment","Delaware state total",4200,4112,4024,3921,3837,3849,3710,3572,3464,3434,3536,3442,3441,3447,3657,3706,3584,3227,3076,2958,2981,2880,2872,2683,2857,2820,2710,2669,2669,2615,2500,2505
"10000","2","CA25","60","1969","  Nonfarm proprietors employment","Delaware state total",22638,23580,23563,25610,25668,25428,26171,25727,26036,27329,27762,27752,29087,31203,32384,33480,37057,40311,39502,43433,44421,46879,47619,47355,47882,44877,52318,54731,55730,60795,60581,63948
"10000","2","CA25","70","1969","  Farm employment","Delaware state total",8139,8110,8032,7972,6564,6611,6373,6028,5824,5734,5735,5640,5435,5323,5688,5532,5789,5554,5477,5321,4875,4646,4666,4395,4301,4332,4251,4215,4471,4004,4046,4252
"10000","2","CA25","80","1969","  Nonfarm employment","Delaware state total",262439,266477,272090,284841,298354,294920,285775,289743,290528,298555,306100,306034,308148,311223,319603,334396,351084,364623,381063,397381,409795,415459,409650,408760,416350,419993,438202,448470,459989,477285,488747,499315
"10000","2","CA25","90","1969","   Private employment","Delaware state total",215035,215997,219373,230817,242869,239186,230066,235919,237133,244662,251765,251488,253888,256950,265037,279911,295398,307740,323755,339535,351918,356508,350482,349483,355542,358008,375821,385745,397274,413231,424211,433089
"10000","2","CA25","100","1969","    Agricultural services, forestry, and fishing","Delaware state total",1297,1286,1299,1417,1580,1639,1675,1721,1591,1918,1823,1756,1622,1654,1917,2126,2354,2571,3149,3188,3048,3286,3267,3098,3404,3473,3815,4100,4406,4333,"(D)","(D)"
"10000","2","CA25","200","1969","    Mining","Delaware state total",120,136,143,196,218,313,298,234,283,304,231,152,163,194,206,210,187,167,348,367,378,399,347,277,257,224,278,233,243,227,"(D)","(D)"
