"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"10180"," ","CA25","10","1969","Total full-time and part-time employment","Abilene, TX ",56042,56215,56614,59093,60360,63367,65822,68298,69994,72932,75774,78280,84737,86685,86694,87720,88722,83720,82965,83645,82367,80942,82259,82277,84362,85682,88181,89587,91934,92834,91756,91129
"10180"," ","CA25","20","1969","  Wage and salary employment","Abilene, TX ",43868,43715,44341,46130,47080,49929,52252,54082,54928,57373,60084,62186,66688,67347,66102,66976,67700,64479,61901,62006,61644,60277,61488,62083,63524,64538,67250,68545,70319,70846,70465,69419
"10180"," ","CA25","40","1969","  Proprietors employment","Abilene, TX ",12174,12500,12273,12963,13280,13438,13570,14216,15066,15559,15690,16094,18049,19338,20592,20744,21022,19241,21064,21639,20723,20665,20771,20194,20838,21144,20931,21042,21615,21988,21291,21710
"10180"," ","CA25","50","1969","    Farm proprietors employment","Abilene, TX ",3225,3217,3204,3194,3214,3201,3070,2953,2886,2821,2906,2942,2908,2855,3014,2955,2892,2803,2715,2759,2823,2851,2863,2895,3188,3205,3255,3264,3311,3325,3259,3194
"10180"," ","CA25","60","1969","    Nonfarm proprietors employment 2/","Abilene, TX ",8949,9283,9069,9769,10066,10237,10500,11263,12180,12738,12784,13152,15141,16483,17578,17789,18130,16438,18349,18880,17900,17814,17908,17299,17650,17939,17676,17778,18304,18663,18032,18516
"10180"," ","CA25","70","1969","    Farm employment","Abilene, TX ",4256,4190,4057,4057,3968,3939,3810,3719,3668,3584,3596,3586,3508,3376,3589,3484,3386,3248,3256,3236,3248,3306,3325,3391,3672,3630,3650,3659,3675,3656,3564,3557
"10180"," ","CA25","80","1969","    Nonfarm employment","Abilene, TX ",51786,52025,52557,55036,56392,59428,62012,64579,66326,69348,72178,74694,81229,83309,83105,84236,85336,80472,79709,80409,79119,77636,78934,78886,80690,82052,84531,85928,88259,89178,88192,87572
"10180"," ","CA25","90","1969","      Private nonfarm employment","Abilene, TX ",39039,38961,39283,41116,43565,46000,47490,49616,51572,54897,57708,60024,66790,68259,67794,68739,69696,64171,63367,63835,62459,61169,62364,62250,62916,63893,66124,67662,69928,70741,69853,69099
"10180"," ","CA25","100","1969","        Agricultural services, forestry, and fishing","Abilene, TX ",442,409,407,442,435,490,453,568,630,687,720,760,847,827,873,764,732,669,951,818,709,778,835,831,938,965,1036,1068,1441,1419,1677,1384
"10180"," ","CA25","200","1969","        Mining","Abilene, TX ",2654,2711,2511,2252,2486,2679,3120,3735,4458,5351,5937,7000,10001,10460,10222,10324,10213,7223,6387,6002,5236,4958,4802,4273,4713,4509,4024,3806,4125,3661,2931,2787
"10180"," ","CA25","300","1969","        Construction","Abilene, TX ",2433,2349,2231,2470,2799,2920,2923,3071,3373,4164,4452,4272,4515,4745,4672,4927,4737,4132,3803,3766,3357,3128,3436,3491,3591,4120,4262,4189,4279,4589,4625,4451
"10180"," ","CA25","400","1969","        Manufacturing","Abilene, TX ",4770,4802,5116,5847,6717,7407,7230,6794,5946,5727,5871,5860,6393,7128,7090,6411,6388,5826,5448,5609,5820,5461,5155,4973,4708,4433,4389,4517,4608,4171,4289,4140
"10180"," ","CA25","500","1969","        Transportation and public utilities","Abilene, TX ",2473,2694,2561,2537,2514,2565,2658,2748,2958,3058,3018,3095,3300,3359,3302,3445,3465,3328,3315,3313,3410,3519,3407,3406,3435,3435,3605,3783,3622,3638,3636,3667
"10180"," ","CA25","610","1969","        Wholesale trade","Abilene, TX ",2458,2269,2299,2447,2556,2596,2960,3263,3371,3416,3854,4415,5489,4224,3775,3721,3774,3432,3224,3313,3353,2794,2815,2850,2937,3061,3078,3067,3148,3345,3305,3360
"10180"," ","CA25","620","1969","        Retail trade","Abilene, TX ",9056,8654,8646,9145,9309,9470,9681,10609,10896,11466,12220,12305,12809,13365,13117,13641,14223,13742,13592,13878,13944,13594,13922,14180,14033,14512,15244,15940,16124,15972,15739,15403
"10180"," ","CA25","700","1969","        Finance, insurance, and real estate","Abilene, TX ",3373,3420,3465,3897,3999,4184,4326,4502,4997,5395,5343,5602,5915,6132,5989,5981,5731,5496,5742,5324,4907,4671,4586,4433,4479,4736,4822,4949,5636,6023,5900,6214
"10180"," ","CA25","800","1969","        Services","Abilene, TX ",11380,11653,12047,12079,12750,13689,14139,14326,14943,15633,16293,16715,17521,18019,18754,19525,20433,20323,20905,21812,21723,22266,23406,23813,24082,24122,25664,26343,26945,27923,27751,27693
"10180"," ","CA25","900","1969","      Government and government enterprises","Abilene, TX ",12747,13064,13274,13920,12827,13428,14522,14963,14754,14451,14470,14670,14439,15050,15311,15497,15640,16301,16342,16574,16660,16467,16570,16636,17774,18159,18407,18266,18331,18437,18339,18473
"10180"," ","CA25","910","1969","        Federal, civilian","Abilene, TX ",1425,1372,1366,1417,1439,1557,1446,1435,1397,1364,1402,1447,1413,1407,1400,1432,1520,1549,1529,1523,1515,1534,1485,1463,1486,1477,1542,1684,1679,1625,1591,1620
"10180"," ","CA25","920","1969","        Military","Abilene, TX ",5276,5380,5255,5574,4279,4621,5662,5928,5578,5202,5014,5389,5315,5708,5884,5987,5916,6462,6442,6228,6107,5715,5665,5299,5491,5483,5354,5186,5081,5058,5015,5037
"10180"," ","CA25","930","1969","        State and local","Abilene, TX ",6046,6312,6653,6929,7109,7250,7414,7600,7779,7885,8054,7834,7711,7935,8027,8078,8204,8290,8371,8823,9038,9218,9420,9874,10797,11199,11511,11396,11571,11754,11733,11816
"10180"," ","CA25","931","1969","          State government","Abilene, TX ","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2668,2598,2522,2520,2555,2513,2488,2432,2391,2623,2595,2579,2581,2652,3265,3617,3719,3583,3578,3568,"(D)","(D)"
"10180"," ","CA25","932","1969","          Local government","Abilene, TX ","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",5386,5236,5189,5415,5472,5565,5716,5858,5980,6200,6443,6639,6839,7222,7532,7582,7792,7813,7993,8186,"(D)","(D)"
"10420"," ","CA25","10","1969","Total full-time and part-time employment","Akron, OH ",280847,279931,274958,283207,292971,296332,285325,284907,297537,305459,307763,300754,297681,289691,285981,296150,303855,308919,316920,325266,333052,337124,337813,341070,350680,364299,374193,380965,387561,386713,394182,396898
"10420"," ","CA25","20","1969","  Wage and salary employment","Akron, OH ",256279,254887,249596,256141,264601,267660,256462,254900,266201,273561,276312,268453,265096,256237,252178,260577,266851,270106,275091,281977,289668,292049,290017,294496,302973,314067,322711,328000,332972,333855,340152,340683
"10420"," ","CA25","40","1969","  Proprietors employment","Akron, OH ",24568,25044,25362,27066,28370,28672,28863,30007,31336,31898,31451,32301,32585,33454,33803,35573,37004,38813,41829,43289,43384,45075,47796,46574,47707,50232,51482,52965,54589,52858,54030,56215
"10420"," ","CA25","50","1969","    Farm proprietors employment","Akron, OH ",980,985,989,999,1007,1019,1133,1204,1270,1318,1342,1349,1343,1365,1424,1364,1333,1290,1206,1206,1207,1172,1121,1084,1125,1105,1097,1077,1099,1204,1246,1295
"10420"," ","CA25","60","1969","    Nonfarm proprietors employment 2/","Akron, OH ",23588,24059,24373,26067,27363,27653,27730,28803,30066,30580,30109,30952,31242,32089,32379,34209,35671,37523,40623,42083,42177,43903,46675,45490,46582,49127,50385,51888,53490,51654,52784,54920
"10420"," ","CA25","70","1969","    Farm employment","Akron, OH ",1779,1895,1851,1919,1987,2102,2202,2154,1883,1868,1857,1919,1825,1836,1932,1820,1780,1804,1694,1609,1588,1540,1474,1408,1448,1395,1356,1323,1358,1435,1503,1570
"10420"," ","CA25","80","1969","    Nonfarm employment","Akron, OH ",279068,278036,273107,281288,290984,294230,283123,282753,295654,303591,305906,298835,295856,287855,284049,294330,302075,307115,315226,323657,331464,335584,336339,339662,349232,362904,372837,379642,386203,385278,392679,395328
"10420"," ","CA25","90","1969","      Private nonfarm employment","Akron, OH ",245302,242619,236920,243884,252044,254276,242325,241767,254340,261356,263995,255340,253314,245467,241998,251727,258800,262689,270472,279118,286771,290389,290688,293381,301921,314873,324119,330689,336764,335971,344102,346314
"10420"," ","CA25","100","1969","        Agricultural services, forestry, and fishing","Akron, OH ",1073,1149,1158,1100,1211,1200,1149,1235,1267,1531,1587,1716,1667,1617,1695,1935,1967,1998,2320,2244,2320,2514,2610,2599,2839,3038,3180,3299,3390,3335,3520,3720
"10420"," ","CA25","200","1969","        Mining","Akron, OH ",346,362,362,341,432,385,367,465,572,645,720,635,930,1037,1067,1226,1488,1363,1579,1451,1555,1503,1519,1095,1311,1231,1288,1108,1345,1288,1413,1283
"10420"," ","CA25","300","1969","        Construction","Akron, OH ",13012,12046,10978,10557,10799,10928,10508,10140,10793,12284,12795,11729,11182,10707,10524,11621,12366,13057,14016,14936,15325,15846,15612,15950,16656,17806,18315,19263,19818,20019,20786,20879
"10420"," ","CA25","400","1969","        Manufacturing","Akron, OH ",100757,96465,91387,91645,94254,94875,85016,80959,86159,86484,86089,79953,76405,68665,65924,68535,68910,67656,67306,67258,68770,67711,65154,63853,64172,66148,67611,66862,66466,66788,66336,64833
"10420"," ","CA25","500","1969","        Transportation and public utilities","Akron, OH ",15775,15820,16161,16606,17133,16802,15153,15060,15306,15574,16333,15364,15089,14255,13818,14523,14376,14622,15188,15087,15198,15953,15821,15456,16610,17372,17564,17652,17441,18038,18365,18720
"10420"," ","CA25","610","1969","        Wholesale trade","Akron, OH ",9995,9773,9992,10137,10342,10619,10726,10926,11511,11871,12555,12345,12816,12989,12317,13565,14151,14380,15473,15693,16457,16077,16187,16318,16243,16954,18136,19992,20914,20980,21504,21384
"10420"," ","CA25","620","1969","        Retail trade","Akron, OH ",46208,46832,46665,47496,48298,49045,48937,50740,52433,53142,52553,51961,52064,52256,51775,53371,55118,56311,57372,59396,60845,60375,60966,61196,62948,65670,68133,68242,69523,68636,70350,71500
"10420"," ","CA25","700","1969","        Finance, insurance, and real estate","Akron, OH ",13160,14035,14814,16574,17065,16776,16447,17228,18601,19181,17917,17389,16867,17039,16497,16824,17279,18405,19255,19191,19162,19594,19808,19943,20623,23032,22156,22734,23579,24321,24670,26637
"10420"," ","CA25","800","1969","        Services","Akron, OH ",44976,46137,45403,49428,52510,53646,54022,55014,57698,60644,63446,64248,66294,66902,68381,70127,73145,74897,77963,83862,87139,90816,93011,96971,100519,103622,107736,111537,114288,112566,117158,117358
"10420"," ","CA25","900","1969","      Government and government enterprises","Akron, OH ",33766,35417,36187,37404,38940,39954,40798,40986,41314,42235,41911,43495,42542,42388,42051,42603,43275,44426,44754,44539,44693,45195,45651,46281,47311,48031,48718,48953,49439,49307,48577,49014
"10420"," ","CA25","910","1969","        Federal, civilian","Akron, OH ",2717,2764,2641,2558,2512,2534,2506,2274,2227,2153,2178,2183,2066,2028,2054,2106,2168,2320,2338,2358,2354,2399,2328,2328,2317,2665,2923,3147,3187,3050,2992,3148
"10420"," ","CA25","920","1969","        Military","Akron, OH ",2466,2593,2478,2306,2226,2280,2260,2071,1948,1907,1921,2046,2239,2383,2376,2342,2414,2483,2601,2593,2570,2480,2468,2440,2241,2064,1983,1891,1881,1814,1795,1858
"10420"," ","CA25","930","1969","        State and local","Akron, OH ",28583,30060,31068,32540,34202,35140,36032,36641,37139,38175,37812,39266,38237,37977,37621,38155,38693,39623,39815,39588,39769,40316,40855,41513,42753,43302,43812,43915,44371,44443,43790,44008
"10420"," ","CA25","931","1969","          State government","Akron, OH ","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",11727,12735,12710,12854,13088,13346,13756,13978,14236,14370,14397,14397,14608,15087,15247,15514,15456,14991,14891,14649,13672,13078
"10420"," ","CA25","932","1969","          Local government","Akron, OH ","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",26085,26531,25527,25123,24533,24809,24937,25645,25579,25218,25372,25919,26247,26426,27506,27788,28356,28924,29480,29794,30118,30930
"10500"," ","CA25","10","1969","Total full-time and part-time employment","Albany, GA ",53813,55527,57138,60657,64135,61359,59211,59885,61621,64454,66510,66284,67038,66058,66276,69520,71094,70812,71010,70486,70955,72212,71684,71406,73056,76059,78366,80407,80915,80517,79971,80507
"10500"," ","CA25","20","1969","  Wage and salary employment","Albany, GA ",46243,47935,49045,52198,55761,53132,51130,51820,53628,56524,58652,58485,59351,58486,58461,61583,62791,62275,62734,62069,62816,63767,63117,62719,64187,67270,69197,71198,71549,71361,70305,70510
"10500"," ","CA25","40","1969","  Proprietors employment","Albany, GA ",7570,7592,8093,8459,8374,8227,8081,8065,7993,7930,7858,7799,7687,7572,7815,7937,8303,8537,8276,8417,8139,8445,8567,8687,8869,8789,9169,9209,9366,9156,9666,9997
"10500"," ","CA25","50","1969","    Farm proprietors employment","Albany, GA ",2417,2372,2330,2309,2267,2234,2051,1918,1792,1705,1682,1660,1670,1543,1582,1451,1414,1369,1318,1328,1310,1299,1235,1247,1299,1266,1241,1207,1189,1215,1203,1208
"10500"," ","CA25","60","1969","    Nonfarm proprietors employment 2/","Albany, GA ",5153,5220,5763,6150,6107,5993,6030,6147,6201,6225,6176,6139,6017,6029,6233,6486,6889,7168,6958,7089,6829,7146,7332,7440,7570,7523,7928,8002,8177,7941,8463,8789
"10500"," ","CA25","70","1969","    Farm employment","Albany, GA ",4408,4517,4401,4296,4857,5149,5167,4591,4155,3929,3911,4243,4615,4337,4553,4072,3500,2805,2914,3045,2899,2808,2576,2434,2423,2306,2252,2032,2198,2136,1962,1922
