"FIPS","Region","Table","Line code","First year","Line Title","Area Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"34000","2","CA25","10","1969","Total full-time and part-time employment","New Jersey state total",3061493,3124572,3119402,3184143,3288124,3300540,3190693,3248286,3325139,3464561,3551507,3600866,3630962,3638914,3739129,3914206,4025613,4121635,4219864,4316583,4351212,4309704,4172215,4170013,4197161,4231628,4296373,4351845,4412437,4488639,4550998,4712709
"34000","2","CA25","20","1969"," Wage and salary employment","New Jersey state total",2745695,2800562,2791118,2851162,2939972,2951364,2841180,2901486,2968113,3095088,3173395,3207037,3230913,3209832,3288638,3450644,3524102,3598736,3697185,3756735,3793376,3721161,3592692,3558014,3598638,3649057,3688835,3716736,3788304,3876020,3927176,4057425
"34000","2","CA25","40","1969"," Proprietors employment","New Jersey state total",315798,324010,328284,332981,348152,349176,349513,346800,357026,369473,378112,393829,400049,429082,450491,463562,501511,522899,522679,559848,557836,588543,579523,611999,598523,582571,607538,635109,624133,612619,623822,655284
"34000","2","CA25","50","1969","  Farm proprietors employment","New Jersey state total",9603,9309,9238,9017,8832,8716,8513,8706,8388,8708,9299,9114,9204,9225,9797,9458,9223,8793,8368,8082,8122,7882,8220,8689,9034,8959,9059,8965,9106,9390,9369,9408
"34000","2","CA25","60","1969","  Nonfarm proprietors employment","New Jersey state total",306195,314701,319046,323964,339320,340460,341000,338094,348638,360765,368813,384715,390845,419857,440694,454104,492288,514106,514311,551766,549714,580661,571303,603310,589489,573612,598479,626144,615027,603229,614453,645876
"34000","2","CA25","70","1969","  Farm employment","New Jersey state total",19975,19836,18832,19684,18623,18945,19779,20986,20699,19708,19297,20103,20125,19337,20732,19297,17488,17714,17781,17731,16179,15710,16507,16936,15988,16245,16488,16417,17793,16362,17456,18927
"34000","2","CA25","80","1969","  Nonfarm employment","New Jersey state total",3041518,3104736,3100570,3164459,3269501,3281595,3170914,3227300,3304440,3444853,3532210,3580763,3610837,3619577,3718397,3894909,4008125,4103921,4202083,4298852,4335033,4293994,4155708,4153077,4181173,4215383,4279885,4335428,4394644,4472277,4533542,4693782
"34000","2","CA25","90","1969","   Private employment","New Jersey state total",2581711,2634456,2620780,2679496,2772304,2774271,2659599,2704948,2775443,2904092,2979852,3015585,3052770,3066678,3162720,3334660,3444897,3535950,3626687,3713384,3743556,3694147,3564848,3565134,3593487,3628882,3694883,3753846,3812735,3885534,3942058,4089772
"34000","2","CA25","100","1969","    Agricultural services, forestry, and fishing","New Jersey state total",12430,13038,13738,14350,15350,14902,15287,15940,17185,19994,20539,21504,21423,22327,24219,26863,28279,29458,28445,27672,27407,27193,26334,27133,29137,29273,31139,32429,33707,32310,35345,36249
"34000","2","CA25","200","1969","    Mining","New Jersey state total",4618,4378,4286,4409,4981,4707,4403,4603,4778,4563,4745,4774,5804,6198,7308,7728,8508,7367,4552,4737,4689,4617,4063,3807,3678,3875,3795,3328,3518,3324,3262,2864
"34000","2","CA25","300","1969","    Construction","New Jersey state total",145953,150166,148701,150665,157911,149119,131940,124128,126325,139078,147598,143320,142962,144620,151342,173553,188419,206286,216039,225551,222007,201033,173030,170770,173993,178040,182345,184446,193424,195379,202024,211402
"34000","2","CA25","400","1969","    Manufacturing","New Jersey state total",908588,881352,830454,830790,850754,838824,760615,771505,781274,801988,810780,799394,782670,737558,727617,741074,726850,706946,687301,674161,653427,602961,568421,539945,527631,520055,509912,494481,492214,488796,475464,482074
"34000","2","CA25","500","1969","    Transportation and public utilities","New Jersey state total",189528,199061,199527,197921,200442,198857,190530,190413,196069,205842,208865,213994,215238,215376,220845,240544,247133,250478,250322,254087,253961,255523,252481,252542,262405,271090,274635,279085,283886,285207,294375,302428
"34000","2","CA25","610","1969","    Wholesale trade","New Jersey state total",145887,153992,160493,164305,169565,176706,183978,195782,204637,216197,229840,233763,241602,244113,252315,274395,279926,286696,278732,287043,294960,290678,276338,277552,274635,276520,278826,282818,287145,296474,297072,303804
"34000","2","CA25","620","1969","    Retail trade","New Jersey state total",452340,472222,485200,493461,505816,509098,504333,513073,525331,541200,545578,543802,546960,552535,577065,605689,624769,640838,656654,663330,660665,649476,628424,629587,629577,639327,657930,664316,678010,677810,689632,716655
"34000","2","CA25","700","1969","    Finance, insurance, and real estate","New Jersey state total",176381,192206,202310,211241,222864,222426,212085,225107,231638,245100,248256,251741,254890,261373,264468,273540,288593,312922,403968,418086,420866,412876,390173,384270,384897,400346,398021,410285,390004,412704,417501,442053
"34000","2","CA25","800","1969","    Services","New Jersey state total",545986,568041,576071,612354,644621,659632,656428,664397,688206,730130,763651,803293,841221,882578,937541,991274,1052420,1094959,1100674,1158717,1205574,1249790,1245584,1279528,1307534,1310356,1358280,1402658,1450827,1493530,1527383,1592243
"34000","2","CA25","900","1969","   Government and government enterprises","New Jersey state total",459807,470280,479790,484963,497197,507324,511315,522352,528997,540761,552358,565178,558067,552899,555677,560249,563228,567971,575396,585468,591477,599847,590860,587943,587686,586501,585002,581582,581909,586743,591484,604010
"34000","2","CA25","910","1969","    Federal, civilian","New Jersey state total",70694,70633,67698,67065,67638,72068,72915,74078,73154,72559,72496,71839,71733,71910,71181,72578,74714,75112,76606,77214,77935,79992,76286,75994,73176,71801,69611,70215,67347,65619,65049,67960
"34000","2","CA25","920","1969","    Military","New Jersey state total",97922,92656,89600,76241,67236,59739,55110,53384,48966,46018,47207,46400,45127,48099,50567,50564,50581,49721,48129,46704,45218,42545,39579,37323,33386,32846,33157,31221,30866,30208,30545,28796
"34000","2","CA25","930","1969","    State and local","New Jersey state total",291191,306991,322492,341657,362323,375517,383290,394890,406877,422184,432655,446939,441207,432890,433929,437107,437933,443138,450661,461550,468324,477310,474995,474626,481124,481854,482234,480146,483696,490916,495890,507254
"34000","2","CA25","931","1969","     State government","New Jersey state total","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)",95401,103619,106345,106729,109601,112107,113164,115643,118802,121679,122620,125695,125293,122809,124477,124437,131864,129930,133523,134195,134958,139500
"34000","2","CA25","932","1969","     Local government","New Jersey state total","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)",337254,343320,334862,326161,324328,325000,324769,327495,331859,339871,345704,351615,349702,351817,356647,357417,350370,350216,350173,356721,360932,367754
"34001","2","CA25","10","1969","Total full-time and part-time employment","Atlantic, NJ",78419,79885,79392,82297,85385,84867,82280,84161,85095,90253,99716,109410,118656,119783,124824,133475,139336,141884,148142,152703,155641,159479,152342,152205,153047,154444,157855,159704,162668,167299,169365,172547
"34001","2","CA25","20","1969"," Wage and salary employment","Atlantic, NJ",67691,69067,68596,71354,74100,73636,71114,73531,74159,78963,88072,97233,106593,107043,111514,120241,125535,127937,134496,137788,140600,143604,136770,135536,136802,138832,141419,142307,144591,146744,148089,150245
"34001","2","CA25","40","1969"," Proprietors employment","Atlantic, NJ",10728,10818,10796,10943,11285,11231,11166,10630,10936,11290,11644,12177,12063,12740,13310,13234,13801,13947,13646,14915,15041,15875,15572,16669,16245,15612,16436,17397,18077,20555,21276,22302
"34001","2","CA25","50","1969","  Farm proprietors employment","Atlantic, NJ",522,503,496,481,468,463,446,453,432,448,467,447,448,431,446,420,400,373,346,340,348,343,363,387,405,405,411,410,419,426,423,422
"34001","2","CA25","60","1969","  Nonfarm proprietors employment","Atlantic, NJ",10206,10315,10300,10462,10817,10768,10720,10177,10504,10842,11177,11730,11615,12309,12864,12814,13401,13574,13300,14575,14693,15532,15209,16282,15840,15207,16025,16987,17658,20129,20853,21880
"34001","2","CA25","70","1969","  Farm employment","Atlantic, NJ",1308,1304,1229,1301,1225,1263,1327,1414,1395,1311,1257,1321,1322,1249,1401,1341,1227,1323,1411,1433,1257,1250,1466,1363,1300,1348,1419,1508,1584,1344,1512,1729
"34001","2","CA25","80","1969","  Nonfarm employment","Atlantic, NJ",77111,78581,78163,80996,84160,83604,80953,82747,83700,88942,98459,108089,117334,118534,123423,132134,138109,140561,146731,151270,154384,158229,150876,150842,151747,153096,156436,158196,161084,165955,167853,170818
"34001","2","CA25","90","1969","   Private employment","Atlantic, NJ",64875,65648,64657,67127,69010,67784,64700,65975,66357,70975,80419,89391,99109,100766,105966,114405,120258,122581,128426,132270,134759,137735,130664,130298,131214,132840,136313,138299,141261,145848,147672,150344
"34001","2","CA25","100","1969","    Agricultural services, forestry, and fishing","Atlantic, NJ",649,647,717,717,815,793,759,776,813,887,922,966,1080,1150,1124,1124,"(D)","(D)","(D)","(D)",1009,1020,"(D)","(D)",1138,"(D)",1311,"(D)","(D)",1466,"(D)","(D)"
"34001","2","CA25","200","1969","    Mining","Atlantic, NJ",41,35,59,42,50,57,57,103,108,107,98,89,130,124,143,158,188,167,99,89,62,80,61,50,50,"(D)",47,"(D)","(D)",33,"(D)","(D)"
"34001","2","CA25","300","1969","    Construction","Atlantic, NJ",4538,4766,4540,4593,4896,4503,3832,3905,4049,4804,6638,6560,5945,4955,5536,6743,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",7078,7565,7949
"34001","2","CA25","400","1969","    Manufacturing","Atlantic, NJ",11539,10611,9804,10104,10339,10322,8721,8894,8801,8715,9097,9227,8334,7920,8162,7981,7861,7900,7842,7912,7602,6738,6394,6018,6159,6238,6061,5841,5669,5619,5299,5424
"34001","2","CA25","500","1969","    Transportation and public utilities","Atlantic, NJ",4117,4311,4263,4239,4180,4183,3949,3785,3729,4159,4326,4572,4738,5147,5295,5394,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",6421,6828,6675
"34001","2","CA25","610","1969","    Wholesale trade","Atlantic, NJ",2222,2282,2336,2424,2331,2281,2557,2901,3167,3379,3216,3319,3400,3353,3416,3486,3302,3575,3431,3657,3805,3819,3577,3616,3530,3516,3913,3898,3998,4179,4206,4490
"34001","2","CA25","620","1969","    Retail trade","Atlantic, NJ",17368,17895,18118,18587,19446,18737,18038,18457,18325,18973,18768,19129,18967,18655,19757,21784,22316,22265,22885,23713,23532,23924,23130,22948,22470,22356,23307,23601,24725,24941,25699,26089
"34001","2","CA25","700","1969","    Finance, insurance, and real estate","Atlantic, NJ",4722,5131,5225,5585,5669,5979,6020,6603,6470,7268,7997,8192,8101,8356,8078,8016,8201,8074,10097,10247,9743,9674,8922,8654,8179,8609,8528,9012,8719,9305,8951,9583
"34001","2","CA25","800","1969","    Services","Atlantic, NJ",19679,19970,19595,20836,21284,20929,20767,20551,20895,22683,29357,37337,48414,51106,54455,59719,65084,65876,68490,71090,73781,78658,75967,75974,77251,77935,80078,81404,82804,86806,87711,88726
"34001","2","CA25","900","1969","   Government and government enterprises","Atlantic, NJ",12236,12933,13506,13869,15150,15820,16253,16772,17343,17967,18040,18698,18225,17768,17457,17729,17851,17980,18305,19000,19625,20494,20212,20544,20533,20256,20123,19897,19823,20107,20181,20474
"34001","2","CA25","910","1969","    Federal, civilian","Atlantic, NJ",2706,2801,2784,2490,2880,2942,2969,2992,3057,3025,2871,2913,2757,2583,2497,2505,2455,2373,2379,2465,2515,2657,2619,2779,2725,2648,2513,2513,2490,2490,2494,2570
"34001","2","CA25","920","1969","    Military","Atlantic, NJ",1070,1052,1023,955,940,937,902,833,786,773,750,742,705,759,786,787,798,781,769,761,745,718,722,721,658,650,655,640,638,720,790,762
"34001","2","CA25","930","1969","    State and local","Atlantic, NJ",8460,9080,9699,10424,11330,11941,12382,12947,13500,14169,14419,15043,14763,14426,14174,14437,14598,14826,15157,15774,16365,17119,16871,17044,17150,16958,16955,16744,16695,16897,16897,17142
"34001","2","CA25","931","1969","     State government","Atlantic, NJ","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)",3141,3477,3531,3612,3768,3914,4035,4143,4270,4422,4444,4676,4381,4226,4116,3978,4187,4068,4123,4093,4009,4015
"34001","2","CA25","932","1969","     Local government","Atlantic, NJ","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)","(N)",11278,11566,11232,10814,10406,10523,10563,10683,10887,11352,11921,12443,12490,12818,13034,12980,12768,12676,12572,12804,12888,13127
"34003","2","CA25","10","1969","Total full-time and part-time employment","Bergen, NJ",370077,384906,386463,398926,416671,423200,412882,424273,435211,456686,466245,470876,474840,483173,496183,516648,526194,533564,544517,553089,554206,545229,519699,514104,519150,516023,530341,541961,545146,559312,561811,576201
"34003","2","CA25","20","1969"," Wage and salary employment","Bergen, NJ",323184,336690,337715,350222,365287,371199,360394,371914,380407,399265,407568,409567,412385,414300,424505,444944,450899,458012,470539,475492,476957,463928,439573,429794,435565,439430,445450,454099,463300,479532,479804,489709
"34003","2","CA25","40","1969"," Proprietors employment","Bergen, NJ",46893,48216,48748,48704,51384,52001,52488,52359,54804,57421,58677,61309,62455,68873,71678,71704,75295,75552,73978,77597,77249,81301,80126,84310,83585,76593,84891,87862,81846,79780,82007,86492
"34003","2","CA25","50","1969","  Farm proprietors employment","Bergen, NJ",173,174,178,179,180,179,166,163,151,148,149,138,137,126,128,120,115,106,97,92,92,89,92,95,97,95,93,91,91,90,84,81
"34003","2","CA25","60","1969","  Nonfarm proprietors employment","Bergen, NJ",46720,48042,48570,48525,51204,51822,52322,52196,54653,57273,58528,61171,62318,68747,71550,71584,75180,75446,73881,77505,77157,81212,80034,84215,83488,76498,84798,87771,81755,79690,81923,86411
"34003","2","CA25","70","1969","  Farm employment","Bergen, NJ",444,443,417,436,408,404,426,457,454,427,402,416,413,383,431,416,382,416,446,506,395,386,415,415,379,400,373,358,421,341,358,427
"34003","2","CA25","80","1969","  Nonfarm employment","Bergen, NJ",369633,384463,386046,398490,416263,422796,412456,423816,434757,456259,465843,470460,474427,482790,495752,516232,525812,533148,544071,552583,553811,544843,519284,513689,518771,515623,529968,541603,544725,558971,561453,575774
