"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"04000","Arizona state total","6","CA5N 1/","10","...","Personal income (thousands of dollars)",141148475,146532203,155206313,169446981,188531565,209240727,220503346,224317885,214058229,215052605,225838885,236220305,242181504,255696365,270258279,280120037
"04000","Arizona state total","6","CA5N 1/","20","...","Population (persons) 2/",5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6408312,6467163,6549634,6624617,6719993,6817565,6931071
"04000","Arizona state total","6","CA5N 1/","30","...","Per capita personal income (dollars)",26766,27154,28166,29978,32288,34705,35751,35717,33746,33558,34921,36066,36558,38050,39641,40415
"04000","Arizona state total","6","CA5N 1/","35","...","Earnings by place of work",105608604,109045678,114564429,124797156,137468241,152622726,158820464,157537700,147722984,145698241,151754723,158853517,165509987,172298811,180784963,189044317
"04000","Arizona state total","6","CA5N 1/","36","...","  Less: Contributions for government social insurance 3/",11946096,12350254,12830700,13897568,15254256,16728805,17695906,17901056,17067080,17258018,15992375,16540013,19323855,20020524,21084967,22028368
"04000","Arizona state total","6","CA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",6151764,6363146,6642746,7219625,7987320,8785233,9233500,9326152,8998036,9145084,7577842,7819761,10320591,10826972,11411100,11981533
"04000","Arizona state total","6","CA5N 1/","38","...","    Employer contributions for government social insurance",5794332,5987108,6187954,6677943,7266936,7943572,8462406,8574904,8069044,8112934,8414533,8720252,9003264,9193552,9673867,10046835
"04000","Arizona state total","6","CA5N 1/","42","...","  Plus: Adjustment for residence 4/",581224,587691,585636,623469,710172,814165,1059378,1293777,1230677,1250897,1243529,1334383,1288846,1386150,1493270,1529981
"04000","Arizona state total","6","CA5N 1/","45","...","  Equals: Net earnings by place of residence",94243732,97283115,102319365,111523057,122924157,136708086,142183936,140930421,131886581,129691120,137005877,143647887,147474978,153664437,161193266,168545930
"04000","Arizona state total","6","CA5N 1/","46","...","  Plus: Dividends, interest, and rent 5/",27589592,27754529,29408921,32222484,36869960,41107475,44201440,43631202,37749699,37045381,40510085,44501619,44902312,48622509,52672343,53502140
"04000","Arizona state total","6","CA5N 1/","47","...","  Plus: Personal current transfer receipts",19315151,21494559,23478027,25701440,28737448,31425166,34117970,39756262,44421949,48316104,48322923,48070799,49804214,53409419,56392670,58071967
